frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
421,42.0,0.98,1,0.052369,0.242799,-0.968662,-0.117193,0.236541,-0.964528,-0.034,0.243
422,42.1,0.98,1,0.054556,0.239652,-0.969325,-0.11609,0.238373,-0.96421,-0.032,0.242
423,42.2,0.98,1,0.054535,0.24507,-0.96797,-0.105218,0.245956,-0.963553,-0.026,0.249
424,42.3,0.98,1,0.060661,0.258037,-0.964229,-0.101988,0.248179,-0.96333,-0.021,0.257
425,42.4,0.98,1,0.064894,0.25844,-0.963845,-0.112115,0.252584,-0.961057,-0.025,0.259
426,42.5,0.98,1,0.058201,0.251127,-0.966203,-0.085401,0.273631,-0.958036,-0.014,0.266
427,42.6,0.98,1,0.05828,0.252933,-0.965727,-0.086879,0.271273,-0.958573,-0.015,0.266
428,42.7,0.98,1,0.058541,0.257456,-0.964515,-0.089892,0.277196,-0.956599,-0.016,0.271
429,42.8,0.98,1,0.055258,0.25709,-0.964806,-0.080956,0.276508,-0.957596,-0.013,0.271
430,42.9,0.98,1,0.064087,0.263973,-0.962399,-0.084887,0.279752,-0.956312,-0.011,0.276
431,43.0,0.98,1,0.059752,0.26141,-0.963377,-0.091966,0.271204,-0.958118,-0.017,0.27
432,43.1,0.98,1,0.063564,0.256462,-0.964462,-0.090954,0.263759,-0.960291,-0.014,0.264
433,43.2,0.98,1,0.053856,0.257113,-0.964879,-0.10357,0.241444,-0.964872,-0.026,0.253
434,43.3,0.98,1,0.075363,0.263902,-0.961601,-0.113597,0.235225,-0.96528,-0.02,0.253
435,43.4,0.98,1,0.073759,0.269848,-0.960074,-0.113196,0.243066,-0.963382,-0.021,0.261
436,43.5,0.98,1,0.071488,0.249583,-0.965711,-0.071704,0.266507,-0.961162,-0.0,0.262
437,43.6,0.98,1,0.063107,0.253185,-0.965357,-0.078779,0.271561,-0.959192,-0.008,0.266
438,43.7,0.98,1,0.051614,0.258854,-0.964536,-0.084619,0.267111,-0.959943,-0.017,0.267
439,43.8,0.98,1,0.058759,0.253537,-0.965539,-0.090584,0.26965,-0.958688,-0.017,0.265
440,43.9,0.98,1,0.055943,0.255526,-0.965182,-0.096341,0.263932,-0.959718,-0.021,0.264
