frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
3578,357.7,0.98,1,0.204155,0.195554,-0.959208,0.100896,0.182962,-0.977929,0.156,0.193
3579,357.8,0.98,1,0.22531,0.20079,-0.953372,0.117651,0.222058,-0.967909,0.177,0.217
3580,357.9,0.98,1,0.256168,0.174839,-0.950689,0.118774,0.231917,-0.965457,0.193,0.209
3581,358.0,0.98,1,0.240364,0.172712,-0.955194,0.112074,0.217874,-0.969521,0.181,0.2
3582,358.1,0.98,1,0.250422,0.173542,-0.952456,0.10082,0.220764,-0.970102,0.181,0.202
3583,358.2,0.98,1,0.243381,0.166947,-0.955455,0.088352,0.192861,-0.97724,0.17,0.184
3584,358.3,0.98,1,0.303298,0.147216,-0.941455,0.121921,0.211242,-0.9698,0.219,0.185
3585,358.4,0.98,1,0.276747,0.11077,-0.954537,0.026805,0.111071,-0.993451,0.155,0.113
3586,358.5,0.98,1,0.214031,0.102076,-0.971479,0.02875,0.089036,-0.995613,0.123,0.097
3587,358.6,0.98,1,0.210917,0.096583,-0.972721,-0.041489,0.128469,-0.990845,0.086,0.114
3588,358.7,0.98,1,0.217008,0.092002,-0.971825,-0.093823,0.082032,-0.992204,0.063,0.088
3589,358.8,0.98,1,0.224303,0.092922,-0.970079,-0.102704,0.077646,-0.991677,0.062,0.087
3590,358.9,0.98,1,0.104233,0.086517,-0.990783,0.000409,0.042681,-0.999089,0.053,0.065
3591,359.0,0.98,1,0.112698,0.082938,-0.990162,-0.049455,0.018776,-0.9986,0.032,0.051
3592,359.1,0.98,1,0.128558,0.072122,-0.989076,-0.031443,0.0348,-0.9989,0.049,0.054
3593,359.2,0.98,1,0.128218,0.097946,-0.986898,-0.102219,0.090718,-0.990617,0.013,0.095
3594,359.3,0.98,1,0.32146,0.148617,-0.935188,0.11959,0.157171,-0.980304,0.226,0.158
3595,359.4,0.98,1,0.078533,0.098823,-0.992001,-0.094408,0.040839,-0.994696,-0.008,0.07
3596,359.5,0.98,1,0.095598,0.110007,-0.989323,-0.062706,0.07382,-0.995298,0.017,0.092
3597,359.6,0.98,1,0.109256,0.087685,-0.990139,-0.091007,0.096469,-0.991167,0.009,0.093
3598,359.7,0.98,1,0.110608,0.075169,-0.991017,-0.080282,0.078324,-0.99369,0.015,0.077
3599,359.8,0.98,1,0.111882,0.085074,-0.990073,-0.065928,0.082569,-0.994402,0.023,0.084
3600,359.9,0.98,1,0.114276,0.086265,-0.989697,-0.051256,0.063769,-0.996648,0.032,0.075
3601,360.0,0.98,1,0.172533,0.113032,-0.978497,0.025454,0.040886,-0.998839,0.1,0.078
3602,360.1,0.98,1,0.172435,0.114225,-0.978376,0.04033,0.041408,-0.998328,0.107,0.079
3603,360.2,0.98,1,0.166714,0.126298,-0.977883,0.021779,0.051187,-0.998452,0.095,0.09
3604,360.3,0.98,1,0.165579,0.120153,-0.97885,-0.042128,0.049032,-0.997908,0.062,0.085
3605,360.4,0.98,1,0.165204,0.12467,-0.978348,-0.022586,0.060451,-0.997916,0.072,0.093
3606,360.5,0.98,1,0.27754,0.060628,-0.958799,0.018364,0.119678,-0.992643,0.15,0.092
3607,360.6,0.98,1,0.266414,0.067804,-0.961471,0.066587,0.135049,-0.988599,0.169,0.104
3608,360.7,0.98,1,0.25591,0.087001,-0.962778,0.04258,0.151465,-0.987545,0.152,0.122
3609,360.8,0.98,1,0.254501,0.08885,-0.962982,0.011254,0.143428,-0.989597,0.135,0.118
3610,360.9,0.98,1,0.26001,0.086247,-0.961746,0.032711,0.141127,-0.989451,0.149,0.116
3611,361.0,0.98,1,0.24894,0.093953,-0.963951,0.014661,0.136524,-0.990528,0.134,0.117
3612,361.1,0.98,1,0.22598,0.1136,-0.967486,-0.025684,0.155861,-0.987445,0.102,0.137
3613,361.2,0.98,1,0.240099,0.101859,-0.96539,-0.0382,0.145603,-0.988605,0.103,0.126
3614,361.3,0.98,1,0.208081,0.111444,-0.971742,-0.031628,0.140108,-0.989631,0.09,0.128
3615,361.4,0.98,1,0.257633,0.214757,-0.942075,-0.063991,0.164501,-0.984299,0.1,0.194
3616,361.5,0.98,1,0.248669,0.21465,-0.944505,-0.153838,0.147335,-0.97705,0.049,0.186
3617,361.6,0.98,1,0.010559,0.127204,-0.99182,-0.166638,0.128107,-0.977661,-0.079,0.129
3618,361.7,0.98,1,0.179702,0.233887,-0.955512,-0.10049,0.150176,-0.983539,0.041,0.196
3619,361.8,0.98,1,0.168979,0.243207,-0.955142,-0.126431,0.238964,-0.962762,0.022,0.246
3620,361.9,0.98,1,0.20843,0.207436,-0.955786,-0.053444,0.12837,-0.990285,0.079,0.171
3621,362.0,0.98,1,0.203296,0.164808,-0.965147,-0.095462,0.133641,-0.986421,0.055,0.152
3622,362.1,0.98,1,0.189864,0.170006,-0.96698,-0.049264,0.094101,-0.994343,0.072,0.134
3623,362.2,0.98,1,0.194183,0.157452,-0.968247,-0.04696,0.092915,-0.994566,0.075,0.127
3624,362.3,0.98,1,0.16613,0.221808,-0.960834,-0.147797,0.200026,-0.968579,0.01,0.215
