frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
924,92.3,0.98,1,-0.089553,0.059318,-0.994214,-0.064279,0.133794,-0.988922,-0.077,0.097
925,92.4,0.98,1,-0.125323,0.042088,-0.991223,-0.062443,0.064374,-0.99597,-0.094,0.054
926,92.5,0.98,1,-0.097085,0.05687,-0.99365,-0.075626,0.072275,-0.994514,-0.087,0.065
927,92.6,0.98,1,-0.102119,0.062016,-0.992837,-0.072049,0.067883,-0.995088,-0.087,0.065
928,92.7,0.98,1,-0.076028,0.027684,-0.996721,-0.037517,0.028985,-0.998876,-0.057,0.028
929,92.8,0.98,1,-0.058602,0.043078,-0.997352,-0.033105,0.040125,-0.998646,-0.046,0.042
930,92.9,0.98,1,-0.052683,0.041556,-0.997746,-0.03622,0.053763,-0.997897,-0.045,0.048
931,93.0,0.98,1,-0.046363,0.031161,-0.998438,-0.043524,0.056744,-0.99744,-0.045,0.044
932,93.1,0.98,1,-0.035682,0.024422,-0.999065,-0.045815,0.047444,-0.997823,-0.041,0.036
933,93.2,0.98,1,0.02857,0.033258,-0.999038,-0.158936,0.080362,-0.984013,-0.066,0.057
934,93.3,0.98,1,-0.039081,0.089454,-0.995224,-0.098341,0.09485,-0.990622,-0.069,0.093
935,93.4,0.98,1,-0.0327,0.082869,-0.996024,-0.123919,0.085459,-0.988605,-0.079,0.085
936,93.5,0.98,1,-0.006807,0.097455,-0.995217,-0.143359,0.04479,-0.988657,-0.076,0.072
937,93.6,0.98,1,0.020096,0.085281,-0.996154,-0.113037,0.054317,-0.992105,-0.047,0.07
938,93.7,0.98,1,-0.032171,0.096132,-0.994849,-0.080072,0.111892,-0.990489,-0.056,0.104
939,93.8,0.98,1,0.007859,0.079064,-0.996839,-0.068074,0.064982,-0.995562,-0.03,0.072
940,93.9,0.98,1,0.007229,0.067741,-0.997677,-0.110436,0.131239,-0.98518,-0.052,0.1
941,94.0,0.98,1,0.02687,0.110955,-0.993462,-0.130178,0.160967,-0.978337,-0.052,0.137
942,94.1,0.98,1,0.038613,0.093401,-0.994879,-0.152516,0.133229,-0.97928,-0.058,0.114
943,94.2,0.98,1,-0.007386,0.097337,-0.995224,-0.106328,0.108635,-0.988379,-0.057,0.103
944,94.3,0.98,1,0.018097,0.069922,-0.997388,-0.121189,0.086383,-0.988864,-0.052,0.079
945,94.4,0.98,1,-0.007522,0.045357,-0.998943,-0.149881,0.080407,-0.985429,-0.079,0.063
946,94.5,0.98,1,0.013419,0.031723,-0.999407,-0.16606,0.094254,-0.981601,-0.077,0.064
947,94.6,0.98,1,0.009943,0.030112,-0.999497,-0.173197,0.082952,-0.981388,-0.082,0.057
948,94.7,0.98,1,0.026722,0.047319,-0.998522,-0.143334,0.12765,-0.981408,-0.059,0.088
949,94.8,0.98,1,-0.020479,0.076731,-0.996841,-0.124019,0.138227,-0.982605,-0.073,0.108
950,94.9,0.98,1,-0.031765,0.088737,-0.995548,-0.089898,0.132629,-0.987081,-0.061,0.111
951,95.0,0.98,1,-0.04082,0.091779,-0.994942,-0.08333,0.13937,-0.986728,-0.063,0.116
952,95.1,0.98,1,-0.041744,0.083435,-0.995638,-0.117512,0.12618,-0.985023,-0.08,0.105
953,95.2,0.98,1,-0.000714,0.037562,-0.999294,-0.153855,0.040649,-0.987257,-0.078,0.039
954,95.3,0.98,1,0.009668,0.031904,-0.999444,-0.152367,0.041455,-0.987454,-0.072,0.037
955,95.4,0.98,1,-0.028186,0.083595,-0.996101,-0.156406,0.044569,-0.986687,-0.093,0.065
956,95.5,0.98,1,-0.01599,0.04378,-0.998913,-0.159545,0.036574,-0.986513,-0.088,0.04
957,95.6,0.98,1,-0.0139,0.046801,-0.998808,-0.158421,0.0387,-0.986613,-0.087,0.043
958,95.7,0.98,1,-0.063793,0.069537,-0.995538,-0.157343,0.088232,-0.983595,-0.111,0.08
959,95.8,0.98,1,-0.058009,0.085237,-0.994671,-0.151142,0.089105,-0.984488,-0.105,0.088
960,95.9,0.98,1,-0.041428,0.058774,-0.997411,-0.153921,0.0727,-0.985405,-0.098,0.066
961,96.0,0.98,1,0.005771,0.067186,-0.997724,-0.149199,0.047689,-0.987657,-0.072,0.058
962,96.1,0.98,1,0.029149,0.05197,-0.998223,-0.144196,0.045592,-0.988498,-0.058,0.049
963,96.2,0.98,1,0.001166,0.060669,-0.998157,-0.146448,0.044506,-0.988217,-0.073,0.053
964,96.3,0.98,1,-0.002527,0.079258,-0.996851,-0.143922,0.051902,-0.988227,-0.074,0.066
965,96.4,0.98,1,0.007886,0.053168,-0.998554,-0.144278,0.046286,-0.988454,-0.069,0.05
966,96.5,0.98,1,0.014757,0.053522,-0.998458,-0.154167,0.060304,-0.986203,-0.07,0.057
967,96.6,0.98,1,0.024742,0.051405,-0.998371,-0.162808,0.048864,-0.985447,-0.069,0.051
968,96.7,0.98,1,-0.018157,0.098438,-0.994978,-0.146999,0.067591,-0.986825,-0.083,0.084
969,96.8,0.98,1,-0.004863,0.0879,-0.996117,-0.18404,0.081239,-0.979556,-0.095,0.085
970,96.9,0.98,1,-0.023272,0.10936,-0.99373,-0.141242,0.110064,-0.983838,-0.083,0.111
971,97.0,0.98,1,-0.013127,0.121347,-0.992523,-0.146708,0.142585,-0.978849,-0.081,0.133
972,97.1,0.98,1,-0.006262,0.112351,-0.993649,-0.144457,0.121795,-0.981987,-0.076,0.118
973,97.2,0.98,1,-0.018633,0.11574,-0.993105,-0.156266,0.163644,-0.974064,-0.089,0.141
974,97.3,0.98,1,-0.017127,0.118308,-0.992829,-0.161185,0.178626,-0.970625,-0.091,0.15
975,97.4,0.98,1,0.001172,0.104723,-0.994501,-0.111657,0.141019,-0.98369,-0.056,0.124
976,97.5,0.98,1,-0.007533,0.081504,-0.996644,-0.115132,0.09949,-0.988355,-0.062,0.091
