frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
4032,403.1,0.98,1,0.081246,0.250786,-0.964627,-0.076997,0.249573,-0.96529,0.002,0.254
4033,403.2,0.98,1,0.0758,0.257557,-0.963285,-0.061518,0.290869,-0.954783,0.007,0.278
4034,403.3,0.98,1,0.076684,0.274439,-0.958542,-0.079372,0.287405,-0.954515,-0.001,0.286
4035,403.4,0.98,1,0.096976,0.219694,-0.970737,-0.099839,0.272187,-0.957051,-0.001,0.25
4036,403.5,0.98,1,0.084878,0.218843,-0.972062,-0.09566,0.218146,-0.971217,-0.006,0.221
4037,403.6,0.98,1,0.081809,0.203913,-0.975565,-0.094945,0.183849,-0.978358,-0.007,0.196
4038,403.7,0.98,1,0.098228,0.194224,-0.976027,-0.110079,0.177473,-0.97795,-0.006,0.188
4039,403.8,0.98,1,0.066089,0.170648,-0.983113,-0.097201,0.161212,-0.982122,-0.016,0.167
4040,403.9,0.98,1,0.065757,0.1556,-0.985629,-0.108028,0.143254,-0.983773,-0.021,0.151
4041,404.0,0.98,1,0.063976,0.15873,-0.985247,-0.10012,0.141832,-0.984815,-0.018,0.151
4042,404.1,0.98,1,0.075605,0.175186,-0.981628,-0.124955,0.145137,-0.98149,-0.025,0.162
4043,404.2,0.98,1,0.114778,0.207224,-0.971537,-0.080115,0.192342,-0.978052,0.018,0.202
4044,404.3,0.98,1,0.062296,0.183152,-0.981109,-0.109943,0.205166,-0.972532,-0.024,0.196
4045,404.4,0.98,1,0.07117,0.174965,-0.981999,-0.120856,0.227102,-0.966343,-0.025,0.204
4046,404.5,0.98,1,0.084317,0.177489,-0.980504,-0.073096,0.229369,-0.970591,0.006,0.206
4047,404.6,0.98,1,0.008606,0.205084,-0.978707,-0.07247,0.257059,-0.963675,-0.033,0.234
4048,404.7,0.98,1,0.034607,0.188011,-0.981557,-0.101727,0.22958,-0.967959,-0.034,0.211
4049,404.8,0.98,1,0.015418,0.207387,-0.978138,-0.102982,0.211617,-0.971912,-0.045,0.212
4050,404.9,0.98,1,0.021418,0.212749,-0.976872,-0.164374,0.164181,-0.972639,-0.073,0.191
4051,405.0,0.98,1,0.031043,0.216427,-0.975805,-0.114124,0.204501,-0.972191,-0.043,0.213
4052,405.1,0.98,1,0.025333,0.226256,-0.973738,-0.122109,0.21586,-0.968759,-0.05,0.224
4053,405.2,0.98,1,0.047622,0.218249,-0.97473,-0.084899,0.243363,-0.966213,-0.019,0.233
4054,405.3,0.98,1,0.095148,0.232708,-0.967881,-0.070873,0.2557,-0.964155,0.013,0.248
4055,405.4,0.98,1,0.096695,0.212441,-0.972378,-0.091228,0.242099,-0.965953,0.003,0.23
4056,405.5,0.98,1,0.088717,0.177546,-0.980105,-0.091373,0.210566,-0.9733,-0.001,0.196
4057,405.6,0.98,1,0.086947,0.207694,-0.974322,-0.090149,0.209606,-0.973621,-0.002,0.211
4058,405.7,0.98,1,0.090338,0.189795,-0.977659,-0.108034,0.205785,-0.972616,-0.009,0.2
4059,405.8,0.98,1,0.098757,0.18993,-0.976818,-0.146523,0.194549,-0.969887,-0.025,0.195
4060,405.9,0.98,1,0.088092,0.206077,-0.974562,-0.126093,0.206941,-0.970194,-0.02,0.209
4061,406.0,0.98,1,0.076481,0.198144,-0.977184,-0.096635,0.207874,-0.97337,-0.01,0.205
4062,406.1,0.98,1,0.068355,0.199712,-0.977467,-0.126135,0.206365,-0.970311,-0.03,0.206
4063,406.2,0.98,1,0.082382,0.184275,-0.979416,-0.120534,0.215609,-0.969012,-0.02,0.202
4064,406.3,0.98,1,0.037901,0.211429,-0.976658,-0.121898,0.224328,-0.96686,-0.043,0.221
4065,406.4,0.98,1,0.049452,0.202184,-0.978098,-0.118207,0.233782,-0.965077,-0.035,0.221
4066,406.5,0.98,1,0.051145,0.199626,-0.978536,-0.110119,0.228146,-0.967379,-0.03,0.216
4067,406.6,0.98,1,0.038433,0.227632,-0.972988,-0.109733,0.251179,-0.9617,-0.037,0.243
4068,406.7,0.98,1,0.052776,0.215023,-0.975182,-0.080468,0.237631,-0.968017,-0.014,0.229
4069,406.8,0.98,1,0.048515,0.226593,-0.972781,-0.114067,0.237576,-0.964648,-0.034,0.235
4070,406.9,0.98,1,0.047544,0.216648,-0.975091,-0.117366,0.227437,-0.966694,-0.036,0.225
4071,407.0,0.98,1,0.046339,0.220273,-0.974337,-0.1,0.226704,-0.968817,-0.028,0.226
4072,407.1,0.98,1,0.083145,0.205575,-0.975103,-0.128024,0.212202,-0.968803,-0.023,0.212
4073,407.2,0.98,1,0.088167,0.205828,-0.974608,-0.123393,0.236165,-0.963847,-0.018,0.224
4074,407.3,0.98,1,0.104679,0.230992,-0.967308,-0.119074,0.237404,-0.964085,-0.007,0.238
4075,407.4,0.98,1,0.067124,0.214078,-0.974508,-0.120656,0.248848,-0.960998,-0.028,0.235
4076,407.5,0.98,1,0.079003,0.214571,-0.973508,-0.077538,0.227044,-0.970793,0.001,0.223
4077,407.6,0.98,1,0.080195,0.18701,-0.979079,-0.086202,0.216163,-0.972544,-0.003,0.204
4078,407.7,0.98,1,0.082919,0.16849,-0.98221,-0.096682,0.200573,-0.974897,-0.007,0.186
4079,407.8,0.98,1,0.079137,0.167103,-0.982758,-0.097857,0.198856,-0.975131,-0.01,0.185
4080,407.9,0.98,1,0.068112,0.212214,-0.974847,-0.097658,0.187958,-0.97731,-0.015,0.202
4081,408.0,0.98,1,0.077073,0.174203,-0.981689,-0.076753,0.218995,-0.972703,0.0,0.199
4082,408.1,0.98,1,0.069187,0.171822,-0.982695,-0.079402,0.218323,-0.972641,-0.005,0.197
4083,408.2,0.98,1,0.089905,0.132149,-0.987144,-0.105295,0.206422,-0.972781,-0.008,0.171
4084,408.3,0.98,1,0.075829,0.146215,-0.986342,-0.107679,0.20719,-0.972357,-0.016,0.179
4085,408.4,0.98,1,0.080822,0.161276,-0.983594,-0.09818,0.205726,-0.973672,-0.009,0.185
4086,408.5,0.98,1,0.089557,0.164032,-0.982381,-0.095879,0.205726,-0.973901,-0.003,0.187
4087,408.6,0.98,1,0.070932,0.201022,-0.977015,-0.085004,0.210239,-0.973947,-0.007,0.208
4088,408.7,0.98,1,0.059563,0.20475,-0.977,-0.098394,0.224603,-0.96947,-0.02,0.217
4089,408.8,0.98,1,0.065857,0.209436,-0.975602,-0.098223,0.232546,-0.967613,-0.017,0.224
4090,408.9,0.98,1,0.065302,0.21289,-0.974892,-0.096829,0.233101,-0.96762,-0.016,0.226
4091,409.0,0.98,1,0.074529,0.19603,-0.977762,-0.09882,0.238827,-0.966021,-0.012,0.22
4092,409.1,0.98,1,0.072621,0.205681,-0.975921,-0.105852,0.238132,-0.965447,-0.017,0.225
4093,409.2,0.98,1,0.07028,0.1938,-0.978521,-0.100787,0.236184,-0.966467,-0.016,0.218
4094,409.3,0.98,1,0.061902,0.186515,-0.9805,-0.097472,0.238838,-0.966155,-0.018,0.215
4095,409.4,0.98,1,0.061982,0.22279,-0.972894,-0.10815,0.260295,-0.959453,-0.024,0.245
4096,409.5,0.98,1,0.0952,0.158869,-0.982699,-0.10044,0.2174,-0.970901,-0.003,0.19
4097,409.6,0.98,1,0.096366,0.158207,-0.982692,-0.106761,0.216393,-0.970452,-0.005,0.189
4098,409.7,0.98,1,0.108538,0.164592,-0.980372,-0.119305,0.20619,-0.971212,-0.006,0.188
4099,409.8,0.98,1,0.076847,0.203143,-0.976129,-0.107446,0.217113,-0.970215,-0.016,0.213
4100,409.9,0.98,1,0.077517,0.204264,-0.975842,-0.098343,0.226244,-0.969093,-0.011,0.218
4101,410.0,0.98,1,0.06379,0.216875,-0.974113,-0.080594,0.237071,-0.968144,-0.009,0.23
4102,410.1,0.98,1,0.028328,0.21445,-0.976324,-0.090925,0.221588,-0.970892,-0.032,0.22
4103,410.2,0.98,1,0.097123,0.216669,-0.971402,-0.112964,0.241322,-0.963848,-0.008,0.232
4104,410.3,0.98,1,0.114642,0.252824,-0.960696,-0.086317,0.227053,-0.97005,0.015,0.244
4105,410.4,0.98,1,0.092904,0.204131,-0.974525,-0.103601,0.235311,-0.966383,-0.006,0.223
4106,410.5,0.98,1,0.090096,0.21935,-0.971477,-0.120212,0.230168,-0.965697,-0.016,0.228
4107,410.6,0.98,1,0.077566,0.19891,-0.976943,-0.129132,0.235768,-0.963192,-0.027,0.22
4108,410.7,0.98,1,0.080746,0.199752,-0.976514,-0.128662,0.235588,-0.963299,-0.025,0.221
4109,410.8,0.98,1,0.087753,0.200537,-0.975748,-0.129451,0.24643,-0.960476,-0.022,0.227
4110,410.9,0.98,1,0.084887,0.222245,-0.971289,-0.124014,0.253651,-0.959313,-0.02,0.242
4111,411.0,0.98,1,0.091417,0.182965,-0.97886,-0.111783,0.217724,-0.969588,-0.01,0.203
4112,411.1,0.98,1,0.086668,0.18861,-0.97822,-0.124698,0.198047,-0.972228,-0.019,0.196
4113,411.2,0.98,1,0.082376,0.154345,-0.984577,-0.124593,0.166038,-0.978217,-0.022,0.162
4114,411.3,0.98,1,0.088899,0.161715,-0.982825,-0.100238,0.22252,-0.969761,-0.006,0.194
4115,411.4,0.98,1,0.056407,0.147972,-0.987382,-0.11048,0.236498,-0.96533,-0.028,0.194
4116,411.5,0.98,1,0.072443,0.157874,-0.984798,-0.12233,0.248565,-0.960859,-0.026,0.206
4117,411.6,0.98,1,0.072306,0.175147,-0.981884,-0.131777,0.248899,-0.959523,-0.031,0.215
4118,411.7,0.98,1,0.074079,0.171602,-0.982377,-0.133089,0.245796,-0.960141,-0.03,0.212
4119,411.8,0.98,1,0.059872,0.173622,-0.982991,-0.134073,0.216401,-0.967055,-0.038,0.197
4120,411.9,0.98,1,0.063144,0.158458,-0.985344,-0.137531,0.216801,-0.966479,-0.038,0.19
4121,412.0,0.98,1,0.09189,0.166462,-0.981757,-0.140405,0.227054,-0.963708,-0.025,0.2
4122,412.1,0.98,1,0.086516,0.170237,-0.981598,-0.141111,0.235826,-0.961496,-0.028,0.206
4123,412.2,0.98,1,0.068074,0.178137,-0.981648,-0.146773,0.240219,-0.959558,-0.041,0.212
4124,412.3,0.98,1,0.066842,0.168584,-0.983418,-0.151647,0.232974,-0.960586,-0.044,0.204
4125,412.4,0.98,1,0.069413,0.169513,-0.98308,-0.141638,0.235177,-0.961577,-0.037,0.205
4126,412.5,0.98,1,0.051127,0.224242,-0.973191,-0.08295,0.254022,-0.963635,-0.016,0.242
4127,412.6,0.98,1,0.074181,0.210078,-0.974866,-0.116507,0.27562,-0.95418,-0.022,0.247
4128,412.7,0.98,1,0.076328,0.197861,-0.977254,-0.111631,0.272874,-0.955551,-0.018,0.239
4129,412.8,0.98,1,0.025233,0.194521,-0.980574,-0.110202,0.154274,-0.981863,-0.043,0.176
4130,412.9,0.98,1,-0.010036,0.129941,-0.991471,-0.113124,0.136,-0.984229,-0.062,0.134
4131,413.0,0.98,1,-0.003227,0.149864,-0.988701,-0.131968,0.142568,-0.980948,-0.069,0.147
4132,413.1,0.93,1,0.042666,0.149977,-0.987768,-0.161331,0.236655,-0.958106,-0.061,0.196
4133,413.2,0.98,1,-0.287707,0.148523,-0.946132,-0.520704,0.083918,-0.849603,-0.423,0.129
4134,413.3,0.98,1,-0.345961,0.095375,-0.933389,-0.641091,0.053707,-0.765583,-0.526,0.088
4135,413.4,0.98,1,-0.344782,0.047825,-0.937464,-0.383178,-0.019638,-0.923466,-0.373,0.015
4136,413.5,0.98,1,-0.380231,0.027559,-0.924481,-0.339086,0.013508,-0.940658,-0.368,0.022
4137,413.6,0.98,1,-0.353383,0.09884,-0.930243,-0.5573,0.129268,-0.820187,-0.48,0.13
4138,413.7,0.98,1,-0.278038,0.120914,-0.95293,-0.475448,0.170301,-0.863103,-0.393,0.159
4139,413.8,0.77,1,-0.241945,0.105869,-0.964497,-0.382171,0.058006,-0.922269,-0.319,0.087
4140,413.9,0.98,1,0.13817,0.081746,-0.987029,-0.065708,0.221573,-0.972928,0.037,0.154
4141,414.0,0.98,1,0.253749,0.167199,-0.95271,-0.159791,0.252858,-0.954217,0.049,0.217
4142,414.1,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4143,414.2,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4144,414.3,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4145,414.4,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4146,414.5,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4147,414.6,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4148,414.7,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4149,414.8,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4150,414.9,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4151,415.0,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4152,415.1,0.98,1,0.07909,0.094731,-0.992356,-0.120229,0.299621,-0.946453,-0.021,0.201
4153,415.2,0.98,1,-0.131733,0.175674,-0.975595,-0.325161,0.240837,-0.914477,-0.237,0.217
4154,415.3,0.88,1,-0.131036,0.069848,-0.988914,-0.458974,0.124455,-0.87969,-0.306,0.104
4155,415.4,0.88,1,-0.144619,0.073884,-0.986725,-0.438379,0.097073,-0.893533,-0.301,0.091
4156,415.5,0.98,1,-0.256201,0.073597,-0.963818,-0.461903,0.062258,-0.884743,-0.371,0.073
4157,415.6,0.88,1,-0.262296,0.028794,-0.964558,-0.512765,0.05433,-0.856808,-0.402,0.046
4158,415.7,0.93,1,-0.259112,0.079937,-0.962534,-0.586985,0.123328,-0.80015,-0.448,0.115
4159,415.8,0.88,1,-0.441227,0.073212,-0.894404,-0.61264,0.194125,-0.766151,-0.566,0.16
4160,415.9,0.98,1,-0.437265,0.101852,-0.893547,-0.647794,0.215626,-0.730663,-0.589,0.193
4161,416.0,0.98,1,-0.440222,0.173115,-0.881043,-0.614575,0.259779,-0.744858,-0.575,0.26
4162,416.1,0.98,1,-0.437073,0.064784,-0.89709,-0.666468,0.174511,-0.724822,-0.597,0.146
4163,416.2,0.98,1,-0.237265,-0.059872,-0.969598,-0.585651,0.060307,-0.808317,-0.433,0.0
4164,416.3,0.98,1,-0.170994,-0.067313,-0.98297,-0.574067,0.006375,-0.818783,-0.392,-0.034
4165,416.4,0.98,1,-0.328221,-0.07983,-0.941222,-0.616572,0.059392,-0.785055,-0.501,-0.012
4166,416.5,0.88,1,-0.393202,0.113735,-0.91239,-0.631565,0.191347,-0.75134,-0.552,0.181
4167,416.6,0.88,1,-0.387186,0.180774,-0.904106,-0.59061,0.257768,-0.76468,-0.53,0.257
4168,416.7,0.93,1,-0.335133,0.089822,-0.937879,-0.571539,0.262714,-0.777383,-0.486,0.203
4169,416.8,0.93,1,-0.388572,0.175826,-0.904487,-0.586531,0.255278,-0.768645,-0.528,0.252
4170,416.9,0.98,1,-0.404922,0.203752,-0.89136,-0.551216,0.271337,-0.78901,-0.517,0.276
4171,417.0,0.98,1,-0.406731,0.148979,-0.901319,-0.558381,0.223707,-0.798853,-0.516,0.216
4172,417.1,0.98,1,-0.410401,0.08494,-0.907941,-0.567829,0.188203,-0.801343,-0.52,0.158
4173,417.2,0.98,1,-0.283633,0.06301,-0.956861,-0.49556,0.237473,-0.83548,-0.41,0.166
4174,417.3,0.98,1,-0.251773,0.143222,-0.95713,-0.449293,0.25624,-0.855848,-0.369,0.217
4175,417.4,0.98,1,-0.168433,0.125123,-0.97774,-0.335675,0.212093,-0.91779,-0.26,0.176
4176,417.5,0.98,1,-0.100028,0.069329,-0.992566,-0.274117,0.15245,-0.949536,-0.19,0.114
4177,417.6,0.98,1,-0.068963,-0.035757,-0.996978,-0.271527,-0.032152,-0.961893,-0.172,-0.035
4178,417.7,0.98,1,-0.086044,-0.069572,-0.993859,-0.148806,-0.087045,-0.985028,-0.118,-0.079
4179,417.8,0.98,1,-0.135793,-0.052592,-0.98934,-0.266757,-0.0998,-0.958583,-0.204,-0.078
4180,417.9,0.98,1,-0.04067,0.058108,-0.997482,-0.24223,0.040055,-0.969392,-0.143,0.05
4181,418.0,0.98,1,-0.055767,0.007039,-0.998419,-0.14177,-0.009595,-0.989853,-0.099,-0.001
4182,418.1,0.98,1,-0.049036,-0.042593,-0.997888,-0.208327,-0.084035,-0.974442,-0.13,-0.064
4183,418.2,0.98,1,-0.061637,-0.024305,-0.997803,-0.205088,-0.068078,-0.976373,-0.134,-0.047
4184,418.3,0.98,1,-0.061361,-0.022909,-0.997853,-0.151929,-0.059229,-0.986615,-0.107,-0.041
4185,418.4,0.98,1,-0.137267,-0.018437,-0.990363,-0.146317,-0.007758,-0.989207,-0.142,-0.013
4186,418.5,0.98,1,-0.138096,-0.037042,-0.989726,-0.152066,-0.032414,-0.987839,-0.146,-0.035
4187,418.6,0.98,1,-0.135374,-0.08871,-0.986815,-0.190088,-0.006058,-0.981748,-0.164,-0.048
4188,418.7,0.98,1,-0.077199,-0.168107,-0.982741,-0.295485,-0.101892,-0.949898,-0.19,-0.139
4189,418.8,0.98,1,-0.034564,-0.151522,-0.987849,-0.327587,-0.126878,-0.936263,-0.186,-0.144
4190,418.9,0.98,1,-0.111217,-0.168221,-0.979455,-0.224427,-0.128227,-0.966018,-0.171,-0.151
4191,419.0,0.98,1,-0.118198,-0.184985,-0.975607,-0.256199,-0.154091,-0.954263,-0.192,-0.174
4192,419.1,0.98,1,-0.247249,-0.085947,-0.965133,-0.268127,-0.083486,-0.959759,-0.262,-0.088
4193,419.2,0.98,1,-0.242317,-0.051376,-0.968836,-0.260823,0.055953,-0.963764,-0.255,0.002
4194,419.3,0.98,1,-0.249902,-0.066761,-0.965967,-0.270014,-0.001343,-0.962855,-0.263,-0.035
4195,419.4,0.98,1,-0.24928,-0.095644,-0.963697,-0.263475,-0.005463,-0.964651,-0.26,-0.052
4196,419.5,0.98,1,-0.240786,-0.1098,-0.964347,-0.28489,-0.039341,-0.957753,-0.267,-0.077
4197,419.6,0.98,1,-0.153973,-0.079446,-0.984876,-0.300241,-0.043355,-0.952878,-0.23,-0.063
4198,419.7,0.98,1,-0.216042,-0.07467,-0.973525,-0.300408,-0.06606,-0.95152,-0.262,-0.073
