frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1539,153.8,0.93,1,0.008821,0.134598,-0.990861,-0.00778,0.199331,-0.979901,0.001,0.168
1540,153.9,0.93,1,0.107483,0.144386,-0.983667,-0.004686,0.190604,-0.981656,0.052,0.169
1541,154.0,0.93,1,0.101847,0.139349,-0.984992,0.003743,0.181238,-0.983432,0.054,0.161
1542,154.1,0.93,1,0.098533,0.140543,-0.985159,0.023711,0.180886,-0.983218,0.062,0.162
1543,154.2,0.93,1,0.07413,0.123501,-0.989572,0.029018,0.162063,-0.986354,0.052,0.144
1544,154.3,0.93,1,0.076067,0.118589,-0.990026,0.036573,0.161269,-0.986233,0.057,0.141
1545,154.4,0.93,1,0.069871,0.119656,-0.990354,0.032497,0.158963,-0.98675,0.052,0.14
1546,154.5,0.98,1,0.103043,0.10383,-0.989243,0.027401,0.139192,-0.989886,0.066,0.122
1547,154.6,0.98,1,0.096716,0.117052,-0.988405,0.005759,0.144963,-0.98942,0.052,0.132
1548,154.7,0.98,1,0.096423,0.12074,-0.98799,0.01041,0.155854,-0.987725,0.054,0.139
1549,154.8,0.98,1,0.0474,0.12127,-0.991487,0.013807,0.186687,-0.982322,0.031,0.155
1550,154.9,0.98,1,0.05236,0.11986,-0.991409,0.000489,0.172983,-0.984925,0.027,0.147
1551,155.0,0.98,1,0.074375,0.147484,-0.986264,0.017598,0.18434,-0.982705,0.047,0.167
1552,155.1,0.98,1,0.089177,0.148062,-0.984949,0.050942,0.190065,-0.980449,0.071,0.17
1553,155.2,0.98,1,0.091142,0.144867,-0.985244,0.054494,0.191226,-0.980032,0.074,0.169
1554,155.3,0.98,1,0.078112,0.148395,-0.985838,0.053881,0.188013,-0.980687,0.067,0.169
1555,155.4,0.98,1,0.112563,0.130424,-0.985048,0.026057,0.176243,-0.984002,0.07,0.155
1556,155.5,0.98,1,0.110293,0.131292,-0.985189,0.017024,0.180496,-0.983428,0.065,0.157
1557,155.6,0.98,1,0.102249,0.117557,-0.987788,0.026353,0.196354,-0.980179,0.065,0.158
1558,155.7,0.98,1,0.096695,0.129242,-0.986887,0.028252,0.204541,-0.97845,0.063,0.168
1559,155.8,0.98,1,0.055568,0.129416,-0.990032,-0.012387,0.207212,-0.978218,0.022,0.169
1560,155.9,0.98,1,0.053669,0.134115,-0.989511,0.004929,0.209511,-0.977794,0.03,0.173
1561,156.0,0.98,1,0.076025,0.123859,-0.989383,-0.016435,0.195185,-0.980629,0.03,0.161
1562,156.1,0.98,1,0.070476,0.102643,-0.992218,-0.011408,0.172231,-0.98499,0.03,0.138
1563,156.2,0.98,1,0.074396,0.108133,-0.991349,-0.011994,0.181589,-0.983301,0.032,0.146
1564,156.3,0.98,1,0.066006,0.097514,-0.993043,-0.012088,0.174657,-0.984555,0.027,0.137
1565,156.4,0.98,1,0.072384,0.097227,-0.992627,0.006631,0.179969,-0.98365,0.04,0.139
1566,156.5,0.98,1,0.07243,0.096597,-0.992685,0.012265,0.181259,-0.983359,0.043,0.14
1567,156.6,0.98,1,0.066642,0.085727,-0.994087,0.017199,0.170144,-0.985269,0.042,0.129
1568,156.7,0.98,1,0.068747,0.090677,-0.993505,0.019305,0.179627,-0.983545,0.045,0.136
1569,156.8,0.98,1,0.046809,0.095845,-0.994295,0.016648,0.180407,-0.983451,0.032,0.139
