frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
693,69.2,0.98,1,0.159663,0.283937,-0.945456,0.072505,0.267679,-0.960776,0.121,0.282
694,69.3,0.98,1,0.155015,0.284733,-0.94599,0.090399,0.25742,-0.962062,0.128,0.277
695,69.4,0.98,1,0.15479,0.277949,-0.948042,0.084766,0.24798,-0.96505,0.125,0.268
696,69.5,0.98,1,0.116231,0.217572,-0.969099,0.0684,0.259612,-0.963288,0.095,0.242
697,69.6,0.98,1,0.116858,0.250172,-0.961123,0.05939,0.250257,-0.966356,0.091,0.254
698,69.7,0.98,1,0.141815,0.253844,-0.956793,0.051253,0.250018,-0.966884,0.1,0.256
699,69.8,0.98,1,0.127855,0.249137,-0.959991,0.079546,0.238598,-0.967855,0.107,0.248
700,69.9,0.98,1,0.17904,0.271669,-0.94559,0.047988,0.223684,-0.97348,0.118,0.253
701,70.0,0.98,1,0.139958,0.235727,-0.961688,0.087424,0.277733,-0.956672,0.118,0.262
702,70.1,0.98,1,0.13114,0.227717,-0.964856,0.097719,0.321828,-0.941742,0.119,0.281
703,70.2,0.98,1,0.087366,0.294518,-0.951644,0.138707,0.295407,-0.945249,0.119,0.302
704,70.3,0.98,1,0.12769,0.272474,-0.953652,0.133767,0.284622,-0.949261,0.137,0.285
705,70.4,0.98,1,0.10431,0.26098,-0.959692,0.13819,0.274678,-0.951554,0.126,0.273
706,70.5,0.98,1,0.167607,0.185871,-0.968174,0.194991,0.24318,-0.95018,0.187,0.22
707,70.6,0.98,1,0.184835,0.169749,-0.967999,0.193694,0.240155,-0.951214,0.195,0.21
708,70.7,0.98,1,0.180281,0.187721,-0.965536,0.198952,0.233732,-0.951729,0.195,0.216
709,70.8,0.98,1,0.185658,0.19957,-0.962135,0.187258,0.254951,-0.948649,0.193,0.234
710,70.9,0.98,1,0.173389,0.199285,-0.96448,0.206136,0.242716,-0.947944,0.196,0.227
711,71.0,0.98,1,0.192478,0.198164,-0.961084,0.213403,0.24455,-0.945862,0.21,0.228
712,71.1,0.98,1,0.202061,0.223342,-0.953567,0.217417,0.249748,-0.943587,0.218,0.244
713,71.2,0.98,1,0.209696,0.228805,-0.950619,0.214421,0.251507,-0.943805,0.22,0.248
714,71.3,0.98,1,0.189942,0.247369,-0.950121,0.185639,0.272456,-0.94409,0.196,0.268
715,71.4,0.98,1,0.205701,0.252681,-0.945431,0.178112,0.283544,-0.942273,0.201,0.277
716,71.5,0.98,1,0.207258,0.241346,-0.948048,0.182742,0.274129,-0.944171,0.203,0.266
717,71.6,0.98,1,0.197123,0.241408,-0.950192,0.135221,0.289399,-0.947609,0.173,0.273
718,71.7,0.98,1,0.167789,0.288442,-0.942681,0.177,0.293661,-0.93938,0.181,0.3
719,71.8,0.98,1,0.181244,0.273056,-0.94477,0.177034,0.287601,-0.941246,0.188,0.289
720,71.9,0.98,1,0.214008,0.275935,-0.937049,0.216183,0.268284,-0.93877,0.225,0.282
721,72.0,0.98,1,0.184916,0.296423,-0.936984,0.078263,0.245402,-0.966257,0.137,0.277
722,72.1,0.98,1,0.189168,0.306211,-0.932979,0.069043,0.250937,-0.965538,0.135,0.285
723,72.2,0.98,1,0.189883,0.304023,-0.93355,0.075059,0.250446,-0.965217,0.139,0.284
724,72.3,0.98,1,0.194683,0.292139,-0.936351,0.074345,0.249661,-0.965475,0.141,0.278
725,72.4,0.98,1,0.226429,0.266778,-0.936781,0.077785,0.281811,-0.956312,0.159,0.282
726,72.5,0.98,1,0.229275,0.267609,-0.935852,0.080745,0.291965,-0.953014,0.163,0.288
727,72.6,0.98,1,0.205512,0.352255,-0.913062,0.083244,0.367268,-0.926382,0.156,0.373
728,72.7,0.98,1,0.19377,0.302486,-0.93325,0.074051,0.352827,-0.932754,0.143,0.338
729,72.8,0.98,1,0.204878,0.306874,-0.929437,0.081191,0.282917,-0.955702,0.151,0.303
730,72.9,0.98,1,0.198531,0.299865,-0.933095,0.088159,0.273249,-0.957895,0.15,0.294
731,73.0,0.98,1,0.208474,0.238773,-0.948434,0.171927,0.271717,-0.946895,0.198,0.263
