frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1339,133.8,0.98,1,0.079019,0.165845,-0.982981,-0.103508,0.126925,-0.986497,-0.012,0.148
1340,133.9,0.98,1,0.106735,0.162026,-0.980997,-0.09594,0.139535,-0.985559,0.005,0.152
1341,134.0,0.98,1,0.087868,0.169407,-0.981621,-0.110462,0.1326,-0.984995,-0.011,0.152
1342,134.1,0.98,1,0.040384,0.147714,-0.988205,-0.052292,0.124914,-0.990789,-0.006,0.137
1343,134.2,0.98,1,0.03581,0.105272,-0.993798,-0.04571,0.168401,-0.984658,-0.005,0.137
1344,134.3,0.98,1,0.042535,0.047207,-0.997979,-0.029845,0.167243,-0.985464,0.006,0.108
1345,134.4,0.98,1,0.046264,0.045685,-0.997884,-0.044764,0.158321,-0.986372,0.001,0.102
1346,134.5,0.98,1,0.046762,0.058937,-0.997166,-0.042273,0.175969,-0.983488,0.002,0.118
1347,134.6,0.98,1,0.049287,0.053789,-0.997335,-0.045885,0.173295,-0.9838,0.002,0.114
1348,134.7,0.98,1,0.027422,0.050097,-0.998368,-0.056735,0.173043,-0.983279,-0.015,0.112
1349,134.8,0.98,1,0.01486,0.038162,-0.999161,-0.077713,0.157843,-0.984401,-0.032,0.098
1350,134.9,0.98,1,0.009078,0.049328,-0.998741,-0.076954,0.155933,-0.984766,-0.034,0.103
1351,135.0,0.98,1,0.00581,0.036459,-0.999318,-0.014254,0.140814,-0.989933,-0.004,0.089
1352,135.1,0.98,1,0.027557,0.034904,-0.999011,-0.011072,0.144413,-0.989456,0.008,0.09
1353,135.2,0.98,1,0.026801,0.055821,-0.998081,-0.000535,0.150889,-0.988551,0.013,0.104
1354,135.3,0.98,1,0.030083,0.064011,-0.997496,-0.010842,0.120665,-0.992634,0.01,0.093
1355,135.4,0.98,1,0.092953,0.058546,-0.993948,0.013837,0.1212,-0.992532,0.054,0.09
1356,135.5,0.98,1,0.034971,0.106441,-0.993704,0.000561,0.113142,-0.993579,0.018,0.11
1357,135.6,0.98,1,0.065975,0.046461,-0.996739,-0.013196,0.141926,-0.989789,0.027,0.095
1358,135.7,0.98,1,-0.007327,0.056292,-0.998387,-0.027224,0.154181,-0.987667,-0.017,0.106
1359,135.8,0.98,1,-0.025239,0.012901,-0.999598,-0.102672,0.115431,-0.987995,-0.064,0.064
1360,135.9,0.98,1,-0.024445,0.018457,-0.999531,-0.105342,0.115969,-0.987651,-0.065,0.068
1361,136.0,0.98,1,-0.031336,0.047711,-0.99837,-0.153202,0.126813,-0.980024,-0.093,0.088
1362,136.1,0.98,1,-0.030311,0.020659,-0.999327,-0.134492,0.092869,-0.986553,-0.083,0.057
1363,136.2,0.98,1,0.019147,0.057185,-0.99818,-0.147922,0.111198,-0.982728,-0.065,0.085
1364,136.3,0.98,1,0.071302,0.145916,-0.986724,-0.204805,0.1036,-0.973305,-0.068,0.127
1365,136.4,0.98,1,0.058745,0.053825,-0.996821,-0.214013,0.09251,-0.97244,-0.079,0.074
1366,136.5,0.98,1,0.087921,0.105628,-0.990511,-0.144706,0.084537,-0.985857,-0.029,0.096
1367,136.6,0.98,1,0.092795,0.104763,-0.990158,-0.145219,0.083761,-0.985848,-0.027,0.095
1368,136.7,0.98,1,0.082591,0.099592,-0.991595,-0.154588,0.08479,-0.984334,-0.036,0.093
1369,136.8,0.98,1,0.079468,0.122353,-0.9893,-0.156676,0.079285,-0.984462,-0.039,0.102
1370,136.9,0.98,1,0.080992,0.1056,-0.991105,-0.14762,0.076071,-0.986114,-0.034,0.092
1371,137.0,0.98,1,0.077112,0.110622,-0.990867,-0.15055,0.071377,-0.986022,-0.037,0.092
1372,137.1,0.98,1,0.054195,0.113076,-0.992107,-0.159347,0.099054,-0.982241,-0.053,0.107
1373,137.2,0.98,1,0.064844,0.107895,-0.992045,-0.164479,0.106383,-0.980627,-0.05,0.108
1374,137.3,0.98,1,0.063696,0.12437,-0.990189,-0.163929,0.116023,-0.979625,-0.051,0.121
1375,137.4,0.98,1,0.065692,0.125119,-0.989965,-0.169698,0.11271,-0.97903,-0.053,0.12
1376,137.5,0.98,1,0.062337,0.114936,-0.991415,-0.192669,0.095388,-0.976617,-0.066,0.106
1377,137.6,0.98,1,0.066628,0.129973,-0.989276,-0.200846,0.12856,-0.97115,-0.068,0.131
1378,137.7,0.98,1,0.049898,0.116011,-0.991994,-0.211647,0.115864,-0.970454,-0.082,0.118
