frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
3291,329.0,0.98,1,0.071807,0.036324,-0.996757,-0.042179,0.113598,-0.992631,0.015,0.075
3292,329.1,0.98,1,0.064393,0.046638,-0.996834,-0.030336,0.109285,-0.993547,0.017,0.078
3293,329.2,0.98,1,0.059699,0.065672,-0.996054,-0.031049,0.137141,-0.990065,0.014,0.102
3294,329.3,0.98,1,0.064999,0.038255,-0.997152,-0.026096,0.117459,-0.992735,0.02,0.078
3295,329.4,0.98,1,0.023215,0.056115,-0.998154,-0.029239,0.115263,-0.992905,-0.003,0.086
3296,329.5,0.98,1,0.020176,0.042281,-0.998902,-0.0501,0.097144,-0.994009,-0.015,0.07
3297,329.6,0.98,1,0.042385,0.02435,-0.998805,-0.058174,0.102177,-0.993064,-0.008,0.063
3298,329.7,0.98,1,0.027462,0.035187,-0.999003,-0.097682,0.096263,-0.990551,-0.035,0.066
3299,329.8,0.98,1,0.025538,0.059998,-0.997872,-0.053863,0.092337,-0.99427,-0.014,0.076
3300,329.9,0.98,1,0.053084,0.159424,-0.985782,-0.089212,0.067426,-0.993728,-0.018,0.114
3301,330.0,0.98,1,0.045437,0.044563,-0.997973,-0.058276,0.049668,-0.997064,-0.006,0.047
3302,330.1,0.98,1,0.054902,0.013279,-0.998403,-0.040456,0.045272,-0.998155,0.007,0.029
3303,330.2,0.98,1,0.034654,0.014967,-0.999287,-0.076713,0.029623,-0.996613,-0.021,0.022
3304,330.3,0.98,1,0.032693,0.021806,-0.999228,-0.080772,0.032242,-0.996211,-0.024,0.027
3305,330.4,0.98,1,0.043088,0.039178,-0.998303,-0.109786,0.082597,-0.990517,-0.034,0.061
3306,330.5,0.98,1,0.047993,0.029336,-0.998417,-0.111498,0.06835,-0.991411,-0.032,0.049
3307,330.6,0.98,1,0.066216,0.030025,-0.997353,-0.085242,0.084356,-0.992783,-0.01,0.057
3308,330.7,0.98,1,0.060101,0.035188,-0.997572,-0.087006,0.069373,-0.993789,-0.014,0.052
3309,330.8,0.98,1,0.084563,-0.000284,-0.996418,-0.082615,0.06811,-0.994251,0.001,0.034
3310,330.9,0.98,1,0.062323,0.033358,-0.997498,-0.03064,0.068359,-0.99719,0.016,0.051
3311,331.0,0.98,1,0.072296,0.021929,-0.997142,-0.086497,0.050094,-0.994992,-0.007,0.036
3312,331.1,0.98,1,0.063386,0.038236,-0.997256,-0.110643,0.074752,-0.991045,-0.024,0.057
3313,331.2,0.98,1,0.06048,0.055851,-0.996606,-0.117922,0.090849,-0.988858,-0.029,0.074
3314,331.3,0.98,1,0.101241,0.063902,-0.992808,-0.064229,0.068904,-0.995554,0.019,0.067
3315,331.4,0.98,1,0.025905,0.114177,-0.993123,-0.067586,0.038794,-0.996959,-0.021,0.077
3316,331.5,0.98,1,0.054417,0.059277,-0.996757,-0.076949,0.073219,-0.994343,-0.011,0.066
3317,331.6,0.98,1,0.03932,0.05791,-0.997547,-0.13154,0.078801,-0.988174,-0.046,0.069
3318,331.7,0.98,1,0.035278,0.060379,-0.997552,-0.1063,0.086809,-0.990537,-0.036,0.074
3319,331.8,0.98,1,0.013008,0.074086,-0.997167,-0.107827,0.113661,-0.987651,-0.048,0.094
3320,331.9,0.98,1,0.033162,0.058012,-0.997765,-0.112106,0.111927,-0.987373,-0.04,0.085
3321,332.0,0.98,1,0.01074,0.042922,-0.999021,-0.110349,0.121636,-0.986422,-0.05,0.083
3322,332.1,0.98,1,0.030557,0.025772,-0.999201,-0.162767,0.10123,-0.981458,-0.067,0.064
3323,332.2,0.98,1,0.099407,0.157278,-0.982539,-0.110678,0.128277,-0.985543,-0.006,0.144
3324,332.3,0.98,1,0.073989,0.054876,-0.995748,-0.061757,0.112186,-0.991766,0.006,0.084
3325,332.4,0.98,1,0.068522,0.015702,-0.997526,-0.075633,0.114547,-0.990535,-0.004,0.065
3326,332.5,0.98,1,0.064656,0.043676,-0.996951,-0.064067,0.148991,-0.986761,0.0,0.097
3327,332.6,0.98,1,0.068097,0.039142,-0.996911,-0.078148,0.141402,-0.986863,-0.005,0.091
3328,332.7,0.98,1,0.068478,0.041372,-0.996794,-0.107526,0.136356,-0.984807,-0.02,0.089
3329,332.8,0.98,1,0.068588,0.037046,-0.996957,-0.107291,0.139891,-0.984337,-0.02,0.089
3330,332.9,0.98,1,0.0611,0.041993,-0.997248,-0.115172,0.130567,-0.984727,-0.027,0.087
3331,333.0,0.98,1,0.058075,0.032965,-0.997768,-0.130174,0.093424,-0.98708,-0.036,0.064
3332,333.1,0.98,1,0.052205,0.035539,-0.998004,-0.13714,0.090498,-0.986409,-0.043,0.063
3333,333.2,0.98,1,0.055977,0.039584,-0.997647,-0.122261,0.096021,-0.987842,-0.033,0.068
3334,333.3,0.98,1,0.051048,0.044163,-0.997719,-0.137837,0.091507,-0.986219,-0.044,0.068
3335,333.4,0.98,1,0.053136,0.036764,-0.99791,-0.130521,0.086429,-0.987671,-0.039,0.062
3336,333.5,0.98,1,0.060065,0.038879,-0.997437,-0.134397,0.091415,-0.986702,-0.037,0.066
3337,333.6,0.98,1,0.067901,0.037735,-0.996978,-0.106294,0.099079,-0.989386,-0.019,0.069
3338,333.7,0.98,1,0.06292,0.041143,-0.99717,-0.128302,0.094645,-0.987209,-0.033,0.068
