frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1856,185.5,0.98,1,0.024465,0.225684,-0.973893,0.023519,0.250509,-0.967829,0.025,0.24
1857,185.6,0.98,1,0.023666,0.227295,-0.973538,0.016642,0.25602,-0.966528,0.021,0.244
1858,185.7,0.98,1,0.022088,0.226859,-0.973677,0.023651,0.256035,-0.966378,0.024,0.244
1859,185.8,0.98,1,0.039064,0.221237,-0.974437,0.019908,0.26412,-0.964284,0.03,0.245
1860,185.9,0.98,1,0.073832,0.209493,-0.975019,0.010636,0.264677,-0.964279,0.044,0.24
1861,186.0,0.98,1,0.152313,0.21192,-0.965345,0.090336,0.28565,-0.954067,0.126,0.254
1862,186.1,0.98,1,0.175975,0.218473,-0.959845,0.099738,0.293017,-0.950891,0.143,0.262
1863,186.2,0.98,1,0.176519,0.213116,-0.960949,0.096753,0.28832,-0.952633,0.142,0.256
1864,186.3,0.98,1,0.182545,0.208341,-0.96087,0.094072,0.276978,-0.95626,0.143,0.248
1865,186.4,0.98,1,0.17015,0.224694,-0.959459,0.08259,0.307502,-0.947956,0.132,0.272
1866,186.5,0.98,1,0.175162,0.228683,-0.957613,0.11771,0.315192,-0.9417,0.153,0.279
1867,186.6,0.98,1,0.153668,0.2316,-0.960597,0.100078,0.299613,-0.948797,0.132,0.271
1868,186.7,0.98,1,0.129762,0.258096,-0.957365,0.101861,0.344239,-0.93334,0.122,0.308
1869,186.8,0.98,1,0.113617,0.236327,-0.965008,0.04791,0.279637,-0.95891,0.084,0.262
1870,186.9,0.98,1,0.116487,0.223637,-0.967687,0.024186,0.271049,-0.962262,0.073,0.251
1871,187.0,0.98,1,0.100711,0.225565,-0.969009,0.039847,0.255688,-0.965938,0.073,0.244
1872,187.1,0.98,1,0.136656,0.200997,-0.970013,0.090597,0.278204,-0.95624,0.117,0.244
1873,187.2,0.98,1,0.13745,0.180103,-0.973997,0.100725,0.272749,-0.956798,0.123,0.23
1874,187.3,0.98,1,0.130962,0.187208,-0.973551,0.10191,0.290408,-0.951461,0.12,0.243
1875,187.4,0.98,1,0.139068,0.179888,-0.973807,0.097555,0.272628,-0.957161,0.122,0.23
1876,187.5,0.98,1,0.116655,0.156922,-0.980697,0.055936,0.190949,-0.980005,0.088,0.176
1877,187.6,0.98,1,0.092996,0.183398,-0.97863,0.084033,0.249716,-0.964666,0.091,0.219
1878,187.7,0.98,1,0.088256,0.181258,-0.979468,0.063007,0.206474,-0.976421,0.077,0.196
1879,187.8,0.98,1,0.105174,0.192252,-0.975693,0.096066,0.19869,-0.975343,0.103,0.198
1880,187.9,0.98,1,0.066763,0.183606,-0.98073,0.07005,0.204179,-0.976424,0.07,0.196
1881,188.0,0.98,1,0.068073,0.161043,-0.984597,0.069277,0.185666,-0.980168,0.07,0.175
1882,188.1,0.98,1,0.055464,0.145958,-0.987735,0.053504,0.20245,-0.97783,0.055,0.175
1883,188.2,0.98,1,0.059269,0.167723,-0.984051,0.107051,0.222189,-0.969109,0.085,0.197
1884,188.3,0.98,1,0.054098,0.178881,-0.982382,0.099761,0.236789,-0.966426,0.079,0.21
1885,188.4,0.98,1,0.036738,0.173863,-0.984084,0.10501,0.249355,-0.962702,0.073,0.214
1886,188.5,0.98,1,0.043465,0.174165,-0.983757,0.090256,0.233356,-0.968193,0.068,0.206
1887,188.6,0.98,1,0.040748,0.183529,-0.982169,0.082769,0.247942,-0.965233,0.063,0.218
1888,188.7,0.98,1,0.057207,0.190224,-0.980072,0.088012,0.246849,-0.965049,0.075,0.221
1889,188.8,0.98,1,0.051906,0.221978,-0.973669,0.064101,0.244232,-0.967596,0.06,0.236
1890,188.9,0.98,1,0.050398,0.19502,-0.979504,-0.018615,0.2213,-0.975028,0.016,0.21
1891,189.0,0.98,1,0.0445,0.151104,-0.987516,0.053149,0.215719,-0.975008,0.05,0.185
1892,189.1,0.98,1,0.034206,0.171481,-0.984593,0.028638,0.253746,-0.966847,0.032,0.215
