frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
885,88.4,0.98,1,0.068114,0.304462,-0.950086,-0.054532,0.270434,-0.961193,0.007,0.292
886,88.5,0.98,1,0.052198,0.317734,-0.946742,-0.046662,0.241304,-0.969327,0.003,0.284
887,88.6,0.98,1,0.052786,0.3107,-0.949041,-0.050035,0.235805,-0.970511,0.001,0.277
888,88.7,0.98,1,0.052239,0.313469,-0.948161,-0.04835,0.238949,-0.969828,0.002,0.28
889,88.8,0.98,1,0.078675,0.311713,-0.946914,-0.033529,0.235859,-0.971209,0.024,0.278
890,88.9,0.98,1,0.102564,0.277302,-0.955293,-0.019712,0.19546,-0.980514,0.043,0.24
891,89.0,0.98,1,0.099841,0.275642,-0.956061,-0.019575,0.191598,-0.981278,0.041,0.237
892,89.1,0.98,1,0.096829,0.276092,-0.956241,-0.018189,0.197496,-0.980135,0.041,0.24
893,89.2,0.98,1,0.096225,0.275914,-0.956354,-0.022456,0.193032,-0.980936,0.038,0.237
894,89.3,0.98,1,0.075193,0.272223,-0.959292,-0.034889,0.197712,-0.979639,0.021,0.238
895,89.4,0.98,1,0.016377,0.26709,-0.963532,-0.128069,0.208959,-0.969502,-0.058,0.241
896,89.5,0.98,1,0.008949,0.268177,-0.963328,-0.107238,0.215785,-0.970534,-0.051,0.245
897,89.6,0.98,1,0.012833,0.267989,-0.963337,-0.107206,0.214318,-0.970863,-0.049,0.244
898,89.7,0.98,1,0.011835,0.267782,-0.963407,-0.107172,0.214292,-0.970872,-0.049,0.244
899,89.8,0.98,1,0.010241,0.286171,-0.958124,-0.125242,0.218248,-0.967823,-0.06,0.256
900,89.9,0.98,1,0.021455,0.290088,-0.956759,-0.122328,0.223101,-0.967089,-0.052,0.261
901,90.0,0.98,1,-0.020368,0.295812,-0.955029,-0.136367,0.237328,-0.961811,-0.082,0.271
902,90.1,0.98,1,0.012775,0.280043,-0.959903,-0.060217,0.197736,-0.978404,-0.024,0.242
903,90.2,0.98,1,0.127944,0.283092,-0.950521,0.02187,0.175617,-0.984216,0.077,0.233
904,90.3,0.98,1,0.111436,0.28916,-0.950773,0.002835,0.207849,-0.978157,0.059,0.252
905,90.4,0.98,1,0.128201,0.283796,-0.950276,-0.01143,0.189552,-0.981804,0.06,0.24
906,90.5,0.98,1,0.116648,0.265018,-0.957162,-0.033434,0.247445,-0.968325,0.043,0.26
