frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2690,268.9,0.98,1,0.320255,0.06295,-0.945238,0.154277,0.13781,-0.97837,0.242,0.104
2691,269.0,0.98,1,0.347537,0.064759,-0.935427,0.188381,0.135931,-0.972643,0.274,0.105
2692,269.1,0.98,1,0.356954,0.052657,-0.932636,0.179041,0.122517,-0.976183,0.274,0.092
2693,269.2,0.98,1,0.344441,0.042539,-0.937844,0.205826,0.126967,-0.970317,0.281,0.089
2694,269.3,0.98,1,0.359337,0.038291,-0.932422,0.211442,0.141005,-0.967166,0.292,0.094
2695,269.4,0.98,1,0.420558,0.00821,-0.907228,0.243625,0.066696,-0.967573,0.34,0.04
2696,269.5,0.98,1,0.420225,0.001396,-0.907419,0.242429,0.027542,-0.969778,0.339,0.015
2697,269.6,0.98,1,0.420832,0.013748,-0.907035,0.269464,0.028632,-0.962585,0.354,0.023
2698,269.7,0.98,1,0.435338,0.014737,-0.900146,0.316444,0.072113,-0.945866,0.387,0.047
2699,269.8,0.98,1,0.411627,0.043431,-0.910317,0.298925,0.084218,-0.950553,0.365,0.068
2700,269.9,0.98,1,0.437965,0.012405,-0.898906,0.272285,0.045266,-0.961151,0.365,0.031
2701,270.0,0.98,1,0.41337,0.012092,-0.910483,0.210337,0.053431,-0.976168,0.319,0.035
2702,270.1,0.98,1,0.398952,0.044548,-0.915889,0.198041,0.102044,-0.974868,0.306,0.077
2703,270.2,0.88,1,0.404894,0.024699,-0.91403,0.214458,0.083732,-0.973138,0.317,0.057
2704,270.3,0.98,1,0.404516,0.011616,-0.914457,0.211438,0.080146,-0.9741,0.315,0.049
2705,270.4,0.98,1,0.452072,0.004802,-0.891968,0.212321,0.01618,-0.977066,0.342,0.011
2706,270.5,0.88,1,0.425882,0.026264,-0.904397,0.224079,0.017272,-0.974418,0.333,0.023
2707,270.6,0.88,1,0.438552,0.044142,-0.897621,0.268498,0.022227,-0.963024,0.363,0.036
2708,270.7,0.98,1,0.452835,0.03185,-0.891025,0.274083,0.044818,-0.960661,0.374,0.041
2709,270.8,0.98,1,0.456843,0.019482,-0.889334,0.285365,0.056693,-0.95674,0.382,0.041
2710,270.9,0.98,1,0.418886,0.018954,-0.907841,0.277042,0.070804,-0.958245,0.357,0.048
2711,271.0,0.98,1,0.409249,0.016961,-0.912265,0.278924,0.077694,-0.957165,0.353,0.051
2712,271.1,0.98,1,0.400467,0.029513,-0.915836,0.275987,0.076388,-0.958121,0.346,0.056
2713,271.2,0.98,1,0.383667,-0.008206,-0.923435,0.218062,0.014867,-0.975822,0.307,0.004
2714,271.3,0.98,1,0.406517,0.008507,-0.913604,0.210705,0.024054,-0.977254,0.316,0.017
2715,271.4,0.98,1,0.401802,-0.023451,-0.915426,0.271215,0.043319,-0.961543,0.344,0.011
2716,271.5,0.98,1,0.407236,-0.005009,-0.913309,0.229899,0.043865,-0.972225,0.326,0.021
2717,271.6,0.88,1,0.389022,-0.013478,-0.92113,0.19728,-0.001456,-0.980346,0.299,-0.008
2718,271.7,0.98,1,0.347079,-0.002503,-0.937832,0.179621,0.05841,-0.982,0.268,0.029
2719,271.8,0.98,1,0.340712,-0.000709,-0.940168,0.185753,0.076328,-0.979627,0.268,0.039
2720,271.9,0.88,1,0.344134,0.010712,-0.938859,0.172909,0.079565,-0.981719,0.263,0.047
2721,272.0,0.98,1,0.303486,0.065082,-0.950611,0.189968,0.08273,-0.978298,0.25,0.076
2722,272.1,0.98,1,0.310543,0.077786,-0.947371,0.213969,0.091018,-0.972591,0.267,0.088
2723,272.2,0.98,1,0.311241,0.037271,-0.9496,0.220896,0.087323,-0.97138,0.27,0.065
2724,272.3,0.98,1,0.325308,0.009736,-0.945558,0.182881,0.07593,-0.980199,0.258,0.044
2725,272.4,0.98,1,0.333168,0.040274,-0.942007,0.183487,0.113048,-0.9765,0.263,0.08
2726,272.5,0.98,1,0.287678,0.013496,-0.957632,0.187113,0.084936,-0.97866,0.24,0.051
2727,272.6,0.88,1,0.285287,-0.013812,-0.958343,0.180004,0.069421,-0.981213,0.235,0.029
2728,272.7,0.98,1,0.294081,0.008571,-0.955742,0.172673,0.069409,-0.982531,0.236,0.04
2729,272.8,0.98,1,0.294696,-0.00759,-0.955561,0.163799,0.070259,-0.983989,0.232,0.032
2730,272.9,0.98,1,0.270478,-0.010712,-0.962666,0.122371,0.05198,-0.991122,0.198,0.021
2731,273.0,0.98,1,0.29118,-0.041751,-0.955757,0.16318,0.073379,-0.983864,0.23,0.016
2732,273.1,0.98,1,0.292137,0.001043,-0.956376,0.13234,0.071971,-0.988588,0.215,0.038
2733,273.2,0.98,1,0.317097,-0.02123,-0.948155,0.124193,0.066225,-0.990046,0.224,0.023
2734,273.3,0.98,1,0.302335,-0.023672,-0.952908,0.111685,0.034532,-0.993143,0.21,0.006
2735,273.4,0.98,1,0.296614,-0.020629,-0.954774,0.125374,0.036759,-0.991428,0.214,0.008
2736,273.5,0.88,1,0.283938,0.013829,-0.958743,0.150508,0.015322,-0.98849,0.22,0.015
2737,273.6,0.88,1,0.273265,0.008762,-0.961899,0.157091,0.012984,-0.987499,0.217,0.011
2738,273.7,0.98,1,0.267503,0.002849,-0.963553,0.133569,0.025793,-0.990704,0.202,0.015
2739,273.8,0.88,1,0.23873,0.016146,-0.970952,0.176212,0.079341,-0.981149,0.209,0.049
2740,273.9,0.98,1,0.249469,-0.026261,-0.968027,0.146875,0.061355,-0.98725,0.2,0.018
2741,274.0,0.88,1,0.256548,-0.050627,-0.965205,0.071668,-0.004346,-0.997419,0.166,-0.028
2742,274.1,0.98,1,0.246141,-0.063921,-0.967124,0.070477,0.04555,-0.996473,0.16,-0.009
2743,274.2,0.93,1,0.242198,-0.082421,-0.96672,0.048043,0.00342,-0.998839,0.147,-0.04
2744,274.3,0.93,1,0.15887,-0.051139,-0.985974,0.056335,0.026839,-0.998051,0.108,-0.012
2745,274.4,0.98,1,0.170155,-0.029981,-0.984961,0.066683,0.033942,-0.997197,0.119,0.002
2746,274.5,0.98,1,0.199383,-0.047579,-0.978766,0.084922,-0.020779,-0.996171,0.143,-0.035
