frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2294,229.3,0.98,1,0.153167,0.060645,-0.986338,-0.160289,0.124703,-0.979161,-0.004,0.094
2295,229.4,0.98,1,0.046158,0.036395,-0.998271,-0.160449,0.182869,-0.969956,-0.058,0.111
2296,229.5,0.98,1,0.097834,-0.011355,-0.995138,-0.142267,0.078815,-0.986686,-0.022,0.034
2297,229.6,0.98,1,0.11105,0.010316,-0.993761,-0.186493,0.044613,-0.981443,-0.038,0.028
2298,229.7,0.98,1,0.079944,0.031363,-0.996306,-0.095521,0.092121,-0.991156,-0.008,0.062
2299,229.8,0.98,1,0.08047,-0.024504,-0.996456,-0.025772,0.042699,-0.998756,0.027,0.009
2300,229.9,0.98,1,0.11107,-0.076805,-0.99084,0.162358,0.044147,-0.985744,0.137,-0.017
2301,230.0,0.98,1,0.082188,-0.051879,-0.995266,0.144018,0.042333,-0.988669,0.114,-0.005
2302,230.1,0.98,1,0.144764,-0.084296,-0.985869,0.092028,0.006176,-0.995737,0.119,-0.039
2303,230.2,0.98,1,0.083003,-0.036264,-0.995889,0.088425,0.020686,-0.995868,0.086,-0.008
2304,230.3,0.98,1,0.10241,-0.013329,-0.994653,-0.012033,0.021273,-0.999701,0.045,0.004
2305,230.4,0.98,1,0.108997,-0.003184,-0.994037,-0.061036,0.140182,-0.988243,0.024,0.069
2306,230.5,0.98,1,0.127737,0.014358,-0.991704,-0.06612,0.144551,-0.987286,0.031,0.08
2307,230.6,0.98,1,0.118507,0.058672,-0.991218,-0.04839,0.203934,-0.977788,0.036,0.133
2308,230.7,0.98,1,0.123693,0.028127,-0.991922,-0.052531,0.175987,-0.98299,0.036,0.103
2309,230.8,0.98,1,0.124424,0.083694,-0.988693,-0.007224,0.152704,-0.988246,0.059,0.119
2310,230.9,0.98,1,0.114416,0.051365,-0.992104,-0.029438,0.135598,-0.990327,0.043,0.094
2311,231.0,0.98,1,0.17263,0.080891,-0.98166,-0.019555,0.088875,-0.995851,0.077,0.086
2312,231.1,0.98,1,0.154941,0.065857,-0.985726,0.00627,0.119868,-0.99277,0.081,0.094
2313,231.2,0.98,1,0.174759,0.074017,-0.981825,-0.071806,0.075094,-0.994588,0.052,0.075
2314,231.3,0.98,1,0.172822,0.068616,-0.98256,-0.085822,0.06975,-0.993866,0.044,0.07
2315,231.4,0.98,1,0.181129,0.076735,-0.980461,-0.099887,0.083871,-0.991458,0.041,0.081
2316,231.5,0.98,1,0.13276,0.099247,-0.986167,-0.003856,0.057953,-0.998312,0.065,0.079
2317,231.6,0.98,1,0.111192,0.065214,-0.991657,-0.098148,0.080359,-0.991922,0.007,0.073
2318,231.7,0.98,1,0.173659,0.222709,-0.959293,-0.06612,0.17993,-0.981455,0.055,0.205
2319,231.8,0.98,1,0.16447,0.076825,-0.983386,-0.118319,0.076016,-0.990062,0.023,0.077
2320,231.9,0.98,1,0.077116,0.002173,-0.99702,-0.174329,0.122861,-0.976993,-0.049,0.063
2321,232.0,0.98,1,0.09227,-0.026331,-0.995386,-0.18424,0.107759,-0.976956,-0.047,0.041
2322,232.1,0.98,1,0.102954,-0.029284,-0.994255,-0.172073,0.160279,-0.971958,-0.035,0.067
2323,232.2,0.98,1,0.171751,0.04182,-0.984252,-0.06995,0.123975,-0.989817,0.052,0.084
2324,232.3,0.98,1,0.161938,0.029081,-0.986372,-0.080311,0.115912,-0.990007,0.041,0.073
2325,232.4,0.98,1,0.167253,0.027678,-0.985525,0.019599,0.094085,-0.995371,0.094,0.061
2326,232.5,0.98,1,0.082534,0.030406,-0.996124,-0.048217,0.000421,-0.998837,0.017,0.015
2327,232.6,0.98,1,0.062372,0.011047,-0.997992,-0.136476,-0.004367,-0.990634,-0.037,0.003
2328,232.7,0.98,1,0.054111,0.029898,-0.998087,-0.033893,0.020563,-0.999214,0.01,0.025
2329,232.8,0.98,1,0.102159,0.033675,-0.994198,-0.027354,0.10136,-0.994474,0.038,0.068
2330,232.9,0.98,1,0.136275,0.016219,-0.990538,-0.051804,0.083673,-0.995146,0.043,0.05
2331,233.0,0.98,1,0.126583,0.036852,-0.991271,0.026601,0.050734,-0.998358,0.077,0.044
2332,233.1,0.98,1,0.111029,0.031138,-0.993329,0.035422,0.056899,-0.997751,0.073,0.044
2333,233.2,0.98,1,0.104782,0.03001,-0.994042,0.02844,0.067588,-0.997308,0.067,0.049
2334,233.3,0.98,1,0.086563,0.028117,-0.99585,-0.031175,0.097203,-0.994776,0.028,0.063
2335,233.4,0.98,1,0.132946,0.062028,-0.98918,-0.060197,0.118712,-0.991102,0.037,0.091
2336,233.5,0.98,1,0.122497,0.08672,-0.988673,-0.069689,0.087017,-0.993766,0.027,0.087
2337,233.6,0.98,1,0.142106,0.062915,-0.98785,-0.034649,0.093728,-0.994995,0.054,0.079
2338,233.7,0.98,1,0.100612,0.064948,-0.992804,-0.066089,0.108086,-0.991942,0.017,0.087
2339,233.8,0.98,1,0.091996,0.08871,-0.9918,-0.055297,0.125195,-0.99059,0.019,0.107
2340,233.9,0.98,1,0.107253,0.106515,-0.98851,-0.098814,0.118575,-0.988016,0.004,0.113
2341,234.0,0.98,1,0.09725,0.040141,-0.99445,-0.106997,0.093344,-0.989868,-0.005,0.067
2342,234.1,0.98,1,0.154202,0.064066,-0.98596,-0.199631,0.086517,-0.976044,-0.023,0.077
2343,234.2,0.98,1,0.121399,0.084567,-0.988995,-0.188553,0.067764,-0.979722,-0.034,0.077
2344,234.3,0.98,1,0.136896,0.082844,-0.987115,-0.161111,0.057976,-0.985232,-0.012,0.071
2345,234.4,0.98,1,0.137024,0.076194,-0.987633,-0.121937,0.096019,-0.987882,0.008,0.087
2346,234.5,0.98,1,0.133712,0.074678,-0.988203,-0.148722,0.062355,-0.986911,-0.008,0.069
2347,234.6,0.98,1,0.076943,-0.005538,-0.99702,-0.057776,0.07269,-0.99568,0.01,0.034
2348,234.7,0.98,1,0.131583,0.044299,-0.990315,-0.007325,0.081192,-0.996672,0.062,0.063
2349,234.8,0.98,1,0.109037,0.017828,-0.993878,-0.037904,0.063107,-0.997287,0.036,0.041
2350,234.9,0.98,1,0.099056,0.080427,-0.991826,-0.163128,0.142376,-0.976278,-0.033,0.113
2351,235.0,0.98,1,0.136357,0.067445,-0.988361,-0.172228,0.132649,-0.976085,-0.018,0.102
2352,235.1,0.98,1,0.059234,-0.003606,-0.998238,-0.033228,0.06647,-0.997235,0.013,0.031
2353,235.2,0.98,1,0.090363,0.004265,-0.9959,-0.118837,0.03463,-0.99231,-0.014,0.02
2354,235.3,0.98,1,0.092985,-0.009723,-0.99562,-0.140019,0.031208,-0.989657,-0.024,0.011
2355,235.4,0.98,1,0.105039,-0.002756,-0.994464,-0.138977,0.075787,-0.987391,-0.017,0.037
2356,235.5,0.98,1,0.120065,0.031606,-0.992263,-0.165621,0.05546,-0.984629,-0.023,0.044
2357,235.6,0.98,1,0.115099,0.033963,-0.992773,-0.174348,0.12305,-0.976965,-0.03,0.08
2358,235.7,0.98,1,0.117777,0.027646,-0.992655,-0.082951,0.091512,-0.992343,0.018,0.06
2359,235.8,0.98,1,0.122554,0.044347,-0.991471,-0.11423,0.096595,-0.988747,0.004,0.071
2360,235.9,0.98,1,0.082179,0.044298,-0.995633,-0.119472,0.006413,-0.992817,-0.019,0.025
2361,236.0,0.98,1,0.135703,0.035436,-0.990116,-0.089508,0.116736,-0.989121,0.023,0.077
2362,236.1,0.98,1,0.089445,-0.065523,-0.993834,-0.073977,0.034992,-0.996646,0.008,-0.015
2363,236.2,0.98,1,0.177409,0.028663,-0.98372,-0.157239,0.157412,-0.974935,0.01,0.095
2364,236.3,0.98,1,0.180779,0.248659,-0.951571,0.091893,0.232665,-0.968206,0.141,0.246
2365,236.4,0.98,1,0.279959,0.240505,-0.929398,0.060646,0.26918,-0.961179,0.178,0.263
2366,236.5,0.98,1,0.082153,0.177351,-0.980713,-0.05072,0.266746,-0.962431,0.016,0.225
2367,236.6,0.98,1,0.010318,0.229979,-0.973141,-0.08663,0.215359,-0.972685,-0.039,0.225
2368,236.7,0.98,1,0.106811,0.241929,-0.964397,-0.166322,0.272477,-0.947678,-0.031,0.263
2369,236.8,0.98,1,0.155762,0.280185,-0.947225,0.011313,0.275977,-0.961098,0.087,0.284
2370,236.9,0.98,1,0.121246,0.241267,-0.962855,-0.078913,0.279038,-0.957032,0.022,0.265
2371,237.0,0.93,1,0.021914,0.219826,-0.975293,-0.044637,0.334573,-0.941312,-0.012,0.282
2372,237.1,0.88,1,0.115845,0.308367,-0.944187,-0.132563,0.34523,-0.929109,-0.009,0.336
2373,237.2,0.98,1,0.156578,0.407505,-0.899679,-0.299336,0.417941,-0.857743,-0.081,0.439
2374,237.3,0.88,1,0.259393,0.395168,-0.881225,-0.186124,0.426213,-0.885269,0.041,0.435
2375,237.4,0.77,1,0.228375,0.293812,-0.928181,-0.102028,0.182662,-0.977867,0.066,0.245
2376,237.5,0.88,1,-0.134639,0.095352,-0.986296,-0.232618,0.068718,-0.970137,-0.186,0.084
2377,237.6,0.88,1,0.142604,0.246545,-0.958582,-0.032336,0.119104,-0.992355,0.056,0.185
2378,237.7,0.77,1,0.097638,0.122331,-0.987675,-0.304549,0.067398,-0.950109,-0.106,0.098
2379,237.8,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2380,237.9,0.88,1,0.128834,0.062504,-0.989694,-0.11862,0.342915,-0.931847,0.005,0.208
2381,238.0,0.77,1,0.039996,0.138679,-0.989529,-0.152305,0.174797,-0.972753,-0.057,0.158
2382,238.1,0.98,1,0.231143,0.245015,-0.941563,-0.072418,0.294346,-0.952951,0.084,0.277
2383,238.2,0.88,1,0.144097,0.181884,-0.972705,-0.075747,0.165947,-0.983221,0.035,0.176
2384,238.3,0.88,1,0.068992,0.068538,-0.99526,-0.047022,0.073695,-0.996172,0.011,0.071
2385,238.4,0.88,1,0.109038,0.048594,-0.992849,0.003348,0.045981,-0.998937,0.056,0.047
2386,238.5,0.88,1,0.137011,0.075651,-0.987677,-0.024699,0.197848,-0.979921,0.057,0.138
2387,238.6,0.88,1,0.232382,0.031364,-0.972119,-0.049555,0.188448,-0.980832,0.093,0.112
2388,238.7,0.88,1,0.131765,0.150861,-0.979734,0.015972,0.126752,-0.991806,0.075,0.14
2389,238.8,0.98,1,0.079251,0.10712,-0.991083,-0.084749,0.216923,-0.972503,-0.003,0.164
2390,238.9,0.98,1,0.155642,0.104509,-0.98227,-0.152761,0.21514,-0.964561,0.001,0.163
2391,239.0,0.98,1,0.018312,0.287873,-0.957493,-0.116146,0.288179,-0.950507,-0.051,0.293
2392,239.1,0.98,1,-0.047909,0.198808,-0.978867,0.014939,0.282341,-0.959198,-0.017,0.243
2393,239.2,0.98,1,0.004647,0.188684,-0.982027,-0.019473,0.27435,-0.961433,-0.008,0.234
2394,239.3,0.98,1,0.060964,0.155808,-0.985904,-0.044002,0.256285,-0.965599,0.009,0.208
2395,239.4,0.98,1,0.002914,0.182133,-0.98327,-0.083806,0.29342,-0.952303,-0.042,0.241
2396,239.5,0.88,1,0.066318,0.142356,-0.987591,-0.108057,0.293405,-0.949862,-0.022,0.221
2397,239.6,0.98,1,0.141939,0.213548,-0.966566,0.025541,0.289636,-0.956796,0.087,0.256
2398,239.7,0.98,1,0.258462,0.195891,-0.945951,0.078513,0.288271,-0.954325,0.176,0.249
2399,239.8,0.98,1,0.173734,0.250582,-0.952379,-0.035407,0.281732,-0.958839,0.072,0.272
2400,239.9,0.98,1,0.183829,0.284822,-0.940789,0.066198,0.33961,-0.938234,0.132,0.321
2401,240.0,0.98,1,0.230531,0.222366,-0.947317,0.081348,0.302277,-0.949743,0.163,0.27
2402,240.1,0.88,1,0.231803,0.252143,-0.939517,0.043124,0.31094,-0.949451,0.145,0.29
2403,240.2,0.88,1,0.116349,0.237101,-0.964493,0.074579,0.380585,-0.921734,0.101,0.316
2404,240.3,0.88,1,0.064606,0.264297,-0.962275,0.049871,0.305584,-0.950858,0.06,0.29
2405,240.4,0.98,1,0.097481,0.198513,-0.975239,0.059297,0.286656,-0.956197,0.081,0.246
2406,240.5,0.98,1,0.111868,0.216056,-0.969951,0.066829,0.299347,-0.951801,0.093,0.262
2407,240.6,0.88,1,0.116201,0.187665,-0.975335,0.027475,0.255871,-0.966321,0.074,0.225
2408,240.7,0.88,1,0.081782,0.164157,-0.983038,0.037306,0.241362,-0.969718,0.061,0.205
2409,240.8,0.98,1,0.128263,0.162951,-0.978262,0.037661,0.211676,-0.976614,0.085,0.189
2410,240.9,0.98,1,0.085092,0.136489,-0.98698,0.028078,0.215664,-0.976064,0.058,0.178
2411,241.0,0.98,1,0.124355,0.160126,-0.979232,0.107364,0.207272,-0.972374,0.118,0.186
2412,241.1,0.98,1,0.218071,0.143263,-0.96536,0.116402,0.18464,-0.975889,0.171,0.167
2413,241.2,0.98,1,0.173121,0.131053,-0.976142,0.077251,0.212702,-0.974059,0.128,0.174
2414,241.3,0.98,1,0.172404,0.139192,-0.975142,0.09166,0.184159,-0.978613,0.134,0.164
2415,241.4,0.98,1,0.14072,0.180823,-0.973397,0.079288,0.213643,-0.973689,0.113,0.2
2416,241.5,0.98,1,0.105025,0.192615,-0.975638,0.052382,0.241002,-0.96911,0.081,0.219
2417,241.6,0.98,1,0.132622,0.216759,-0.967175,0.020532,0.289205,-0.957047,0.079,0.257
2418,241.7,0.98,1,0.05165,0.208414,-0.976676,0.024901,0.296551,-0.954692,0.04,0.256
2419,241.8,0.98,1,0.099492,0.319542,-0.942335,0.094527,0.322253,-0.941922,0.103,0.328
2420,241.9,0.98,1,0.114378,0.207261,-0.971576,0.069471,0.281111,-0.957157,0.095,0.248
2421,242.0,0.98,1,0.075255,0.170821,-0.982424,0.079946,0.205831,-0.975317,0.079,0.19
2422,242.1,0.98,1,0.087573,0.157285,-0.983663,0.05869,0.209419,-0.976063,0.074,0.185
2423,242.2,0.98,1,0.092439,0.164436,-0.982047,0.116538,0.18942,-0.974956,0.106,0.179
2424,242.3,0.88,1,0.132186,0.177895,-0.975131,0.058717,0.241354,-0.968659,0.098,0.212
2425,242.4,0.88,1,0.104931,0.190784,-0.976008,0.0686,0.270921,-0.960154,0.089,0.234
2426,242.5,0.88,1,0.098778,0.17154,-0.980213,0.088948,0.227967,-0.969597,0.096,0.202
2427,242.6,0.88,1,0.15457,0.162677,-0.974497,-0.036777,0.146979,-0.988456,0.06,0.156
2428,242.7,0.98,1,0.070233,0.177571,-0.981598,0.106072,0.131204,-0.985664,0.089,0.156
2429,242.8,0.98,1,0.09243,0.105141,-0.990153,0.131169,0.085892,-0.987632,0.113,0.096
2430,242.9,0.98,1,0.100828,0.092146,-0.990627,0.121304,0.093921,-0.988162,0.112,0.094
2431,243.0,0.88,1,0.14427,0.027263,-0.989163,0.073466,0.098555,-0.992416,0.109,0.063
2432,243.1,0.98,1,0.085809,0.047532,-0.995177,0.091636,0.080481,-0.992535,0.089,0.064
2433,243.2,0.98,1,0.094523,0.069901,-0.993066,0.035072,0.129536,-0.990954,0.065,0.1
2434,243.3,0.98,1,0.074509,0.211024,-0.974637,0.037267,0.129061,-0.990936,0.057,0.171
2435,243.4,0.98,1,0.101871,0.14677,-0.983911,0.104259,0.085681,-0.990853,0.104,0.117
2436,243.5,0.98,1,0.084281,0.124994,-0.988571,0.110057,0.101363,-0.988743,0.098,0.114
2437,243.6,0.98,1,0.112314,0.108627,-0.987717,0.114654,0.103213,-0.988029,0.114,0.107
2438,243.7,0.98,1,0.085815,0.120024,-0.989055,0.105115,0.19892,-0.974362,0.097,0.161
2439,243.8,0.98,1,0.120057,0.163834,-0.979155,-0.015916,0.210105,-0.977549,0.053,0.189
2440,243.9,0.98,1,0.10072,0.172013,-0.979932,0.117401,0.215024,-0.969527,0.111,0.196
2441,244.0,0.98,1,0.100732,0.185078,-0.977548,0.098091,0.163376,-0.981675,0.101,0.176
2442,244.1,0.98,1,0.100905,0.178147,-0.978817,-0.038925,0.141642,-0.989152,0.031,0.161
2443,244.2,0.88,1,0.127715,0.163294,-0.978276,-0.021645,0.178093,-0.983776,0.054,0.172
2444,244.3,0.98,1,0.144488,0.138433,-0.979775,0.031626,0.186392,-0.981966,0.09,0.164
2445,244.4,0.98,1,0.17208,0.154123,-0.972951,-0.09301,0.144127,-0.985178,0.04,0.151
2446,244.5,0.98,1,0.155493,0.142993,-0.977433,-0.113414,0.133279,-0.984568,0.021,0.14
2447,244.6,0.98,1,0.174799,0.149818,-0.973139,-0.020259,0.212768,-0.976893,0.079,0.184
2448,244.7,0.98,1,0.116287,0.289611,-0.950054,-0.079618,0.322769,-0.943123,0.019,0.313
2449,244.8,0.98,1,0.111711,0.201194,-0.973161,0.023558,0.258665,-0.96568,0.07,0.233
2450,244.9,0.98,1,0.094121,0.160352,-0.982562,0.025372,0.213992,-0.976506,0.061,0.189
2451,245.0,0.98,1,0.046502,0.150517,-0.987513,0.108468,0.125933,-0.986091,0.078,0.139
2452,245.1,0.98,1,0.086133,0.149695,-0.984973,0.06299,0.15015,-0.986655,0.075,0.151
2453,245.2,0.98,1,0.117959,0.154629,-0.980905,-0.019414,0.141647,-0.989727,0.05,0.149
2454,245.3,0.98,1,0.104796,0.129682,-0.986002,0.007916,0.199369,-0.979893,0.057,0.166
2455,245.4,0.98,1,0.093318,0.140085,-0.985732,0.018835,0.217668,-0.975841,0.057,0.18
2456,245.5,0.98,1,0.122326,0.122027,-0.98496,0.025112,0.141064,-0.989682,0.075,0.132
2457,245.6,0.98,1,0.157924,0.025943,-0.98711,-0.003971,0.121657,-0.992564,0.078,0.074
2458,245.7,0.98,1,0.129338,0.055782,-0.99003,-0.080147,0.138696,-0.987087,0.025,0.098
2459,245.8,0.98,1,0.098746,0.073109,-0.992423,-0.049192,0.129518,-0.990356,0.025,0.102
2460,245.9,0.98,1,0.060069,0.08565,-0.994513,0.133917,0.18189,-0.974157,0.098,0.135
2461,246.0,0.98,1,0.104102,0.082134,-0.991169,0.078926,0.137229,-0.98739,0.092,0.11
2462,246.1,0.98,1,0.07841,0.108938,-0.990951,-0.035542,0.090953,-0.995221,0.022,0.1
2463,246.2,0.98,1,0.100146,0.253719,-0.96208,0.000423,0.227431,-0.973794,0.052,0.244
2464,246.3,0.98,1,0.119288,0.168801,-0.978405,-0.143839,0.159495,-0.976664,-0.013,0.166
2465,246.4,0.98,1,0.086634,0.120871,-0.988881,-0.127788,0.208447,-0.96965,-0.021,0.167
2466,246.5,0.98,1,0.203192,0.290224,-0.935138,-0.044111,0.315935,-0.947755,0.084,0.311
2467,246.6,0.98,1,0.171327,0.20978,-0.962621,-0.130293,0.240536,-0.961856,0.021,0.23
2468,246.7,0.98,1,0.106882,0.089528,-0.990233,-0.089555,0.225286,-0.970168,0.009,0.159
2469,246.8,0.98,1,0.115624,0.085732,-0.989586,-0.078256,0.187046,-0.979229,0.019,0.138
2470,246.9,0.98,1,0.105364,0.105853,-0.988784,-0.125114,0.186979,-0.974364,-0.01,0.148
2471,247.0,0.98,1,0.164041,0.160703,-0.973276,-0.058898,0.151105,-0.986761,0.054,0.158
2472,247.1,0.98,1,0.119952,0.144286,-0.982239,-0.089843,0.071567,-0.993381,0.015,0.109
2473,247.2,0.98,1,0.069811,0.068881,-0.995179,-0.060066,0.158229,-0.985574,0.005,0.114
2474,247.3,0.98,1,0.131217,0.151715,-0.979676,-0.071701,0.157706,-0.984879,0.03,0.156
2475,247.4,0.98,1,0.122358,0.105098,-0.986906,-0.123446,0.187247,-0.974525,-0.001,0.148
2476,247.5,0.98,1,0.11098,0.17172,-0.978875,-0.146799,0.235903,-0.960625,-0.018,0.207
2477,247.6,0.98,1,0.117772,0.149322,-0.98175,-0.147982,0.216091,-0.965094,-0.016,0.186
2478,247.7,0.98,1,0.057458,0.115234,-0.991675,-0.108835,0.261471,-0.959056,-0.026,0.191
2479,247.8,0.98,1,0.099061,0.068816,-0.992699,-0.152415,0.26166,-0.95305,-0.027,0.168
2480,247.9,0.98,1,0.086037,0.094367,-0.991813,-0.163639,0.241201,-0.95658,-0.04,0.171
2481,248.0,0.98,1,0.103031,0.091855,-0.990428,-0.080602,0.207348,-0.974941,0.011,0.151
2482,248.1,0.98,1,0.190862,0.104571,-0.976031,-0.093559,0.18987,-0.977341,0.05,0.15
2483,248.2,0.98,1,0.140618,0.121575,-0.982571,-0.052596,0.18168,-0.98195,0.045,0.153
2484,248.3,0.98,1,0.063675,0.27013,-0.960716,-0.032404,0.341392,-0.939362,0.016,0.311
2485,248.4,0.98,1,0.027165,0.229459,-0.972939,0.044694,0.266327,-0.962846,0.037,0.251
2486,248.5,0.98,1,0.004747,0.185628,-0.982609,0.049403,0.241714,-0.969089,0.028,0.216
2487,248.6,0.98,1,0.130834,0.403767,-0.905458,-0.078275,0.384709,-0.919713,0.029,0.408
2488,248.7,0.98,1,-0.004835,0.19635,-0.980522,-0.026496,0.213631,-0.976555,-0.016,0.207
2489,248.8,0.88,1,0.030844,0.160075,-0.986623,0.002512,0.187775,-0.982209,0.017,0.175
2490,248.9,0.98,1,0.072753,0.126684,-0.989272,-0.055121,0.186465,-0.980914,0.009,0.158
2491,249.0,0.98,1,0.058204,0.091748,-0.99408,-0.135225,0.17078,-0.975986,-0.039,0.132
2492,249.1,0.98,1,0.072918,0.132469,-0.988501,-0.110667,0.198049,-0.973925,-0.019,0.167
2493,249.2,0.98,1,0.050271,0.144414,-0.98824,-0.118808,0.226841,-0.966658,-0.035,0.188
2494,249.3,0.98,1,0.102602,0.157921,-0.982107,-0.10964,0.200516,-0.973536,-0.004,0.181
2495,249.4,0.98,1,0.204124,0.318877,-0.925554,-0.031171,0.342298,-0.939074,0.092,0.341
2496,249.5,0.98,1,0.136253,0.198317,-0.970621,-0.11898,0.16826,-0.978536,0.009,0.186
