frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
378,37.7,0.98,1,0.108373,0.39455,-0.912461,0.034148,0.308583,-0.950584,0.076,0.361
379,37.8,0.98,1,0.102465,0.385346,-0.917066,0.055351,0.306263,-0.950336,0.084,0.355
380,37.9,0.98,1,0.098569,0.398835,-0.91171,0.103499,0.337376,-0.935663,0.109,0.379
381,38.0,0.98,1,0.090612,0.352697,-0.93134,0.077939,0.346253,-0.934898,0.09,0.358
382,38.1,0.98,1,0.09146,0.354737,-0.930482,0.076297,0.351204,-0.933185,0.09,0.362
383,38.2,0.98,1,0.09318,0.353202,-0.930895,0.072732,0.347596,-0.934819,0.089,0.359
384,38.3,0.98,1,0.086243,0.346676,-0.934012,0.072186,0.3364,-0.938949,0.084,0.35
385,38.4,0.98,1,0.093438,0.342678,-0.934795,0.07422,0.336952,-0.938592,0.089,0.348
386,38.5,0.98,1,0.094113,0.3442,-0.934168,0.074924,0.341968,-0.93672,0.09,0.352
387,38.6,0.98,1,0.093795,0.343102,-0.934603,0.077409,0.341812,-0.936575,0.091,0.351
388,38.7,0.98,1,0.093116,0.337757,-0.936616,0.079634,0.336256,-0.938398,0.092,0.345
389,38.8,0.98,1,0.087208,0.340856,-0.936062,0.077388,0.338924,-0.937626,0.088,0.348
390,38.9,0.98,1,0.089882,0.339619,-0.936259,0.079331,0.338341,-0.937674,0.09,0.347
391,39.0,0.98,1,0.103571,0.32977,-0.938363,0.040281,0.363497,-0.930724,0.077,0.355
392,39.1,0.98,1,0.108057,0.327589,-0.938621,0.040525,0.360764,-0.931776,0.079,0.353
393,39.2,0.98,1,0.103884,0.329022,-0.938591,0.038819,0.365531,-0.92999,0.076,0.356
394,39.3,0.98,1,0.103954,0.327797,-0.939012,0.040593,0.362387,-0.931143,0.077,0.354
395,39.4,0.98,1,0.108575,0.331367,-0.937234,0.040178,0.35987,-0.932137,0.079,0.354
