frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
888,88.7,0.98,1,0.237898,0.255981,-0.936952,-0.024171,0.166479,-0.985749,0.111,0.216
889,88.8,0.98,1,0.172506,0.219005,-0.960353,-0.010232,0.150464,-0.988563,0.083,0.187
890,88.9,0.98,1,0.176305,0.188983,-0.966024,0.022596,0.146275,-0.988986,0.101,0.17
891,89.0,0.98,1,0.143953,0.221846,-0.964397,-0.05345,0.226263,-0.972599,0.047,0.227
892,89.1,0.98,1,0.099318,0.029761,-0.994611,-0.05483,0.026556,-0.998142,0.022,0.028
893,89.2,0.98,1,0.076097,0.065506,-0.994946,-0.070706,0.116912,-0.990622,0.003,0.092
894,89.3,0.98,1,0.080257,0.060181,-0.994956,-0.072168,0.117045,-0.990501,0.004,0.089
895,89.4,0.98,1,0.130813,0.049287,-0.990181,-0.129243,0.038676,-0.990858,0.001,0.044
896,89.5,0.98,1,0.164058,0.049677,-0.985199,-0.063552,0.077404,-0.994972,0.051,0.064
897,89.6,0.98,1,0.159917,0.067438,-0.984824,-0.083805,0.111793,-0.990191,0.039,0.091
898,89.7,0.98,1,0.061837,0.118947,-0.990973,-0.065935,0.119784,-0.990608,-0.002,0.12
899,89.8,0.98,1,0.065668,0.101207,-0.992696,-0.088285,0.114515,-0.989491,-0.011,0.108
900,89.9,0.98,1,0.014421,0.109301,-0.993904,-0.106332,0.11446,-0.987721,-0.046,0.112
901,90.0,0.98,1,0.035652,0.193811,-0.980391,-0.146197,0.157924,-0.976569,-0.056,0.178
902,90.1,0.98,1,0.090656,0.083971,-0.992336,-0.135576,0.071756,-0.988165,-0.023,0.078
903,90.2,0.98,1,0.045167,0.080407,-0.995738,-0.139942,0.085327,-0.986476,-0.048,0.083
904,90.3,0.98,1,0.007874,0.052084,-0.998612,-0.079827,0.095103,-0.992262,-0.036,0.074
905,90.4,0.98,1,-0.007702,0.038254,-0.999238,-0.076922,0.09916,-0.992094,-0.042,0.069
906,90.5,0.98,1,-0.001202,0.040487,-0.999179,-0.078145,0.100164,-0.991897,-0.04,0.071
907,90.6,0.98,1,-0.020629,0.038634,-0.99904,-0.097691,0.115141,-0.988534,-0.059,0.077
908,90.7,0.98,1,-0.011086,0.036428,-0.999275,-0.092284,0.108628,-0.98979,-0.052,0.073
909,90.8,0.98,1,-0.000958,0.060863,-0.998146,-0.08752,0.108971,-0.990185,-0.044,0.085
910,90.9,0.98,1,0.0799,0.149438,-0.985538,-0.115648,0.135831,-0.983959,-0.018,0.144
911,91.0,0.98,1,0.135947,0.119417,-0.983493,-0.064844,0.170662,-0.983194,0.036,0.146
912,91.1,0.98,1,0.047386,0.084435,-0.995302,-0.033832,0.103275,-0.994077,0.007,0.094
913,91.2,0.98,1,0.088075,0.058902,-0.994371,-0.029649,0.125543,-0.991645,0.029,0.093
914,91.3,0.98,1,0.116636,0.058885,-0.991428,-0.051279,0.13508,-0.989507,0.033,0.098
915,91.4,0.98,1,0.106229,0.285156,-0.952576,-0.073645,0.101022,-0.992155,0.017,0.196
916,91.5,0.98,1,0.170536,0.163713,-0.971656,-0.017561,0.169883,-0.985308,0.078,0.169
917,91.6,0.98,1,0.121282,0.066,-0.990422,-0.086041,0.054701,-0.994789,0.018,0.061
918,91.7,0.98,1,0.128123,0.050019,-0.990496,-0.088235,0.053304,-0.994672,0.02,0.052
919,91.8,0.98,1,0.130691,0.027299,-0.991047,-0.05303,0.043736,-0.997635,0.039,0.036
920,91.9,0.98,1,0.1481,0.004769,-0.988961,-0.045792,0.029132,-0.998526,0.051,0.017
921,92.0,0.98,1,0.172805,-0.020836,-0.984736,-0.043276,0.030135,-0.998609,0.065,0.005
922,92.1,0.98,1,0.130692,0.070059,-0.988944,-0.047137,0.064363,-0.996813,0.042,0.068
923,92.2,0.98,1,0.077539,0.033568,-0.996424,-0.029132,0.071884,-0.996987,0.024,0.053
924,92.3,0.98,1,0.082038,0.072544,-0.993985,-0.069165,0.090323,-0.993508,0.006,0.082
925,92.4,0.98,1,0.037532,0.072733,-0.996645,-0.070709,0.081859,-0.994132,-0.017,0.077
926,92.5,0.98,1,0.047878,0.083139,-0.995387,-0.04398,0.083056,-0.995574,0.002,0.083
927,92.6,0.98,1,0.044523,0.077061,-0.996032,-0.044339,0.085681,-0.995336,0.0,0.082
928,92.7,0.98,1,0.056453,0.091592,-0.994195,-0.051118,0.107791,-0.992859,0.003,0.1
929,92.8,0.98,1,0.071081,0.104464,-0.991985,-0.053453,0.117037,-0.991688,0.009,0.111
930,92.9,0.98,1,0.069802,0.113498,-0.991083,-0.061059,0.118444,-0.991082,0.004,0.116
931,93.0,0.98,1,0.069149,0.104225,-0.992147,-0.146892,0.125169,-0.981201,-0.039,0.116
932,93.1,0.98,1,0.071187,0.100629,-0.992374,-0.145098,0.112927,-0.982952,-0.037,0.108
933,93.2,0.98,1,0.071812,0.09959,-0.992434,-0.147701,0.116663,-0.982127,-0.038,0.109
934,93.3,0.98,1,0.132209,0.066023,-0.989021,-0.054106,0.116676,-0.991695,0.039,0.092
935,93.4,0.98,1,0.097183,0.080655,-0.991993,-0.05954,0.118581,-0.991158,0.019,0.1
936,93.5,0.98,1,0.041564,0.10014,-0.994105,-0.089251,0.138726,-0.986301,-0.024,0.12
