frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2404,240.3,0.98,1,0.044256,0.100939,-0.993908,-0.006482,0.020688,-0.999765,0.019,0.061
2405,240.4,0.98,1,0.073493,0.095417,-0.992721,-0.123926,0.020566,-0.992078,-0.025,0.058
2406,240.5,0.98,1,0.023327,0.115736,-0.993006,-0.127169,-0.012437,-0.991803,-0.052,0.052
2407,240.6,0.98,1,0.003438,0.081121,-0.996698,-0.118936,0.004967,-0.99289,-0.058,0.043
2408,240.7,0.98,1,0.008235,0.087223,-0.996155,-0.121753,-0.010027,-0.99251,-0.057,0.039
2409,240.8,0.98,1,0.038782,0.137466,-0.989747,-0.129535,0.00928,-0.991531,-0.046,0.074
2410,240.9,0.98,1,0.049525,0.128889,-0.990422,-0.127178,-0.003656,-0.991873,-0.039,0.063
2411,241.0,0.98,1,0.021608,0.110897,-0.993597,-0.059813,0.017586,-0.998055,-0.019,0.064
2412,241.1,0.98,1,0.136194,0.081413,-0.987331,0.070435,0.079815,-0.994318,0.104,0.081
2413,241.2,0.98,1,0.083239,0.10134,-0.991363,-0.003286,0.097415,-0.995238,0.04,0.1
2414,241.3,0.98,1,0.05297,0.098441,-0.993732,0.029213,0.130088,-0.991072,0.041,0.115
2415,241.4,0.98,1,0.131645,0.154576,-0.979171,0.029021,0.113349,-0.993131,0.081,0.135
2416,241.5,0.98,1,0.163887,0.135961,-0.977065,0.029539,0.132257,-0.990775,0.098,0.135
2417,241.6,0.93,1,0.146086,0.135886,-0.979895,0.155153,0.022311,-0.987639,0.152,0.08
2418,241.7,0.98,1,0.162135,0.097462,-0.981944,-0.061671,0.081402,-0.994771,0.051,0.09
2419,241.8,0.98,1,-0.002078,0.051937,-0.998648,-0.057964,-0.018265,-0.998152,-0.03,0.017
2420,241.9,0.98,1,-0.030722,0.09643,-0.994865,-0.102807,0.013493,-0.99461,-0.067,0.055
2421,242.0,0.98,1,-0.065377,0.116094,-0.991084,-0.117905,0.061081,-0.991145,-0.092,0.089
2422,242.1,0.98,1,-0.030262,0.087215,-0.99573,-0.091168,0.062296,-0.993885,-0.061,0.075
2423,242.2,0.98,1,-0.094186,0.10121,-0.990397,-0.039509,0.078408,-0.996138,-0.067,0.09
2424,242.3,0.98,1,-0.000306,0.024558,-0.999698,0.074188,0.009097,-0.997203,0.037,0.017
2425,242.4,0.98,1,0.070565,0.034598,-0.996907,0.118404,0.050751,-0.991668,0.095,0.043
2426,242.5,0.98,1,0.111031,0.024038,-0.993526,0.047652,-0.011878,-0.998793,0.079,0.006
2427,242.6,0.98,1,0.115276,0.059777,-0.991533,0.034314,0.024217,-0.999118,0.075,0.042
2428,242.7,0.98,1,0.164705,0.097443,-0.981518,0.056771,0.082398,-0.994981,0.112,0.091
2429,242.8,0.98,1,0.175367,0.116997,-0.977526,0.040318,0.134506,-0.990092,0.109,0.127
2430,242.9,0.98,1,0.140183,0.086747,-0.986318,-0.039394,0.097012,-0.994503,0.051,0.093
2431,243.0,0.98,1,0.136435,0.092528,-0.986318,0.083509,0.131171,-0.987836,0.111,0.113
2432,243.1,0.98,1,0.121883,0.128812,-0.98415,0.086043,0.118739,-0.98919,0.105,0.125
2433,243.2,0.98,1,0.18197,0.158272,-0.970483,0.041894,0.131013,-0.990495,0.114,0.146
2434,243.3,0.98,1,0.196596,0.089709,-0.976372,0.054934,0.027446,-0.998113,0.127,0.059
2435,243.4,0.98,1,0.238229,0.106335,-0.96537,0.062831,0.037984,-0.997301,0.152,0.073
2436,243.5,0.98,1,0.205141,0.123883,-0.970861,0.113924,0.065742,-0.991312,0.161,0.096
2437,243.6,0.98,1,0.180102,0.130173,-0.974997,0.145115,0.12292,-0.98175,0.165,0.129
2438,243.7,0.98,1,0.216899,0.110527,-0.969917,0.127537,0.160995,-0.97868,0.175,0.138
2439,243.8,0.98,1,0.214414,0.076986,-0.973704,0.104175,0.11766,-0.987575,0.161,0.099
2440,243.9,0.98,1,0.172678,0.111882,-0.978603,0.125214,0.088564,-0.988169,0.15,0.102
2441,244.0,0.98,1,0.213847,0.130724,-0.968081,0.08902,0.040289,-0.995215,0.153,0.087
2442,244.1,0.98,1,0.211492,0.12993,-0.968705,0.107341,0.066859,-0.991972,0.161,0.1
2443,244.2,0.98,1,0.195266,0.103618,-0.975261,0.106966,0.055128,-0.992733,0.152,0.08
2444,244.3,0.98,1,0.195176,0.144878,-0.970009,0.118002,0.108896,-0.987024,0.159,0.129
2445,244.4,0.98,1,0.191472,0.194337,-0.962066,0.108649,0.162625,-0.980688,0.153,0.182
2446,244.5,0.98,1,0.010184,0.197864,-0.980177,-0.045103,0.124767,-0.99116,-0.018,0.162
2447,244.6,0.98,1,-0.059321,0.155549,-0.986045,-0.126876,0.112456,-0.985523,-0.094,0.135
2448,244.7,0.98,1,0.000356,0.139295,-0.990251,-0.208282,0.085445,-0.974329,-0.105,0.114
2449,244.8,0.98,1,-0.008534,0.133256,-0.991045,-0.194978,0.152778,-0.968836,-0.103,0.145
2450,244.9,0.98,1,0.04416,0.136431,-0.989665,-0.136254,0.139183,-0.980848,-0.047,0.139
2451,245.0,0.98,1,0.044303,0.178732,-0.9829,-0.161316,0.196834,-0.967075,-0.06,0.19
2452,245.1,0.98,1,-0.025939,0.184821,-0.98243,-0.28119,0.198861,-0.938822,-0.159,0.197
2453,245.2,0.98,1,-0.028648,0.12205,-0.99211,-0.19516,0.122751,-0.973059,-0.113,0.124
2454,245.3,0.98,1,-0.067375,0.118364,-0.990682,-0.243531,0.173699,-0.954213,-0.159,0.149
2455,245.4,0.98,1,-0.117108,0.129291,-0.984667,-0.290747,0.159175,-0.943467,-0.208,0.149
2456,245.5,0.98,1,-0.144914,0.158712,-0.976632,-0.383815,0.175109,-0.906655,-0.274,0.175
2457,245.6,0.93,1,-0.252616,0.091615,-0.963219,-0.407629,0.128922,-0.904001,-0.34,0.118
2458,245.7,0.93,1,-0.249076,0.172135,-0.953064,-0.410235,0.144017,-0.900537,-0.342,0.169
2459,245.8,0.98,1,-0.316765,0.08997,-0.944227,-0.427436,0.115012,-0.8967,-0.384,0.111
2460,245.9,0.98,1,-0.360773,0.135036,-0.922826,-0.397097,0.124639,-0.909274,-0.392,0.141
2461,246.0,0.88,1,-0.367495,0.066922,-0.927615,-0.391289,0.07922,-0.916852,-0.39,0.079
2462,246.1,0.98,1,-0.169423,0.132561,-0.976588,-0.273157,0.178613,-0.945242,-0.226,0.161
2463,246.2,0.93,1,-0.043635,0.18293,-0.982157,-0.299364,0.09936,-0.948952,-0.176,0.145
2464,246.3,0.88,1,-0.000103,0.021038,-0.999779,-0.328477,-0.082048,-0.940942,-0.168,-0.031
2465,246.4,0.82,1,-0.026521,0.011214,-0.999585,-0.18225,-0.045314,-0.982207,-0.105,-0.017
2466,246.5,0.88,1,0.036399,0.076466,-0.996408,-0.034841,-0.119778,-0.992189,0.001,-0.022
2467,246.6,0.88,1,0.138671,0.166484,-0.976245,0.055871,-0.029984,-0.997988,0.098,0.069
2468,246.7,0.77,1,0.208944,0.062208,-0.975947,0.058526,-0.14538,-0.987643,0.135,-0.042
2469,246.8,0.88,1,0.236034,0.124402,-0.963749,0.145551,-0.144157,-0.978792,0.194,-0.01
2470,246.9,0.88,1,0.238468,0.117185,-0.964054,0.158687,-0.143502,-0.976845,0.202,-0.014
2471,247.0,0.98,1,0.343981,0.146801,-0.92743,0.210746,0.006225,-0.977521,0.283,0.08
2472,247.1,0.98,1,0.316962,0.164952,-0.933984,0.288877,-0.025792,-0.957019,0.31,0.073
2473,247.2,0.88,1,0.334931,0.186297,-0.923642,0.265892,0.061492,-0.96204,0.308,0.131
2474,247.3,0.88,1,0.351142,0.188361,-0.91718,0.227045,0.126284,-0.965662,0.298,0.166
2475,247.4,0.88,1,0.43106,0.214596,-0.876434,0.278064,0.153292,-0.948252,0.371,0.199
2476,247.5,0.88,1,0.387446,0.216892,-0.896015,0.273304,0.148299,-0.950427,0.344,0.195
2477,247.6,0.88,1,0.38421,0.198147,-0.901732,0.287238,0.153386,-0.945498,0.349,0.188
2478,247.7,0.88,1,0.455038,0.214794,-0.864178,0.37785,0.158405,-0.912216,0.438,0.207
2479,247.8,0.88,1,0.477972,0.242026,-0.844373,0.377566,0.179783,-0.908362,0.454,0.236
2480,247.9,0.88,1,0.433732,0.211865,-0.875779,0.383556,0.157972,-0.909906,0.429,0.204
2481,248.0,0.88,1,0.47494,0.171191,-0.863207,0.377494,0.159208,-0.912223,0.448,0.184
2482,248.1,0.88,1,0.405646,0.235078,-0.883284,0.356246,0.134914,-0.924601,0.399,0.202
2483,248.2,0.98,1,0.399246,0.191828,-0.896552,0.279642,0.099109,-0.954975,0.351,0.156
2484,248.3,0.98,1,0.424573,0.187763,-0.88571,0.355398,0.110046,-0.928215,0.406,0.163
2485,248.4,0.98,1,0.412644,0.213675,-0.885476,0.416326,0.099145,-0.903794,0.434,0.173
2486,248.5,0.98,1,0.440324,0.207854,-0.873448,0.390884,0.13726,-0.910148,0.436,0.191
2487,248.6,0.98,1,0.398861,0.16251,-0.902497,0.336163,0.114036,-0.934874,0.381,0.149
2488,248.7,0.98,1,0.391402,0.12604,-0.911547,0.366966,0.067043,-0.927815,0.391,0.105
2489,248.8,0.88,1,0.390862,0.212609,-0.895558,0.389177,0.131242,-0.911766,0.407,0.188
2490,248.9,0.88,1,0.383276,0.164228,-0.908916,0.322978,0.057608,-0.944652,0.364,0.119
2491,249.0,0.93,1,0.297877,0.095763,-0.949789,0.134204,0.05515,-0.989418,0.219,0.078
2492,249.1,0.98,1,0.295678,0.11592,-0.948228,0.165058,0.089894,-0.982179,0.234,0.106
2493,249.2,0.98,1,0.200005,0.118908,-0.972553,0.144766,0.072991,-0.98677,0.174,0.098
2494,249.3,0.98,1,0.187846,0.105272,-0.976541,-0.02672,0.001357,-0.999642,0.081,0.054
2495,249.4,0.98,1,0.076742,0.113534,-0.990566,0.023968,-0.009684,-0.999666,0.051,0.052
2496,249.5,0.98,1,0.078275,0.094917,-0.992403,-0.052007,0.002801,-0.998643,0.013,0.049
2497,249.6,0.98,1,0.046208,0.094061,-0.994493,-0.073687,0.006524,-0.99726,-0.014,0.05
2498,249.7,0.98,1,0.119142,0.103719,-0.987445,-0.012978,0.014948,-0.999804,0.053,0.06
2499,249.8,0.98,1,0.060168,0.128366,-0.9899,-0.032149,0.080988,-0.996196,0.014,0.105
2500,249.9,0.98,1,0.103583,0.124416,-0.986809,-0.036242,0.084196,-0.99579,0.034,0.105
2501,250.0,0.98,1,0.113926,0.124894,-0.985608,-0.02764,0.082404,-0.996216,0.044,0.104
2502,250.1,0.98,1,0.10364,0.115348,-0.987904,0.013859,0.030666,-0.999434,0.059,0.073
2503,250.2,0.98,1,0.064184,0.100102,-0.992905,0.001835,0.034507,-0.999403,0.033,0.067
2504,250.3,0.98,1,0.071004,0.072929,-0.994806,-0.064323,0.055987,-0.996357,0.003,0.065
2505,250.4,0.98,1,0.081973,0.058624,-0.994909,-0.050667,-0.000732,-0.998715,0.016,0.029
2506,250.5,0.98,1,0.066075,0.050444,-0.996539,-0.099017,0.068088,-0.992754,-0.017,0.06
