frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
4097,409.6,0.88,1,0.258549,0.196444,-0.945813,0.200779,0.119136,-0.972365,0.235,0.163
4098,409.7,0.88,1,0.246372,0.164155,-0.955172,0.198926,0.133945,-0.970818,0.227,0.154
4099,409.8,0.88,1,0.254374,0.147965,-0.95572,0.193293,0.122787,-0.973428,0.228,0.139
4100,409.9,0.88,1,0.317518,0.082632,-0.944645,0.26154,0.182512,-0.94778,0.297,0.139
4101,410.0,0.88,1,0.255032,0.151811,-0.954941,0.225356,0.135109,-0.964863,0.245,0.148
4102,410.1,0.88,1,0.250587,0.10717,-0.962144,0.136594,0.060023,-0.988807,0.196,0.085
4103,410.2,0.88,1,0.250488,0.119194,-0.960754,0.102951,0.033202,-0.994132,0.179,0.078
4104,410.3,0.88,1,0.225299,0.138468,-0.9644,0.113264,0.050737,-0.992269,0.171,0.096
4105,410.4,0.88,1,0.205644,0.170734,-0.963619,0.106757,0.090212,-0.990184,0.159,0.133
4106,410.5,0.88,1,0.21428,0.172704,-0.961383,0.106784,0.095823,-0.989654,0.163,0.137
4107,410.6,0.88,1,0.224255,0.183564,-0.957086,0.178308,0.134371,-0.974757,0.205,0.163
4108,410.7,0.88,1,0.214889,0.185015,-0.958954,0.187559,0.121757,-0.974678,0.205,0.157
4109,410.8,0.88,1,0.239512,0.224323,-0.944623,0.129034,0.121873,-0.984123,0.189,0.178
4110,410.9,0.98,1,0.263246,0.16426,-0.950642,0.03456,0.101419,-0.994243,0.152,0.136
4111,411.0,0.98,1,0.232715,0.192861,-0.95323,0.151571,0.143284,-0.978006,0.196,0.172
4112,411.1,0.93,1,0.229427,0.162149,-0.959724,0.156058,0.117864,-0.98069,0.196,0.143
4113,411.2,0.88,1,0.228824,0.211385,-0.95024,0.108419,0.141116,-0.984038,0.173,0.18
4114,411.3,0.93,1,0.154492,0.176526,-0.972096,0.220041,0.051059,-0.974154,0.19,0.116
4115,411.4,0.98,1,0.27099,0.134508,-0.953138,0.119047,0.03405,-0.992305,0.198,0.086
4116,411.5,0.98,1,0.280591,0.109103,-0.953606,0.096071,0.017849,-0.995214,0.191,0.065
4117,411.6,0.98,1,0.250798,0.110586,-0.961702,0.100519,0.003529,-0.994929,0.178,0.058
4118,411.7,0.98,1,0.225682,0.137517,-0.964446,0.141664,-0.055506,-0.988357,0.186,0.042
4119,411.8,0.98,1,0.279613,0.099655,-0.954927,0.234698,-0.051806,-0.970687,0.261,0.025
4120,411.9,0.98,1,0.322638,0.049304,-0.945237,0.189145,-0.039127,-0.981169,0.26,0.005
4121,412.0,0.98,1,0.293381,0.168114,-0.941098,0.152541,0.121366,-0.980817,0.228,0.149
4122,412.1,0.98,1,0.319769,0.119657,-0.939909,0.169895,0.057918,-0.983759,0.249,0.092
4123,412.2,0.98,1,0.303523,0.129125,-0.944034,0.183812,0.062282,-0.980986,0.248,0.099
4124,412.3,0.98,1,0.276636,0.151642,-0.948935,0.159811,0.063314,-0.985115,0.222,0.111
4125,412.4,0.98,1,0.343325,0.173834,-0.92299,0.237647,0.083873,-0.967724,0.298,0.135
4126,412.5,0.98,1,0.250513,0.161333,-0.954576,0.141371,0.130164,-0.981362,0.2,0.149
4127,412.6,0.98,1,0.25675,0.193218,-0.946967,0.143347,0.157564,-0.977049,0.205,0.18
4128,412.7,0.98,1,0.276825,0.180225,-0.943868,0.190807,0.133889,-0.972454,0.239,0.162
4129,412.8,0.98,1,0.272792,0.188607,-0.943405,0.191394,0.142694,-0.971085,0.238,0.171
4130,412.9,0.98,1,0.317419,0.197738,-0.92744,0.20888,0.147622,-0.966735,0.271,0.18
4131,413.0,0.98,1,0.328403,0.18854,-0.925529,0.199721,0.126122,-0.971702,0.271,0.164
4132,413.1,0.98,1,0.274546,0.164282,-0.947436,0.074495,0.130503,-0.988645,0.178,0.151
4133,413.2,0.93,1,0.279735,0.234716,-0.930944,0.09305,0.195317,-0.976316,0.193,0.222
4134,413.3,0.93,1,0.174568,0.245853,-0.953458,0.098931,0.143048,-0.984759,0.14,0.198
4135,413.4,0.98,1,0.230897,0.235325,-0.944091,0.137205,0.208963,-0.968251,0.19,0.228
4136,413.5,0.98,1,0.206089,0.229388,-0.951267,0.183074,0.184775,-0.965579,0.2,0.213
4137,413.6,0.98,1,0.249051,0.144024,-0.957722,0.149679,0.10838,-0.982777,0.203,0.129
4138,413.7,0.98,1,0.245011,0.192396,-0.950239,0.073732,0.154366,-0.985259,0.163,0.177
4139,413.8,0.98,1,0.232632,0.197296,-0.952343,0.116071,0.138783,-0.983497,0.178,0.172
4140,413.9,0.98,1,0.21797,0.131027,-0.96712,0.145314,0.048225,-0.98821,0.184,0.091
4141,414.0,0.98,1,0.217178,0.12405,-0.968218,0.112562,0.067695,-0.991336,0.167,0.098
4142,414.1,0.98,1,0.235277,0.12526,-0.963823,0.110982,0.062133,-0.991878,0.175,0.096
4143,414.2,0.98,1,0.215617,0.238178,-0.946985,0.145653,0.074793,-0.986505,0.185,0.16
4144,414.3,0.93,1,0.20975,0.205527,-0.95591,0.022853,0.153539,-0.987878,0.119,0.183
4145,414.4,0.98,1,0.231537,0.304677,-0.923884,0.111632,0.134185,-0.984649,0.178,0.226
4146,414.5,0.98,1,0.22716,0.276367,-0.93382,0.112435,0.096143,-0.988997,0.175,0.191
4147,414.6,0.98,1,0.200563,0.258025,-0.945091,0.112807,0.116034,-0.986818,0.161,0.191
4148,414.7,0.93,1,0.231148,0.262363,-0.936876,0.073463,0.128451,-0.988991,0.157,0.2
4149,414.8,0.93,1,0.225978,0.124289,-0.966171,0.114484,0.101386,-0.988238,0.172,0.115
4150,414.9,0.98,1,0.25371,0.16537,-0.953039,0.107414,0.139348,-0.984401,0.184,0.156
4151,415.0,0.98,1,0.258681,0.123855,-0.95799,0.089532,0.069351,-0.993567,0.177,0.099
4152,415.1,0.93,1,0.22852,0.07483,-0.970659,0.069956,0.03394,-0.996973,0.151,0.055
4153,415.2,0.98,1,0.221753,0.085788,-0.971322,0.073404,0.044754,-0.996298,0.149,0.066
4154,415.3,0.98,1,0.222072,0.121038,-0.967488,0.1236,0.015831,-0.992206,0.175,0.07
4155,415.4,0.98,1,0.226711,0.117634,-0.966832,0.142997,0.06302,-0.987715,0.187,0.092
