frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1137,113.6,0.98,1,0.08645,0.216105,-0.972535,-0.194763,0.281654,-0.939542,-0.057,0.255
1138,113.7,0.98,1,-0.012626,0.175747,-0.984354,-0.129671,0.187439,-0.97368,-0.073,0.183
1139,113.8,0.98,1,-0.016585,0.176902,-0.984089,-0.12221,0.19252,-0.973653,-0.071,0.187
1140,113.9,0.98,1,-0.006717,0.167747,-0.985807,-0.159959,0.148508,-0.975888,-0.085,0.16
1141,114.0,0.98,1,-0.021884,0.157162,-0.98733,-0.170586,0.191018,-0.96665,-0.098,0.176
1142,114.1,0.98,1,-0.022592,0.156901,-0.987356,-0.166633,0.186821,-0.968159,-0.096,0.174
1143,114.2,0.98,1,-0.022751,0.15895,-0.987024,-0.169079,0.187746,-0.967556,-0.098,0.176
1144,114.3,0.98,1,-0.019471,0.155712,-0.987611,-0.169246,0.186368,-0.967793,-0.096,0.173
1145,114.4,0.98,1,0.024989,0.142091,-0.989538,-0.158938,0.24679,-0.955946,-0.069,0.197
1146,114.5,0.98,1,0.0356,0.142285,-0.989185,-0.157557,0.247008,-0.956119,-0.063,0.198
1147,114.6,0.98,1,0.032493,0.130113,-0.990967,-0.14533,0.240083,-0.959812,-0.058,0.188
1148,114.7,0.98,1,0.026197,0.14172,-0.98956,-0.115615,0.245727,-0.96242,-0.046,0.196
1149,114.8,0.98,1,0.023115,0.147928,-0.988728,-0.130814,0.237351,-0.962576,-0.055,0.195
1150,114.9,0.98,1,0.034839,0.14849,-0.9883,-0.181247,0.237916,-0.954225,-0.075,0.196
1151,115.0,0.98,1,-0.000209,0.160324,-0.987064,-0.178498,0.249869,-0.951685,-0.092,0.209
1152,115.1,0.98,1,0.012201,0.181594,-0.983298,-0.183175,0.256598,-0.949002,-0.088,0.223
1153,115.2,0.98,1,-0.040411,0.171766,-0.984309,-0.168942,0.282476,-0.944281,-0.108,0.231
1154,115.3,0.98,1,-0.033943,0.182905,-0.982544,-0.172099,0.25927,-0.950348,-0.106,0.225
1155,115.4,0.98,1,-0.029409,0.216158,-0.975915,-0.168455,0.264133,-0.949661,-0.102,0.244
1156,115.5,0.98,1,-0.010484,0.144524,-0.989446,-0.206465,0.157994,-0.965614,-0.111,0.154
1157,115.6,0.93,1,-0.025434,0.153371,-0.987841,-0.193287,0.155402,-0.968757,-0.111,0.157
1158,115.7,0.98,1,-0.032192,0.156696,-0.987122,-0.19727,0.162767,-0.966743,-0.117,0.162
1159,115.8,0.98,1,-0.036025,0.157911,-0.986796,-0.189711,0.167686,-0.967415,-0.115,0.165
1160,115.9,0.98,1,-0.039497,0.154546,-0.987196,-0.187609,0.161326,-0.968905,-0.116,0.16
1161,116.0,0.98,1,-0.042034,0.152895,-0.987348,-0.191779,0.160158,-0.968282,-0.119,0.159
1162,116.1,0.98,1,-0.01675,0.159263,-0.987094,-0.188478,0.170506,-0.967163,-0.105,0.167
1163,116.2,0.98,1,-0.044935,0.168412,-0.984692,-0.177992,0.169596,-0.969307,-0.114,0.171
1164,116.3,0.98,1,-0.0191,0.169828,-0.985289,-0.186752,0.21579,-0.958414,-0.106,0.196
1165,116.4,0.98,1,-0.026443,0.169389,-0.985194,-0.172668,0.196147,-0.965252,-0.102,0.185
1166,116.5,0.98,1,-0.034358,0.16497,-0.9857,-0.168476,0.191836,-0.966858,-0.104,0.181
1167,116.6,0.98,1,-0.018768,0.177247,-0.983987,-0.181359,0.208374,-0.961088,-0.103,0.196
1168,116.7,0.93,1,-0.004092,0.161359,-0.986887,-0.182589,0.199514,-0.962733,-0.095,0.183
1169,116.8,0.98,1,0.0014,0.162728,-0.98667,-0.186125,0.194061,-0.963171,-0.094,0.181
1170,116.9,0.98,1,-0.02793,0.159109,-0.986866,-0.211189,0.190213,-0.958759,-0.122,0.178
1171,117.0,0.93,1,-0.021951,0.152472,-0.988064,-0.222896,0.187827,-0.956576,-0.125,0.173
1172,117.1,0.93,1,-0.022776,0.164163,-0.98617,-0.218838,0.183934,-0.958268,-0.124,0.177
