frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1016,101.5,0.98,1,0.095875,0.182849,-0.978455,0.027549,0.193502,-0.980713,0.063,0.19
1017,101.6,0.98,1,0.106453,0.199474,-0.974104,0.023542,0.195674,-0.980386,0.066,0.199
1018,101.7,0.98,1,0.06033,0.240261,-0.968832,0.039811,0.203505,-0.978264,0.051,0.224
1019,101.8,0.98,1,0.064475,0.233464,-0.970225,-0.007335,0.16993,-0.985429,0.029,0.203
1020,101.9,0.98,1,0.08203,0.192173,-0.977927,0.00149,0.157716,-0.987483,0.042,0.176
1021,102.0,0.98,1,0.076668,0.210047,-0.974681,0.015175,0.206112,-0.978411,0.047,0.21
1022,102.1,0.98,1,0.050618,0.268406,-0.961975,0.020392,0.211013,-0.977271,0.037,0.242
1023,102.2,0.98,1,0.039515,0.293167,-0.955244,0.015014,0.215674,-0.97635,0.028,0.258
1024,102.3,0.98,1,0.041952,0.292765,-0.955264,0.01508,0.222451,-0.974827,0.03,0.261
1025,102.4,0.98,1,0.0392,0.291808,-0.955673,0.016129,0.223001,-0.974685,0.029,0.261
1026,102.5,0.98,1,0.022397,0.304149,-0.952361,0.022361,0.234426,-0.971877,0.023,0.273
1027,102.6,0.98,1,0.03412,0.278546,-0.959817,-0.004466,0.197648,-0.980263,0.015,0.241
1028,102.7,0.98,1,0.047965,0.287963,-0.95644,-0.007086,0.199808,-0.979809,0.021,0.247
1029,102.8,0.98,1,0.026437,0.281596,-0.959169,-0.013887,0.196945,-0.980316,0.006,0.242
1030,102.9,0.98,1,0.017274,0.264422,-0.964252,0.049751,0.21174,-0.976059,0.035,0.241
1031,103.0,0.98,1,0.059149,0.226984,-0.972101,0.044927,0.173216,-0.983859,0.053,0.202
1032,103.1,0.98,1,0.047357,0.257993,-0.964985,0.049204,0.207878,-0.976916,0.05,0.235
1033,103.2,0.98,1,0.045289,0.207661,-0.977152,0.044695,0.20323,-0.97811,0.046,0.207
1034,103.3,0.98,1,0.034727,0.244699,-0.968977,0.051211,0.217678,-0.974676,0.044,0.234
1035,103.4,0.98,1,0.042248,0.238062,-0.970331,0.046194,0.220659,-0.974256,0.045,0.232
1036,103.5,0.98,1,0.048525,0.235008,-0.970781,-0.038469,0.183652,-0.982238,0.005,0.211
1037,103.6,0.98,1,0.07596,0.189708,-0.978898,-0.010398,0.169765,-0.98543,0.033,0.181
1038,103.7,0.98,1,0.013607,0.275157,-0.961303,0.00897,0.177459,-0.984087,0.012,0.229
1039,103.8,0.98,1,0.050037,0.217271,-0.974828,-0.001183,0.187715,-0.982223,0.025,0.204
1040,103.9,0.98,1,0.006117,0.314595,-0.949206,-0.012665,0.224419,-0.97441,-0.003,0.273
1041,104.0,0.98,1,0.04923,0.286478,-0.956821,-0.037973,0.210738,-0.976805,0.006,0.252
1042,104.1,0.98,1,0.073683,0.279128,-0.957423,0.006474,0.222894,-0.974821,0.041,0.254
1043,104.2,0.98,1,0.063013,0.261719,-0.963085,0.021451,0.23037,-0.972867,0.044,0.249
1044,104.3,0.98,1,0.092535,0.274603,-0.957095,-0.094081,0.285929,-0.953621,-0.001,0.285
1045,104.4,0.98,1,0.000547,0.320586,-0.947219,-0.005814,0.214373,-0.976735,-0.003,0.271
1046,104.5,0.98,1,0.054538,0.306931,-0.950168,0.017358,0.279235,-0.960066,0.038,0.298
1047,104.6,0.98,1,0.024066,0.292833,-0.955861,0.024558,0.265566,-0.96378,0.025,0.283
1048,104.7,0.98,1,0.047209,0.311591,-0.949043,0.021796,0.252285,-0.967407,0.036,0.286
1049,104.8,0.98,1,0.054923,0.313268,-0.948075,0.02625,0.248272,-0.968335,0.042,0.285
1050,104.9,0.98,1,0.051962,0.310653,-0.949102,0.017722,0.252833,-0.967348,0.036,0.286
1051,105.0,0.98,1,0.063342,0.233698,-0.970244,0.00486,0.206706,-0.978391,0.035,0.222
1052,105.1,0.98,1,0.025208,0.26433,-0.964103,0.018967,0.211339,-0.977229,0.023,0.24
1053,105.2,0.98,1,0.030322,0.312573,-0.94941,0.002829,0.240214,-0.970716,0.017,0.28
1054,105.3,0.98,1,0.055999,0.22906,-0.9718,-0.008845,0.226987,-0.973858,0.024,0.23
1055,105.4,0.98,1,0.042286,0.249703,-0.967399,-0.007679,0.217614,-0.976005,0.018,0.236
1056,105.5,0.98,1,0.030528,0.25529,-0.966383,0.008171,0.197371,-0.980295,0.02,0.228
1057,105.6,0.88,1,-0.007891,0.306242,-0.951921,-0.024512,0.248227,-0.968392,-0.017,0.281
1058,105.7,0.98,1,1.1e-05,0.319701,-0.947519,-0.027828,0.256799,-0.966064,-0.015,0.293
1059,105.8,0.98,1,-0.017227,0.312894,-0.949632,-0.023966,0.239313,-0.970647,-0.021,0.28
1060,105.9,0.98,1,0.016668,0.309988,-0.950594,-0.018009,0.257147,-0.966204,-0.001,0.288
1061,106.0,0.98,1,0.013865,0.315913,-0.948687,-0.033315,0.265579,-0.963513,-0.01,0.295
1062,106.1,0.98,1,0.013932,0.322504,-0.946466,-0.034325,0.278096,-0.95994,-0.011,0.305
1063,106.2,0.98,1,0.001257,0.342206,-0.939624,0.044788,0.268911,-0.962123,0.024,0.311
1064,106.3,0.98,1,0.024232,0.350199,-0.936362,0.03188,0.274763,-0.960983,0.03,0.318
1065,106.4,0.98,1,0.026123,0.331475,-0.943102,0.047931,0.271506,-0.961242,0.039,0.307
1066,106.5,0.98,1,-0.019687,0.285744,-0.958104,-0.046058,0.199357,-0.978844,-0.034,0.245
1067,106.6,0.98,1,0.025197,0.258556,-0.965667,-0.043879,0.203087,-0.978177,-0.01,0.233
1068,106.7,0.98,1,0.026525,0.265534,-0.963737,-0.036055,0.207186,-0.977637,-0.005,0.239
1069,106.8,0.98,1,0.031356,0.268378,-0.962803,-0.010403,0.223935,-0.974549,0.011,0.249
1070,106.9,0.98,1,0.041235,0.271106,-0.961666,-0.012022,0.221851,-0.975007,0.015,0.249
1071,107.0,0.98,1,0.034571,0.270445,-0.962114,-0.004522,0.230569,-0.973046,0.016,0.253
1072,107.1,0.98,1,0.036782,0.302584,-0.952413,-0.042865,0.198968,-0.979068,-0.003,0.254
1073,107.2,0.98,1,0.147127,0.277287,-0.949455,-0.033727,0.261429,-0.964633,0.059,0.274
1074,107.3,0.98,1,0.066096,0.335412,-0.93975,-0.032072,0.202588,-0.978739,0.018,0.273
1075,107.4,0.98,1,0.075208,0.268629,-0.960303,-0.014723,0.222538,-0.974813,0.031,0.249
1076,107.5,0.98,1,0.015497,0.273733,-0.961681,-0.016877,0.190953,-0.981454,-0.001,0.235
1077,107.6,0.98,1,0.056077,0.250504,-0.96649,-0.039027,0.207376,-0.977483,0.009,0.231
