frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
3707,370.6,0.98,1,0.26018,0.358467,-0.896553,0.14328,0.190614,-0.971152,0.213,0.286
3708,370.7,0.98,1,0.207448,0.28009,-0.937291,0.167008,0.200507,-0.965352,0.194,0.247
3709,370.8,0.98,1,0.3061,0.30298,-0.9025,0.120883,0.165826,-0.978718,0.223,0.244
3710,370.9,0.98,1,0.290344,0.317856,-0.902589,0.094603,0.168273,-0.98119,0.202,0.253
3711,371.0,0.98,1,0.239219,0.285002,-0.928196,0.225954,0.153409,-0.961983,0.241,0.228
3712,371.1,0.98,1,0.275445,0.296648,-0.914401,0.189366,0.11495,-0.975155,0.241,0.214
3713,371.2,0.98,1,0.261297,0.275202,-0.925196,0.159159,0.145596,-0.976458,0.218,0.218
3714,371.3,0.98,1,0.289575,0.307691,-0.906351,0.132763,0.193637,-0.972049,0.221,0.261
3715,371.4,0.98,1,0.266109,0.324001,-0.90786,0.149734,0.228755,-0.9619,0.219,0.287
3716,371.5,0.98,1,0.289787,0.332248,-0.897572,0.197712,0.238651,-0.950766,0.258,0.3
3717,371.6,0.98,1,0.297377,0.343048,-0.891002,0.18226,0.242022,-0.952999,0.254,0.307
3718,371.7,0.98,1,0.291457,0.352368,-0.88932,0.181153,0.236573,-0.954577,0.251,0.309
3719,371.8,0.98,1,0.272228,0.310891,-0.910626,0.128409,0.205784,-0.970136,0.21,0.268
3720,371.9,0.98,1,0.262009,0.308392,-0.914465,0.151672,0.193393,-0.969327,0.216,0.26
3721,372.0,0.98,1,0.286273,0.332847,-0.898477,0.156814,0.218589,-0.963134,0.234,0.288
3722,372.1,0.98,1,0.274824,0.337637,-0.900263,0.173584,0.251419,-0.952186,0.237,0.308
3723,372.2,0.98,1,0.278215,0.307753,-0.909882,0.205345,0.235138,-0.950023,0.254,0.284
3724,372.3,0.98,1,0.305054,0.190696,-0.933047,-0.004595,0.30691,-0.951728,0.158,0.258
3725,372.4,0.98,1,0.273252,0.307903,-0.911333,0.111002,0.212035,-0.970937,0.201,0.27
