frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
480,47.9,0.98,1,0.16207,0.184319,-0.969412,-0.094782,0.126152,-0.987473,0.034,0.157
481,48.0,0.98,1,0.104501,0.188234,-0.976549,-0.037732,0.156997,-0.986878,0.034,0.174
482,48.1,0.98,1,0.104447,0.18832,-0.976538,-0.039761,0.154096,-0.987256,0.033,0.173
483,48.2,0.98,1,0.111558,0.120595,-0.986413,-0.093642,0.152853,-0.983802,0.009,0.138
484,48.3,0.98,1,0.120835,0.137643,-0.983084,-0.086705,0.154569,-0.98417,0.017,0.147
485,48.4,0.98,1,0.101982,0.14828,-0.983673,-0.091012,0.156172,-0.983528,0.006,0.154
486,48.5,0.98,1,0.075934,0.159176,-0.984326,-0.087582,0.158188,-0.983517,-0.006,0.16
487,48.6,0.98,1,0.098603,0.13992,-0.985241,-0.092357,0.151818,-0.984084,0.003,0.147
488,48.7,0.98,1,0.082379,0.161486,-0.983431,-0.088563,0.150461,-0.984641,-0.003,0.157
489,48.8,0.98,1,0.078598,0.159458,-0.984071,-0.084651,0.149681,-0.985104,-0.003,0.156
490,48.9,0.98,1,0.093078,0.149893,-0.984311,-0.091085,0.157188,-0.983359,0.001,0.155
491,49.0,0.98,1,0.094011,0.151483,-0.983979,-0.090777,0.156663,-0.983471,0.002,0.155
492,49.1,0.98,1,0.092853,0.151376,-0.984106,-0.09195,0.15736,-0.983251,0.0,0.156
493,49.2,0.98,1,0.096924,0.150372,-0.983867,-0.090628,0.156377,-0.983531,0.003,0.155
494,49.3,0.98,1,0.099524,0.152813,-0.983231,-0.091676,0.163192,-0.982326,0.004,0.159
495,49.4,0.98,1,0.101834,0.156119,-0.982475,-0.092104,0.166728,-0.981692,0.005,0.163
496,49.5,0.98,1,0.216626,0.185549,-0.95846,-0.016249,0.195435,-0.980582,0.103,0.194
497,49.6,0.98,1,0.168191,0.226973,-0.959268,-0.064504,0.229997,-0.971051,0.054,0.232
498,49.7,0.98,1,0.164947,0.08063,-0.983001,-0.084302,0.070389,-0.993951,0.041,0.076
499,49.8,0.98,1,0.180534,0.10325,-0.978134,-0.044931,0.106173,-0.993332,0.069,0.106
500,49.9,0.98,1,0.167141,0.142108,-0.975638,-0.057148,0.11203,-0.99206,0.056,0.128
501,50.0,0.98,1,0.216662,0.126411,-0.968028,-0.043509,0.100505,-0.993985,0.088,0.115
502,50.1,0.98,1,0.19716,0.139758,-0.970358,-0.041196,0.119399,-0.991991,0.079,0.131
503,50.2,0.98,1,0.168988,0.163057,-0.972037,-0.054085,0.119222,-0.991393,0.058,0.143
504,50.3,0.98,1,0.152742,0.170089,-0.973519,-0.057978,0.113964,-0.991792,0.048,0.144
505,50.4,0.98,1,0.178086,0.133685,-0.974892,-0.062251,0.097466,-0.99329,0.059,0.117
506,50.5,0.98,1,0.175181,0.147476,-0.973428,0.005572,0.127026,-0.991884,0.092,0.139
507,50.6,0.98,1,0.160653,0.151226,-0.975357,-0.001798,0.124804,-0.99218,0.081,0.139
508,50.7,0.98,1,0.15895,0.153762,-0.97524,0.002827,0.124785,-0.99218,0.082,0.141
509,50.8,0.98,1,0.140808,0.157251,-0.977469,0.009623,0.122032,-0.99248,0.076,0.141
510,50.9,0.98,1,0.141954,0.158607,-0.977084,-0.083054,0.129797,-0.988056,0.03,0.146
511,51.0,0.98,1,0.110474,0.158939,-0.981088,-0.098962,0.150364,-0.983665,0.006,0.156
512,51.1,0.98,1,0.111212,0.160195,-0.980801,-0.099286,0.154641,-0.982969,0.006,0.159
513,51.2,0.98,1,0.106799,0.163403,-0.980762,-0.09612,0.153146,-0.983518,0.005,0.16
514,51.3,0.98,1,0.109119,0.166364,-0.980008,-0.097654,0.157224,-0.982723,0.006,0.163
515,51.4,0.98,1,0.09321,0.171221,-0.980814,-0.06055,0.165468,-0.984355,0.017,0.17
516,51.5,0.98,1,0.089661,0.166814,-0.981903,-0.055522,0.157105,-0.98602,0.017,0.163
517,51.6,0.98,1,0.090974,0.169036,-0.981402,-0.053752,0.162045,-0.985318,0.019,0.167
518,51.7,0.98,1,0.100017,0.181264,-0.978335,-0.058984,0.164709,-0.984577,0.021,0.174
519,51.8,0.98,1,0.097798,0.183238,-0.978192,-0.054217,0.162704,-0.985184,0.022,0.174
520,51.9,0.98,1,0.103997,0.176277,-0.978831,-0.057005,0.152306,-0.986688,0.024,0.166
521,52.0,0.98,1,0.089505,0.180914,-0.979418,-0.056407,0.152076,-0.986758,0.017,0.168
522,52.1,0.98,1,0.089531,0.181885,-0.979236,-0.054234,0.159497,-0.985708,0.018,0.172
523,52.2,0.98,1,0.081374,0.179138,-0.980453,-0.057538,0.164409,-0.984713,0.012,0.173
524,52.3,0.98,1,0.070477,0.185612,-0.980092,-0.059631,0.166303,-0.98427,0.006,0.177
525,52.4,0.98,1,0.051155,0.191807,-0.980099,-0.070305,0.17236,-0.982522,-0.01,0.183
526,52.5,0.98,1,0.098957,0.162425,-0.981746,-0.069879,0.140708,-0.987582,0.015,0.153
527,52.6,0.98,1,0.094418,0.165809,-0.981628,-0.072962,0.146351,-0.986538,0.011,0.157
528,52.7,0.98,1,0.095815,0.166788,-0.981326,-0.073137,0.14893,-0.986139,0.012,0.159
529,52.8,0.98,1,0.09995,0.161824,-0.981745,-0.075071,0.15285,-0.985394,0.013,0.159
530,52.9,0.98,1,0.102009,0.157183,-0.982287,-0.078768,0.157158,-0.984427,0.012,0.158
531,53.0,0.98,1,0.099271,0.160029,-0.982108,-0.061845,0.147956,-0.987058,0.019,0.155
532,53.1,0.98,1,0.232694,0.223769,-0.946457,-0.066681,0.277721,-0.958345,0.087,0.257
533,53.2,0.98,1,0.203373,0.124063,-0.97121,-0.070484,0.112313,-0.99117,0.068,0.12
