frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
3512,351.1,0.88,1,0.141367,0.06868,-0.987572,0.034916,-0.019106,-0.999208,0.088,0.025
3513,351.2,0.88,1,0.131761,0.054287,-0.989794,0.022436,-0.021153,-0.999524,0.077,0.017
3514,351.3,0.88,1,0.145867,0.055019,-0.987773,0.01948,-0.023794,-0.999527,0.083,0.016
3515,351.4,0.88,1,0.136524,0.026297,-0.990288,0.029502,-0.041613,-0.998698,0.083,-0.008
3516,351.5,0.88,1,0.154088,0.02831,-0.987651,0.03551,-0.038626,-0.998623,0.095,-0.005
3517,351.6,0.88,1,0.088723,-0.0023,-0.996054,0.048014,-0.000852,-0.998846,0.068,-0.002
3518,351.7,0.98,1,0.087246,-0.007909,-0.996155,0.043232,-0.010992,-0.999005,0.065,-0.009
3519,351.8,0.98,1,0.176659,0.075291,-0.981388,0.055462,-0.016516,-0.998324,0.117,0.03
3520,351.9,0.88,1,0.17455,0.050915,-0.983331,0.054506,-0.03785,-0.997796,0.115,0.007
3521,352.0,0.98,1,0.191329,0.014403,-0.98142,0.039246,-0.103446,-0.99386,0.116,-0.045
3522,352.1,0.98,1,0.160799,0.022451,-0.986732,0.049042,-0.064307,-0.996724,0.105,-0.021
3523,352.2,0.98,1,0.12022,0.006091,-0.992729,0.0773,-0.049777,-0.995764,0.099,-0.022
3524,352.3,0.98,1,0.144143,0.035568,-0.988917,0.008782,-0.067881,-0.997655,0.077,-0.016
3525,352.4,0.98,1,0.150047,0.023512,-0.988399,0.013434,-0.076127,-0.997008,0.082,-0.026
3526,352.5,0.98,1,0.12316,-0.036868,-0.991702,0.044466,-0.056319,-0.997422,0.084,-0.047
3527,352.6,0.98,1,0.124903,-0.030386,-0.991704,0.045613,-0.048688,-0.997772,0.086,-0.04
3528,352.7,0.98,1,0.173183,0.001277,-0.984889,0.050304,-0.060276,-0.996913,0.112,-0.03
3529,352.8,0.98,1,0.177953,0.07635,-0.981073,0.045366,-0.018684,-0.998796,0.112,0.029
3530,352.9,0.98,1,0.142246,0.092126,-0.985535,0.035834,-0.019721,-0.999163,0.089,0.036
