frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
3727,372.6,0.98,1,0.122861,0.128819,-0.984028,-0.1744,0.176577,-0.968713,-0.026,0.155
3728,372.7,0.98,1,0.113815,0.071895,-0.990897,-0.224549,0.140044,-0.964347,-0.057,0.108
3729,372.8,0.98,1,0.111282,0.061037,-0.991913,-0.162051,0.160569,-0.973631,-0.026,0.112
3730,372.9,0.98,1,0.186285,0.173421,-0.967069,-0.157818,0.226504,-0.96114,0.015,0.205
3731,373.0,0.98,1,0.155952,0.14304,-0.977353,-0.216566,0.176206,-0.960235,-0.031,0.163
3732,373.1,0.98,1,0.088526,0.181786,-0.979345,-0.057826,0.224954,-0.972652,0.016,0.205
3733,373.2,0.98,1,0.016606,0.18528,-0.982545,-0.078819,0.306687,-0.948541,-0.032,0.249
3734,373.3,0.98,1,-0.021071,0.24407,-0.969529,-0.084947,0.261725,-0.961397,-0.055,0.256
3735,373.4,0.98,1,0.031131,0.12182,-0.992064,-0.076079,0.245067,-0.966517,-0.023,0.185
3736,373.5,0.98,1,0.190183,0.250145,-0.949346,-0.204732,0.347003,-0.915245,-0.008,0.31
3737,373.6,0.98,1,0.037142,0.251807,-0.967065,-0.175451,0.290406,-0.940681,-0.072,0.277
3738,373.7,0.98,1,0.031401,0.163269,-0.986082,-0.199662,0.195203,-0.960224,-0.086,0.182
3739,373.8,0.98,1,0.03524,0.102857,-0.994072,-0.111641,0.19091,-0.975238,-0.039,0.148
3740,373.9,0.98,1,0.129933,0.132497,-0.98263,-0.02812,0.055459,-0.998065,0.051,0.095
3741,374.0,0.98,1,0.156897,0.024441,-0.987312,-0.07851,0.24285,-0.966882,0.04,0.136
3742,374.1,0.98,1,0.125093,0.058078,-0.990444,-0.182181,0.184171,-0.965863,-0.029,0.123
3743,374.2,0.98,1,0.16477,0.122392,-0.978709,0.091843,0.132235,-0.986954,0.13,0.129
3744,374.3,0.98,1,0.137678,0.309554,-0.940862,-0.23023,0.270618,-0.934751,-0.049,0.3
3745,374.4,0.98,1,0.110323,0.28074,-0.953422,-0.111759,0.255987,-0.960198,-0.001,0.273
3746,374.5,0.98,1,0.119236,0.209091,-0.9706,-0.117675,0.316382,-0.941305,0.001,0.268
3747,374.6,0.98,1,0.036503,0.199231,-0.979272,-0.108164,0.322225,-0.940463,-0.037,0.265
3748,374.7,0.98,1,0.139644,0.334889,-0.931852,-0.162849,0.360641,-0.918378,-0.013,0.36
3749,374.8,0.98,1,0.165428,0.170674,-0.971341,-0.15145,0.17099,-0.973563,0.007,0.174
3750,374.9,0.98,1,0.146885,0.092055,-0.984861,-0.188516,0.237698,-0.95287,-0.021,0.169
3751,375.0,0.98,1,0.12259,0.071737,-0.989861,-0.128124,0.195296,-0.972339,-0.003,0.135
