frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
531,53.0,0.98,1,-0.023483,0.334485,-0.942108,-0.050367,0.300848,-0.952341,-0.039,0.324
532,53.1,0.98,1,-0.028252,0.340637,-0.93977,-0.058064,0.311353,-0.948519,-0.046,0.332
533,53.2,0.98,1,-0.023109,0.3341,-0.942254,-0.067677,0.310316,-0.948221,-0.048,0.329
534,53.3,0.98,1,0.020629,0.355714,-0.934367,-0.020134,0.323321,-0.946075,0.0,0.347
535,53.4,0.98,1,0.03041,0.34653,-0.937546,-0.024034,0.337683,-0.940953,0.003,0.349
536,53.5,0.98,1,0.053152,0.363002,-0.930271,-0.062008,0.325267,-0.943587,-0.005,0.352
537,53.6,0.98,1,0.031597,0.353954,-0.934729,-0.066782,0.324657,-0.943471,-0.019,0.347
538,53.7,0.98,1,0.016259,0.351016,-0.936228,-0.074325,0.349564,-0.93396,-0.031,0.358
539,53.8,0.98,1,0.0285,0.35035,-0.936185,-0.072992,0.299607,-0.951267,-0.024,0.332
540,53.9,0.98,1,0.02084,0.347603,-0.93741,-0.06945,0.292063,-0.953874,-0.026,0.326
541,54.0,0.98,1,0.003641,0.345884,-0.93827,-0.031786,0.274631,-0.961024,-0.015,0.316
542,54.1,0.98,1,0.008234,0.340933,-0.940052,-0.036649,0.264369,-0.963725,-0.015,0.308
543,54.2,0.98,1,0.012941,0.352865,-0.935585,-0.025498,0.312981,-0.949417,-0.007,0.34
544,54.3,0.98,1,0.019584,0.339711,-0.940326,-0.032096,0.256859,-0.965916,-0.007,0.303
545,54.4,0.98,1,-0.007449,0.343299,-0.939197,-0.028548,0.267558,-0.963119,-0.019,0.311
546,54.5,0.98,1,0.014796,0.345732,-0.938217,-0.037156,0.273265,-0.961221,-0.012,0.315
547,54.6,0.98,1,0.0393,0.333382,-0.941972,-0.058054,0.296947,-0.953128,-0.01,0.321
548,54.7,0.98,1,0.022226,0.352452,-0.935566,-0.063782,0.344802,-0.936506,-0.022,0.357
549,54.8,0.98,1,0.024329,0.343199,-0.938947,-0.061385,0.338258,-0.939049,-0.02,0.348
550,54.9,0.98,1,-0.012474,0.345784,-0.938231,-0.034489,0.325521,-0.944906,-0.025,0.342
551,55.0,0.98,1,-0.014337,0.344122,-0.938815,-0.085356,0.30629,-0.948104,-0.053,0.332
552,55.1,0.98,1,-0.012147,0.342023,-0.939613,-0.108814,0.308528,-0.944971,-0.064,0.332
553,55.2,0.98,1,-0.010189,0.333925,-0.942545,-0.034069,0.321252,-0.946381,-0.023,0.334
554,55.3,0.98,1,0.025834,0.340165,-0.940011,-0.043118,0.327149,-0.943989,-0.009,0.34
555,55.4,0.98,1,-0.02321,0.339258,-0.940407,-0.030597,0.308132,-0.950852,-0.028,0.33
556,55.5,0.98,1,0.024791,0.350222,-0.936339,-0.036125,0.272185,-0.961567,-0.006,0.317
557,55.6,0.98,1,0.023677,0.348106,-0.937156,-0.06788,0.266725,-0.961379,-0.023,0.313
558,55.7,0.98,1,0.017034,0.344294,-0.938707,-0.053949,0.259478,-0.964241,-0.019,0.307
559,55.8,0.98,1,0.020659,0.346332,-0.937885,-0.064509,0.262879,-0.96267,-0.023,0.31
560,55.9,0.98,1,0.020756,0.35015,-0.936464,-0.065754,0.268148,-0.961131,-0.024,0.315
561,56.0,0.98,1,0.023902,0.343879,-0.93871,-0.062549,0.265654,-0.962037,-0.02,0.31
562,56.1,0.98,1,0.022269,0.354615,-0.934747,-0.054359,0.286763,-0.956458,-0.017,0.327
563,56.2,0.98,1,0.015019,0.352651,-0.935634,-0.04289,0.28605,-0.957254,-0.015,0.325
564,56.3,0.98,1,0.01639,0.353172,-0.935415,-0.050272,0.282138,-0.958056,-0.018,0.324
565,56.4,0.98,1,0.017484,0.348193,-0.93726,-0.06932,0.278294,-0.957991,-0.027,0.319
566,56.5,0.98,1,0.017041,0.351345,-0.936091,-0.069462,0.276692,-0.958445,-0.028,0.32
567,56.6,0.98,1,0.018921,0.352872,-0.93548,-0.052066,0.291411,-0.95518,-0.018,0.328
568,56.7,0.98,1,0.014198,0.354416,-0.93498,-0.05958,0.27979,-0.958211,-0.024,0.323
569,56.8,0.98,1,0.014422,0.351845,-0.935947,-0.055157,0.286652,-0.956446,-0.022,0.325
570,56.9,0.98,1,0.012875,0.355481,-0.934595,-0.056101,0.28642,-0.95646,-0.023,0.327
571,57.0,0.98,1,0.021969,0.33318,-0.942607,-0.02821,0.28541,-0.95799,-0.003,0.315
572,57.1,0.98,1,0.043483,0.344333,-0.93784,-0.035974,0.374498,-0.92653,0.004,0.368
573,57.2,0.98,1,0.034454,0.336265,-0.941137,-0.036838,0.324408,-0.9452,-0.001,0.337
574,57.3,0.98,1,0.039379,0.337021,-0.940673,-0.03517,0.324635,-0.945185,0.002,0.337
575,57.4,0.98,1,0.037369,0.341303,-0.93921,-0.034082,0.321174,-0.946407,0.002,0.338
576,57.5,0.98,1,0.038768,0.33491,-0.941452,-0.026065,0.312019,-0.949718,0.007,0.33
577,57.6,0.98,1,0.030125,0.343704,-0.938595,-0.035577,0.280279,-0.959259,-0.003,0.318
