frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2790,278.9,0.98,1,0.109055,0.217213,-0.970013,-0.032397,0.200264,-0.979206,0.039,0.211
2791,279.0,0.98,1,0.062677,0.169071,-0.983609,-0.096754,0.225921,-0.969329,-0.017,0.2
2792,279.1,0.98,1,0.091885,0.161608,-0.982568,-0.063458,0.220579,-0.973303,0.015,0.193
2793,279.2,0.98,1,0.094028,0.158368,-0.982893,-0.061844,0.213812,-0.974915,0.016,0.188
2794,279.3,0.98,1,0.090323,0.15022,-0.984518,-0.06919,0.212525,-0.974703,0.011,0.183
2795,279.4,0.98,1,0.09167,0.185718,-0.978318,-0.063622,0.21762,-0.973958,0.014,0.204
2796,279.5,0.98,1,0.084787,0.188086,-0.978486,-0.088571,0.202195,-0.975332,-0.002,0.197
2797,279.6,0.98,1,0.057298,0.200554,-0.978006,-0.075045,0.223257,-0.971866,-0.009,0.214
2798,279.7,0.98,1,0.058183,0.207019,-0.976605,-0.085045,0.219802,-0.97183,-0.014,0.216
2799,279.8,0.98,1,0.070281,0.165728,-0.983664,-0.110461,0.210532,-0.971326,-0.021,0.19
2800,279.9,0.98,1,0.071538,0.16502,-0.983692,-0.122613,0.229001,-0.965673,-0.026,0.199
2801,280.0,0.98,1,0.070207,0.168663,-0.98317,-0.120993,0.224543,-0.966923,-0.026,0.199
2802,280.1,0.98,1,0.047019,0.183881,-0.981823,-0.105703,0.210209,-0.971925,-0.03,0.199
2803,280.2,0.98,1,0.025257,0.208111,-0.977779,-0.107712,0.250694,-0.962055,-0.042,0.232
2804,280.3,0.98,1,0.107339,0.304966,-0.946295,-0.157933,0.286789,-0.944886,-0.027,0.303
2805,280.4,0.98,1,0.041549,0.258347,-0.965158,-0.072895,0.196331,-0.977824,-0.016,0.23
2806,280.5,0.98,1,0.055273,0.198542,-0.978533,-0.096626,0.173883,-0.980014,-0.021,0.188
2807,280.6,0.98,1,0.058777,0.198776,-0.978281,-0.093992,0.161175,-0.98244,-0.018,0.182
2808,280.7,0.98,1,0.066913,0.178074,-0.981739,-0.08773,0.163041,-0.982711,-0.011,0.172
2809,280.8,0.98,1,0.057785,0.199039,-0.978286,-0.049591,0.189964,-0.980538,0.004,0.196
2810,280.9,0.98,1,0.047994,0.201992,-0.97821,-0.063013,0.206545,-0.976406,-0.008,0.206
2811,281.0,0.98,1,0.050034,0.205797,-0.977315,-0.066228,0.204872,-0.976546,-0.008,0.207
2812,281.1,0.98,1,0.050361,0.208476,-0.97673,-0.062267,0.183152,-0.981111,-0.006,0.197
2813,281.2,0.98,1,0.070088,0.296978,-0.952309,-0.244914,0.220599,-0.944115,-0.092,0.266
2814,281.3,0.98,1,0.087434,0.238933,-0.967092,-0.067928,0.217254,-0.973749,0.01,0.231
2815,281.4,0.98,1,0.045217,0.231817,-0.971708,-0.083663,0.225314,-0.970687,-0.02,0.231
2816,281.5,0.98,1,0.028598,0.21956,-0.97518,-0.087872,0.236195,-0.967724,-0.03,0.23
2817,281.6,0.98,1,0.052344,0.275669,-0.959826,-0.147178,0.295692,-0.943878,-0.05,0.292
