frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1993,199.2,0.98,1,0.174057,0.028885,-0.984312,-0.00304,-0.047123,-0.998884,0.086,-0.009
1994,199.3,0.98,1,0.158837,0.019381,-0.987114,-0.010997,-0.043127,-0.999009,0.074,-0.012
1995,199.4,0.98,1,0.205355,0.001161,-0.978687,-0.000552,-0.041433,-0.999141,0.103,-0.02
1996,199.5,0.98,1,0.174128,-0.055288,-0.98317,-0.05655,-0.034393,-0.997807,0.059,-0.045
1997,199.6,0.98,1,0.154678,-0.003791,-0.987958,0.009679,-0.009623,-0.999907,0.082,-0.007
1998,199.7,0.98,1,0.225888,-0.063704,-0.972068,-0.00798,-0.03063,-0.999499,0.11,-0.048
1999,199.8,0.98,1,0.181603,-0.033699,-0.982794,-0.033875,-0.039697,-0.998637,0.074,-0.037
2000,199.9,0.98,1,0.185224,-0.02787,-0.982301,0.001779,-0.041058,-0.999155,0.094,-0.035
2001,200.0,0.98,1,0.185645,-0.006345,-0.982596,0.012354,-0.03699,-0.999239,0.1,-0.022
2002,200.1,0.98,1,0.187762,-0.022286,-0.981962,-0.055495,-0.040515,-0.997637,0.067,-0.032
2003,200.2,0.98,1,0.170433,-0.04467,-0.984356,-0.016518,-0.109701,-0.993827,0.078,-0.078
2004,200.3,0.98,1,0.176959,-0.058163,-0.982498,-0.00915,-0.111694,-0.993701,0.085,-0.086
2005,200.4,0.98,1,0.16125,-0.031493,-0.986411,-0.042959,-0.08077,-0.995807,0.06,-0.057
2006,200.5,0.98,1,0.182817,-0.031231,-0.982651,-0.042651,-0.066636,-0.996865,0.071,-0.049
2007,200.6,0.98,1,0.189207,-0.015624,-0.981813,-0.032824,-0.04789,-0.998313,0.079,-0.032
2008,200.7,0.98,1,0.176207,-0.010576,-0.984296,-0.058023,-0.046542,-0.99723,0.06,-0.029
2009,200.8,0.98,1,0.181479,-0.025847,-0.983055,-0.061448,-0.060207,-0.996293,0.061,-0.043
2010,200.9,0.98,1,0.183171,-0.0066,-0.983059,-0.016555,-0.052558,-0.998481,0.084,-0.03
2011,201.0,0.98,1,0.202814,-0.013854,-0.979119,-0.032792,-0.028415,-0.999058,0.086,-0.021
2012,201.1,0.98,1,0.167071,-0.038133,-0.985207,-0.084384,-0.059967,-0.994627,0.042,-0.05
2013,201.2,0.98,1,0.159616,-0.027295,-0.986802,-0.081171,-0.097208,-0.991949,0.04,-0.063
2014,201.3,0.98,1,0.140757,-0.02059,-0.98983,-0.140509,-0.03168,-0.989572,0.0,-0.026
2015,201.4,0.98,1,0.140666,-0.073904,-0.987295,-0.13973,-0.056624,-0.988569,0.0,-0.066
2016,201.5,0.98,1,0.094267,-0.055405,-0.994004,-0.163909,-0.019692,-0.986279,-0.035,-0.038
2017,201.6,0.98,1,0.124549,-0.065512,-0.990048,-0.140439,-0.008338,-0.990054,-0.008,-0.037
2018,201.7,0.98,1,0.115157,-0.07622,-0.990419,-0.138437,-0.003047,-0.990367,-0.012,-0.04
2019,201.8,0.98,1,0.131505,-0.03949,-0.990529,-0.101019,-0.056345,-0.993288,0.015,-0.048
2020,201.9,0.98,1,0.0784,-0.044201,-0.995942,-0.091644,-0.06372,-0.993751,-0.007,-0.054
2021,202.0,0.98,1,0.074395,-0.076552,-0.994286,-0.112318,-0.084493,-0.990073,-0.019,-0.081
2022,202.1,0.98,1,0.087268,-0.033543,-0.99562,-0.120757,-0.062291,-0.990726,-0.017,-0.048
2023,202.2,0.98,1,0.058664,-0.062688,-0.996308,-0.08749,-0.043871,-0.995199,-0.014,-0.053
2024,202.3,0.98,1,0.103249,-0.022631,-0.994398,-0.114878,-0.040847,-0.992539,-0.006,-0.032
2025,202.4,0.98,1,0.119427,-0.015345,-0.992724,-0.137473,-0.032512,-0.989972,-0.009,-0.024
2026,202.5,0.98,1,0.073066,-0.086852,-0.993538,-0.133,-0.0869,-0.987299,-0.03,-0.087
2027,202.6,0.98,1,0.024625,-0.107167,-0.993936,-0.158038,-0.099003,-0.982457,-0.067,-0.104
2028,202.7,0.98,1,0.009015,-0.134725,-0.990842,-0.138597,-0.067624,-0.988037,-0.065,-0.102
2029,202.8,0.98,1,0.032543,-0.124312,-0.991709,-0.129981,-0.076149,-0.988588,-0.049,-0.101
2030,202.9,0.98,1,0.02153,-0.082904,-0.996325,-0.138062,-0.032672,-0.989884,-0.059,-0.058
2031,203.0,0.98,1,0.048979,-0.046214,-0.99773,-0.148764,-0.025059,-0.988555,-0.05,-0.036
2032,203.1,0.98,1,0.039205,-0.006526,-0.99921,-0.110048,-0.022425,-0.993673,-0.036,-0.015
2033,203.2,0.98,1,0.067298,0.011962,-0.997661,-0.144589,-0.01009,-0.98944,-0.039,0.001
2034,203.3,0.98,1,0.043228,0.038495,-0.998323,-0.137793,-0.010278,-0.990408,-0.048,0.014
2035,203.4,0.98,1,0.068125,0.03357,-0.997112,-0.135019,0.001698,-0.990842,-0.034,0.018
2036,203.5,0.98,1,0.135561,0.047562,-0.989627,-0.004928,-0.028021,-0.999595,0.066,0.01
2037,203.6,0.98,1,0.171715,-0.002953,-0.985142,0.061992,0.004164,-0.998068,0.117,0.001
2038,203.7,0.98,1,0.226676,0.012217,-0.973894,0.046599,0.001055,-0.998913,0.138,0.007
2039,203.8,0.98,1,0.209416,-0.01235,-0.977749,0.046376,-0.012749,-0.998843,0.129,-0.013
2040,203.9,0.98,1,0.227221,-0.035228,-0.973206,0.042339,-0.02466,-0.998799,0.136,-0.03
2041,204.0,0.98,1,0.225581,-0.054482,-0.9727,0.014308,-0.024388,-0.9996,0.121,-0.04
2042,204.1,0.98,1,0.204741,-0.066433,-0.976559,0.031074,-0.021445,-0.999287,0.119,-0.044
