frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2875,287.4,0.98,1,0.027007,0.416488,-0.90874,-0.093484,0.422572,-0.901495,-0.037,0.434
2876,287.5,0.98,1,0.03329,0.42201,-0.90598,-0.087227,0.434504,-0.896436,-0.03,0.444
2877,287.6,0.98,1,0.022543,0.410456,-0.911602,-0.073612,0.436408,-0.896732,-0.028,0.438
2878,287.7,0.98,1,0.074248,0.455074,-0.887353,-0.088751,0.501453,-0.86062,-0.008,0.501
2879,287.8,0.98,1,0.058328,0.457923,-0.887076,-0.146396,0.536272,-0.831252,-0.051,0.525
2880,287.9,0.98,1,0.066321,0.491531,-0.868331,-0.112231,0.516724,-0.848764,-0.027,0.531
2881,288.0,0.98,1,0.018582,0.418216,-0.908158,-0.07345,0.467998,-0.880672,-0.031,0.46
2882,288.1,0.98,1,0.028386,0.423191,-0.905596,-0.091486,0.476712,-0.874286,-0.035,0.468
2883,288.2,0.98,1,0.038079,0.419352,-0.907025,-0.045517,0.440673,-0.896513,-0.004,0.445
2884,288.3,0.98,1,0.032745,0.417057,-0.90829,-0.038656,0.453059,-0.890642,-0.003,0.451
2885,288.4,0.98,1,0.046928,0.404968,-0.913126,-0.07083,0.459429,-0.885386,-0.013,0.448
2886,288.5,0.98,1,0.026208,0.424472,-0.905062,-0.064183,0.453861,-0.888758,-0.021,0.455
2887,288.6,0.98,1,0.030617,0.435181,-0.899822,-0.082469,0.468376,-0.879672,-0.029,0.47
2888,288.7,0.98,1,0.03545,0.43152,-0.901407,-0.074907,0.467184,-0.880981,-0.022,0.467
2889,288.8,0.98,1,0.024445,0.434104,-0.900531,-0.06541,0.47557,-0.877243,-0.023,0.473
2890,288.9,0.98,1,0.036859,0.429094,-0.902508,-0.061786,0.471491,-0.879704,-0.014,0.468
2891,289.0,0.98,1,0.024996,0.412321,-0.910696,-0.067585,0.42851,-0.901006,-0.024,0.435
2892,289.1,0.98,1,0.030043,0.422226,-0.905993,-0.061917,0.444953,-0.893411,-0.018,0.449
2893,289.2,0.98,1,0.027664,0.427253,-0.903709,-0.08702,0.457861,-0.884755,-0.033,0.46
2894,289.3,0.98,1,0.031917,0.43794,-0.898438,-0.075369,0.469792,-0.879554,-0.024,0.472
2895,289.4,0.98,1,0.028866,0.443169,-0.895973,-0.110733,0.446513,-0.887899,-0.046,0.463
2896,289.5,0.98,1,0.001477,0.440652,-0.897677,-0.084034,0.463309,-0.882204,-0.046,0.47
2897,289.6,0.98,1,0.027744,0.457173,-0.888945,-0.068933,0.472845,-0.878445,-0.023,0.484
