frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
489,48.8,0.98,1,0.07718,0.417825,-0.905243,-0.080447,0.495617,-0.864808,-0.002,0.476
490,48.9,0.98,1,0.111347,0.455448,-0.883272,-0.178318,0.56853,-0.803104,-0.04,0.546
491,49.0,0.98,1,0.084614,0.408436,-0.908857,-0.076961,0.443358,-0.893034,0.004,0.442
492,49.1,0.98,1,0.054276,0.405486,-0.912488,-0.121734,0.454459,-0.88241,-0.038,0.447
493,49.2,0.98,1,0.101221,0.387689,-0.916216,-0.137749,0.428405,-0.893025,-0.02,0.424
494,49.3,0.98,1,0.060147,0.451713,-0.890134,-0.120216,0.469526,-0.874696,-0.034,0.481
495,49.4,0.98,1,0.064895,0.450908,-0.890208,-0.108985,0.461815,-0.880255,-0.025,0.476
496,49.5,0.98,1,0.128092,0.387078,-0.913106,-0.110729,0.445336,-0.888491,0.01,0.433
497,49.6,0.98,1,0.077103,0.401354,-0.912672,-0.114253,0.44551,-0.887957,-0.021,0.44
498,49.7,0.98,1,0.069375,0.387487,-0.919261,-0.086333,0.469318,-0.878799,-0.009,0.445
499,49.8,0.98,1,0.079557,0.423021,-0.90262,-0.093561,0.464496,-0.880619,-0.008,0.462
500,49.9,0.98,1,0.073296,0.419459,-0.90481,-0.093509,0.448947,-0.888652,-0.011,0.451
501,50.0,0.98,1,0.07555,0.439173,-0.89522,-0.112129,0.459363,-0.881143,-0.021,0.468
502,50.1,0.98,1,0.119116,0.418473,-0.900384,-0.104276,0.485112,-0.868213,0.008,0.472
503,50.2,0.98,1,0.116384,0.441488,-0.889687,-0.092632,0.480628,-0.872018,0.013,0.482
504,50.3,0.98,1,0.120018,0.439714,-0.890083,-0.102755,0.469594,-0.876883,0.01,0.475
505,50.4,0.98,1,0.055194,0.476069,-0.877674,-0.112708,0.474544,-0.872986,-0.033,0.497
506,50.5,0.98,1,0.047689,0.47259,-0.879991,-0.106451,0.505628,-0.856159,-0.034,0.513
507,50.6,0.98,1,0.046249,0.473936,-0.879344,-0.123444,0.496037,-0.859482,-0.044,0.509
508,50.7,0.98,1,0.050904,0.477377,-0.877223,-0.112774,0.477144,-0.87156,-0.035,0.5
509,50.8,0.98,1,0.053957,0.460406,-0.886067,-0.10895,0.466586,-0.87774,-0.031,0.484
510,50.9,0.98,1,0.052221,0.462204,-0.885234,-0.130784,0.445904,-0.885475,-0.044,0.474
511,51.0,0.98,1,0.062958,0.459786,-0.885795,-0.090333,0.468419,-0.878876,-0.016,0.484
512,51.1,0.98,1,0.076019,0.453395,-0.888062,-0.112037,0.484637,-0.867511,-0.021,0.491
513,51.2,0.98,1,0.070555,0.432947,-0.898654,-0.09853,0.462546,-0.881103,-0.016,0.466
514,51.3,0.98,1,0.132952,0.427781,-0.894051,-0.087774,0.482242,-0.87163,0.026,0.476
515,51.4,0.98,1,0.129944,0.431069,-0.892913,-0.099329,0.462887,-0.880834,0.017,0.467
516,51.5,0.98,1,0.099729,0.415956,-0.9039,-0.089028,0.462573,-0.8821,0.006,0.457
517,51.6,0.98,1,0.120841,0.412156,-0.903064,-0.09107,0.449267,-0.888744,0.017,0.448
518,51.7,0.98,1,0.090867,0.414589,-0.905461,-0.095223,0.466676,-0.879287,-0.002,0.459
519,51.8,0.98,1,0.085409,0.403336,-0.911057,-0.096334,0.456203,-0.884646,-0.006,0.446
