frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2174,217.3,0.98,1,0.177662,0.287589,-0.941131,0.087322,0.206566,-0.974528,0.137,0.252
2175,217.4,0.98,1,0.183013,0.28891,-0.939701,0.083255,0.214641,-0.973138,0.138,0.257
2176,217.5,0.98,1,0.233298,0.282246,-0.930542,0.141474,0.24573,-0.958959,0.196,0.272
2177,217.6,0.98,1,0.23247,0.271093,-0.934059,0.144347,0.238671,-0.960313,0.196,0.263
2178,217.7,0.98,1,0.23825,0.275516,-0.931304,0.138738,0.247791,-0.958828,0.197,0.27
2179,217.8,0.98,1,0.210706,0.271106,-0.939204,0.109486,0.233498,-0.966174,0.166,0.259
2180,217.9,0.98,1,0.204241,0.263385,-0.942822,0.10732,0.229229,-0.967438,0.162,0.252
2181,218.0,0.98,1,0.230068,0.290448,-0.928821,0.072676,0.229415,-0.970612,0.158,0.267
2182,218.1,0.98,1,0.163746,0.257229,-0.952376,0.095679,0.219058,-0.971009,0.134,0.243
2183,218.2,0.98,1,0.17769,0.269958,-0.946334,0.070408,0.21713,-0.9736,0.129,0.248
2184,218.3,0.98,1,0.139492,0.258184,-0.955972,0.07468,0.187369,-0.979447,0.11,0.226
2185,218.4,0.98,1,0.133269,0.274359,-0.952348,0.075461,0.186514,-0.97955,0.108,0.234
2186,218.5,0.98,1,0.130261,0.271423,-0.953605,0.071766,0.187454,-0.979648,0.104,0.233
2187,218.6,0.98,1,0.296559,0.352123,-0.887728,-0.128877,0.254774,-0.958374,0.091,0.318
2188,218.7,0.98,1,0.246999,0.360115,-0.899616,0.012896,0.228631,-0.973428,0.138,0.305
2189,218.8,0.98,1,0.2336,0.27099,-0.933807,0.103186,0.185451,-0.977221,0.174,0.234
2190,218.9,0.98,1,0.24365,0.266231,-0.932607,0.114453,0.203751,-0.97231,0.186,0.242
2191,219.0,0.98,1,0.23345,0.294443,-0.926717,0.123704,0.259177,-0.957875,0.187,0.286
2192,219.1,0.98,1,0.233674,0.299353,-0.925086,0.120577,0.252713,-0.959999,0.186,0.285
2193,219.2,0.98,1,0.207911,0.311476,-0.92723,0.149328,0.238434,-0.95961,0.187,0.284
2194,219.3,0.98,1,0.141574,0.291058,-0.946172,0.108227,0.191264,-0.975554,0.129,0.246
2195,219.4,0.98,1,0.14084,0.32312,-0.935819,0.06651,0.232924,-0.970218,0.108,0.284
2196,219.5,0.98,1,0.124009,0.329358,-0.936026,0.110062,0.282005,-0.953079,0.123,0.313
2197,219.6,0.98,1,0.13526,0.324199,-0.936269,0.139059,0.313062,-0.939497,0.145,0.327
2198,219.7,0.98,1,0.126876,0.319951,-0.9389,0.109066,0.286506,-0.95185,0.124,0.31
2199,219.8,0.98,1,0.138961,0.332271,-0.932891,0.108337,0.328744,-0.938185,0.131,0.34
2200,219.9,0.98,1,0.15269,0.346199,-0.925652,0.124015,0.345248,-0.930282,0.148,0.357
2201,220.0,0.98,1,0.156826,0.360091,-0.919641,0.113915,0.348125,-0.930501,0.145,0.366
2202,220.1,0.98,1,0.154737,0.366012,-0.917656,0.118556,0.356135,-0.926883,0.147,0.373
2203,220.2,0.98,1,0.149721,0.346895,-0.925877,0.095509,0.324167,-0.941166,0.131,0.345
2204,220.3,0.98,1,0.167865,0.349972,-0.921597,0.112348,0.308122,-0.94469,0.149,0.339
2205,220.4,0.98,1,0.153905,0.297559,-0.942217,0.054328,0.245211,-0.967946,0.109,0.277
2206,220.5,0.98,1,0.186588,0.347558,-0.918906,0.07271,0.268007,-0.960669,0.137,0.316
2207,220.6,0.98,1,0.1949,0.334034,-0.92219,0.084265,0.255753,-0.963063,0.147,0.303
2208,220.7,0.98,1,0.148522,0.297671,-0.943045,0.062239,0.248952,-0.966514,0.11,0.279
2209,220.8,0.98,1,0.139298,0.28742,-0.947621,0.062617,0.26352,-0.962619,0.105,0.281
2210,220.9,0.98,1,0.160649,0.30667,-0.938161,0.059253,0.263707,-0.962781,0.115,0.292
2211,221.0,0.98,1,0.172745,0.328211,-0.928675,0.061261,0.27647,-0.959068,0.123,0.31
2212,221.1,0.98,1,0.260443,0.37316,-0.890461,0.053907,0.270441,-0.961226,0.168,0.335
2213,221.2,0.98,1,0.25399,0.353684,-0.900221,0.056048,0.242514,-0.968527,0.164,0.309
2214,221.3,0.98,1,0.269025,0.355914,-0.894958,0.132637,0.294328,-0.946456,0.215,0.339
2215,221.4,0.98,1,0.24477,0.3628,-0.899146,0.121672,0.267515,-0.955841,0.195,0.328
2216,221.5,0.98,1,0.261492,0.339816,-0.903409,0.102086,0.207751,-0.97284,0.191,0.284
2217,221.6,0.98,1,0.209336,0.358717,-0.909671,0.106042,0.215935,-0.970632,0.166,0.297
