frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
389,38.8,0.88,1,-0.016509,-0.056052,-0.998291,-0.111348,-0.02973,-0.993337,-0.064,-0.043
390,38.9,0.88,1,-0.054197,-0.104655,-0.993031,-0.095144,-0.05268,-0.994069,-0.075,-0.079
391,39.0,0.98,1,-0.016825,-0.110943,-0.993684,-0.053047,-0.012088,-0.998519,-0.035,-0.062
392,39.1,0.88,1,0.04848,-0.115397,-0.992136,-0.072005,-0.005568,-0.997389,-0.012,-0.061
393,39.2,0.88,1,-0.022929,-0.073473,-0.997034,-0.091397,0.024465,-0.995514,-0.057,-0.025
394,39.3,0.98,1,-0.012921,-0.050076,-0.998662,-0.092538,-0.003227,-0.995704,-0.053,-0.027
395,39.4,0.98,1,0.033191,-0.061091,-0.99758,-5e-06,-0.039491,-0.99922,0.017,-0.05
396,39.5,0.98,1,-0.019194,-0.072449,-0.997187,-0.185727,0.023338,-0.982324,-0.103,-0.025
397,39.6,0.98,1,-0.053419,-0.073215,-0.995884,-0.096469,-0.035119,-0.994716,-0.075,-0.054
398,39.7,0.88,1,-0.021439,-0.079965,-0.996567,-0.109116,-0.074317,-0.991247,-0.066,-0.077
399,39.8,0.98,1,-0.058237,-0.060026,-0.996496,-0.141883,-0.050124,-0.988614,-0.1,-0.055
400,39.9,0.98,1,-0.059067,0.002309,-0.998251,-0.146169,0.019549,-0.989066,-0.103,0.011
401,40.0,0.98,1,-0.090599,-0.03333,-0.99533,-0.144912,0.069344,-0.987012,-0.118,0.018
402,40.1,0.98,1,-0.085344,-0.053945,-0.99489,-0.124921,0.006147,-0.992148,-0.105,-0.024
403,40.2,0.98,1,-0.096688,-0.053615,-0.99387,-0.129804,0.047101,-0.99042,-0.114,-0.003
404,40.3,0.98,1,-0.088724,-0.02758,-0.995674,-0.138877,0.020119,-0.990105,-0.114,-0.004
405,40.4,0.98,1,-0.07614,-0.050107,-0.995837,-0.116076,0.038444,-0.992496,-0.096,-0.006
406,40.5,0.98,1,-0.008763,0.021129,-0.999738,-0.032497,0.027057,-0.999106,-0.021,0.024
407,40.6,0.98,1,0.004365,-0.042752,-0.999076,-0.173664,-0.060385,-0.982952,-0.085,-0.052
408,40.7,0.98,1,0.009472,-0.049936,-0.998707,-0.046902,-0.059099,-0.99715,-0.019,-0.055
409,40.8,0.98,1,-0.015324,-0.014415,-0.999779,-0.062225,-0.035314,-0.997437,-0.039,-0.025
410,40.9,0.98,1,-0.01767,-0.063682,-0.997814,-0.064056,-0.043382,-0.997003,-0.041,-0.054
411,41.0,0.98,1,0.004216,-0.041586,-0.999126,-0.133996,-0.05805,-0.98928,-0.065,-0.05
412,41.1,0.98,1,0.020727,-0.063583,-0.997761,-0.075637,-0.082457,-0.99372,-0.028,-0.073
413,41.2,0.98,1,-0.008371,-0.040128,-0.99916,-0.05987,-0.07418,-0.995446,-0.034,-0.057
414,41.3,0.98,1,0.042824,-0.068632,-0.996723,-0.13434,-0.034212,-0.990344,-0.046,-0.052
415,41.4,0.98,1,-0.040598,-0.017652,-0.99902,-0.09289,-0.017169,-0.995528,-0.067,-0.017
416,41.5,0.98,1,-0.04067,-0.074457,-0.996395,-0.109875,-0.036942,-0.993259,-0.076,-0.056
417,41.6,0.98,1,-0.027896,-0.015921,-0.999484,-0.07981,0.066475,-0.994591,-0.054,0.025
418,41.7,0.98,1,-0.039396,-0.116372,-0.992424,-0.104917,-0.05978,-0.992683,-0.073,-0.089
419,41.8,0.98,1,0.031662,-0.016039,-0.99937,-0.144729,0.062653,-0.987486,-0.057,0.023
420,41.9,0.98,1,0.049733,0.091523,-0.99456,-0.088421,0.188873,-0.978013,-0.02,0.141
421,42.0,0.98,1,-0.002661,0.080872,-0.996721,-0.051098,0.04233,-0.997796,-0.027,0.062
422,42.1,0.98,1,0.000105,-0.049704,-0.998764,-0.058173,-0.042484,-0.997402,-0.029,-0.046
423,42.2,0.98,1,0.001578,-0.036802,-0.999321,-0.130129,0.024936,-0.991184,-0.064,-0.006
424,42.3,0.98,1,0.001704,-0.062053,-0.998071,-0.081969,-0.028713,-0.996221,-0.04,-0.045
425,42.4,0.98,1,-0.024438,-0.055639,-0.998152,-0.099217,-0.001019,-0.995065,-0.062,-0.028
426,42.5,0.98,1,-0.015112,-0.044794,-0.998882,-0.03829,0.005448,-0.999252,-0.027,-0.02
427,42.6,0.98,1,-0.004979,-0.048844,-0.998794,-0.05507,-0.023711,-0.998201,-0.03,-0.036
428,42.7,0.98,1,-0.01669,-0.020155,-0.999658,-0.085687,-0.021964,-0.99608,-0.051,-0.021
429,42.8,0.98,1,0.012368,-0.056086,-0.998349,-0.065111,0.018291,-0.99771,-0.026,-0.019
430,42.9,0.98,1,-0.042514,-0.052156,-0.997734,-0.091059,-0.012266,-0.99577,-0.067,-0.032
431,43.0,0.98,1,0.011618,-0.03706,-0.999246,-0.129636,0.02672,-0.991202,-0.059,-0.005
432,43.1,0.98,1,0.027748,-0.014779,-0.999506,-0.091312,0.000235,-0.995822,-0.032,-0.007
433,43.2,0.98,1,-0.008654,-0.033107,-0.999414,-0.104244,-0.030378,-0.994088,-0.057,-0.032
434,43.3,0.98,1,0.020502,-0.058461,-0.998079,-0.093607,0.002129,-0.995607,-0.037,-0.028
435,43.4,0.98,1,-0.008011,-0.04214,-0.99908,-0.09452,-0.006213,-0.995504,-0.051,-0.024
436,43.5,0.98,1,-0.028756,0.016852,-0.999444,-0.091922,-0.020494,-0.995555,-0.06,-0.002
437,43.6,0.98,1,-0.035692,-0.00488,-0.999351,-0.100035,-0.016936,-0.99484,-0.068,-0.011
438,43.7,0.98,1,0.001874,0.057493,-0.998344,-0.094444,0.031952,-0.995017,-0.046,0.045
439,43.8,0.98,1,-0.035149,-0.017529,-0.999228,-0.058765,-0.014586,-0.998165,-0.047,-0.016
440,43.9,0.98,1,0.002037,-0.016099,-0.999868,-0.127047,-0.022964,-0.991631,-0.063,-0.02
441,44.0,0.98,1,-0.028303,-0.013061,-0.999514,-0.070271,-0.001896,-0.997526,-0.049,-0.007
442,44.1,0.98,1,-0.027711,-0.014711,-0.999508,-0.056347,-0.002469,-0.998408,-0.042,-0.009
443,44.2,0.98,1,-0.061631,-0.039439,-0.997319,-0.085625,0.003904,-0.99632,-0.074,-0.018
444,44.3,0.98,1,-0.052229,0.066391,-0.996426,-0.074162,0.039609,-0.996459,-0.063,0.053
445,44.4,0.98,1,0.007149,-0.035576,-0.999341,-0.06118,0.044129,-0.997151,-0.027,0.004
446,44.5,0.98,1,0.031716,-0.005627,-0.999481,-0.089243,0.033578,-0.995444,-0.029,0.014
447,44.6,0.98,1,0.008284,0.008187,-0.999932,-0.064693,0.029518,-0.997469,-0.028,0.019
448,44.7,0.98,1,0.042123,-0.027389,-0.998737,-0.033008,0.000722,-0.999455,0.005,-0.013
449,44.8,0.98,1,-0.001001,0.028997,-0.999579,-0.068378,-0.002204,-0.997657,-0.035,0.013
450,44.9,0.98,1,0.02766,-0.045372,-0.998587,-0.098157,-0.014841,-0.99506,-0.035,-0.03
451,45.0,0.98,1,0.042243,-0.057336,-0.997461,-0.108363,-0.012913,-0.994027,-0.033,-0.035
452,45.1,0.98,1,0.019442,0.054731,-0.998312,-0.09244,0.036813,-0.995038,-0.037,0.046
453,45.2,0.98,1,0.042186,0.058997,-0.997366,-0.094738,0.057728,-0.993827,-0.026,0.059
454,45.3,0.98,1,0.014113,-0.031223,-0.999413,-0.180563,0.035616,-0.982918,-0.084,0.002
455,45.4,0.98,1,-0.00572,0.021047,-0.999762,-0.064541,0.038473,-0.997173,-0.035,0.03
456,45.5,0.98,1,-0.024223,0.006896,-0.999683,-0.110414,0.000165,-0.993886,-0.067,0.004
457,45.6,0.98,1,0.008278,0.027349,-0.999592,-0.094523,0.004672,-0.995512,-0.043,0.016
458,45.7,0.98,1,-0.020373,0.056931,-0.99817,-0.070144,0.09915,-0.992597,-0.045,0.078
459,45.8,0.98,1,0.047082,0.079889,-0.995691,-0.107231,0.026256,-0.993887,-0.03,0.053
460,45.9,0.98,1,0.063855,0.019081,-0.997777,-0.070821,0.017267,-0.99734,-0.003,0.018
461,46.0,0.98,1,0.031968,-0.01932,-0.999302,-0.113267,-0.010871,-0.993505,-0.041,-0.015
462,46.1,0.98,1,-0.008083,0.064938,-0.997857,-0.134707,0.024512,-0.990582,-0.072,0.045
463,46.2,0.98,1,-0.02342,-0.016982,-0.999581,-0.105936,0.021888,-0.994132,-0.065,0.002
464,46.3,0.98,1,-0.042946,0.051656,-0.997741,-0.086156,0.044206,-0.9953,-0.065,0.048
465,46.4,0.98,1,-0.012865,-0.044794,-0.998913,-0.152764,-0.015586,-0.98814,-0.083,-0.03
466,46.5,0.98,1,0.006524,0.034493,-0.999384,-0.078263,-0.007605,-0.996904,-0.036,0.013
467,46.6,0.98,1,0.014964,-0.017235,-0.999739,-0.078227,-0.019619,-0.996742,-0.032,-0.018
468,46.7,0.98,1,-0.005353,-0.013599,-0.999893,-0.066761,-0.02741,-0.997392,-0.036,-0.021
469,46.8,0.98,1,0.011756,-0.012628,-0.999851,-0.079284,-0.012691,-0.996771,-0.034,-0.013
470,46.9,0.98,1,0.018918,0.002707,-0.999817,-0.049613,0.061619,-0.996866,-0.015,0.032
471,47.0,0.98,1,0.007383,-0.001783,-0.999971,-0.076775,0.019319,-0.996861,-0.035,0.009
472,47.1,0.98,1,-0.016805,-0.02569,-0.999529,-0.052579,0.064452,-0.996535,-0.035,0.019
473,47.2,0.98,1,0.002628,-0.003055,-0.999992,-0.083029,0.02795,-0.996155,-0.04,0.012
474,47.3,0.98,1,0.013207,0.006086,-0.999894,-0.065386,0.028031,-0.997466,-0.026,0.017
475,47.4,0.98,1,-0.031096,0.013773,-0.999422,-0.122135,0.057781,-0.99083,-0.077,0.036
476,47.5,0.98,1,-0.001062,-0.008096,-0.999967,-0.060014,0.10028,-0.993148,-0.031,0.046
477,47.6,0.98,1,0.010946,0.0086,-0.999903,-0.041311,-0.022067,-0.998903,-0.015,-0.007
478,47.7,0.98,1,0.057142,-0.041713,-0.997494,-0.053407,-0.04154,-0.997708,0.002,-0.042
479,47.8,0.98,1,-0.031145,-0.011183,-0.999452,-0.058692,-0.044213,-0.997297,-0.045,-0.028
480,47.9,0.98,1,-0.005504,-0.073211,-0.997301,0.005176,-0.036285,-0.999328,-0.0,-0.055
481,48.0,0.98,1,0.001508,0.026231,-0.999655,-0.031939,0.006298,-0.99947,-0.015,0.016
482,48.1,0.98,1,-0.013317,0.009821,-0.999863,-0.133187,0.024115,-0.990798,-0.073,0.017
483,48.2,0.98,1,0.029219,0.026918,-0.999211,-0.046744,-0.017276,-0.998757,-0.009,0.005
484,48.3,0.98,1,0.007136,-0.028631,-0.999565,-0.071275,-0.017029,-0.997311,-0.032,-0.023
485,48.4,0.98,1,0.001297,-0.0602,-0.998186,-0.084758,-0.02973,-0.995958,-0.042,-0.045
486,48.5,0.98,1,-0.021271,-0.015796,-0.999649,-0.089856,-0.009942,-0.995905,-0.056,-0.013
487,48.6,0.98,1,0.033909,0.041935,-0.998545,-0.086673,0.044157,-0.995258,-0.026,0.043
488,48.7,0.98,1,0.028098,0.048834,-0.998412,-0.096685,0.031592,-0.994814,-0.034,0.04
489,48.8,0.98,1,0.035525,0.069701,-0.996935,-0.034485,0.006696,-0.999383,0.001,0.038
490,48.9,0.98,1,0.028993,-0.024532,-0.999279,-0.14501,-0.020416,-0.98922,-0.058,-0.023
491,49.0,0.98,1,-0.035124,0.035862,-0.998739,-0.067296,-0.004559,-0.997723,-0.051,0.016
492,49.1,0.98,1,-0.04144,0.004729,-0.99913,-0.039659,-0.017343,-0.999063,-0.041,-0.006
493,49.2,0.98,1,0.018772,-0.071688,-0.99725,-0.155744,-0.013216,-0.987709,-0.069,-0.043
494,49.3,0.98,1,0.013584,-0.0417,-0.999038,-0.139731,-0.018476,-0.990017,-0.063,-0.03
495,49.4,0.98,1,0.009539,-0.033977,-0.999377,-0.100091,0.005779,-0.994962,-0.045,-0.014
496,49.5,0.98,1,-0.038482,-0.031393,-0.998766,-0.110292,-0.014313,-0.993796,-0.075,-0.023
497,49.6,0.98,1,-0.009083,0.0192,-0.999774,-0.026862,-0.008063,-0.999607,-0.018,0.006
498,49.7,0.98,1,-0.007825,-0.014617,-0.999863,-0.0742,0.002271,-0.997241,-0.041,-0.006
499,49.8,0.98,1,-0.012531,-0.049278,-0.998706,-0.075746,-0.02154,-0.996894,-0.044,-0.035
500,49.9,0.98,1,0.040578,0.043262,-0.998239,-0.109911,-0.006026,-0.993923,-0.035,0.019
501,50.0,0.98,1,-0.047755,0.04994,-0.99761,-0.142,0.020036,-0.989664,-0.095,0.035
502,50.1,0.98,1,-0.048524,0.014127,-0.998722,-0.076578,0.070883,-0.994541,-0.063,0.043
