frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
777,77.6,0.98,1,0.151615,0.329067,-0.932056,0.039491,0.309914,-0.949944,0.101,0.327
778,77.7,0.98,1,0.134973,0.349908,-0.92701,0.00832,0.331825,-0.943304,0.076,0.35
779,77.8,0.98,1,0.139287,0.344876,-0.928256,0.00951,0.331385,-0.943448,0.079,0.347
780,77.9,0.98,1,0.108271,0.322345,-0.94041,-0.02938,0.318608,-0.947431,0.042,0.327
781,78.0,0.98,1,0.093226,0.320141,-0.942772,-0.043016,0.303923,-0.951725,0.026,0.318
782,78.1,0.98,1,0.070904,0.334926,-0.939573,-0.074485,0.33424,-0.93954,-0.002,0.342
783,78.2,0.98,1,0.06823,0.339549,-0.93811,-0.076589,0.338001,-0.938024,-0.004,0.347
784,78.3,0.98,1,0.068388,0.337176,-0.938954,-0.075757,0.335278,-0.939068,-0.004,0.344
785,78.4,0.98,1,0.075359,0.334315,-0.939444,-0.067979,0.33372,-0.940218,0.004,0.341
786,78.5,0.98,1,0.073176,0.335789,-0.93909,-0.071249,0.342423,-0.93684,0.001,0.347
787,78.6,0.98,1,0.059806,0.349192,-0.935141,-0.063242,0.346227,-0.936017,-0.002,0.356
788,78.7,0.98,1,0.055135,0.345341,-0.936856,-0.064638,0.34418,-0.936676,-0.005,0.353
789,78.8,0.98,1,0.056966,0.349435,-0.935227,-0.078646,0.344697,-0.935414,-0.012,0.355
790,78.9,0.98,1,0.054881,0.346696,-0.93637,-0.078847,0.335981,-0.938563,-0.013,0.349
791,79.0,0.98,1,0.049946,0.348083,-0.936132,-0.089392,0.337113,-0.937211,-0.021,0.351
792,79.1,0.98,1,0.062056,0.379337,-0.923175,-0.059034,0.366317,-0.928616,0.002,0.383
793,79.2,0.98,1,0.064338,0.383479,-0.921306,-0.0438,0.362047,-0.93113,0.011,0.383
794,79.3,0.98,1,0.081388,0.395857,-0.914698,-0.042847,0.361224,-0.931494,0.021,0.389
795,79.4,0.98,1,0.067484,0.37968,-0.922653,-0.067016,0.366696,-0.927924,0.0,0.383
796,79.5,0.98,1,0.067169,0.343857,-0.936617,-0.071952,0.327077,-0.942254,-0.003,0.343
797,79.6,0.98,1,0.058664,0.340852,-0.938285,-0.053596,0.317098,-0.946877,0.003,0.336
798,79.7,0.98,1,0.062891,0.346873,-0.935801,-0.067772,0.309327,-0.948538,-0.003,0.335
799,79.8,0.98,1,0.073978,0.339234,-0.937788,-0.046442,0.336645,-0.940486,0.015,0.345
800,79.9,0.98,1,0.057202,0.335854,-0.940175,-0.068155,0.299938,-0.951521,-0.006,0.324
801,80.0,0.98,1,0.055795,0.334202,-0.940848,-0.06564,0.299454,-0.95185,-0.005,0.323
802,80.1,0.98,1,0.049596,0.340481,-0.938942,-0.073645,0.314495,-0.946398,-0.013,0.334
803,80.2,0.98,1,0.063233,0.335354,-0.939968,-0.076746,0.322361,-0.9435,-0.007,0.336
804,80.3,0.98,1,0.052969,0.3361,-0.940336,-0.070224,0.312232,-0.947407,-0.009,0.331
805,80.4,0.98,1,0.069142,0.31536,-0.94645,-0.05499,0.292855,-0.954574,0.007,0.31
806,80.5,0.98,1,0.064375,0.31226,-0.947813,-0.059576,0.305054,-0.95047,0.003,0.314
807,80.6,0.98,1,0.065053,0.317205,-0.946123,-0.050262,0.309698,-0.949506,0.008,0.319
808,80.7,0.98,1,0.068997,0.331766,-0.940835,-0.046989,0.331984,-0.942114,0.012,0.339
809,80.8,0.98,1,0.054061,0.339714,-0.938974,-0.060007,0.336422,-0.939797,-0.003,0.345
810,80.9,0.98,1,0.103935,0.451748,-0.886071,-0.067925,0.389643,-0.918458,0.02,0.436
811,81.0,0.98,1,0.077844,0.467289,-0.880671,-0.101051,0.428597,-0.897827,-0.013,0.467
812,81.1,0.98,1,0.09408,0.355566,-0.929904,-0.0791,0.359435,-0.929812,0.008,0.367
813,81.2,0.98,1,0.059011,0.331509,-0.941605,-0.05026,0.304424,-0.95121,0.005,0.324
814,81.3,0.98,1,0.048944,0.346279,-0.936854,-0.066697,0.33637,-0.939365,-0.009,0.349
