frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1496,149.5,0.98,1,0.196884,0.212661,-0.957085,0.095509,0.240608,-0.965912,0.151,0.231
1497,149.6,0.98,1,0.20223,0.220684,-0.95415,0.102735,0.24409,-0.964296,0.158,0.238
1498,149.7,0.98,1,0.202031,0.223179,-0.953611,0.108873,0.199007,-0.973932,0.16,0.216
1499,149.8,0.98,1,0.204278,0.215471,-0.954905,0.112849,0.224886,-0.967828,0.163,0.225
1500,149.9,0.98,1,0.185217,0.213965,-0.959121,0.14065,0.226922,-0.963703,0.168,0.225
1501,150.0,0.98,1,0.228093,0.178653,-0.957108,0.150609,0.21811,-0.964233,0.195,0.204
1502,150.1,0.98,1,0.24964,0.174041,-0.95257,0.139219,0.210457,-0.967639,0.2,0.198
1503,150.2,0.98,1,0.208081,0.175427,-0.962251,0.161714,0.249225,-0.954848,0.191,0.218
1504,150.3,0.98,1,0.225238,0.18121,-0.957304,0.149837,0.233855,-0.960656,0.193,0.213
1505,150.4,0.98,1,0.23638,0.172444,-0.956236,0.171105,0.236542,-0.956437,0.21,0.211
1506,150.5,0.98,1,0.255437,0.15594,-0.954167,0.172576,0.234613,-0.956647,0.22,0.202
1507,150.6,0.98,1,0.20214,0.16872,-0.964714,0.140187,0.219643,-0.965456,0.176,0.199
1508,150.7,0.98,1,0.251515,0.213242,-0.94407,0.198508,0.281363,-0.938845,0.235,0.257
1509,150.8,0.98,1,0.258418,0.231601,-0.93786,0.178185,0.301375,-0.936709,0.229,0.277
1510,150.9,0.98,1,0.23342,0.18632,-0.954359,0.16916,0.257226,-0.95143,0.208,0.229
1511,151.0,0.98,1,0.248216,0.166837,-0.95423,0.163052,0.290289,-0.942946,0.213,0.236
1512,151.1,0.98,1,0.236818,0.177163,-0.955264,0.153929,0.255367,-0.954512,0.202,0.223
