frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
541,54.0,0.98,1,0.123042,0.38648,-0.914053,-0.022966,0.316972,-0.948157,0.054,0.361
542,54.1,0.98,1,0.120105,0.391794,-0.91218,-0.015499,0.310199,-0.950545,0.056,0.36
543,54.2,0.98,1,0.122696,0.388854,-0.913093,-0.029308,0.320117,-0.946925,0.05,0.364
544,54.3,0.98,1,0.128321,0.394263,-0.909995,-0.025548,0.322594,-0.946193,0.055,0.369
545,54.4,0.98,1,0.133707,0.394661,-0.909046,-0.028692,0.324456,-0.945466,0.057,0.37
546,54.5,0.98,1,0.111926,0.392169,-0.913059,-0.023254,0.318293,-0.947707,0.048,0.365
547,54.6,0.98,1,0.122857,0.379957,-0.916809,-0.018237,0.327308,-0.944742,0.056,0.363
548,54.7,0.98,1,0.112743,0.386577,-0.91534,-0.008463,0.321764,-0.946782,0.056,0.363
549,54.8,0.98,1,0.12299,0.37879,-0.917274,-0.016221,0.327669,-0.944653,0.057,0.363
550,54.9,0.98,1,0.105738,0.374472,-0.92119,-0.011321,0.318505,-0.947854,0.05,0.355
551,55.0,0.98,1,0.120503,0.373037,-0.919958,-0.020851,0.321842,-0.946564,0.053,0.356
552,55.1,0.98,1,0.115112,0.386343,-0.915144,-0.023417,0.321738,-0.946539,0.049,0.363
553,55.2,0.98,1,0.12286,0.391295,-0.912027,-0.023821,0.324935,-0.945436,0.053,0.368
554,55.3,0.98,1,0.118608,0.381857,-0.916579,-0.018389,0.316073,-0.948557,0.054,0.358
555,55.4,0.98,1,0.12075,0.394449,-0.91095,-0.014634,0.328966,-0.944229,0.057,0.372
556,55.5,0.98,1,0.1349,0.382412,-0.914092,0.011193,0.334006,-0.942504,0.079,0.368
557,55.6,0.98,1,0.135506,0.393508,-0.90928,0.023548,0.33358,-0.942428,0.086,0.374
558,55.7,0.98,1,0.113397,0.38053,-0.91779,0.018197,0.327025,-0.94484,0.071,0.363
559,55.8,0.98,1,0.107882,0.377793,-0.919584,0.001899,0.327887,-0.944715,0.059,0.362
560,55.9,0.98,1,0.125719,0.385785,-0.913983,-0.007997,0.342124,-0.939621,0.063,0.374
561,56.0,0.98,1,0.131642,0.382602,-0.914487,-0.001023,0.350425,-0.93659,0.07,0.377
562,56.1,0.98,1,0.145039,0.391207,-0.908802,0.004675,0.307208,-0.951631,0.08,0.359
563,56.2,0.98,1,0.115895,0.374749,-0.919854,0.034268,0.319019,-0.947129,0.08,0.356
564,56.3,0.98,1,0.051047,0.375141,-0.925561,0.066208,0.295048,-0.953186,0.062,0.343
565,56.4,0.98,1,0.206026,0.392074,-0.896566,-0.032723,0.274908,-0.960913,0.093,0.345
566,56.5,0.98,1,0.142991,0.399359,-0.905575,0.065462,0.251305,-0.965692,0.111,0.335
567,56.6,0.98,1,0.106213,0.374965,-0.920934,0.090108,0.259225,-0.961604,0.104,0.325
568,56.7,0.98,1,0.105553,0.366534,-0.924398,0.047638,0.277336,-0.959591,0.081,0.329
