frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2090,208.9,0.98,1,0.153202,0.272259,-0.94995,-0.003656,0.263478,-0.964658,0.078,0.273
2091,209.0,0.98,1,0.167789,0.265117,-0.949505,-0.007936,0.260242,-0.965511,0.083,0.268
2092,209.1,0.98,1,0.156437,0.260239,-0.952787,0.022907,0.269347,-0.962771,0.093,0.27
2093,209.2,0.98,1,0.138061,0.261138,-0.955377,0.039545,0.262421,-0.964143,0.092,0.266
2094,209.3,0.98,1,0.144447,0.256285,-0.955747,0.036966,0.260858,-0.964669,0.094,0.263
2095,209.4,0.98,1,0.143261,0.260015,-0.954918,0.028577,0.264402,-0.963989,0.089,0.267
2096,209.5,0.98,1,0.161256,0.267868,-0.949865,0.062178,0.276497,-0.959001,0.117,0.278
2097,209.6,0.98,1,0.096808,0.300472,-0.948865,-0.146037,0.29275,-0.944971,-0.026,0.304
2098,209.7,0.98,1,0.159086,0.331386,-0.929986,-0.048709,0.297347,-0.953526,0.059,0.322
2099,209.8,0.98,1,0.098267,0.247145,-0.963983,-0.033793,0.227202,-0.973261,0.033,0.24
2100,209.9,0.98,1,0.079313,0.219363,-0.972414,-0.064333,0.217314,-0.973979,0.008,0.221
2101,210.0,0.98,1,0.085573,0.193554,-0.977351,-0.075744,0.151734,-0.985515,0.005,0.174
2102,210.1,0.98,1,0.079877,0.181959,-0.980056,-0.086454,0.166071,-0.982317,-0.003,0.176
2103,210.2,0.98,1,0.135319,0.363057,-0.921888,-0.204098,0.320683,-0.924936,-0.037,0.355
2104,210.3,0.98,1,0.12418,0.36493,-0.922716,-0.147864,0.330318,-0.932216,-0.013,0.359
2105,210.4,0.98,1,0.156905,0.333721,-0.929522,-0.2087,0.316307,-0.925416,-0.028,0.337
2106,210.5,0.98,1,0.161906,0.268131,-0.94968,-0.078637,0.265277,-0.96096,0.044,0.272
2107,210.6,0.98,1,0.131587,0.25227,-0.958668,-0.028055,0.234915,-0.971611,0.054,0.247
2108,210.7,0.98,1,0.087691,0.244533,-0.965668,-0.021011,0.207183,-0.978077,0.034,0.228
2109,210.8,0.98,1,0.159837,0.297032,-0.941395,-0.018069,0.246484,-0.968978,0.074,0.277
2110,210.9,0.98,1,0.176888,0.302328,-0.936647,-0.008958,0.257317,-0.966286,0.088,0.286
2111,211.0,0.98,1,0.154975,0.302783,-0.940375,-0.033243,0.261489,-0.964634,0.064,0.288
2112,211.1,0.98,1,0.149044,0.303459,-0.941115,-0.116608,0.225816,-0.967166,0.017,0.271
2113,211.2,0.98,1,0.159142,0.292431,-0.942952,-0.067725,0.211204,-0.975093,0.048,0.257
2114,211.3,0.98,1,0.131844,0.302123,-0.944107,-0.148763,0.251106,-0.95646,-0.009,0.283
2115,211.4,0.98,1,0.096269,0.283889,-0.954012,-0.159101,0.215097,-0.963546,-0.033,0.255
2116,211.5,0.98,1,0.086615,0.291027,-0.952786,-0.121807,0.220784,-0.967687,-0.018,0.26
2117,211.6,0.98,1,0.088833,0.302617,-0.948964,-0.171889,0.30111,-0.93797,-0.044,0.31
2118,211.7,0.98,1,0.157374,0.27605,-0.948172,-0.121291,0.295417,-0.947638,0.019,0.293
2119,211.8,0.98,1,0.098038,0.312569,-0.944822,-0.0947,0.272045,-0.957613,0.002,0.298
2120,211.9,0.98,1,0.097893,0.293908,-0.950808,-0.084689,0.231017,-0.969257,0.007,0.267
2121,212.0,0.98,1,0.10646,0.2886,-0.951513,-0.122399,0.239463,-0.963159,-0.008,0.269
2122,212.1,0.98,1,0.090185,0.351744,-0.931742,-0.209643,0.402719,-0.890992,-0.065,0.392
2123,212.2,0.98,1,0.060566,0.363367,-0.929675,-0.194866,0.420456,-0.88614,-0.074,0.408
2124,212.3,0.98,1,0.122666,0.366902,-0.922137,-0.146362,0.391445,-0.908487,-0.013,0.393
2125,212.4,0.98,1,0.147501,0.339336,-0.929029,-0.118995,0.368634,-0.921927,0.015,0.365
2126,212.5,0.98,1,0.071502,0.365861,-0.927919,-0.095439,0.3691,-0.924476,-0.013,0.378
2127,212.6,0.93,1,0.080943,0.349151,-0.933564,-0.11283,0.375574,-0.919899,-0.017,0.373
2128,212.7,0.93,1,0.100918,0.342074,-0.934238,-0.131034,0.366732,-0.921053,-0.016,0.365
2129,212.8,0.98,1,0.115803,0.359582,-0.9259,-0.100134,0.383107,-0.91826,0.008,0.383
2130,212.9,0.98,1,0.060422,0.357127,-0.9321,-0.131842,0.38891,-0.911793,-0.039,0.384
2131,213.0,0.98,1,0.078563,0.352289,-0.932588,-0.197476,0.392427,-0.898334,-0.065,0.386
2132,213.1,0.98,1,0.103734,0.365028,-0.925199,-0.124802,0.370281,-0.920498,-0.011,0.379
2133,213.2,0.98,1,0.232443,0.137021,-0.96291,0.023134,0.142261,-0.989559,0.13,0.142
2134,213.3,0.98,1,0.248574,0.137616,-0.958787,0.037052,0.154032,-0.987371,0.146,0.149
2135,213.4,0.98,1,0.259777,0.165054,-0.951458,0.100017,0.189111,-0.976849,0.184,0.182
2136,213.5,0.98,1,0.233823,0.162588,-0.958589,0.096257,0.202086,-0.974626,0.169,0.186
2137,213.6,0.98,1,0.229001,0.178784,-0.956867,0.097413,0.18665,-0.977585,0.167,0.187
2138,213.7,0.98,1,0.233416,0.176374,-0.956247,0.102216,0.141922,-0.984586,0.171,0.163
2139,213.8,0.98,1,0.229132,0.174174,-0.957686,0.090475,0.145675,-0.985187,0.163,0.163
2140,213.9,0.98,1,0.229681,0.182301,-0.95604,0.079445,0.167685,-0.982634,0.158,0.179
2141,214.0,0.98,1,0.134843,0.319752,-0.937857,-0.158676,0.338284,-0.92757,-0.013,0.339
2142,214.1,0.98,1,0.199134,0.132025,-0.971038,0.113446,0.083264,-0.990049,0.158,0.109
2143,214.2,0.98,1,0.244712,0.130859,-0.960725,0.096161,0.114434,-0.988766,0.173,0.125
2144,214.3,0.98,1,0.102521,0.30305,-0.947444,-0.227535,0.357921,-0.905605,-0.067,0.343
2145,214.4,0.98,1,0.080433,0.401823,-0.912178,-0.198819,0.422301,-0.884383,-0.066,0.43
2146,214.5,0.88,1,0.109721,0.383464,-0.917015,-0.246851,0.508389,-0.824988,-0.079,0.473
2147,214.6,0.88,1,0.110709,0.383341,-0.916948,-0.243156,0.610519,-0.753752,-0.079,0.537
2148,214.7,0.93,1,0.16973,0.558385,-0.812033,-0.202145,0.593778,-0.778823,-0.02,0.627
2149,214.8,0.98,1,0.13496,0.520746,-0.842976,-0.21102,0.578697,-0.787769,-0.047,0.593
2150,214.9,0.98,1,0.130906,0.524192,-0.841479,-0.189053,0.568992,-0.800317,-0.035,0.587
2151,215.0,0.98,1,0.066236,0.450516,-0.890308,-0.047808,0.434956,-0.899182,0.01,0.459
2152,215.1,0.98,1,0.107324,0.397269,-0.911405,-0.108413,0.403871,-0.908369,-0.001,0.415
2153,215.2,0.98,1,0.107346,0.350207,-0.930501,-0.072714,0.345153,-0.935726,0.019,0.357
2154,215.3,0.98,1,0.118833,0.319991,-0.939939,-0.049981,0.310998,-0.949095,0.036,0.322
2155,215.4,0.98,1,0.074601,0.294399,-0.952767,-0.034476,0.26192,-0.964474,0.021,0.282
2156,215.5,0.98,1,0.05601,0.279897,-0.958395,-0.065802,0.25816,-0.963859,-0.005,0.273
2157,215.6,0.98,1,0.076363,0.288905,-0.954307,-0.086538,0.242344,-0.966323,-0.005,0.27
2158,215.7,0.98,1,0.074045,0.305846,-0.949197,-0.126465,0.283612,-0.950564,-0.028,0.301
2159,215.8,0.98,1,0.083029,0.305064,-0.948705,-0.100355,0.276312,-0.955814,-0.009,0.296
2160,215.9,0.98,1,0.086312,0.295631,-0.951395,-0.09899,0.283711,-0.953787,-0.007,0.295
2161,216.0,0.98,1,0.103288,0.303758,-0.947134,-0.07296,0.293146,-0.95328,0.016,0.304
2162,216.1,0.98,1,0.099826,0.313277,-0.944401,-0.085661,0.301642,-0.949565,0.007,0.314
2163,216.2,0.98,1,0.122571,0.353415,-0.927402,-0.067035,0.333729,-0.940282,0.03,0.353
2164,216.3,0.98,1,0.186936,0.405552,-0.894753,-0.158978,0.433965,-0.886792,0.016,0.44
2165,216.4,0.98,1,0.192306,0.379071,-0.905165,-0.133716,0.39659,-0.908205,0.032,0.404
2166,216.5,0.98,1,0.115439,0.374854,-0.919869,-0.082079,0.360111,-0.929292,0.018,0.378
2167,216.6,0.98,1,0.102025,0.345148,-0.932987,-0.068055,0.345652,-0.935892,0.018,0.354
2168,216.7,0.98,1,0.105399,0.324593,-0.939963,-0.05598,0.331002,-0.941968,0.026,0.335
2169,216.8,0.98,1,0.100596,0.353754,-0.929913,-0.109872,0.416543,-0.902452,-0.005,0.398
2170,216.9,0.98,1,0.098579,0.347271,-0.932569,-0.077275,0.401307,-0.912678,0.012,0.385
2171,217.0,0.98,1,0.110413,0.339199,-0.934213,-0.026105,0.347324,-0.937382,0.045,0.352
2172,217.1,0.98,1,0.09959,0.351976,-0.930696,-0.04735,0.377856,-0.924653,0.028,0.375
2173,217.2,0.98,1,0.087089,0.33295,-0.938914,-0.034049,0.357965,-0.933114,0.028,0.354
2174,217.3,0.98,1,0.094354,0.340539,-0.935484,-0.028986,0.357936,-0.933296,0.035,0.358
2175,217.4,0.98,1,0.173907,0.39317,-0.90287,-0.006565,0.408143,-0.912894,0.092,0.416
2176,217.5,0.98,1,0.168944,0.368536,-0.914133,-0.027368,0.390095,-0.920368,0.077,0.392
2177,217.6,0.93,1,0.133724,0.380099,-0.915228,0.018128,0.383022,-0.923561,0.082,0.393
2178,217.7,0.98,1,0.13678,0.35635,-0.924287,-0.05104,0.372529,-0.926616,0.046,0.375
2179,217.8,0.98,1,0.122956,0.34564,-0.930277,-0.067767,0.350222,-0.934212,0.03,0.357
2180,217.9,0.98,1,0.133612,0.36614,-0.920918,-0.054032,0.358741,-0.931872,0.043,0.373
2181,218.0,0.98,1,0.129264,0.333313,-0.933913,-0.060136,0.333315,-0.940896,0.037,0.342
2182,218.1,0.98,1,0.06206,0.381156,-0.922426,-0.181249,0.348754,-0.919521,-0.065,0.377
2183,218.2,0.98,1,0.090879,0.239897,-0.966535,-0.105317,0.254675,-0.961275,-0.007,0.251
2184,218.3,0.98,1,0.069127,0.250988,-0.965519,-0.019352,0.207989,-0.97794,0.026,0.232
2185,218.4,0.98,1,0.078052,0.161828,-0.983727,-0.079551,0.160653,-0.9838,-0.001,0.162
2186,218.5,0.98,1,0.061865,0.190914,-0.979655,-0.007982,0.184534,-0.982794,0.027,0.189
2187,218.6,0.98,1,0.047272,0.193745,-0.979912,-0.051356,0.21442,-0.975391,-0.002,0.206
2188,218.7,0.98,1,0.070008,0.320809,-0.944553,-0.120368,0.320115,-0.939701,-0.027,0.328
2189,218.8,0.98,1,0.098612,0.281221,-0.954563,-0.080102,0.26769,-0.96017,0.01,0.279
2190,218.9,0.98,1,0.074265,0.267172,-0.960783,-0.06043,0.265065,-0.962335,0.007,0.27
2191,219.0,0.98,1,0.066218,0.28716,-0.955591,-0.114056,0.282992,-0.952317,-0.025,0.29
2192,219.1,0.98,1,0.094277,0.305646,-0.947466,-0.080789,0.314641,-0.945767,0.007,0.317
2193,219.2,0.98,1,0.124727,0.33745,-0.933044,-0.065908,0.348692,-0.934917,0.031,0.352
2194,219.3,0.98,1,0.106906,0.306907,-0.945716,-0.029871,0.34021,-0.939875,0.041,0.331
2195,219.4,0.98,1,0.13066,0.348268,-0.928244,-0.012738,0.391396,-0.920134,0.064,0.381
2196,219.5,0.98,1,0.122184,0.34944,-0.928958,-0.023904,0.403873,-0.914503,0.053,0.388
2197,219.6,0.98,1,0.118028,0.350206,-0.929207,-0.051814,0.355958,-0.933064,0.036,0.362
2198,219.7,0.98,1,0.10472,0.358628,-0.927588,-0.051633,0.344364,-0.937415,0.028,0.36
2199,219.8,0.98,1,0.114884,0.374022,-0.920277,-0.00033,0.371211,-0.928549,0.062,0.383
2200,219.9,0.98,1,0.125015,0.364384,-0.922819,0.001981,0.381254,-0.924468,0.069,0.384
2201,220.0,0.98,1,0.154709,0.355626,-0.921735,-0.009521,0.414682,-0.909917,0.079,0.398
2202,220.1,0.98,1,0.035754,0.402266,-0.914824,-0.128045,0.399144,-0.907903,-0.051,0.414
2203,220.2,0.98,1,0.083642,0.341464,-0.936166,-0.043117,0.373158,-0.926765,0.022,0.366
2204,220.3,0.98,1,0.000763,0.29209,-0.956391,-0.043926,0.26353,-0.963651,-0.022,0.282
2205,220.4,0.98,1,0.064465,0.240523,-0.9685,-0.085952,0.238674,-0.967288,-0.011,0.243
2206,220.5,0.98,1,0.09929,0.20877,-0.972912,-0.044829,0.222968,-0.973794,0.028,0.218
2207,220.6,0.98,1,0.06432,0.242345,-0.968056,-0.088398,0.250721,-0.964015,-0.012,0.25
2208,220.7,0.98,1,0.083052,0.193208,-0.977636,-0.07657,0.211174,-0.974445,0.003,0.204
2209,220.8,0.98,1,0.056276,0.164462,-0.984777,-0.037315,0.179623,-0.983027,0.01,0.173
2210,220.9,0.98,1,0.137657,0.280002,-0.950079,-0.187146,0.305004,-0.933782,-0.026,0.301
2211,221.0,0.98,1,0.094024,0.255823,-0.96214,-0.105553,0.228931,-0.967703,-0.006,0.246
2212,221.1,0.98,1,0.096088,0.23854,-0.966367,-0.094612,0.217767,-0.971404,0.001,0.231
2213,221.2,0.98,1,0.084482,0.239952,-0.967102,-0.02846,0.228718,-0.973077,0.029,0.237
2214,221.3,0.98,1,0.117695,0.249796,-0.961119,-0.039244,0.245509,-0.9686,0.041,0.251
2215,221.4,0.98,1,0.110308,0.248828,-0.962246,-0.019218,0.229215,-0.973186,0.047,0.242
2216,221.5,0.98,1,0.105165,0.251969,-0.962004,-0.00839,0.255586,-0.96675,0.05,0.257
2217,221.6,0.98,1,0.121357,0.252289,-0.960012,0.023314,0.247674,-0.968563,0.075,0.254
2218,221.7,0.98,1,0.130911,0.243538,-0.961016,0.026014,0.238472,-0.970801,0.081,0.245
2219,221.8,0.98,1,0.120942,0.262944,-0.957201,0.031355,0.26592,-0.963485,0.079,0.269
2220,221.9,0.98,1,0.135961,0.244808,-0.959991,0.031046,0.28024,-0.959428,0.087,0.267
2221,222.0,0.98,1,0.139904,0.2747,-0.951297,-0.015984,0.304062,-0.952518,0.065,0.295
2222,222.1,0.98,1,0.1266,0.262741,-0.956525,-0.006443,0.310699,-0.950486,0.063,0.292
2223,222.2,0.98,1,0.131329,0.29065,-0.947774,-0.015697,0.285587,-0.958224,0.061,0.294
2224,222.3,0.98,1,0.134871,0.274247,-0.952155,-0.012099,0.306193,-0.951893,0.064,0.296
2225,222.4,0.98,1,0.108114,0.377372,-0.919729,-0.059088,0.36638,-0.928587,0.027,0.383
2226,222.5,0.98,1,0.105433,0.388429,-0.915427,-0.162267,0.398855,-0.902543,-0.031,0.409
2227,222.6,0.98,1,0.083102,0.395068,-0.914886,-0.136304,0.373797,-0.91744,-0.029,0.397
2228,222.7,0.98,1,0.114374,0.343526,-0.932153,-0.043605,0.302698,-0.952088,0.038,0.33
2229,222.8,0.98,1,0.119875,0.289305,-0.949701,-0.045676,0.278334,-0.959398,0.039,0.289
2230,222.9,0.98,1,0.142144,0.290863,-0.946147,-0.006396,0.318463,-0.947914,0.072,0.311
2231,223.0,0.98,1,0.145076,0.275062,-0.950418,-0.00976,0.277083,-0.960797,0.071,0.281
2232,223.1,0.98,1,0.126078,0.257446,-0.958032,-0.002913,0.245785,-0.96932,0.064,0.255
2233,223.2,0.98,1,0.134928,0.26718,-0.954154,0.031238,0.263506,-0.964152,0.086,0.27
2234,223.3,0.98,1,0.13567,0.247397,-0.959369,-0.010081,0.269043,-0.963075,0.065,0.262
2235,223.4,0.98,1,0.083336,0.264755,-0.960708,-0.0045,0.336206,-0.941778,0.041,0.306
2236,223.5,0.98,1,-0.008986,0.340478,-0.94021,-0.267482,0.374599,-0.887766,-0.15,0.373
2237,223.6,0.98,1,-0.008962,0.36168,-0.932259,-0.266182,0.393027,-0.880157,-0.151,0.395
2238,223.7,0.93,1,0.09759,0.388848,-0.916119,-0.211453,0.434902,-0.875299,-0.063,0.431
2239,223.8,0.98,1,0.091747,0.385824,-0.917999,-0.158047,0.407141,-0.899588,-0.036,0.411
2240,223.9,0.98,1,0.086679,0.381555,-0.920273,-0.170183,0.40923,-0.89642,-0.046,0.411
2241,224.0,0.93,1,0.052046,0.381645,-0.922843,-0.201086,0.426224,-0.881985,-0.082,0.421
2242,224.1,0.98,1,0.047622,0.40077,-0.91494,-0.200214,0.448071,-0.87129,-0.085,0.444
2243,224.2,0.98,1,0.050687,0.41478,-0.908509,-0.226481,0.435895,-0.871035,-0.098,0.446
2244,224.3,0.98,1,0.105783,0.417301,-0.90259,-0.245699,0.416872,-0.875128,-0.079,0.439
2245,224.4,0.98,1,0.150472,0.333855,-0.930537,-0.080165,0.402773,-0.911782,0.038,0.38
2246,224.5,0.98,1,0.073113,0.356131,-0.931571,-0.025381,0.319515,-0.947241,0.025,0.345
2247,224.6,0.98,1,0.07111,0.369758,-0.926403,-0.084323,0.398392,-0.913331,-0.007,0.396
2248,224.7,0.98,1,0.099382,0.349968,-0.931475,-0.163548,0.323445,-0.932006,-0.034,0.347
2249,224.8,0.98,1,0.078528,0.328556,-0.941214,-0.082115,0.284495,-0.955154,-0.002,0.313
2250,224.9,0.98,1,0.1209,0.325241,-0.937871,-0.018494,0.288454,-0.957315,0.054,0.313
2251,225.0,0.98,1,0.127879,0.346347,-0.92935,-0.170974,0.366503,-0.914573,-0.023,0.369
2252,225.1,0.98,1,0.065976,0.32511,-0.943372,-0.061174,0.305283,-0.950295,0.003,0.321
2253,225.2,0.98,1,0.084286,0.340078,-0.936612,-0.11043,0.3159,-0.942344,-0.014,0.336
2254,225.3,0.98,1,0.079667,0.329337,-0.940845,-0.081367,0.293647,-0.952445,-0.001,0.318
