frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2220,221.9,0.98,1,0.173815,0.327615,-0.928686,-0.039472,0.289155,-0.956468,0.071,0.316
2221,222.0,0.98,1,0.14247,0.300786,-0.94299,-0.015474,0.259551,-0.965606,0.066,0.286
2222,222.1,0.98,1,0.128821,0.27465,-0.952876,-0.017661,0.302115,-0.953108,0.058,0.294
2223,222.2,0.98,1,0.180013,0.263671,-0.947667,-0.027931,0.24283,-0.969667,0.079,0.258
2224,222.3,0.98,1,0.228403,0.30132,-0.925764,0.028631,0.281131,-0.959242,0.136,0.3
2225,222.4,0.98,1,0.186078,0.297593,-0.936383,0.042061,0.276606,-0.960063,0.12,0.294
2226,222.5,0.98,1,0.247359,0.263713,-0.932346,-0.005823,0.271278,-0.962483,0.127,0.275
2227,222.6,0.98,1,0.20527,0.239579,-0.948929,0.061414,0.189758,-0.979908,0.137,0.219
2228,222.7,0.98,1,0.143412,0.219945,-0.964913,0.063926,0.163074,-0.984541,0.106,0.194
2229,222.8,0.98,1,0.216415,0.171748,-0.961076,0.092504,0.111532,-0.989446,0.157,0.144
2230,222.9,0.98,1,0.230185,0.306731,-0.923543,0.022104,0.266215,-0.96366,0.133,0.295
2231,223.0,0.98,1,0.238728,0.152482,-0.95904,0.109533,0.199058,-0.973847,0.178,0.18
2232,223.1,0.98,1,0.243986,0.197464,-0.949462,0.070939,0.160438,-0.984493,0.161,0.183
2233,223.2,0.98,1,0.247388,0.213262,-0.945155,0.050696,0.20438,-0.977578,0.154,0.214
2234,223.3,0.98,1,0.261703,0.224014,-0.938792,0.062898,0.180769,-0.981512,0.167,0.208
2235,223.4,0.98,1,0.238465,0.216894,-0.946621,0.063369,0.1564,-0.985659,0.155,0.191
2236,223.5,0.98,1,0.267443,0.164198,-0.94948,0.032661,0.164668,-0.985808,0.154,0.168
2237,223.6,0.98,1,0.237469,0.142456,-0.960893,0.019418,0.176553,-0.9841,0.131,0.163
2238,223.7,0.98,1,0.206751,0.200593,-0.95761,0.014127,0.230851,-0.972887,0.114,0.22
2239,223.8,0.98,1,0.154939,0.228245,-0.961196,-0.012005,0.213227,-0.976929,0.074,0.224
2240,223.9,0.98,1,0.1748,0.262687,-0.948915,0.025034,0.266744,-0.963442,0.104,0.27
2241,224.0,0.98,1,0.150401,0.289452,-0.945303,0.057926,0.269263,-0.961323,0.109,0.285
2242,224.1,0.98,1,0.170932,0.254659,-0.951804,-0.040958,0.226471,-0.973156,0.067,0.245
2243,224.2,0.98,1,0.178934,0.245845,-0.952651,-0.056027,0.236684,-0.96997,0.064,0.246
2244,224.3,0.98,1,0.165956,0.267759,-0.949086,-0.029645,0.283274,-0.958581,0.071,0.281
2245,224.4,0.98,1,0.199943,0.285822,-0.937192,0.012059,0.262586,-0.964833,0.111,0.281
2246,224.5,0.98,1,0.17455,0.239349,-0.955115,0.021735,0.189704,-0.981601,0.101,0.218
2247,224.6,0.98,1,0.150833,0.230657,-0.961273,-0.017649,0.228249,-0.973443,0.069,0.233
2248,224.7,0.98,1,0.136722,0.279837,-0.950262,-0.025962,0.301618,-0.953075,0.058,0.296
2249,224.8,0.98,1,0.234197,0.297924,-0.925415,0.003232,0.286348,-0.95812,0.125,0.301
2250,224.9,0.98,1,0.169679,0.288049,-0.942463,-0.064998,0.282907,-0.956942,0.055,0.292
2251,225.0,0.98,1,0.181728,0.296065,-0.937721,0.016683,0.257698,-0.966082,0.104,0.283
2252,225.1,0.98,1,0.190985,0.24997,-0.949231,0.006243,0.231178,-0.972892,0.102,0.245
2253,225.2,0.98,1,0.136744,0.299359,-0.944291,-0.029898,0.267531,-0.963085,0.056,0.289
2254,225.3,0.98,1,0.2136,0.283446,-0.934898,-0.044557,0.273634,-0.960801,0.089,0.286
2255,225.4,0.98,1,0.089972,0.297406,-0.950502,-0.073414,0.244292,-0.966919,0.009,0.275
2256,225.5,0.98,1,0.075497,0.312822,-0.946807,-0.14352,0.236186,-0.96105,-0.036,0.28
2257,225.6,0.98,1,0.127705,0.305601,-0.943557,-0.200161,0.273946,-0.940686,-0.038,0.298
2258,225.7,0.98,1,0.051496,0.34717,-0.936387,-0.060343,0.263738,-0.962705,-0.005,0.311
2259,225.8,0.98,1,0.115483,0.321287,-0.939914,-0.117008,0.319935,-0.940187,-0.001,0.329
2260,225.9,0.98,1,0.1403,0.232061,-0.96253,-0.108252,0.384703,-0.916671,0.017,0.317
2261,226.0,0.98,1,0.152903,0.300779,-0.941357,-0.113931,0.404336,-0.907487,0.021,0.364
2262,226.1,0.98,1,0.077346,0.296949,-0.951756,-0.215714,0.400296,-0.890635,-0.075,0.362
2263,226.2,0.98,1,0.06756,0.242337,-0.967837,-0.243233,0.104113,-0.964364,-0.091,0.177
2264,226.3,0.98,1,0.044629,0.239893,-0.969773,-0.226346,0.100853,-0.968812,-0.093,0.174
2265,226.4,0.98,1,0.021702,0.272248,-0.961982,-0.229518,0.236016,-0.944255,-0.109,0.261
2266,226.5,0.98,1,0.003657,0.311565,-0.950218,-0.163285,0.266357,-0.949943,-0.084,0.295
2267,226.6,0.98,1,0.030449,0.325529,-0.945042,-0.154014,0.24516,-0.957171,-0.065,0.291
2268,226.7,0.98,1,0.101195,0.263404,-0.959363,-0.211961,0.210704,-0.954294,-0.058,0.243
2269,226.8,0.98,1,0.059249,0.226708,-0.972159,-0.272793,0.198228,-0.941429,-0.111,0.219
2270,226.9,0.98,1,0.068556,0.183754,-0.980579,-0.258795,0.216652,-0.941322,-0.099,0.205
2271,227.0,0.98,1,0.053751,0.1963,-0.97907,-0.248006,0.216972,-0.944148,-0.101,0.212
2272,227.1,0.98,1,0.021308,0.233501,-0.972123,-0.240883,0.199488,-0.949831,-0.114,0.222
2273,227.2,0.98,1,0.019462,0.236532,-0.971429,-0.287704,0.176588,-0.941299,-0.139,0.213
2274,227.3,0.98,1,-0.03005,0.30705,-0.951219,-0.250656,0.250769,-0.935033,-0.148,0.288
2275,227.4,0.98,1,-0.003555,0.241498,-0.970395,-0.289905,0.22625,-0.929928,-0.153,0.241
2276,227.5,0.98,1,-0.029002,0.291907,-0.956007,-0.313917,0.243367,-0.91773,-0.181,0.278
2277,227.6,0.98,1,-0.022289,0.315761,-0.948577,-0.24379,0.25798,-0.934886,-0.14,0.296
2278,227.7,0.98,1,0.036029,0.295786,-0.954575,-0.302371,0.279202,-0.911382,-0.142,0.299
2279,227.8,0.98,1,-0.014445,0.256428,-0.966455,-0.251432,0.222835,-0.941874,-0.138,0.246
2280,227.9,0.98,1,-0.02255,0.212662,-0.976866,-0.243211,0.247148,-0.937959,-0.138,0.236
2281,228.0,0.98,1,0.043837,0.275899,-0.960186,-0.194723,0.295443,-0.935305,-0.079,0.293
2282,228.1,0.98,1,0.086281,0.037043,-0.995582,-0.095694,0.048512,-0.994228,-0.005,0.043
2283,228.2,0.98,1,0.145207,0.256637,-0.955538,-0.111213,0.30152,-0.946952,0.018,0.285
2284,228.3,0.98,1,0.202662,0.312053,-0.928198,-0.103957,0.221003,-0.969717,0.052,0.274
2285,228.4,0.98,1,0.227442,0.343108,-0.911343,-0.039227,0.232662,-0.971766,0.1,0.297
2286,228.5,0.98,1,0.178111,0.325652,-0.928562,-0.087808,0.264691,-0.960327,0.048,0.303
2287,228.6,0.98,1,0.230813,0.289164,-0.929037,-0.101032,0.217543,-0.970808,0.068,0.261
2288,228.7,0.98,1,0.153736,0.278271,-0.948119,-0.118693,0.188119,-0.974948,0.018,0.238
2289,228.8,0.98,1,0.125137,0.278423,-0.952272,-0.136827,0.210738,-0.967919,-0.006,0.249
2290,228.9,0.98,1,0.143337,0.271186,-0.951794,-0.165031,0.185525,-0.968682,-0.011,0.233
2291,229.0,0.98,1,0.116156,0.260313,-0.958512,-0.121718,0.232575,-0.964932,-0.003,0.251
2292,229.1,0.98,1,0.088117,0.252992,-0.963447,-0.122241,0.203698,-0.971372,-0.018,0.232
2293,229.2,0.98,1,0.150891,0.256231,-0.954766,-0.117441,0.14869,-0.981885,0.017,0.206
2294,229.3,0.98,1,0.170799,0.259534,-0.95051,-0.010172,0.239942,-0.970734,0.083,0.254
2295,229.4,0.98,1,0.141691,0.266375,-0.953398,-0.160538,0.193316,-0.967913,-0.01,0.235
2296,229.5,0.98,1,0.17153,0.253789,-0.951929,-0.000317,0.251996,-0.967728,0.089,0.258
2297,229.6,0.98,1,0.207324,0.212087,-0.955006,-0.051827,0.201451,-0.978126,0.08,0.211
2298,229.7,0.98,1,0.191391,0.248689,-0.949486,-0.079718,0.194467,-0.977664,0.058,0.226
2299,229.8,0.98,1,0.122675,0.254435,-0.959278,-0.076984,0.200057,-0.976755,0.024,0.231
