frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
490,48.9,0.98,1,0.215952,0.074875,-0.973529,-0.02288,0.140093,-0.989874,0.098,0.109
491,49.0,0.98,1,0.216011,0.070049,-0.973875,-0.042847,0.137085,-0.989632,0.088,0.105
492,49.1,0.98,1,0.214515,0.077579,-0.973635,-0.027862,0.152374,-0.98793,0.095,0.117
493,49.2,0.98,1,0.211978,0.071542,-0.974652,-0.037736,0.143491,-0.988932,0.089,0.109
494,49.3,0.98,1,0.2161,0.073058,-0.973634,-0.034744,0.147239,-0.988491,0.092,0.112
495,49.4,0.98,1,0.208567,0.068396,-0.975614,-0.032741,0.149876,-0.988163,0.089,0.111
496,49.5,0.98,1,0.197616,0.059346,-0.978481,-0.059193,0.135134,-0.989058,0.07,0.099
497,49.6,0.98,1,0.19552,0.057696,-0.979001,-0.062201,0.13618,-0.988729,0.068,0.098
498,49.7,0.98,1,0.198034,0.058235,-0.978464,-0.061738,0.138028,-0.988502,0.069,0.099
499,49.8,0.98,1,0.198889,0.059433,-0.978218,-0.063194,0.137503,-0.988483,0.069,0.1
500,49.9,0.98,1,0.197163,0.056856,-0.978721,-0.063044,0.133915,-0.988985,0.068,0.097
501,50.0,0.98,1,0.197583,0.056653,-0.978648,-0.06384,0.135122,-0.98877,0.068,0.097
502,50.1,0.98,1,0.197715,0.056208,-0.978647,-0.065234,0.135521,-0.988625,0.067,0.097
503,50.2,0.98,1,0.198693,0.057312,-0.978385,-0.06324,0.135531,-0.988753,0.069,0.098
504,50.3,0.98,1,0.184548,0.057675,-0.98113,-0.067203,0.136034,-0.988422,0.06,0.098
505,50.4,0.98,1,0.184313,0.057629,-0.981177,-0.06283,0.135753,-0.988749,0.062,0.098
506,50.5,0.98,1,0.184181,0.05747,-0.981211,-0.065515,0.136087,-0.988528,0.06,0.098
507,50.6,0.98,1,0.181266,0.058142,-0.981714,-0.043689,0.125878,-0.991083,0.07,0.093
508,50.7,0.98,1,0.180841,0.059303,-0.981723,-0.045549,0.13023,-0.990437,0.068,0.096
509,50.8,0.98,1,0.178305,0.059532,-0.982173,-0.044382,0.130361,-0.990473,0.068,0.096
510,50.9,0.98,1,0.177629,0.057914,-0.982392,-0.044892,0.1305,-0.990431,0.067,0.095
511,51.0,0.98,1,0.201182,0.063542,-0.977491,-0.028618,0.088231,-0.995689,0.087,0.077
512,51.1,0.98,1,0.201746,0.065376,-0.977254,-0.027247,0.090242,-0.995547,0.088,0.079
513,51.2,0.98,1,0.20301,0.063142,-0.977139,-0.027062,0.08857,-0.995702,0.089,0.077
514,51.3,0.98,1,0.201956,0.065948,-0.977172,-0.031683,0.101257,-0.994356,0.086,0.085
515,51.4,0.98,1,0.203313,0.061719,-0.977167,-0.030539,0.09956,-0.994563,0.087,0.082
516,51.5,0.98,1,0.202657,0.064891,-0.977097,-0.031915,0.098679,-0.994607,0.086,0.083
517,51.6,0.98,1,0.202679,0.062208,-0.977267,-0.03983,0.09846,-0.994344,0.082,0.081
518,51.7,0.98,1,0.202642,0.064312,-0.977139,-0.039713,0.095186,-0.994667,0.082,0.081
519,51.8,0.98,1,0.201471,0.065964,-0.977271,-0.039146,0.092705,-0.994924,0.082,0.08
520,51.9,0.98,1,0.200681,0.066574,-0.977392,-0.041843,0.094469,-0.994648,0.08,0.081
521,52.0,0.98,1,0.200162,0.064591,-0.977631,-0.036908,0.092904,-0.994991,0.083,0.08
522,52.1,0.98,1,0.200093,0.066006,-0.977551,-0.038435,0.093882,-0.994841,0.082,0.081
523,52.2,0.98,1,0.201673,0.062911,-0.97743,-0.035477,0.091533,-0.99517,0.084,0.078
524,52.3,0.98,1,0.196698,0.060508,-0.978595,-0.024704,0.091058,-0.995539,0.087,0.077
525,52.4,0.98,1,0.196938,0.060034,-0.978576,-0.024797,0.093603,-0.995301,0.087,0.078
526,52.5,0.98,1,0.196342,0.063232,-0.978494,-0.000823,0.100529,-0.994934,0.099,0.083
527,52.6,0.98,1,0.197382,0.06158,-0.978391,0.002851,0.103011,-0.994676,0.101,0.083
528,52.7,0.98,1,0.197387,0.062408,-0.978337,-0.000299,0.103785,-0.9946,0.1,0.084
529,52.8,0.98,1,0.19656,0.061679,-0.97855,0.004848,0.104749,-0.994487,0.102,0.084
530,52.9,0.98,1,0.195155,0.062736,-0.978764,0.00247,0.102409,-0.994739,0.1,0.083
531,53.0,0.98,1,0.197861,0.06475,-0.978089,0.0025,0.113474,-0.993538,0.101,0.09
532,53.1,0.98,1,0.197776,0.06779,-0.9779,0.002635,0.110831,-0.993836,0.101,0.09
533,53.2,0.98,1,0.197465,0.065009,-0.978152,0.004038,0.111436,-0.993763,0.102,0.089
534,53.3,0.98,1,0.200407,0.065138,-0.977545,0.001766,0.11214,-0.993691,0.102,0.09
535,53.4,0.98,1,0.19247,0.060854,-0.979414,0.000902,0.110973,-0.993823,0.098,0.087
536,53.5,0.98,1,0.189956,0.063336,-0.979748,0.001846,0.110182,-0.99391,0.097,0.088
537,53.6,0.98,1,0.190828,0.065209,-0.979455,0.002758,0.113228,-0.993565,0.098,0.09
538,53.7,0.98,1,0.185728,0.063981,-0.980516,0.003717,0.110769,-0.993839,0.096,0.088
539,53.8,0.98,1,0.184698,0.064499,-0.980677,-0.002291,0.111609,-0.99375,0.092,0.089
540,53.9,0.98,1,0.187506,0.066131,-0.980035,-0.004418,0.113522,-0.993526,0.093,0.091
541,54.0,0.98,1,0.205506,0.081256,-0.975277,0.006546,0.114,-0.993459,0.107,0.099
542,54.1,0.98,1,0.209012,0.078198,-0.974781,0.00095,0.110435,-0.993883,0.106,0.096
543,54.2,0.98,1,0.207017,0.078837,-0.975156,0.004751,0.112401,-0.993652,0.107,0.097
544,54.3,0.98,1,0.207891,0.078586,-0.97499,0.00294,0.111649,-0.993743,0.107,0.096
545,54.4,0.98,1,0.209643,0.078526,-0.97462,0.005479,0.11202,-0.993691,0.109,0.097
546,54.5,0.98,1,0.207943,0.07811,-0.975017,0.003073,0.111929,-0.993711,0.107,0.096
547,54.6,0.98,1,0.209476,0.078345,-0.97467,0.005335,0.112897,-0.993592,0.109,0.097
548,54.7,0.98,1,0.21474,0.077745,-0.973572,0.004125,0.111161,-0.993794,0.111,0.096
549,54.8,0.98,1,0.213424,0.076742,-0.973941,0.000816,0.11392,-0.99349,0.108,0.097
550,54.9,0.98,1,0.228207,0.304786,-0.924677,-0.092936,0.322811,-0.94189,0.072,0.324
551,55.0,0.98,1,0.196855,0.180078,-0.963753,-0.068572,0.196751,-0.978053,0.066,0.192
552,55.1,0.98,1,0.171305,0.111734,-0.978862,-0.04755,0.159221,-0.986097,0.063,0.137
553,55.2,0.98,1,0.177991,0.101056,-0.978829,-0.031016,0.154573,-0.987494,0.075,0.129
554,55.3,0.98,1,0.192229,0.087132,-0.977474,-0.026431,0.150214,-0.9883,0.084,0.12
555,55.4,0.98,1,0.194759,0.08724,-0.976964,-0.026051,0.14946,-0.988424,0.086,0.12
556,55.5,0.98,1,0.184809,0.082483,-0.979307,-0.014869,0.094311,-0.995432,0.086,0.089
557,55.6,0.98,1,0.187774,0.08283,-0.978714,-0.013528,0.095808,-0.995308,0.088,0.09
558,55.7,0.98,1,0.186306,0.083948,-0.978899,-0.01933,0.097611,-0.995037,0.084,0.092
559,55.8,0.98,1,0.18321,0.086225,-0.979285,-0.021678,0.101907,-0.994558,0.082,0.095
560,55.9,0.98,1,0.184464,0.085262,-0.979134,-0.012469,0.095509,-0.99535,0.087,0.091
561,56.0,0.98,1,0.18456,0.08526,-0.979116,-0.0128,0.096619,-0.995239,0.087,0.092
562,56.1,0.98,1,0.182674,0.082199,-0.979731,-0.01265,0.096074,-0.995294,0.086,0.09
563,56.2,0.98,1,0.185259,0.081569,-0.979298,-0.013562,0.095967,-0.995292,0.087,0.09
564,56.3,0.98,1,0.184855,0.08112,-0.979412,-0.012892,0.095415,-0.995354,0.087,0.089
565,56.4,0.98,1,0.1865,0.080622,-0.979141,-0.011808,0.09356,-0.995544,0.088,0.088
566,56.5,0.98,1,0.185763,0.080903,-0.979258,-0.011706,0.096033,-0.995309,0.088,0.089
567,56.6,0.98,1,0.186062,0.0799,-0.979284,-0.013455,0.097006,-0.995193,0.087,0.089
568,56.7,0.98,1,0.185678,0.080279,-0.979326,-0.011792,0.097098,-0.995205,0.088,0.09
569,56.8,0.98,1,0.185818,0.07898,-0.979405,-0.012074,0.097663,-0.995146,0.088,0.089
570,56.9,0.98,1,0.192216,0.081699,-0.977946,-0.011387,0.098766,-0.995046,0.091,0.091
571,57.0,0.98,1,0.200855,0.074648,-0.976773,-0.006758,0.064519,-0.997894,0.098,0.07
572,57.1,0.98,1,0.200978,0.075479,-0.976684,-0.009319,0.07051,-0.997468,0.097,0.074
573,57.2,0.98,1,0.20123,0.071949,-0.976898,-0.012447,0.067439,-0.997646,0.095,0.07
574,57.3,0.98,1,0.200324,0.074261,-0.976911,-0.010282,0.070538,-0.997456,0.096,0.073
575,57.4,0.98,1,0.199375,0.069608,-0.977448,-0.012889,0.06654,-0.997701,0.094,0.069
576,57.5,0.98,1,0.198736,0.0742,-0.97724,-0.012239,0.070068,-0.997467,0.094,0.073
577,57.6,0.98,1,0.199304,0.069965,-0.977437,-0.014283,0.06654,-0.997681,0.093,0.069
578,57.7,0.98,1,0.199264,0.073821,-0.977161,-0.012248,0.069948,-0.997475,0.094,0.073
579,57.8,0.98,1,0.197462,0.069619,-0.977835,-0.013972,0.070311,-0.997427,0.093,0.071
580,57.9,0.98,1,0.197482,0.072121,-0.97765,-0.012475,0.077954,-0.996879,0.093,0.076
581,58.0,0.98,1,0.197504,0.069127,-0.977862,-0.014569,0.072225,-0.997282,0.092,0.071
582,58.1,0.98,1,0.198568,0.071955,-0.977442,-0.01247,0.076657,-0.99698,0.094,0.075
583,58.2,0.98,1,0.196672,0.069574,-0.977998,-0.014781,0.072132,-0.997286,0.092,0.072
584,58.3,0.98,1,0.198205,0.071372,-0.977559,-0.012412,0.07391,-0.997188,0.094,0.073
585,58.4,0.98,1,0.197173,0.069096,-0.977931,-0.012985,0.070639,-0.997417,0.093,0.071
586,58.5,0.98,1,0.197361,0.084424,-0.976689,0.036412,0.099526,-0.994368,0.118,0.093
587,58.6,0.98,1,0.198099,0.082954,-0.976665,0.03571,0.096369,-0.994705,0.118,0.091
588,58.7,0.98,1,0.198012,0.081514,-0.976804,0.03365,0.09559,-0.994852,0.117,0.09
589,58.8,0.98,1,0.197087,0.083486,-0.976825,0.033402,0.096182,-0.994803,0.116,0.091
590,58.9,0.98,1,0.198823,0.082606,-0.976548,0.033081,0.094438,-0.994981,0.117,0.09
591,59.0,0.98,1,0.196583,0.083177,-0.976953,0.035906,0.094763,-0.994852,0.117,0.09
592,59.1,0.98,1,0.197534,0.08252,-0.976817,0.034382,0.094366,-0.994944,0.117,0.089
593,59.2,0.98,1,0.196899,0.081293,-0.977048,0.035684,0.093034,-0.995023,0.117,0.088
594,59.3,0.98,1,0.197423,0.081072,-0.97696,0.033341,0.092179,-0.995184,0.116,0.088
595,59.4,0.98,1,0.196106,0.080792,-0.977249,0.034811,0.092565,-0.995098,0.117,0.088
596,59.5,0.98,1,0.197949,0.081203,-0.976843,0.034643,0.094973,-0.994877,0.117,0.089
597,59.6,0.98,1,0.199082,0.08114,-0.976618,0.034028,0.092078,-0.99517,0.118,0.088
598,59.7,0.98,1,0.198593,0.081348,-0.9767,0.035312,0.091789,-0.995152,0.118,0.088
