frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
778,77.7,0.98,1,0.13449,0.380136,-0.9151,-0.085654,0.349119,-0.933156,0.026,0.376
779,77.8,0.98,1,0.112306,0.421725,-0.899742,-0.06971,0.333154,-0.940292,0.023,0.389
780,77.9,0.98,1,0.106426,0.419662,-0.901419,-0.073024,0.334889,-0.939424,0.018,0.389
781,78.0,0.98,1,0.122949,0.421247,-0.898574,-0.072428,0.355441,-0.931888,0.028,0.401
782,78.1,0.98,1,0.070191,0.416973,-0.906205,-0.068628,0.352315,-0.933362,0.001,0.396
783,78.2,0.98,1,0.125847,0.377922,-0.917244,-0.045875,0.329165,-0.943157,0.043,0.363
784,78.3,0.98,1,0.133642,0.387004,-0.912342,-0.027643,0.301577,-0.953041,0.057,0.354
785,78.4,0.98,1,0.127003,0.40819,-0.904019,-0.034394,0.309939,-0.950134,0.05,0.37
786,78.5,0.98,1,0.138639,0.397916,-0.906886,-0.025212,0.343127,-0.93895,0.061,0.382
787,78.6,0.98,1,0.095433,0.419978,-0.902503,-0.147287,0.362676,-0.920202,-0.028,0.406
788,78.7,0.98,1,0.063797,0.415707,-0.907258,-0.153821,0.363973,-0.91862,-0.049,0.404
789,78.8,0.98,1,0.114207,0.432951,-0.894153,-0.154901,0.385873,-0.909455,-0.023,0.426
790,78.9,0.98,1,0.063378,0.447436,-0.892067,-0.159357,0.399661,-0.902705,-0.053,0.441
791,79.0,0.98,1,0.080609,0.42592,-0.901163,-0.090936,0.436527,-0.895084,-0.006,0.448
792,79.1,0.98,1,0.099523,0.390189,-0.91534,-0.100817,0.435433,-0.894558,-0.001,0.428
793,79.2,0.98,1,0.108449,0.383816,-0.917019,-0.104434,0.416207,-0.903253,0.002,0.414
794,79.3,0.98,1,0.087334,0.433693,-0.896818,-0.131247,0.40023,-0.906967,-0.024,0.433
795,79.4,0.98,1,0.042834,0.429149,-0.902218,-0.142158,0.394719,-0.907738,-0.055,0.427
796,79.5,0.98,1,0.07626,0.43103,-0.899109,-0.176865,0.361987,-0.915251,-0.055,0.412
797,79.6,0.98,1,0.101944,0.434362,-0.894951,-0.145022,0.344276,-0.927601,-0.024,0.404
798,79.7,0.98,1,0.100878,0.437043,-0.893765,-0.12111,0.373572,-0.919661,-0.011,0.42
799,79.8,0.98,1,0.088669,0.420559,-0.902922,-0.201067,0.379392,-0.903125,-0.062,0.417
