frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2544,254.3,0.98,1,0.185648,0.126342,-0.97446,-0.014224,0.190148,-0.981652,0.087,0.16
2545,254.4,0.98,1,0.112387,0.125649,-0.985688,-0.011341,0.193587,-0.981017,0.051,0.161
2546,254.5,0.98,1,0.127506,0.12756,-0.983601,0.024392,0.222532,-0.97462,0.077,0.177
2547,254.6,0.98,1,0.077427,0.162896,-0.9836,-0.007753,0.221971,-0.975022,0.036,0.194
2548,254.7,0.98,1,0.119485,0.154242,-0.980782,-0.026845,0.227708,-0.973359,0.047,0.193
2549,254.8,0.98,1,0.125995,0.138658,-0.982293,-0.006948,0.198389,-0.980099,0.061,0.17
2550,254.9,0.98,1,0.118713,0.161568,-0.979695,-0.051749,0.207897,-0.976781,0.034,0.187
2551,255.0,0.98,1,0.151753,0.146486,-0.977503,-0.008166,0.210484,-0.977563,0.073,0.181
2552,255.1,0.98,1,0.118281,0.148196,-0.981859,-0.034089,0.203744,-0.97843,0.043,0.178
2553,255.2,0.98,1,0.148583,0.16709,-0.974681,-0.024443,0.221067,-0.974952,0.064,0.197
2554,255.3,0.98,1,0.118335,0.166951,-0.978838,-0.059595,0.23595,-0.969936,0.03,0.204
2555,255.4,0.98,1,0.087737,0.174932,-0.980664,-0.004695,0.232533,-0.972577,0.042,0.206
2556,255.5,0.98,1,0.089806,0.155223,-0.983789,-0.065362,0.233967,-0.970045,0.013,0.197
2557,255.6,0.98,1,0.08226,0.165254,-0.982814,-0.045726,0.23587,-0.970708,0.019,0.203
2558,255.7,0.98,1,0.110018,0.138253,-0.984267,-0.03378,0.244591,-0.969038,0.039,0.194
2559,255.8,0.98,1,0.081966,0.184488,-0.979411,-0.05851,0.225497,-0.972485,0.012,0.207
2560,255.9,0.98,1,0.099826,0.199601,-0.974779,-0.014013,0.235364,-0.971806,0.044,0.22
2561,256.0,0.98,1,0.081894,0.160138,-0.983692,-0.076036,0.201722,-0.976487,0.003,0.183
2562,256.1,0.98,1,0.112124,0.130488,-0.985089,-0.10568,0.174441,-0.97898,0.003,0.154
2563,256.2,0.98,1,0.100639,0.162379,-0.981583,-0.059224,0.178613,-0.982135,0.021,0.172
2564,256.3,0.98,1,0.122201,0.151979,-0.9808,-0.048705,0.202211,-0.97813,0.038,0.179
2565,256.4,0.98,1,0.059124,0.144249,-0.987774,0.010754,0.180613,-0.983495,0.035,0.163
2566,256.5,0.98,1,0.103067,0.149798,-0.98333,-0.03081,0.200458,-0.979218,0.037,0.177
2567,256.6,0.98,1,0.082691,0.165632,-0.982715,-0.066278,0.19331,-0.978897,0.008,0.181
2568,256.7,0.98,1,0.068691,0.128204,-0.989366,-0.063661,0.167868,-0.983752,0.003,0.149
2569,256.8,0.98,1,0.096401,0.154323,-0.983306,-0.054689,0.19719,-0.978839,0.021,0.177
2570,256.9,0.98,1,0.108614,0.130489,-0.985482,-0.073265,0.198723,-0.977313,0.018,0.166
2571,257.0,0.98,1,0.087831,0.150565,-0.984691,0.001482,0.186514,-0.982451,0.045,0.17
2572,257.1,0.98,1,0.094723,0.136621,-0.986084,0.012426,0.186234,-0.982427,0.054,0.163
2573,257.2,0.98,1,0.123485,0.132059,-0.98352,-0.058934,0.184968,-0.980976,0.033,0.16
2574,257.3,0.98,1,0.074174,0.137047,-0.987784,-0.081038,0.196298,-0.97719,-0.003,0.168
2575,257.4,0.98,1,0.087843,0.153957,-0.984165,-0.10042,0.264877,-0.959039,-0.006,0.212
2576,257.5,0.98,1,0.095183,0.181578,-0.978759,-0.05967,0.276152,-0.95926,0.018,0.232
2577,257.6,0.98,1,0.104076,0.195487,-0.975168,-0.037713,0.252821,-0.966778,0.034,0.227
2578,257.7,0.98,1,0.102337,0.171707,-0.979818,-0.051817,0.237051,-0.970114,0.026,0.207
2579,257.8,0.98,1,0.110071,0.150499,-0.982463,-0.047078,0.229112,-0.972261,0.032,0.192
2580,257.9,0.98,1,0.118876,0.159644,-0.979991,-0.047429,0.242063,-0.969101,0.037,0.203
2581,258.0,0.98,1,0.098042,0.139229,-0.985395,-0.049539,0.214868,-0.975386,0.025,0.179
2582,258.1,0.98,1,0.033794,0.156726,-0.987064,-0.062123,0.212359,-0.975215,-0.014,0.186
2583,258.2,0.98,1,0.052843,0.15765,-0.98608,-0.066771,0.231225,-0.970606,-0.007,0.196
2584,258.3,0.98,1,0.051399,0.146946,-0.987808,-0.059112,0.231791,-0.970968,-0.004,0.191
2585,258.4,0.98,1,0.055639,0.186935,-0.980795,-0.058769,0.20522,-0.97695,-0.002,0.198
2586,258.5,0.98,1,0.132547,0.269486,-0.953839,-0.070368,0.348938,-0.9345,0.033,0.316
2587,258.6,0.98,1,0.085913,0.296475,-0.951169,-0.048068,0.305056,-0.951121,0.02,0.306
2588,258.7,0.98,1,0.123014,0.308089,-0.943371,-0.090501,0.326601,-0.940819,0.017,0.325
2589,258.8,0.98,1,0.122311,0.23712,-0.96375,-0.14638,0.234354,-0.961068,-0.013,0.24
2590,258.9,0.98,1,0.117252,0.162369,-0.979739,-0.073397,0.199832,-0.977077,0.022,0.183
2591,259.0,0.98,1,0.110899,0.154099,-0.981812,-0.101482,0.202273,-0.974057,0.005,0.18
2592,259.1,0.98,1,0.083481,0.173603,-0.981271,-0.092312,0.202441,-0.974934,-0.005,0.19
2593,259.2,0.98,1,0.047835,0.17667,-0.983107,-0.075857,0.198654,-0.97713,-0.014,0.189
2594,259.3,0.98,1,0.0783,0.215359,-0.973391,-0.077476,0.236545,-0.968527,0.0,0.229
2595,259.4,0.98,1,0.076272,0.217543,-0.973066,-0.017457,0.246811,-0.968906,0.03,0.235
