frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
459,45.8,0.98,1,-0.014164,-0.074047,-0.997154,-0.129892,0.05307,-0.990107,-0.072,-0.011
460,45.9,0.98,1,0.025261,-0.043555,-0.998732,-0.107,0.05109,-0.992946,-0.041,0.004
461,46.0,0.98,1,0.041539,-0.014299,-0.999035,-0.103404,0.085915,-0.990922,-0.031,0.036
462,46.1,0.98,1,0.051348,-0.017834,-0.998522,-0.10999,0.084524,-0.990332,-0.029,0.034
463,46.2,0.98,1,-0.014833,-0.023802,-0.999607,-0.117467,0.061761,-0.991154,-0.066,0.019
464,46.3,0.98,1,-0.019939,-0.029361,-0.99937,-0.114595,0.042804,-0.99249,-0.067,0.007
465,46.4,0.98,1,0.032184,-0.040495,-0.998661,-0.131837,0.10248,-0.98596,-0.05,0.031
466,46.5,0.98,1,0.047179,-0.00745,-0.998859,-0.133082,0.096916,-0.986355,-0.043,0.045
467,46.6,0.98,1,0.06018,-0.004467,-0.998178,-0.1666,0.072021,-0.983391,-0.054,0.034
468,46.7,0.98,1,0.064467,0.007649,-0.997891,-0.176673,0.035855,-0.983616,-0.057,0.022
469,46.8,0.98,1,0.024163,0.007558,-0.999679,-0.13021,0.097067,-0.986724,-0.053,0.053
470,46.9,0.98,1,0.016825,-0.008367,-0.999823,-0.157132,0.051311,-0.986244,-0.071,0.022
471,47.0,0.98,1,0.038013,0.010761,-0.999219,-0.159631,0.059369,-0.98539,-0.061,0.035
472,47.1,0.98,1,0.005923,0.006746,-0.99996,-0.163258,0.103007,-0.981191,-0.079,0.055
473,47.2,0.98,1,0.022807,0.016753,-0.9996,-0.156508,0.101126,-0.982486,-0.067,0.059
474,47.3,0.98,1,0.058151,-0.008554,-0.998271,-0.159404,0.080275,-0.983944,-0.051,0.036
475,47.4,0.98,1,0.018664,0.012869,-0.999743,-0.171062,0.097278,-0.980446,-0.077,0.056
476,47.5,0.98,1,0.065614,-0.000888,-0.997845,-0.184995,0.104542,-0.977163,-0.06,0.052
477,47.6,0.98,1,0.047659,-0.002672,-0.99886,-0.151529,0.095821,-0.983797,-0.052,0.047
478,47.7,0.98,1,0.048456,0.005182,-0.998812,-0.149842,0.041116,-0.987855,-0.051,0.023
479,47.8,0.98,1,0.023291,-0.04812,-0.99857,-0.144069,0.100878,-0.984412,-0.061,0.027
480,47.9,0.98,1,0.021941,-0.016193,-0.999628,-0.156647,0.114789,-0.980961,-0.068,0.05
481,48.0,0.98,1,0.058767,0.018554,-0.998099,-0.153571,0.100731,-0.98299,-0.048,0.06
482,48.1,0.98,1,0.048692,0.011545,-0.998747,-0.158216,0.08189,-0.984003,-0.055,0.047
483,48.2,0.98,1,0.058736,-0.012221,-0.998199,-0.12509,0.091704,-0.987898,-0.033,0.04
484,48.3,0.98,1,0.003452,-0.051315,-0.998677,-0.120965,0.047277,-0.99153,-0.059,-0.002
485,48.4,0.98,1,0.069947,-0.016543,-0.997414,-0.118728,0.077887,-0.989867,-0.025,0.031
486,48.5,0.98,1,0.057585,0.012016,-0.998268,-0.1123,0.101747,-0.988451,-0.028,0.057
487,48.6,0.98,1,0.01226,-0.031996,-0.999413,-0.150436,0.085573,-0.984909,-0.07,0.027
488,48.7,0.98,1,0.046826,0.010177,-0.998851,-0.113092,0.072249,-0.990954,-0.033,0.041
489,48.8,0.98,1,0.055324,0.021152,-0.998244,-0.136863,0.073648,-0.987848,-0.041,0.048
490,48.9,0.98,1,0.033497,0.001788,-0.999437,-0.156057,0.108459,-0.981775,-0.062,0.056
491,49.0,0.98,1,0.020734,-0.058349,-0.998081,-0.129168,0.083635,-0.988089,-0.055,0.013
492,49.1,0.98,1,0.071853,-0.031563,-0.996916,-0.136438,0.100753,-0.985512,-0.033,0.035
493,49.2,0.98,1,0.017123,0.038657,-0.999106,-0.136349,0.104086,-0.985178,-0.06,0.072
494,49.3,0.98,1,0.06971,0.014036,-0.997469,-0.116109,0.09654,-0.988534,-0.023,0.056
495,49.4,0.98,1,0.014876,0.011604,-0.999822,-0.125011,0.087588,-0.988282,-0.055,0.05
496,49.5,0.98,1,-0.006538,-0.032802,-0.99944,-0.134533,0.067839,-0.988584,-0.071,0.018
497,49.6,0.98,1,0.029727,-0.010663,-0.999501,-0.135833,0.087614,-0.98685,-0.053,0.039
498,49.7,0.98,1,0.047371,-0.039474,-0.998097,-0.127916,0.102843,-0.986438,-0.041,0.032
499,49.8,0.98,1,0.006113,-0.038768,-0.99923,-0.125981,0.111593,-0.985736,-0.06,0.037
500,49.9,0.98,1,0.018085,-0.021028,-0.999615,-0.127097,0.077497,-0.988858,-0.055,0.028
501,50.0,0.98,1,-0.013673,-0.050202,-0.998645,-0.116223,0.097186,-0.988457,-0.065,0.024
502,50.1,0.98,1,-0.021108,-0.055305,-0.998246,-0.097861,0.056191,-0.993613,-0.06,0.0
503,50.2,0.98,1,0.035933,-0.046432,-0.998275,-0.117805,0.115589,-0.986287,-0.041,0.035
504,50.3,0.98,1,0.061001,-0.03515,-0.997519,-0.121205,0.108123,-0.986721,-0.03,0.037
505,50.4,0.98,1,-0.007488,-0.047252,-0.998855,-0.070743,0.06761,-0.995201,-0.039,0.01
506,50.5,0.98,1,-0.02168,-0.053136,-0.998352,-0.12233,0.075088,-0.989645,-0.072,0.011
507,50.6,0.98,1,0.009192,-0.015025,-0.999845,-0.119851,0.07811,-0.989714,-0.056,0.032
508,50.7,0.98,1,0.076915,-0.065265,-0.994899,-0.114297,0.081584,-0.990091,-0.019,0.008
509,50.8,0.98,1,0.08252,-0.060405,-0.994757,-0.145361,0.079447,-0.986184,-0.032,0.01
510,50.9,0.98,1,0.053423,-0.050783,-0.99728,-0.103731,0.059551,-0.992821,-0.025,0.004
511,51.0,0.98,1,0.008617,0.00471,-0.999952,-0.151018,0.069498,-0.986085,-0.072,0.037
512,51.1,0.98,1,0.013513,0.017064,-0.999763,-0.136707,0.065504,-0.988443,-0.062,0.042
513,51.2,0.98,1,0.034766,-0.008648,-0.999358,-0.160878,0.071649,-0.98437,-0.063,0.032
514,51.3,0.98,1,0.038415,-0.034038,-0.998682,-0.155924,0.049356,-0.986535,-0.059,0.008
515,51.4,0.98,1,0.042044,0.002613,-0.999112,-0.143097,0.111496,-0.983408,-0.051,0.057
516,51.5,0.98,1,0.018719,-0.028096,-0.99943,-0.163431,0.086425,-0.982762,-0.073,0.029
517,51.6,0.98,1,0.042983,-0.016682,-0.998937,-0.144027,0.075612,-0.986681,-0.051,0.03
518,51.7,0.98,1,0.070516,0.000454,-0.997511,-0.169421,0.093276,-0.98112,-0.05,0.047
519,51.8,0.98,1,0.036179,0.001902,-0.999344,-0.155427,0.113148,-0.981346,-0.06,0.058
520,51.9,0.98,1,0.041498,0.005846,-0.999121,-0.155361,0.106421,-0.982109,-0.057,0.057
521,52.0,0.98,1,0.046769,0.028426,-0.998501,-0.11262,0.077588,-0.990604,-0.033,0.053
522,52.1,0.98,1,0.079016,0.016418,-0.996738,-0.1351,0.067024,-0.988563,-0.028,0.042
523,52.2,0.98,1,0.047955,0.002721,-0.998846,-0.116817,0.083971,-0.989597,-0.035,0.044
524,52.3,0.98,1,0.029202,0.003396,-0.999568,-0.15004,0.067686,-0.98636,-0.061,0.036
525,52.4,0.98,1,0.024329,0.020341,-0.999497,-0.146506,0.109258,-0.983158,-0.062,0.065
526,52.5,0.98,1,0.024163,0.011622,-0.99964,-0.121948,0.115297,-0.985817,-0.049,0.064
527,52.6,0.98,1,0.048101,-0.015405,-0.998724,-0.120462,0.112132,-0.986365,-0.036,0.049
528,52.7,0.98,1,0.036133,0.002902,-0.999343,-0.123423,0.106631,-0.986609,-0.044,0.055
529,52.8,0.98,1,0.015659,-0.001548,-0.999876,-0.118873,0.078825,-0.989776,-0.052,0.039
530,52.9,0.98,1,0.023801,-0.00511,-0.999704,-0.136196,0.122687,-0.983056,-0.057,0.059
531,53.0,0.98,1,0.036098,0.015307,-0.999231,-0.131201,0.115328,-0.984625,-0.048,0.066
532,53.1,0.98,1,0.047153,0.009452,-0.998843,-0.096748,0.092052,-0.991043,-0.025,0.051
533,53.2,0.98,1,0.030055,0.023883,-0.999263,-0.13214,0.078641,-0.988107,-0.051,0.052
534,53.3,0.98,1,0.028241,0.004234,-0.999592,-0.134237,0.102327,-0.985652,-0.053,0.054
535,53.4,0.98,1,0.068866,-0.00229,-0.997623,-0.10588,0.059728,-0.992583,-0.019,0.029
536,53.5,0.98,1,0.073326,-0.002772,-0.997304,-0.085593,0.059479,-0.994553,-0.006,0.028
537,53.6,0.98,1,0.020024,-0.071157,-0.997264,-0.122266,0.06199,-0.99056,-0.051,-0.005
538,53.7,0.98,1,0.033114,-0.007014,-0.999427,-0.098811,0.078843,-0.991978,-0.033,0.036
539,53.8,0.98,1,0.047443,0.026854,-0.998513,-0.112916,0.041681,-0.99273,-0.033,0.034
540,53.9,0.98,1,0.027195,0.008735,-0.999592,-0.096125,0.036213,-0.99471,-0.035,0.023
541,54.0,0.98,1,0.002024,-0.055915,-0.998433,-0.142945,0.070912,-0.987187,-0.071,0.008
542,54.1,0.98,1,0.005183,-0.042927,-0.999065,-0.127814,0.066156,-0.989589,-0.062,0.012
543,54.2,0.98,1,-0.004927,-0.053801,-0.99854,-0.134163,0.089936,-0.98687,-0.07,0.018
544,54.3,0.98,1,-0.023498,-0.046109,-0.99866,-0.098511,0.056956,-0.993505,-0.061,0.005
545,54.4,0.98,1,0.002138,-0.0475,-0.998869,-0.11663,0.092048,-0.988901,-0.058,0.022
546,54.5,0.98,1,0.015644,-0.033846,-0.999305,-0.092709,0.050506,-0.994412,-0.039,0.008
547,54.6,0.98,1,0.0315,-0.010239,-0.999451,-0.115196,0.084346,-0.989755,-0.042,0.037
548,54.7,0.98,1,0.047803,-0.036944,-0.998173,-0.118712,0.063449,-0.9909,-0.036,0.013
549,54.8,0.98,1,0.001843,-0.013595,-0.999906,-0.120125,0.056652,-0.991141,-0.059,0.022
550,54.9,0.98,1,0.027236,-0.010808,-0.999571,-0.180869,0.073567,-0.980752,-0.077,0.032
551,55.0,0.98,1,0.030495,-0.004886,-0.999523,-0.179132,0.086371,-0.980026,-0.075,0.041
552,55.1,0.98,1,0.009235,0.00871,-0.999919,-0.180975,0.081939,-0.980068,-0.087,0.046
553,55.2,0.98,1,-0.011264,-0.045015,-0.998923,-0.133539,0.131228,-0.982317,-0.073,0.043
554,55.3,0.98,1,0.015869,0.013749,-0.99978,-0.135207,0.112771,-0.984379,-0.06,0.064
555,55.4,0.98,1,0.013607,0.008564,-0.999871,-0.187942,0.097954,-0.977283,-0.088,0.054
556,55.5,0.98,1,0.01442,0.015391,-0.999778,-0.139748,0.118089,-0.98312,-0.063,0.067
557,55.6,0.98,1,0.023155,0.001994,-0.99973,-0.091348,0.0792,-0.992665,-0.034,0.041
558,55.7,0.98,1,0.030833,0.026417,-0.999175,-0.111226,0.074254,-0.991017,-0.04,0.051
559,55.8,0.98,1,0.024105,0.012689,-0.999629,-0.118695,0.088834,-0.988949,-0.048,0.051
560,55.9,0.98,1,0.036078,0.015142,-0.999234,-0.111505,0.098764,-0.988844,-0.038,0.057
561,56.0,0.98,1,0.020073,0.022839,-0.999538,-0.139092,0.08666,-0.98648,-0.06,0.055
562,56.1,0.98,1,0.019148,0.009096,-0.999775,-0.096795,0.08775,-0.991429,-0.039,0.049
563,56.2,0.98,1,0.032444,0.015494,-0.999353,-0.135067,0.086958,-0.987013,-0.052,0.052
564,56.3,0.98,1,0.00476,-0.021849,-0.99975,-0.097791,0.079398,-0.992035,-0.047,0.029
565,56.4,0.98,1,-0.031171,-0.02511,-0.999199,-0.124669,0.119809,-0.984938,-0.078,0.048
566,56.5,0.98,1,-0.005049,0.006396,-0.999967,-0.119757,0.089974,-0.988718,-0.063,0.048
567,56.6,0.98,1,0.01073,0.002824,-0.999938,-0.125546,0.048619,-0.990896,-0.058,0.026
568,56.7,0.98,1,-0.002014,-0.037662,-0.999288,-0.110436,0.088752,-0.989913,-0.056,0.026
569,56.8,0.98,1,0.006984,-0.008053,-0.999943,-0.116624,0.077487,-0.990149,-0.055,0.035
