frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2313,231.2,0.98,1,0.01939,0.019214,-0.999627,-0.123285,0.02066,-0.992156,-0.052,0.02
2314,231.3,0.98,1,0.015724,0.015053,-0.999763,-0.121638,0.017299,-0.992424,-0.053,0.016
2315,231.4,0.98,1,0.011969,0.014551,-0.999822,-0.121686,0.026004,-0.992228,-0.055,0.02
2316,231.5,0.98,1,0.006037,0.038326,-0.999247,-0.041209,0.004539,-0.99914,-0.018,0.021
2317,231.6,0.98,1,0.190368,-0.004718,-0.981702,0.078117,-0.01718,-0.996796,0.135,-0.011
2318,231.7,0.93,1,0.177508,-0.073831,-0.981346,-0.060836,-0.029342,-0.997716,0.059,-0.052
2319,231.8,0.98,1,0.260991,-0.029713,-0.964884,0.012711,-0.060205,-0.998105,0.139,-0.046
2320,231.9,0.98,1,0.304838,0.028022,-0.951992,0.020849,-0.097824,-0.994985,0.166,-0.036
2321,232.0,0.98,1,0.177974,-0.056454,-0.982415,0.117308,-0.039825,-0.992297,0.148,-0.049
2322,232.1,0.98,1,0.162782,-0.03922,-0.985882,0.136052,-0.086292,-0.986936,0.15,-0.064
2323,232.2,0.98,1,0.212964,0.008302,-0.977025,0.061447,-0.002944,-0.998106,0.138,0.003
2324,232.3,0.98,1,0.225479,-0.02104,-0.974021,0.087874,0.0308,-0.995655,0.158,0.005
2325,232.4,0.98,1,0.220363,-0.011592,-0.975349,0.118461,0.01296,-0.992874,0.17,0.001
2326,232.5,0.98,1,0.182688,0.017721,-0.983011,0.102362,-0.007822,-0.994716,0.143,0.005
2327,232.6,0.98,1,0.18929,0.011286,-0.981856,0.104787,-0.010625,-0.994438,0.148,0.0
2328,232.7,0.98,1,0.163275,0.026244,-0.986231,0.092766,-0.01015,-0.995636,0.128,0.008
2329,232.8,0.98,1,0.15642,0.006663,-0.987668,0.071306,-0.00989,-0.997405,0.114,-0.002
2330,232.9,0.98,1,0.174306,-0.004018,-0.984683,0.099019,-0.021406,-0.994855,0.137,-0.013
2331,233.0,0.98,1,0.140484,0.000149,-0.990083,0.051591,0.009931,-0.998619,0.096,0.005
2332,233.1,0.98,1,0.142446,0.012116,-0.989728,0.037478,-0.020561,-0.999086,0.09,-0.004
2333,233.2,0.98,1,0.183499,0.021259,-0.98279,0.072064,-0.027152,-0.99703,0.128,-0.003
2334,233.3,0.98,1,0.187149,0.068941,-0.979909,0.061493,0.037883,-0.997388,0.125,0.054
2335,233.4,0.98,1,0.170378,-0.029179,-0.984947,0.043616,-0.107372,-0.993262,0.108,-0.069
2336,233.5,0.98,1,0.210955,-0.046725,-0.976378,0.067658,-0.139486,-0.98791,0.141,-0.095
2337,233.6,0.98,1,0.229154,-0.026039,-0.973042,0.029482,-0.097218,-0.994826,0.131,-0.063
2338,233.7,0.98,1,0.16436,-0.080556,-0.983106,-0.004533,-0.109313,-0.993997,0.081,-0.096
2339,233.8,0.98,1,0.164944,-0.040577,-0.985468,-0.003843,-0.117269,-0.993093,0.081,-0.08
2340,233.9,0.98,1,0.103769,-0.018175,-0.994435,0.060948,-0.090225,-0.994055,0.083,-0.054
2341,234.0,0.98,1,0.127676,0.000237,-0.991816,0.074887,-0.056553,-0.995587,0.102,-0.028
2342,234.1,0.98,1,0.125261,-0.015988,-0.991995,0.085186,-0.071624,-0.993787,0.106,-0.044
2343,234.2,0.98,1,0.150391,0.003959,-0.988619,0.08874,-0.0825,-0.992632,0.12,-0.04
2344,234.3,0.98,1,0.086304,-0.030277,-0.995809,0.02836,-0.082953,-0.99615,0.057,-0.057
2345,234.4,0.98,1,0.077634,-0.023514,-0.996705,-0.053306,-0.067576,-0.996289,0.012,-0.046
2346,234.5,0.98,1,0.104258,-0.003716,-0.994543,0.022952,-0.085343,-0.996087,0.064,-0.045
2347,234.6,0.98,1,0.092379,-0.00074,-0.995724,-0.039544,-0.03114,-0.998733,0.026,-0.016
2348,234.7,0.98,1,0.027114,0.0133,-0.999544,-0.08364,0.010436,-0.996441,-0.028,0.012
2349,234.8,0.98,1,0.022765,-0.016464,-0.999605,0.030452,0.016697,-0.999397,0.027,0.0
2350,234.9,0.98,1,0.134828,0.087151,-0.987029,-0.186701,0.064008,-0.980329,-0.026,0.077
2351,235.0,0.98,1,0.069629,0.087818,-0.9937,-0.076021,0.05302,-0.995696,-0.003,0.071
2352,235.1,0.98,1,0.050312,-0.025231,-0.998415,-0.166444,0.020925,-0.985829,-0.058,-0.002
2353,235.2,0.98,1,0.046395,-0.018563,-0.998751,-0.143212,0.008256,-0.989658,-0.049,-0.005
2354,235.3,0.98,1,0.019348,-0.043668,-0.998859,-0.023164,0.006323,-0.999712,-0.002,-0.019
2355,235.4,0.98,1,0.005218,-0.019932,-0.999788,-0.069845,-0.003705,-0.997551,-0.032,-0.012
2356,235.5,0.98,1,-0.001862,-0.014618,-0.999891,-0.07239,-0.061777,-0.995461,-0.037,-0.038
2357,235.6,0.98,1,0.00468,-0.013887,-0.999893,-0.072582,-0.058827,-0.995626,-0.034,-0.036
2358,235.7,0.98,1,0.024016,-0.019639,-0.999519,-0.0866,-0.062923,-0.994254,-0.031,-0.041
2359,235.8,0.98,1,0.041582,-0.045384,-0.998104,-0.064713,-0.045399,-0.996871,-0.012,-0.045
2360,235.9,0.98,1,0.059322,-0.073681,-0.995516,-0.068778,-0.086091,-0.99391,-0.005,-0.08
2361,236.0,0.98,1,0.01005,-0.07012,-0.997488,-0.006648,-0.090546,-0.99587,0.002,-0.08
2362,236.1,0.98,1,-0.042404,-0.008968,-0.99906,-0.094489,-0.003253,-0.995521,-0.069,-0.006
2363,236.2,0.98,1,-0.037575,-0.028358,-0.998891,-0.133625,-0.016294,-0.990898,-0.086,-0.022
2364,236.3,0.98,1,-0.023935,0.004872,-0.999702,-0.109154,0.014532,-0.993919,-0.067,0.01
2365,236.4,0.98,1,-0.06625,-0.007936,-0.997772,-0.191984,-0.030589,-0.980921,-0.13,-0.019
2366,236.5,0.98,1,-0.088524,-0.028301,-0.995672,-0.164523,-0.066927,-0.9841,-0.127,-0.048
2367,236.6,0.98,1,-0.084283,-0.073264,-0.993745,-0.204413,-0.071555,-0.976266,-0.146,-0.073
2368,236.7,0.98,1,-0.087217,-0.041462,-0.995326,-0.191189,-0.059659,-0.979739,-0.14,-0.051
2369,236.8,0.98,1,-0.121839,-0.030883,-0.992069,-0.224923,-0.04883,-0.973152,-0.175,-0.041
2370,236.9,0.93,1,-0.104622,-0.020677,-0.994297,-0.201147,-0.04842,-0.978364,-0.154,-0.035
2371,237.0,0.98,1,-0.102905,-0.044762,-0.993684,-0.208706,-0.086555,-0.974141,-0.157,-0.067
2372,237.1,0.93,1,-0.13362,-0.046604,-0.989936,-0.229799,-0.079601,-0.969977,-0.183,-0.064
2373,237.2,0.93,1,-0.127836,-0.068036,-0.989459,-0.2277,-0.090815,-0.969487,-0.18,-0.081
2374,237.3,0.98,1,0.060226,-0.048268,-0.997017,-0.151007,0.00418,-0.988524,-0.046,-0.022
2375,237.4,0.93,1,0.164512,-0.059504,-0.984579,-0.036467,-0.138587,-0.989679,0.065,-0.1
2376,237.5,0.93,1,0.195351,-0.040252,-0.979907,0.001467,-0.107007,-0.994257,0.099,-0.074
2377,237.6,0.98,1,0.332351,-0.134812,-0.933471,-0.019732,-0.131312,-0.991145,0.161,-0.137
