frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2252,225.1,0.98,1,0.107586,0.294695,-0.949516,-0.026751,0.275476,-0.960936,0.042,0.29
2253,225.2,0.93,1,0.127499,0.256456,-0.95811,0.036713,0.283054,-0.958401,0.085,0.274
2254,225.3,0.98,1,0.109192,0.263744,-0.958393,0.033386,0.254512,-0.966493,0.074,0.263
2255,225.4,0.98,1,0.097792,0.236722,-0.966643,-0.019855,0.245832,-0.969109,0.04,0.244
2256,225.5,0.98,1,0.041538,0.231032,-0.972059,-0.080817,0.220338,-0.97207,-0.02,0.228
2257,225.6,0.98,1,0.079239,0.211606,-0.974138,-0.026203,0.16705,-0.9856,0.027,0.191
2258,225.7,0.98,1,0.084176,0.167582,-0.982258,-0.009787,0.122294,-0.992446,0.038,0.146
2259,225.8,0.98,1,0.071148,0.10515,-0.991908,-0.054937,0.077009,-0.995516,0.008,0.091
2260,225.9,0.98,1,0.036738,0.093817,-0.994911,-0.088707,0.095735,-0.991446,-0.026,0.095
2261,226.0,0.98,1,0.033947,0.057023,-0.997796,0.014257,0.04285,-0.99898,0.024,0.05
2262,226.1,0.98,1,0.096115,-0.020963,-0.995149,0.013328,0.053559,-0.998476,0.055,0.016
2263,226.2,0.98,1,0.066127,0.050361,-0.996539,0.027405,0.075369,-0.996779,0.047,0.063
2264,226.3,0.98,1,0.130203,0.088621,-0.987519,-0.015381,0.087817,-0.996018,0.058,0.089
2265,226.4,0.98,1,0.125857,0.121352,-0.984598,-0.044139,0.149405,-0.98779,0.041,0.136
2266,226.5,0.98,1,0.0307,0.16568,-0.985702,-0.102772,0.244419,-0.964208,-0.037,0.207
2267,226.6,0.98,1,-0.024655,0.153858,-0.987785,-0.164303,0.252947,-0.953427,-0.097,0.207
2268,226.7,0.98,1,-0.090793,0.202888,-0.974984,-0.113483,0.187861,-0.975618,-0.104,0.198
