frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
429,42.8,0.98,1,0.090026,0.127229,-0.987779,-0.031703,0.139777,-0.989675,0.029,0.134
430,42.9,0.98,1,0.092553,0.17731,-0.979793,-0.089368,0.172779,-0.980898,0.002,0.177
431,43.0,0.98,1,0.047062,0.195665,-0.979541,-0.026309,0.209,-0.977562,0.011,0.204
432,43.1,0.93,1,0.148006,0.217231,-0.964834,-0.13771,0.25866,-0.956102,0.005,0.243
433,43.2,0.98,1,0.075434,0.226133,-0.971171,-0.041705,0.277092,-0.959938,0.017,0.255
434,43.3,0.98,1,0.050886,0.179337,-0.982471,-0.067857,0.220495,-0.973025,-0.009,0.202
435,43.4,0.98,1,0.056381,0.141,-0.988403,-0.07514,0.224327,-0.971613,-0.01,0.184
436,43.5,0.98,1,0.134574,0.203691,-0.969742,-0.045158,0.263858,-0.963504,0.046,0.237
437,43.6,0.98,1,0.133612,0.199147,-0.970818,-0.041299,0.268153,-0.962491,0.048,0.237
438,43.7,0.98,1,0.141706,0.186366,-0.972207,-0.006667,0.27747,-0.960711,0.07,0.236
439,43.8,0.98,1,0.164243,0.192064,-0.967541,0.001047,0.282481,-0.959272,0.086,0.241
440,43.9,0.93,1,0.117182,0.175517,-0.977477,-0.049821,0.245043,-0.968231,0.035,0.213
441,44.0,0.93,1,0.097738,0.199188,-0.975075,-0.066015,0.235995,-0.969509,0.016,0.22
442,44.1,0.98,1,0.099973,0.159093,-0.982189,-0.075628,0.231426,-0.969908,0.012,0.197
443,44.2,0.98,1,0.105607,0.17645,-0.978628,-0.0617,0.205829,-0.976641,0.022,0.193
444,44.3,0.98,1,0.115197,0.188499,-0.975294,-0.02158,0.189803,-0.981585,0.048,0.191
445,44.4,0.98,1,0.094113,0.193365,-0.976603,-0.05755,0.232821,-0.970815,0.019,0.215
446,44.5,0.98,1,0.110024,0.21205,-0.971046,-0.050819,0.231093,-0.971604,0.03,0.224
447,44.6,0.98,1,0.097023,0.209851,-0.972908,-0.044561,0.206072,-0.977522,0.027,0.21
448,44.7,0.98,1,0.119289,0.182031,-0.97603,-0.041655,0.202339,-0.978429,0.04,0.194
449,44.8,0.98,1,0.11572,0.202133,-0.972497,-0.015535,0.220916,-0.975169,0.051,0.214
450,44.9,0.98,1,0.112982,0.205693,-0.972073,-0.02651,0.238575,-0.970762,0.044,0.225
451,45.0,0.98,1,0.080244,0.194679,-0.977579,-0.044598,0.210791,-0.976513,0.018,0.205
452,45.1,0.98,1,0.090526,0.208805,-0.973758,-0.03986,0.222248,-0.974175,0.026,0.218
453,45.2,0.93,1,0.137851,0.229675,-0.963455,0.011032,0.233295,-0.972344,0.077,0.235
454,45.3,0.98,1,0.122764,0.217296,-0.968355,-0.018577,0.231809,-0.972584,0.054,0.227
455,45.4,0.98,1,0.17015,0.223815,-0.959664,-0.020566,0.220946,-0.975069,0.077,0.226
456,45.5,0.98,1,0.183103,0.194994,-0.963561,-0.017616,0.214462,-0.976573,0.085,0.208
457,45.6,0.98,1,0.184899,0.186836,-0.964834,-0.016615,0.214143,-0.976661,0.086,0.204
458,45.7,0.98,1,0.155702,0.152087,-0.976026,0.011264,0.207716,-0.978124,0.085,0.182
459,45.8,0.93,1,0.103102,0.154357,-0.982621,-0.024309,0.183093,-0.982795,0.04,0.17
460,45.9,0.98,1,0.100312,0.151052,-0.983423,0.004083,0.188091,-0.982143,0.053,0.171
461,46.0,0.98,1,0.132299,0.149612,-0.979854,-0.02309,0.180914,-0.983228,0.056,0.167
462,46.1,0.98,1,0.133156,0.123736,-0.983341,-0.035501,0.159271,-0.986596,0.05,0.143
463,46.2,0.98,1,0.134938,0.15022,-0.979401,-0.056238,0.207466,-0.976624,0.04,0.181
