frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2236,223.5,0.98,1,0.134363,0.229184,-0.964065,0.014127,0.186689,-0.982318,0.076,0.21
2237,223.6,0.98,1,0.204819,0.284381,-0.936577,-0.031704,0.24238,-0.969663,0.091,0.27
2238,223.7,0.98,1,0.30394,0.362448,-0.881051,-0.076127,0.287575,-0.954728,0.123,0.34
2239,223.8,0.98,1,0.088938,0.188405,-0.978056,-0.024088,0.251265,-0.967619,0.033,0.222
2240,223.9,0.98,1,0.157016,0.192302,-0.968693,0.02799,0.177588,-0.983707,0.094,0.187
2241,224.0,0.98,1,0.178449,0.209319,-0.961427,0.055119,0.160407,-0.985511,0.119,0.188
2242,224.1,0.98,1,0.169845,0.21703,-0.961276,0.070055,0.177588,-0.981608,0.123,0.2
2243,224.2,0.98,1,0.231028,0.180616,-0.956036,0.080145,0.156804,-0.984373,0.159,0.172
2244,224.3,0.98,1,0.188535,0.18187,-0.965079,0.082828,0.126031,-0.988563,0.138,0.156
2245,224.4,0.98,1,0.191589,0.217626,-0.957044,0.027073,0.149016,-0.988464,0.112,0.186
2246,224.5,0.98,1,0.080929,0.07981,-0.993519,0.032137,0.109312,-0.993488,0.057,0.095
2247,224.6,0.98,1,0.134288,0.098832,-0.986001,0.068473,0.150859,-0.986181,0.102,0.126
2248,224.7,0.98,1,0.118751,0.092824,-0.988576,0.0899,0.155648,-0.983713,0.105,0.125
2249,224.8,0.98,1,0.118388,0.14704,-0.98202,0.059774,0.142894,-0.987931,0.09,0.146
2250,224.9,0.98,1,0.092701,0.116187,-0.988892,0.032597,0.161069,-0.986405,0.063,0.139
2251,225.0,0.98,1,0.070702,0.143762,-0.987083,0.025093,0.109687,-0.993649,0.048,0.127
2252,225.1,0.98,1,0.078848,0.107816,-0.991039,0.064171,0.091757,-0.993712,0.072,0.1
2253,225.2,0.98,1,0.086195,0.127045,-0.988145,0.035739,0.070988,-0.996837,0.061,0.099
2254,225.3,0.98,1,0.08205,0.137632,-0.987079,-0.08564,0.137631,-0.986774,-0.002,0.139
2255,225.4,0.98,1,0.182777,0.200589,-0.962474,-0.045273,0.163696,-0.985472,0.07,0.185
2256,225.5,0.98,1,0.15615,0.120672,-0.980334,-0.014683,0.150579,-0.988489,0.072,0.137
