frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
1092,109.1,0.98,1,0.153066,0.310252,-0.938251,-0.112282,0.353509,-0.928668,0.022,0.342
1093,109.2,0.98,1,0.170328,0.313728,-0.934111,-0.076053,0.30098,-0.950593,0.05,0.315
1094,109.3,0.98,1,0.158355,0.309326,-0.937679,-0.084863,0.3009,-0.949872,0.039,0.313
1095,109.4,0.98,1,0.173543,0.290671,-0.940953,-0.050208,0.326473,-0.943872,0.065,0.316
1096,109.5,0.98,1,0.152349,0.285996,-0.946042,-0.074898,0.318137,-0.945082,0.041,0.309
1097,109.6,0.98,1,0.169747,0.284927,-0.9434,-0.092916,0.311945,-0.945546,0.041,0.306
1098,109.7,0.98,1,0.156292,0.28753,-0.944933,-0.06163,0.312964,-0.947763,0.05,0.307
1099,109.8,0.98,1,0.140864,0.294648,-0.945166,-0.053138,0.297697,-0.95318,0.046,0.302
1100,109.9,0.98,1,0.135886,0.291817,-0.946772,-0.063136,0.304587,-0.95039,0.038,0.305
1101,110.0,0.98,1,0.158943,0.258533,-0.952837,-0.047607,0.279221,-0.959046,0.058,0.274
1102,110.1,0.98,1,0.182238,0.253945,-0.949896,-0.043786,0.282313,-0.958323,0.072,0.274
1103,110.2,0.98,1,0.173909,0.285073,-0.942597,-0.045048,0.282135,-0.958316,0.068,0.29
1104,110.3,0.98,1,0.125564,0.290963,-0.948459,-0.089022,0.276193,-0.95697,0.019,0.289
1105,110.4,0.98,1,0.107593,0.297635,-0.948597,-0.126352,0.287734,-0.949339,-0.01,0.299
1106,110.5,0.98,1,0.167107,0.28362,-0.944264,-0.108598,0.27906,-0.954113,0.031,0.288
1107,110.6,0.98,1,0.170352,0.279027,-0.945053,-0.095592,0.27638,-0.956282,0.039,0.284
1108,110.7,0.98,1,0.172747,0.274119,-0.946053,-0.097139,0.283217,-0.954124,0.04,0.285
1109,110.8,0.98,1,0.182936,0.27315,-0.944417,-0.057522,0.274341,-0.959911,0.066,0.28
1110,110.9,0.98,1,0.182438,0.277637,-0.943204,-0.065086,0.275815,-0.959005,0.062,0.283
1111,111.0,0.98,1,0.157868,0.275459,-0.948261,-0.043221,0.292317,-0.955344,0.06,0.29
1112,111.1,0.98,1,0.153923,0.273775,-0.949397,-0.035048,0.292293,-0.955686,0.062,0.289
1113,111.2,0.98,1,0.151326,0.27742,-0.948756,-0.033818,0.288303,-0.956942,0.062,0.289
1114,111.3,0.98,1,0.153404,0.269545,-0.950691,-0.031955,0.286454,-0.957561,0.064,0.284
1115,111.4,0.98,1,0.152871,0.28121,-0.947392,-0.024853,0.302768,-0.95274,0.067,0.298
1116,111.5,0.98,1,0.157104,0.279506,-0.947204,-0.025794,0.305566,-0.951821,0.069,0.299
