frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
2375,237.4,0.98,1,0.105098,0.274849,-0.955726,-0.011366,0.18429,-0.982806,0.048,0.233
2376,237.5,0.98,1,0.102226,0.284468,-0.95322,-0.030008,0.174109,-0.984269,0.037,0.232
2377,237.6,0.98,1,0.141674,0.268812,-0.952716,-0.027742,0.124976,-0.991772,0.059,0.2
2378,237.7,0.98,1,0.154156,0.275538,-0.948849,-0.024734,0.13468,-0.99058,0.067,0.208
2379,237.8,0.93,1,0.137225,0.26976,-0.9531,-0.007005,0.126319,-0.991965,0.067,0.201
2380,237.9,0.98,1,0.135707,0.276683,-0.951331,0.034893,0.193723,-0.980435,0.088,0.239
2381,238.0,0.93,1,0.127867,0.287261,-0.949279,0.017092,0.182637,-0.983032,0.075,0.239
2382,238.1,0.98,1,0.103029,0.298628,-0.948792,0.005658,0.180573,-0.983545,0.056,0.243
2383,238.2,0.98,1,0.154792,0.292308,-0.943714,-0.071734,0.153973,-0.985468,0.043,0.227
2384,238.3,0.93,1,0.134998,0.302232,-0.943627,-0.022362,0.186667,-0.982169,0.058,0.249
2385,238.4,0.98,1,0.150501,0.30108,-0.941648,0.002042,0.209283,-0.977853,0.079,0.26
2386,238.5,0.98,1,0.151488,0.304971,-0.940236,-0.026722,0.211415,-0.977031,0.065,0.263
2387,238.6,0.98,1,0.142328,0.280912,-0.949121,0.038764,0.232685,-0.971779,0.094,0.261
2388,238.7,0.98,1,0.157279,0.210173,-0.96493,-0.049043,0.214912,-0.975401,0.056,0.216
2389,238.8,0.98,1,0.161007,0.193715,-0.967756,0.008916,0.21329,-0.976948,0.087,0.206
2390,238.9,0.98,1,0.160795,0.190687,-0.968392,-0.005059,0.165378,-0.986217,0.08,0.18
2391,239.0,0.98,1,0.152028,0.203081,-0.967288,0.014956,0.175947,-0.984286,0.085,0.192
2392,239.1,0.98,1,0.121866,0.183729,-0.975393,0.013114,0.137948,-0.990353,0.069,0.162
2393,239.2,0.98,1,0.142322,0.127791,-0.981537,0.016864,0.108325,-0.993972,0.08,0.119
2394,239.3,0.98,1,0.125176,0.110895,-0.985917,0.011636,0.062219,-0.997995,0.069,0.087
2395,239.4,0.98,1,0.112237,0.132653,-0.984787,-0.025665,0.113672,-0.993187,0.044,0.124
2396,239.5,0.98,1,0.133799,0.145765,-0.98023,-0.049648,0.124009,-0.991038,0.043,0.136
2397,239.6,0.98,1,0.105539,0.175655,-0.978778,-0.006747,0.203714,-0.979007,0.05,0.191
2398,239.7,0.98,1,0.112813,0.194116,-0.97447,-0.014684,0.149099,-0.988713,0.05,0.173
2399,239.8,0.98,1,0.126921,0.215304,-0.968264,0.017993,0.150136,-0.988502,0.074,0.185
2400,239.9,0.98,1,0.099744,0.242056,-0.965122,-0.016368,0.197579,-0.98015,0.043,0.222
2401,240.0,0.98,1,0.121952,0.234875,-0.964345,-0.008923,0.21231,-0.977162,0.058,0.226
2402,240.1,0.98,1,0.158776,0.231763,-0.959727,9.4e-05,0.181646,-0.983364,0.082,0.21
2403,240.2,0.93,1,0.147364,0.381766,-0.912435,-0.204214,0.276339,-0.939113,-0.031,0.342
2404,240.3,0.98,1,0.168471,0.331064,-0.928447,-0.039118,0.0935,-0.994851,0.067,0.217
2405,240.4,0.98,1,0.104539,0.228219,-0.967981,0.00627,0.179739,-0.983694,0.057,0.206
2406,240.5,0.98,1,0.16411,0.2293,-0.959421,0.007407,0.13924,-0.990231,0.088,0.187
2407,240.6,0.98,1,0.137422,0.265445,-0.954282,0.035368,0.167172,-0.985293,0.089,0.219
