frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
543,54.2,0.98,1,0.094192,0.240826,-0.965987,0.001338,0.147748,-0.989024,0.049,0.196
544,54.3,0.98,1,0.096807,0.233279,-0.967579,-0.009877,0.140043,-0.990096,0.044,0.188
545,54.4,0.98,1,0.105281,0.235235,-0.96622,-0.006615,0.141773,-0.989877,0.05,0.19
546,54.5,0.98,1,0.10733,0.223638,-0.968745,-0.005764,0.150431,-0.988604,0.052,0.189
547,54.6,0.98,1,0.111027,0.222935,-0.96849,-0.00532,0.149453,-0.988755,0.054,0.188
548,54.7,0.98,1,0.108319,0.228622,-0.96747,-0.005616,0.148115,-0.988954,0.052,0.19
549,54.8,0.98,1,0.10939,0.227215,-0.967681,-0.009163,0.139404,-0.990193,0.051,0.185
550,54.9,0.98,1,0.108531,0.22409,-0.968506,-0.012076,0.132474,-0.991113,0.049,0.18
551,55.0,0.98,1,0.086665,0.220231,-0.97159,-0.024648,0.122292,-0.992188,0.032,0.173
552,55.1,0.98,1,0.093819,0.21944,-0.971105,-0.026872,0.121595,-0.992216,0.034,0.172
553,55.2,0.98,1,0.102056,0.223191,-0.969418,-0.025661,0.116929,-0.992809,0.039,0.172
554,55.3,0.98,1,0.101001,0.221783,-0.969851,-0.031575,0.117919,-0.992521,0.035,0.171
555,55.4,0.98,1,0.099624,0.226734,-0.968848,-0.026524,0.118231,-0.992632,0.037,0.174
556,55.5,0.98,1,0.104611,0.220585,-0.969742,-0.004462,0.124212,-0.992246,0.051,0.174
557,55.6,0.98,1,0.111163,0.226047,-0.967753,-0.004484,0.12357,-0.992326,0.054,0.177
558,55.7,0.98,1,0.105981,0.219919,-0.969744,-0.007989,0.123966,-0.992254,0.05,0.174
559,55.8,0.98,1,0.100247,0.218209,-0.97074,-0.01636,0.12632,-0.991855,0.043,0.174
560,55.9,0.98,1,0.100296,0.215693,-0.971297,-0.01756,0.126989,-0.991749,0.042,0.173
561,56.0,0.98,1,0.100919,0.217585,-0.97081,-0.016409,0.123876,-0.992162,0.043,0.172
562,56.1,0.98,1,0.106749,0.218249,-0.970037,-0.017448,0.122368,-0.992332,0.045,0.172
563,56.2,0.98,1,0.10875,0.215537,-0.970421,-0.016765,0.123497,-0.992203,0.047,0.171
564,56.3,0.98,1,0.101774,0.217737,-0.970687,-0.015243,0.13394,-0.990872,0.044,0.177
565,56.4,0.98,1,0.095083,0.219944,-0.970868,-0.006296,0.138116,-0.990396,0.045,0.181
566,56.5,0.98,1,0.096183,0.222881,-0.970089,-0.006576,0.14041,-0.990072,0.046,0.183
567,56.6,0.98,1,0.098265,0.222046,-0.970072,-0.010117,0.140126,-0.990082,0.045,0.183
568,56.7,0.98,1,0.106127,0.229893,-0.967412,-0.015779,0.142775,-0.989629,0.046,0.188
569,56.8,0.98,1,0.105289,0.230978,-0.967245,-0.017442,0.141073,-0.989846,0.045,0.188
570,56.9,0.98,1,0.104388,0.231974,-0.967105,-0.016333,0.142744,-0.989625,0.045,0.189
571,57.0,0.98,1,0.112299,0.219943,-0.969028,-0.039389,0.126257,-0.991215,0.037,0.175
572,57.1,0.98,1,0.11685,0.21815,-0.968895,-0.040695,0.119999,-0.99194,0.039,0.171
