gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.241831,0.163325,-0.956474,-0.025943,0.132733,-0.990812,0.107944,0.148029,-0.973643
0.249358,0.156277,-0.955719,-0.024035,0.129769,-0.991253,0.1126615,0.143023,-0.9734860000000001
0.220028,0.140084,-0.965383,-0.048033,0.131519,-0.990149,0.0859975,0.1358015,-0.9777659999999999
0.219919,0.147718,-0.964269,-0.052111,0.136556,-0.989261,0.083904,0.142137,-0.976765
0.224558,0.15739,-0.961666,-0.045185,0.136462,-0.989614,0.0896865,0.146926,-0.9756400000000001
0.227671,0.159394,-0.960604,-0.046218,0.139108,-0.989198,0.0907265,0.14925100000000002,-0.974901
0.185081,0.174574,-0.967093,-0.012337,0.121166,-0.992556,0.086372,0.14787,-0.9798245
0.184159,0.172644,-0.967615,-0.007618,0.120366,-0.9927,0.0882705,0.146505,-0.9801575
0.182892,0.173325,-0.967734,-0.009295,0.121137,-0.992592,0.0867985,0.147231,-0.980163
0.181672,0.172588,-0.968095,-0.007038,0.12244,-0.992451,0.087317,0.14751399999999998,-0.980273
0.180876,0.174276,-0.967942,-0.007258,0.125704,-0.992041,0.08680900000000001,0.14999,-0.9799914999999999
0.184957,0.173383,-0.967331,-0.007578,0.121615,-0.992548,0.0886895,0.147499,-0.9799395
0.186386,0.175113,-0.966745,-0.010312,0.123501,-0.992291,0.088037,0.149307,-0.979518
0.183977,0.174363,-0.967342,-0.008822,0.124986,-0.992119,0.0875775,0.1496745,-0.9797305000000001
0.188021,0.166979,-0.967867,-0.012053,0.118663,-0.992861,0.08798399999999999,0.142821,-0.980364
0.170846,0.172113,-0.970149,-0.00777,0.125504,-0.992063,0.081538,0.1488085,-0.981106
0.174068,0.170263,-0.969903,-0.010264,0.125816,-0.992,0.081902,0.1480395,-0.9809515
0.169297,0.173621,-0.970152,-0.009504,0.127886,-0.991743,0.0798965,0.15075349999999998,-0.9809475000000001
0.168817,0.173331,-0.970287,-0.008492,0.128682,-0.99165,0.0801625,0.1510065,-0.9809685
0.169327,0.173649,-0.970141,-0.00706,0.127577,-0.991804,0.0811335,0.150613,-0.9809725
0.167532,0.171106,-0.970905,-0.002133,0.125603,-0.992078,0.0826995,0.1483545,-0.9814915
0.166187,0.169311,-0.97145,-0.020813,0.1404,-0.989876,0.072687,0.15485549999999998,-0.9806630000000001
0.165977,0.166591,-0.971956,-0.021918,0.136994,-0.990329,0.07202950000000001,0.1517925,-0.9811425
0.16813,0.16893,-0.971182,-0.022485,0.139382,-0.989983,0.0728225,0.15415600000000002,-0.9805824999999999
0.17715,0.165523,-0.970165,-0.023643,0.135862,-0.990446,0.0767535,0.1506925,-0.9803055
0.167805,0.167626,-0.971464,-0.015969,0.141386,-0.989826,0.075918,0.154506,-0.980645
0.165155,0.166555,-0.972102,-0.019904,0.137097,-0.990358,0.0726255,0.15182600000000002,-0.98123
0.16587,0.16591,-0.972091,-0.012939,0.136559,-0.990547,0.07646549999999999,0.1512345,-0.981319
0.166794,0.167003,-0.971746,-0.013873,0.13986,-0.990074,0.0764605,0.1534315,-0.98091
0.165178,0.164768,-0.972403,-0.012763,0.135794,-0.990655,0.0762075,0.150281,-0.981529
0.165728,0.163688,-0.972492,-0.013603,0.134411,-0.990832,0.07606249999999999,0.1490495,-0.981662
0.160939,0.164443,-0.973168,-0.015704,0.136123,-0.990568,0.0726175,0.150283,-0.981868
0.169982,0.153262,-0.973456,-0.015034,0.132945,-0.991009,0.077474,0.1431035,-0.9822325000000001
0.162293,0.154971,-0.974497,-0.015732,0.135934,-0.990593,0.0732805,0.14545249999999998,-0.982545
0.162198,0.155573,-0.974417,-0.01817,0.136533,-0.990469,0.07201400000000001,0.146053,-0.982443
0.163474,0.153633,-0.974512,-0.016363,0.133479,-0.990917,0.07355550000000001,0.143556,-0.9827145
0.252143,0.164798,-0.953554,-0.052536,0.15828,-0.985996,0.0998035,0.161539,-0.969775
0.26074,0.170261,-0.950277,-0.059623,0.171232,-0.983425,0.10055850000000001,0.1707465,-0.966851
0.255545,0.17071,-0.951607,-0.044015,0.156461,-0.986703,0.10576500000000001,0.1635855,-0.969155
0.251569,0.175316,-0.951828,-0.037794,0.161219,-0.986195,0.1068875,0.16826750000000001,-0.9690115
0.257394,0.171076,-0.951042,-0.048928,0.155632,-0.986603,0.104233,0.163354,-0.9688225
0.257195,0.168418,-0.95157,-0.053091,0.152734,-0.98684,0.102052,0.160576,-0.9692050000000001
0.254519,0.170509,-0.951917,-0.046486,0.154835,-0.986846,0.1040165,0.16267199999999998,-0.9693815
0.257886,0.168632,-0.951345,-0.050751,0.155047,-0.986603,0.1035675,0.1618395,-0.968974
0.251693,0.16935,-0.952875,-0.047275,0.152149,-0.987226,0.102209,0.1607495,-0.9700505
0.259893,0.169828,-0.950586,-0.05217,0.153384,-0.986789,0.1038615,0.161606,-0.9686875
0.252875,0.168558,-0.952703,-0.039002,0.149471,-0.987997,0.1069365,0.1590145,-0.97035
0.24766,0.160577,-0.955447,-0.048274,0.148335,-0.987758,0.099693,0.15445599999999998,-0.9716025
0.244355,0.155042,-0.957211,-0.037285,0.144717,-0.98877,0.10353499999999999,0.1498795,-0.9729905000000001
0.244068,0.153985,-0.957455,-0.040599,0.143364,-0.988837,0.1017345,0.1486745,-0.973146
0.245195,0.156818,-0.956707,-0.038302,0.145846,-0.988566,0.1034465,0.15133200000000002,-0.9726364999999999
0.25223,0.164249,-0.953626,-0.029163,0.147473,-0.988636,0.11153350000000001,0.155861,-0.971131
0.25262,0.167193,-0.953011,-0.024324,0.15614,-0.987435,0.114148,0.1616665,-0.9702230000000001
0.234584,0.164319,-0.958107,-0.019371,0.152459,-0.98812,0.1076065,0.158389,-0.9731135
0.22845,0.161093,-0.960135,-0.019013,0.151824,-0.988225,0.10471849999999999,0.1564585,-0.97418
0.22994,0.162628,-0.95952,-0.022544,0.152159,-0.988099,0.103698,0.1573935,-0.9738095
0.235142,0.159311,-0.958816,-0.021604,0.149838,-0.988474,0.10676899999999999,0.1545745,-0.973645
0.235526,0.16838,-0.957171,-0.026545,0.15518,-0.987529,0.10449050000000001,0.16178,-0.97235
0.233269,0.167155,-0.957938,-0.014617,0.145658,-0.989227,0.109326,0.1564065,-0.9735825
0.234898,0.166082,-0.957726,-0.015051,0.146196,-0.989141,0.1099235,0.156139,-0.9734335000000001
0.238557,0.169721,-0.956183,-0.015035,0.152138,-0.988245,0.111761,0.1609295,-0.972214
0.238331,0.166832,-0.956747,-0.016379,0.149598,-0.988611,0.11097599999999999,0.158215,-0.9726790000000001
0.234397,0.168553,-0.957417,-0.015319,0.151581,-0.988326,0.109539,0.16006700000000001,-0.9728715
0.238143,0.168089,-0.956574,-0.014952,0.151313,-0.988373,0.1115955,0.15970099999999998,-0.9724735
0.229728,0.166217,-0.958956,-0.015297,0.149372,-0.988663,0.10721549999999999,0.1577945,-0.9738095
0.231872,0.166294,-0.958427,-0.015644,0.151672,-0.988307,0.108114,0.15898299999999999,-0.9733670000000001
0.194767,0.163735,-0.967087,-0.014002,0.162439,-0.986619,0.0903825,0.16308699999999998,-0.976853
0.204088,0.158325,-0.966065,0.0115,0.154587,-0.987912,0.107794,0.15645599999999998,-0.9769885
