gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.062134,0.19094,-0.979633,-0.027944,0.181268,-0.983037,0.017095,0.186104,-0.9813350000000001
0.112066,0.170259,-0.979006,-0.073127,0.170651,-0.982614,0.0194695,0.170455,-0.98081
0.114028,0.174355,-0.978058,-0.103132,0.21329,-0.97153,0.0054480000000000015,0.1938225,-0.9747939999999999
0.125152,0.174588,-0.976655,-0.090436,0.209553,-0.973606,0.017358000000000005,0.19207049999999998,-0.9751305
0.1309,0.172718,-0.976235,-0.084343,0.207073,-0.974683,0.023278499999999994,0.1898955,-0.975459
0.086648,0.182418,-0.979396,-0.08426,0.230407,-0.96944,0.0011940000000000006,0.2064125,-0.974418
0.086973,0.180723,-0.979681,-0.082732,0.221487,-0.971648,0.0021204999999999974,0.20110499999999998,-0.9756644999999999
0.088543,0.186084,-0.978536,-0.085719,0.214027,-0.973059,0.0014119999999999966,0.2000555,-0.9757975
0.090207,0.193637,-0.976917,-0.082029,0.216626,-0.972802,0.004088999999999995,0.20513150000000002,-0.9748595
0.086602,0.187212,-0.978495,-0.084216,0.215863,-0.972785,0.0011929999999999996,0.20153749999999998,-0.9756400000000001
0.096585,0.183672,-0.978231,-0.085418,0.216618,-0.972512,0.005583500000000005,0.20014500000000002,-0.9753715000000001
0.09659,0.181242,-0.978684,-0.084487,0.215945,-0.972743,0.006051499999999994,0.19859349999999998,-0.9757135
0.095481,0.181343,-0.978774,-0.117552,0.205347,-0.971604,-0.011035500000000004,0.193345,-0.9751890000000001
0.09572,0.183274,-0.978391,-0.115914,0.205022,-0.971869,-0.010097000000000002,0.194148,-0.97513
0.066956,0.219617,-0.973286,-0.124182,0.20745,-0.970331,-0.028613,0.2135335,-0.9718085000000001
0.058927,0.20836,-0.976276,-0.120595,0.213192,-0.969539,-0.030833999999999997,0.210776,-0.9729075
0.036514,0.223471,-0.974026,-0.100059,0.234664,-0.966913,-0.031772499999999995,0.2290675,-0.9704695
0.080999,0.161933,-0.983472,-0.122912,0.202072,-0.971627,-0.020956499999999996,0.1820025,-0.9775495000000001
0.068694,0.189496,-0.979476,-0.123709,0.201749,-0.971593,-0.027507499999999997,0.1956225,-0.9755345
0.07813,0.139991,-0.987065,-0.120735,0.196869,-0.972967,-0.021302499999999995,0.16843,-0.980016
0.074791,0.163144,-0.983763,-0.122705,0.200398,-0.972,-0.023957,0.18177100000000002,-0.9778815000000001
0.073211,0.163667,-0.983795,-0.119603,0.198699,-0.972735,-0.023196,0.18118299999999998,-0.9782649999999999
0.060969,0.173294,-0.982981,-0.124281,0.200883,-0.9717,-0.031656000000000004,0.1870885,-0.9773405
0.063475,0.171925,-0.983063,-0.128738,0.203213,-0.970634,-0.032631499999999994,0.18756899999999999,-0.9768485
0.042528,0.183697,-0.982062,-0.102467,0.238314,-0.965768,-0.0299695,0.2110055,-0.973915
0.049409,0.210719,-0.976297,-0.099498,0.214563,-0.971629,-0.0250445,0.212641,-0.9739629999999999
0.098324,0.21968,-0.970604,-0.118503,0.247426,-0.961633,-0.010089500000000001,0.233553,-0.9661185
0.063134,0.251515,-0.965792,-0.100534,0.289381,-0.95192,-0.0187,0.270448,-0.9588559999999999
0.056119,0.25927,-0.964173,-0.102211,0.292472,-0.950796,-0.023045999999999997,0.275871,-0.9574845
0.089124,0.230533,-0.968974,-0.110101,0.267891,-0.957138,-0.010488500000000005,0.249212,-0.963056
0.087142,0.203088,-0.975275,-0.098703,0.264919,-0.959206,-0.005780500000000001,0.2340035,-0.9672405
0.045365,0.222224,-0.97394,-0.096202,0.267347,-0.958786,-0.025418499999999997,0.2447855,-0.9663630000000001
0.068705,0.232931,-0.970063,-0.141427,0.207084,-0.968047,-0.036361,0.2200075,-0.969055
0.072686,0.227307,-0.971107,-0.143165,0.194434,-0.970412,-0.03523949999999999,0.21087050000000002,-0.9707595
0.07024,0.209725,-0.975234,-0.159842,0.193097,-0.968072,-0.04480100000000001,0.201411,-0.9716530000000001
0.07117,0.224188,-0.971944,-0.159494,0.19116,-0.968514,-0.044162,0.207674,-0.970229
0.070837,0.212939,-0.974494,-0.16427,0.189344,-0.968072,-0.0467165,0.2011415,-0.971283
0.061936,0.218129,-0.973952,-0.162827,0.191165,-0.967958,-0.050445500000000004,0.204647,-0.970955
0.047633,0.2149,-0.975474,-0.167107,0.189844,-0.967489,-0.059737,0.202372,-0.9714815
0.047424,0.215358,-0.975383,-0.165703,0.189622,-0.967774,-0.0591395,0.20249,-0.9715785
0.074595,0.190677,-0.978814,-0.159858,0.191743,-0.968339,-0.0426315,0.19121,-0.9735765
0.06969,0.194568,-0.97841,-0.156334,0.189183,-0.969417,-0.043322,0.19187549999999998,-0.9739135
0.083454,0.205982,-0.974991,-0.161712,0.18649,-0.969057,-0.039129,0.196236,-0.972024
0.089286,0.194126,-0.976905,-0.14808,0.181712,-0.972138,-0.029396999999999993,0.187919,-0.9745215
0.064772,0.214159,-0.974649,-0.149355,0.186241,-0.971086,-0.042291499999999996,0.2002,-0.9728675
0.069552,0.21179,-0.974837,-0.145091,0.179482,-0.973003,-0.0377695,0.195636,-0.9739199999999999
0.080861,0.204871,-0.975443,-0.13903,0.20829,-0.968135,-0.029084499999999992,0.2065805,-0.971789
0.084353,0.183875,-0.979324,-0.133496,0.218105,-0.966752,-0.024571500000000003,0.20099,-0.973038
0.084406,0.18138,-0.979784,-0.134434,0.222557,-0.965606,-0.025014,0.2019685,-0.972695
0.069441,0.187135,-0.979877,-0.134621,0.228147,-0.964275,-0.032589999999999994,0.207641,-0.9720759999999999
