gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.195899,0.365826,-0.909832,0.018825,0.284135,-0.9586,0.107362,0.3249805,-0.9342159999999999
0.157014,0.328826,-0.931247,0.017821,0.29318,-0.955891,0.0874175,0.31100300000000003,-0.9435690000000001
0.201066,0.339825,-0.918744,0.020863,0.299085,-0.953998,0.1109645,0.319455,-0.9363710000000001
0.222545,0.312352,-0.923531,-0.129806,0.403108,-0.9059,0.046369499999999994,0.35773,-0.9147155
0.323273,0.428402,-0.843781,0.050226,0.343973,-0.937635,0.18674949999999998,0.3861875,-0.890708
0.261244,0.36342,-0.894247,0.070267,0.312777,-0.947224,0.1657555,0.3380985,-0.9207354999999999
0.227002,0.311949,-0.922582,0.081693,0.313098,-0.946201,0.1543475,0.31252349999999995,-0.9343915
0.220477,0.362674,-0.90546,0.088916,0.317478,-0.944088,0.15469650000000001,0.340076,-0.924774
0.148797,0.315394,-0.937222,0.101613,0.319062,-0.942271,0.125205,0.317228,-0.9397465
0.146958,0.317357,-0.93685,0.101124,0.326339,-0.939828,0.12404100000000001,0.321848,-0.938339
0.149863,0.318303,-0.936068,0.095002,0.320865,-0.942348,0.1224325,0.319584,-0.939208
0.238032,0.351908,-0.905263,-0.047725,0.392353,-0.918576,0.0951535,0.37213050000000003,-0.9119195
0.214844,0.452059,-0.865728,0.070742,0.315366,-0.94633,0.142793,0.3837125,-0.906029
0.147476,0.337005,-0.929881,0.084888,0.266189,-0.960176,0.11618200000000001,0.301597,-0.9450285
0.131742,0.34123,-0.930702,0.078814,0.266096,-0.960719,0.105278,0.303663,-0.9457105
0.147335,0.344123,-0.927293,0.074884,0.26453,-0.961466,0.1111095,0.3043265,-0.9443795
0.209847,0.45114,-0.867431,0.052272,0.315527,-0.947476,0.1310595,0.3833335,-0.9074534999999999
0.227435,0.395273,-0.889962,0.064574,0.284971,-0.956359,0.1460045,0.340122,-0.9231605
0.137541,0.320491,-0.937213,0.058595,0.234342,-0.970387,0.098068,0.2774165,-0.9538
0.179516,0.355637,-0.917222,0.054693,0.241862,-0.968768,0.1171045,0.2987495,-0.942995
0.146233,0.330164,-0.932528,0.058296,0.249015,-0.966744,0.10226450000000001,0.2895895,-0.949636
0.120444,0.318609,-0.940203,0.056932,0.249818,-0.966618,0.088688,0.2842135,-0.9534104999999999
0.16112,0.33628,-0.927877,0.051641,0.252811,-0.966137,0.1063805,0.2945455,-0.9470069999999999
0.219993,0.350274,-0.910445,0.019847,0.301138,-0.953374,0.11992,0.325706,-0.9319095
0.223685,0.361098,-0.905303,0.014129,0.317305,-0.948218,0.118907,0.3392015,-0.9267605
0.219984,0.36505,-0.904625,0.017725,0.32896,-0.944177,0.1188545,0.347005,-0.924401
0.220262,0.355333,-0.908418,0.017336,0.318879,-0.947637,0.118799,0.337106,-0.9280275
0.169022,0.312702,-0.934692,0.022976,0.294527,-0.955367,0.095999,0.3036145,-0.9450295
0.234118,0.337072,-0.911905,0.021646,0.294261,-0.95548,0.127882,0.31566649999999996,-0.9336925
0.286335,0.405924,-0.867893,0.007355,0.312853,-0.949773,0.146845,0.3593885,-0.908833
0.203434,0.33246,-0.920915,0.016672,0.311433,-0.950122,0.110053,0.3219465,-0.9355185
0.230043,0.358485,-0.904748,0.014834,0.318188,-0.947912,0.1224385,0.33833650000000004,-0.92633
0.158848,0.336234,-0.928285,0.013642,0.309276,-0.950875,0.08624499999999999,0.322755,-0.9395800000000001
0.157301,0.304459,-0.939447,0.019456,0.297802,-0.954429,0.0883785,0.30113049999999997,-0.9469380000000001
0.246956,0.393234,-0.885652,0.008934,0.316485,-0.948556,0.127945,0.3548595,-0.9171039999999999
0.257407,0.435436,-0.862634,-0.005992,0.310752,-0.950472,0.1257075,0.373094,-0.9065529999999999
0.219162,0.371323,-0.902268,0.009325,0.330207,-0.943863,0.1142435,0.350765,-0.9230655
0.184027,0.35482,-0.916645,0.008918,0.333996,-0.942532,0.0964725,0.34440800000000005,-0.9295885
0.149329,0.323495,-0.934372,0.042893,0.293102,-0.955119,0.096111,0.3082985,-0.9447455
0.157581,0.324825,-0.932554,0.042227,0.29658,-0.954074,0.09990399999999999,0.3107025,-0.943314
0.119024,0.330445,-0.93629,0.060219,0.322789,-0.944553,0.0896215,0.326617,-0.9404215
0.112001,0.324827,-0.939118,0.063281,0.31914,-0.945592,0.087641,0.3219835,-0.942355
0.109297,0.31811,-0.941732,0.05819,0.3327,-0.941236,0.0837435,0.325405,-0.941484
0.24846,0.343792,-0.90558,0.02468,0.424042,-0.905306,0.13657,0.38391699999999995,-0.905443
0.238259,0.388764,-0.889997,0.050411,0.27636,-0.959731,0.144335,0.332562,-0.924864
0.225956,0.386443,-0.894207,0.038633,0.240654,-0.969842,0.13229449999999998,0.3135485,-0.9320245
0.167396,0.361997,-0.917026,0.005739,0.270465,-0.962713,0.08656749999999999,0.31623100000000004,-0.9398695
0.130808,0.369844,-0.919839,0.007732,0.279471,-0.960123,0.06927,0.32465750000000004,-0.939981
0.139784,0.357545,-0.923375,0.014412,0.282395,-0.95919,0.077098,0.31997,-0.9412825
0.1343,0.343404,-0.929536,0.017977,0.24716,-0.968808,0.0761385,0.295282,-0.949172
0.116297,0.322496,-0.939399,0.011668,0.241406,-0.970354,0.0639825,0.281951,-0.9548765
0.140591,0.305645,-0.941709,-0.005511,0.241008,-0.970507,0.06754,0.27332650000000003,-0.956108
