gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.209819,0.125986,-0.969589,0.024908,0.19707,-0.980073,0.11736350000000001,0.161528,-0.974831
0.218459,0.129696,-0.967189,0.022479,0.20598,-0.978298,0.12046899999999999,0.167838,-0.9727435
0.217405,0.134467,-0.966775,0.034807,0.218095,-0.975307,0.126106,0.17628100000000002,-0.971041
0.223545,0.124884,-0.96666,0.03203,0.218364,-0.975342,0.1277875,0.171624,-0.971001
0.21802,0.125471,-0.967845,0.034517,0.227532,-0.973159,0.1262685,0.1765015,-0.970502
0.2468,0.149783,-0.957421,0.040995,0.185632,-0.981764,0.14389749999999998,0.1677075,-0.9695925
0.246161,0.137939,-0.959363,0.078647,0.22361,-0.971501,0.162404,0.1807745,-0.965432
0.258046,0.125484,-0.957949,0.042424,0.182105,-0.982363,0.150235,0.1537945,-0.970156
0.258598,0.117112,-0.95886,0.048593,0.173267,-0.983675,0.1535955,0.1451895,-0.9712675
0.274945,0.133733,-0.952114,0.042649,0.166341,-0.985146,0.158797,0.15003699999999998,-0.96863
0.294628,0.168011,-0.940727,0.074764,0.250871,-0.965129,0.184696,0.209441,-0.952928
0.284797,0.197631,-0.937994,0.070748,0.250906,-0.965423,0.1777725,0.2242685,-0.9517085000000001
0.266103,0.176619,-0.947626,0.075775,0.272075,-0.959288,0.17093899999999998,0.22434700000000002,-0.953457
0.261196,0.174341,-0.949411,0.070295,0.275025,-0.958864,0.1657455,0.22468300000000002,-0.9541375000000001
0.25359,0.175168,-0.951319,0.061684,0.267447,-0.961596,0.157637,0.2213075,-0.9564575
0.25731,0.171339,-0.951018,0.087837,0.292443,-0.95224,0.1725735,0.231891,-0.9516290000000001
0.228641,0.196434,-0.953487,0.093097,0.302375,-0.948632,0.160869,0.2494045,-0.9510595
0.199561,0.218024,-0.955322,0.05911,0.257847,-0.964376,0.1293355,0.2379355,-0.959849
0.182332,0.171993,-0.968077,0.061058,0.217475,-0.974154,0.121695,0.19473400000000002,-0.9711155
0.259916,0.122461,-0.957835,0.030395,0.177171,-0.983711,0.1451555,0.149816,-0.970773
0.207892,0.15602,-0.965629,0.01496,0.161552,-0.986751,0.111426,0.15878599999999998,-0.97619
0.234567,0.167135,-0.957624,0.068671,0.161742,-0.984441,0.151619,0.1644385,-0.9710325
0.232814,0.180643,-0.955597,0.101678,0.248976,-0.963158,0.167246,0.2148095,-0.9593775
0.264242,0.13107,-0.955509,0.123402,0.219995,-0.967664,0.193822,0.17553249999999998,-0.9615865
0.301703,0.109964,-0.947039,0.044096,0.128333,-0.99075,0.1728995,0.1191485,-0.9688945
0.307278,0.156382,-0.938683,0.110242,0.196083,-0.974371,0.20876,0.17623250000000001,-0.956527
0.266982,0.113813,-0.956957,0.039042,0.136735,-0.989838,0.153012,0.125274,-0.9733974999999999
0.296179,0.114751,-0.948214,0.065115,0.22871,-0.971314,0.180647,0.1717305,-0.9597640000000001
0.26834,0.117065,-0.956185,0.038605,0.151252,-0.987741,0.1534725,0.1341585,-0.9719629999999999
0.238494,0.130759,-0.962301,0.012718,0.12028,-0.992658,0.125606,0.1255195,-0.9774795000000001
0.261176,0.138393,-0.955319,0.008395,0.106666,-0.994259,0.1347855,0.12252949999999999,-0.974789
0.258353,0.108339,-0.959956,0.005647,0.122474,-0.992456,0.132,0.1154065,-0.976206
0.283858,0.10897,-0.952654,0.047267,0.111055,-0.99269,0.1655625,0.1100125,-0.972672
0.258858,0.090898,-0.961629,0.060483,0.12158,-0.990737,0.1596705,0.106239,-0.976183
0.318044,0.140646,-0.937585,0.00451,0.109298,-0.993999,0.161277,0.124972,-0.965792
0.243539,0.15715,-0.957075,0.087391,0.221075,-0.971333,0.165465,0.18911250000000002,-0.9642040000000001
0.279234,0.170151,-0.945028,0.070913,0.241472,-0.967813,0.1750735,0.20581149999999998,-0.9564205
0.272634,0.187619,-0.943647,0.024525,0.234067,-0.971911,0.1485795,0.210843,-0.9577789999999999
0.277459,0.180408,-0.943647,0.048929,0.156692,-0.986435,0.163194,0.16855,-0.965041
0.286655,0.18911,-0.939184,0.047761,0.135229,-0.989663,0.167208,0.1621695,-0.9644235
0.270368,0.205095,-0.940658,0.049603,0.182021,-0.982043,0.1599855,0.193558,-0.9613505
0.288769,0.260235,-0.921353,0.127639,0.181726,-0.97503,0.208204,0.2209805,-0.9481915
0.32361,0.102773,-0.940593,0.080694,0.163796,-0.983188,0.202152,0.1332845,-0.9618905
0.328746,0.10216,-0.938877,0.080933,0.157162,-0.984251,0.2048395,0.129661,-0.961564
0.335157,0.093284,-0.937533,0.106062,0.165045,-0.980567,0.2206095,0.12916450000000002,-0.95905
0.320644,0.111485,-0.940616,0.127753,0.164845,-0.978011,0.2241985,0.13816499999999998,-0.9593134999999999
0.350279,0.100964,-0.931188,0.127804,0.182284,-0.974905,0.23904150000000002,0.141624,-0.9530465
0.344703,0.083378,-0.935002,0.137478,0.149451,-0.979165,0.24109049999999999,0.1164145,-0.9570835
0.372532,0.130306,-0.918825,0.161568,0.160774,-0.973677,0.26705,0.14554,-0.946251
0.387758,0.111544,-0.914987,0.174802,0.147308,-0.973522,0.28128,0.12942599999999999,-0.9442545
0.395435,0.105905,-0.912368,0.178623,0.148477,-0.97265,0.287029,0.127191,-0.942509
0.381993,0.121966,-0.916082,0.217257,0.181026,-0.959181,0.29962500000000003,0.151496,-0.9376315
0.386831,0.102197,-0.91647,0.148442,0.157897,-0.976234,0.2676365,0.130047,-0.9463520000000001
0.365598,0.094506,-0.925962,0.192382,0.186583,-0.963419,0.27898999999999996,0.14054450000000002,-0.9446905
0.376773,0.102143,-0.920657,0.181263,0.201931,-0.96248,0.279018,0.152037,-0.9415685
0.373238,0.090738,-0.923287,0.203571,0.167764,-0.96458,0.2884045,0.129251,-0.9439335
0.367486,0.076046,-0.926915,0.140549,0.118182,-0.982995,0.2540175,0.097114,-0.954955
0.369519,0.071503,-0.926468,0.185496,0.210248,-0.959889,0.2775075,0.1408755,-0.9431784999999999
0.37884,0.04579,-0.924329,0.212225,0.199552,-0.956629,0.2955325,0.122671,-0.940479
0.382809,0.067182,-0.921382,0.165503,0.221638,-0.960982,0.274156,0.14441,-0.941182
0.379756,0.115119,-0.917896,0.215648,0.222253,-0.950841,0.297702,0.168686,-0.9343685
0.369978,0.145281,-0.917611,0.195166,0.23401,-0.952444,0.282572,0.1896455,-0.9350274999999999
0.357596,0.159935,-0.920079,0.185949,0.156753,-0.969975,0.27177250000000003,0.15834399999999998,-0.9450270000000001
0.350845,0.173056,-0.920304,0.206364,0.211167,-0.955417,0.27860450000000003,0.1921115,-0.9378605
0.352027,0.18275,-0.917976,0.149358,0.146087,-0.977932,0.2506925,0.1644185,-0.947954
0.352894,0.167336,-0.920578,0.152123,0.209251,-0.965957,0.2525085,0.1882935,-0.9432674999999999
0.361651,0.16413,-0.917753,0.162575,0.19817,-0.966591,0.262113,0.18115,-0.942172
0.33563,0.061522,-0.939983,0.159283,0.172945,-0.971967,0.2474565,0.11723349999999999,-0.955975
0.31614,0.075596,-0.945696,0.137419,0.178298,-0.974334,0.2267795,0.126947,-0.9600150000000001
0.327722,0.059296,-0.942912,0.14355,0.185184,-0.972163,0.235636,0.12223999999999999,-0.9575374999999999
0.320449,0.052206,-0.945826,0.157611,0.186099,-0.969807,0.23903,0.1191525,-0.9578165
