gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.060388,0.212776,-0.975233,0.032838,0.204618,-0.978291,0.046613,0.208697,-0.976762
0.047694,0.196038,-0.979436,0.032932,0.204787,-0.978252,0.040313,0.2004125,-0.978844
0.049868,0.195182,-0.979498,0.076486,0.264574,-0.961327,0.063177,0.22987799999999997,-0.9704125
0.038774,0.208417,-0.977271,0.078998,0.284977,-0.955274,0.058886,0.246697,-0.9662725
0.038072,0.227001,-0.97315,0.070249,0.291274,-0.954057,0.0541605,0.2591375,-0.9636035000000001
0.043613,0.206314,-0.977513,0.074214,0.256817,-0.963606,0.0589135,0.2315655,-0.9705595
0.033612,0.226247,-0.97349,0.059933,0.280088,-0.958102,0.0467725,0.2531675,-0.965796
0.028302,0.198914,-0.979608,0.020461,0.278589,-0.960192,0.0243815,0.2387515,-0.9699
0.036879,0.203895,-0.978298,0.053394,0.279059,-0.958788,0.045136499999999996,0.241477,-0.9685429999999999
0.031672,0.195436,-0.980205,0.025164,0.291299,-0.956301,0.028418,0.2433675,-0.968253
0.026504,0.181284,-0.983074,0.005863,0.291994,-0.956402,0.0161835,0.236639,-0.969738
0.028899,0.194736,-0.98043,0.004321,0.279694,-0.96008,0.01661,0.237215,-0.9702550000000001
0.021825,0.204557,-0.978611,0.02147,0.275437,-0.961079,0.0216475,0.239997,-0.9698450000000001
0.020142,0.212401,-0.976975,0.033049,0.28399,-0.958257,0.0265955,0.2481955,-0.967616
0.017297,0.203175,-0.97899,0.032809,0.274481,-0.961033,0.025053,0.23882799999999998,-0.9700115
0.017344,0.205003,-0.978608,0.026563,0.278097,-0.960186,0.0219535,0.24155,-0.9693970000000001
0.02447,0.189235,-0.981627,0.012279,0.269587,-0.962898,0.0183745,0.229411,-0.9722625
0.050036,0.163748,-0.985233,0.096099,0.236544,-0.966857,0.07306750000000001,0.200146,-0.976045
0.046577,0.152895,-0.987144,0.087991,0.198501,-0.976143,0.067284,0.17569800000000002,-0.9816435
0.038157,0.170458,-0.984626,0.086041,0.252914,-0.963655,0.062099,0.211686,-0.9741405000000001
0.057657,0.175009,-0.982877,0.118966,0.224982,-0.967073,0.0883115,0.1999955,-0.9749749999999999
0.050814,0.165604,-0.984882,0.117347,0.210786,-0.970463,0.0840805,0.188195,-0.9776724999999999
0.042743,0.150211,-0.98773,0.101135,0.233894,-0.966988,0.071939,0.19205250000000001,-0.977359
0.040002,0.178095,-0.9832,0.108452,0.219456,-0.969576,0.074227,0.1987755,-0.976388
0.047126,0.172781,-0.983832,0.135526,0.205696,-0.969186,0.091326,0.18923849999999998,-0.9765090000000001
0.040147,0.159528,-0.986377,0.142287,0.216716,-0.96581,0.09121699999999999,0.188122,-0.9760935
0.044455,0.178981,-0.982848,0.05171,0.287026,-0.956526,0.0480825,0.2330035,-0.969687
0.050996,0.185974,-0.98123,0.05278,0.284002,-0.95737,0.051888000000000004,0.23498799999999997,-0.9693
0.054732,0.17408,-0.983209,0.044377,0.268755,-0.962186,0.0495545,0.22141750000000002,-0.9726975
0.02759,0.171117,-0.984864,0.094093,0.255521,-0.962214,0.0608415,0.21331899999999998,-0.9735389999999999
0.028652,0.16126,-0.986496,0.0727,0.273098,-0.959235,0.050676,0.217179,-0.9728654999999999
0.034302,0.153868,-0.987496,0.038298,0.255607,-0.966022,0.0363,0.2047375,-0.976759
0.056501,0.174476,-0.983039,0.062639,0.207429,-0.976243,0.05957,0.1909525,-0.979641
0.061452,0.177793,-0.982147,0.018345,0.234517,-0.971939,0.0398985,0.206155,-0.977043
0.037062,0.182191,-0.982564,0.019424,0.252099,-0.967506,0.028242999999999997,0.217145,-0.975035
0.046373,0.184283,-0.981779,0.013411,0.258912,-0.965808,0.029892,0.2215975,-0.9737935
0.004625,0.16979,-0.985469,0.019429,0.250562,-0.967905,0.012027,0.210176,-0.9766870000000001
0.002123,0.171773,-0.985134,0.013686,0.250689,-0.967971,0.0079045,0.211231,-0.9765524999999999
0.002377,0.172056,-0.985084,0.004091,0.26084,-0.965373,0.003234,0.216448,-0.9752285
-0.001014,0.173967,-0.984751,0.014992,0.258753,-0.965827,0.006989,0.21636,-0.9752890000000001
0.033425,0.170915,-0.984719,-0.007454,0.231578,-0.972788,0.012985500000000002,0.2012465,-0.9787535
0.025904,0.176756,-0.983914,0.035232,0.248229,-0.96806,0.030567999999999998,0.2124925,-0.9759869999999999
0.065421,0.190631,-0.979479,0.021241,0.235852,-0.971557,0.043331,0.2132415,-0.975518
0.039212,0.155216,-0.987102,-0.010481,0.234011,-0.972178,0.014365499999999998,0.1946135,-0.9796400000000001
0.036178,0.166526,-0.985373,0.018849,0.267129,-0.963476,0.027513500000000003,0.2168275,-0.9744245
0.05074,0.165763,-0.984859,0.014186,0.253215,-0.967306,0.032463,0.209489,-0.9760825
0.042313,0.19443,-0.980003,-0.012982,0.267369,-0.963507,0.014665500000000001,0.2308995,-0.9717549999999999
0.060758,0.19111,-0.979686,0.051848,0.281374,-0.958196,0.056303,0.236242,-0.968941
0.056284,0.187096,-0.980728,0.049197,0.27878,-0.959094,0.052740499999999996,0.23293799999999998,-0.969911
0.050964,0.187126,-0.981013,0.055463,0.27335,-0.960314,0.0532135,0.230238,-0.9706635
0.048614,0.178146,-0.982803,0.062427,0.27375,-0.959773,0.0555205,0.22594799999999998,-0.9712879999999999
0.043482,0.19507,-0.979825,0.065625,0.266937,-0.961477,0.054553500000000005,0.23100349999999997,-0.9706509999999999
0.046558,0.203934,-0.977877,0.056509,0.273334,-0.960258,0.051533499999999996,0.238634,-0.9690675
0.026849,0.200875,-0.979249,0.066146,0.267203,-0.961367,0.0464975,0.234039,-0.970308
0.047825,0.207601,-0.977044,0.074815,0.26837,-0.960406,0.06132,0.23798550000000002,-0.9687250000000001
0.05595,0.204002,-0.97737,0.066692,0.270717,-0.960346,0.061321,0.2373595,-0.968858
0.067297,0.171989,-0.982797,0.030937,0.269358,-0.962543,0.049116999999999994,0.2206735,-0.97267
0.078788,0.171773,-0.981981,0.045008,0.277866,-0.959565,0.061897999999999995,0.2248195,-0.970773
0.074054,0.166861,-0.983195,0.028827,0.26747,-0.963135,0.0514405,0.2171655,-0.9731650000000001
0.067545,0.181982,-0.980979,0.031451,0.282711,-0.958689,0.049498,0.2323465,-0.9698340000000001
0.071098,0.207655,-0.975615,0.050654,0.295685,-0.953941,0.060876,0.25167,-0.964778
0.06393,0.195215,-0.978675,0.03823,0.275377,-0.960576,0.05108,0.235296,-0.9696255
0.051194,0.194306,-0.979604,0.033758,0.276222,-0.960501,0.042476,0.23526400000000003,-0.9700525
0.036635,0.181899,-0.982635,0.04848,0.251433,-0.96666,0.0425575,0.21666600000000003,-0.9746475
0.021543,0.183707,-0.982745,0.01855,0.232009,-0.972537,0.020046500000000002,0.207858,-0.977641
0.023872,0.159081,-0.986977,0.062844,0.252456,-0.965566,0.043358,0.20576850000000002,-0.9762715
0.019344,0.163024,-0.986432,-0.013221,0.246561,-0.969037,0.0030615,0.2047925,-0.9777345
0.030107,0.177818,-0.983603,0.033792,0.211898,-0.976708,0.0319495,0.194858,-0.9801555
0.028039,0.18737,-0.981889,0.053095,0.189433,-0.980457,0.040567000000000006,0.1884015,-0.9811730000000001
0.016818,0.199748,-0.979703,0.097694,0.235343,-0.96699,0.057256,0.2175455,-0.9733465
0.01354,0.165738,-0.986077,0.0782,0.244126,-0.966585,0.04587,0.204932,-0.9763310000000001
0.026842,0.178822,-0.983515,0.060817,0.249102,-0.966566,0.0438295,0.21396199999999999,-0.9750405
0.01583,0.156391,-0.987568,0.033022,0.203855,-0.978444,0.024426000000000003,0.180123,-0.983006
0.015204,0.160334,-0.986946,0.028532,0.240366,-0.970263,0.021868,0.20035,-0.9786045
0.001472,0.143554,-0.989641,0.034483,0.239332,-0.970325,0.0179775,0.19144299999999997,-0.979983
0.006042,0.175371,-0.984484,0.040475,0.227314,-0.97298,0.023258499999999998,0.20134249999999998,-0.9787319999999999
0.013946,0.165051,-0.986186,0.046487,0.230291,-0.972011,0.0302165,0.19767099999999999,-0.9790985
0.037944,0.176311,-0.983603,-0.026086,0.243657,-0.969511,0.0059289999999999985,0.209984,-0.976557
0.07009,0.202464,-0.976778,-0.004642,0.257053,-0.966386,0.032724,0.22975849999999998,-0.971582
0.071205,0.199292,-0.97735,0.0293,0.240168,-0.970289,0.050252500000000005,0.21972999999999998,-0.9738195000000001
0.067582,0.224922,-0.97203,0.005719,0.259617,-0.965695,0.0366505,0.2422695,-0.9688625
0.098232,0.224729,-0.969457,0.010486,0.244995,-0.969468,0.054359,0.23486200000000002,-0.9694625
0.091513,0.231246,-0.968582,0.035288,0.281617,-0.958878,0.0634005,0.25643150000000003,-0.96373
0.076646,0.228872,-0.970434,-0.023336,0.256119,-0.966363,0.026655000000000005,0.24249549999999997,-0.9683984999999999
0.080262,0.234172,-0.968876,0.012578,0.244675,-0.969524,0.04642,0.2394235,-0.9692000000000001
0.080355,0.221628,-0.971815,0.017812,0.25944,-0.965595,0.0490835,0.240534,-0.9687049999999999
0.089319,0.212359,-0.973101,0.034429,0.280007,-0.95938,0.061874,0.24618299999999999,-0.9662405000000001
0.082666,0.217601,-0.972531,0.014434,0.266964,-0.963598,0.04855,0.24228249999999998,-0.9680645
0.067312,0.211456,-0.975067,0.019944,0.258384,-0.965836,0.043628,0.23492000000000002,-0.9704515
0.048561,0.219695,-0.974359,0.037545,0.271504,-0.961705,0.043053,0.24559950000000003,-0.968032
0.059455,0.222783,-0.973053,0.045511,0.268125,-0.962308,0.052483,0.245454,-0.9676804999999999
0.064667,0.206332,-0.976343,0.009909,0.260228,-0.965496,0.037288,0.23328,-0.9709194999999999
0.053444,0.207644,-0.976743,0.007092,0.250355,-0.968128,0.030268,0.2289995,-0.9724355
0.039287,0.212699,-0.976328,-0.002575,0.249687,-0.968323,0.018356,0.23119299999999998,-0.9723255
0.020307,0.200553,-0.979472,0.020143,0.255189,-0.966681,0.020225,0.227871,-0.9730765
0.053675,0.208838,-0.976476,0.039452,0.251039,-0.967173,0.0465635,0.2299385,-0.9718245
0.040805,0.2072,-0.977447,0.01799,0.256367,-0.966412,0.0293975,0.2317835,-0.9719295
0.049034,0.225586,-0.972988,0.022988,0.228541,-0.973263,0.036011,0.2270635,-0.9731255
0.061061,0.213562,-0.97502,0.037738,0.260754,-0.964667,0.0493995,0.23715799999999998,-0.9698435000000001
0.061015,0.201791,-0.977526,0.056795,0.25828,-0.964399,0.058905,0.2300355,-0.9709625
0.033713,0.192124,-0.980791,0.031905,0.269602,-0.962443,0.032809000000000005,0.23086299999999998,-0.971617
0.011449,0.192025,-0.981323,0.042184,0.22786,-0.97278,0.0268165,0.2099425,-0.9770515
0.045893,0.179313,-0.982721,-0.014636,0.23317,-0.972326,0.015628500000000004,0.2062415,-0.9775235
0.036464,0.187485,-0.98159,0.032621,0.217924,-0.975421,0.034542500000000004,0.2027045,-0.9785055
0.054249,0.190121,-0.980261,0.052314,0.200357,-0.978325,0.053281499999999996,0.195239,-0.979293
0.023635,0.180969,-0.983205,0.071781,0.187311,-0.979675,0.047708,0.18414,-0.98144
0.063798,0.193792,-0.978966,0.043345,0.242999,-0.969058,0.053571499999999994,0.2183955,-0.974012
0.064453,0.210205,-0.97553,0.027967,0.269052,-0.96272,0.04621,0.23962850000000002,-0.969125
0.062915,0.211465,-0.975359,0.052783,0.28348,-0.957524,0.057849,0.24747249999999998,-0.9664415
0.092504,0.206073,-0.974154,0.048154,0.25455,-0.96586,0.070329,0.2303115,-0.9700070000000001
