gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.175911,0.381978,-0.907275,-0.019381,0.413674,-0.910219,0.078265,0.397826,-0.908747
0.195514,0.394464,-0.897871,0.037103,0.389776,-0.920162,0.1163085,0.39212,-0.9090165
0.1904,0.395366,-0.898573,0.037069,0.390673,-0.919783,0.1137345,0.39301949999999997,-0.909178
0.172558,0.40449,-0.898116,0.021164,0.409258,-0.912173,0.09686099999999999,0.406874,-0.9051445
0.100068,0.342202,-0.934283,0.037319,0.386999,-0.921325,0.0686935,0.3646005,-0.927804
0.108656,0.364867,-0.924698,0.027302,0.382188,-0.923681,0.067979,0.3735275,-0.9241895
0.116339,0.344862,-0.931416,0.03153,0.378551,-0.925043,0.0739345,0.36170650000000004,-0.9282295
0.115417,0.345869,-0.931157,0.023728,0.378814,-0.925168,0.06957250000000001,0.3623415,-0.9281625
0.117863,0.349128,-0.929633,0.023898,0.380607,-0.924428,0.0708805,0.3648675,-0.9270305000000001
0.103144,0.329226,-0.938601,0.021136,0.381227,-0.92424,0.06214,0.3552265,-0.9314205
0.114629,0.325483,-0.938574,-0.0696,0.387374,-0.919292,0.0225145,0.35642850000000004,-0.928933
0.094773,0.322028,-0.941975,-0.086016,0.38929,-0.91709,0.0043785000000000004,0.355659,-0.9295325
0.127222,0.370087,-0.920244,-0.080664,0.413396,-0.906972,0.023279,0.39174149999999996,-0.913608
0.069692,0.334513,-0.939811,-0.072029,0.403314,-0.912223,-0.001168499999999996,0.3689135,-0.926017
0.147752,0.320457,-0.935669,-0.014959,0.407019,-0.913297,0.0663965,0.363738,-0.9244829999999999
0.126394,0.331991,-0.934776,0.02939,0.347101,-0.937367,0.077892,0.339546,-0.9360715
0.108792,0.340345,-0.933986,0.016996,0.384963,-0.922775,0.062894,0.36265400000000003,-0.9283805
0.107934,0.344092,-0.932712,0.012462,0.379364,-0.925164,0.060198,0.361728,-0.928938
0.216792,0.460937,-0.860546,-0.047568,0.450223,-0.891648,0.084612,0.45558,-0.876097
0.15577,0.383314,-0.910388,-0.027931,0.407066,-0.912971,0.06391949999999999,0.39519,-0.9116795
0.135708,0.364608,-0.921219,-0.027148,0.421101,-0.906607,0.054279999999999995,0.3928545,-0.913913
0.120458,0.347334,-0.929973,-0.005703,0.405677,-0.913999,0.0573775,0.3765055,-0.921986
0.116337,0.395373,-0.911124,-0.00235,0.396587,-0.917994,0.056993499999999996,0.39598,-0.914559
0.119816,0.396344,-0.91025,-0.002319,0.405419,-0.914128,0.0587485,0.4008815,-0.912189
0.133467,0.382054,-0.914451,-0.026142,0.402367,-0.915105,0.0536625,0.3922105,-0.914778
0.138653,0.362861,-0.92147,-0.03263,0.407889,-0.912448,0.0530115,0.385375,-0.9169590000000001
0.124485,0.374022,-0.919027,-0.024521,0.408808,-0.912291,0.049982,0.391415,-0.915659
0.079252,0.339908,-0.937114,-0.027045,0.385296,-0.922397,0.0261035,0.362602,-0.9297555
0.076255,0.34187,-0.936648,-0.024701,0.384734,-0.922697,0.025777,0.363302,-0.9296725
0.117059,0.387874,-0.914249,-0.009661,0.390619,-0.920502,0.053699,0.3892465,-0.9173755
0.113719,0.352293,-0.928955,0.002108,0.390456,-0.920619,0.0579135,0.37137450000000005,-0.924787
0.096242,0.321513,-0.942002,-0.006829,0.358846,-0.933372,0.044706499999999996,0.34017949999999997,-0.9376869999999999
