gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.048951,0.269772,-0.961679,-0.120591,0.182361,-0.975809,-0.035820000000000005,0.2260665,-0.968744
0.043823,0.28037,-0.958891,-0.095531,0.186109,-0.977874,-0.025854000000000002,0.2332395,-0.9683825
0.053371,0.235164,-0.970489,-0.094473,0.174341,-0.980143,-0.020551,0.2047525,-0.9753160000000001
0.048675,0.273696,-0.960584,-0.099074,0.216495,-0.971244,-0.025199499999999996,0.2450955,-0.9659139999999999
0.080275,0.234759,-0.968733,-0.074106,0.163785,-0.983709,0.003084499999999997,0.199272,-0.976221
0.064684,0.264483,-0.962219,-0.086182,0.171721,-0.981369,-0.010748999999999995,0.21810200000000002,-0.971794
0.054232,0.251375,-0.966369,-0.029016,0.141266,-0.989546,0.012608000000000001,0.1963205,-0.9779575
0.124952,0.25089,-0.959917,-0.005176,0.129634,-0.991548,0.059888,0.190262,-0.9757325
0.101797,0.217561,-0.970724,0.004608,0.137256,-0.990525,0.0532025,0.1774085,-0.9806245
0.100402,0.2505,-0.962896,-0.006318,0.113614,-0.993505,0.047042,0.182057,-0.9782005
0.088989,0.273971,-0.957612,0.033643,0.15821,-0.986832,0.061315999999999996,0.21609050000000002,-0.972222
0.144383,0.284353,-0.947785,-0.003934,0.217063,-0.97615,0.07022450000000001,0.25070800000000004,-0.9619675
0.128807,0.283268,-0.950351,0.005092,0.268749,-0.963197,0.06694950000000001,0.2760085,-0.956774
0.10906,0.310046,-0.944446,-0.02466,0.274659,-0.961225,0.0422,0.2923525,-0.9528355
0.099291,0.312236,-0.944802,-0.029608,0.229272,-0.972912,0.034841500000000004,0.270754,-0.9588570000000001
0.091528,0.242368,-0.965857,-0.051382,0.179911,-0.98234,0.020073,0.21113949999999998,-0.9740985
0.057101,0.188441,-0.980423,-0.05243,0.164599,-0.984966,0.0023355000000000008,0.17652,-0.9826945
