gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.123536,0.159995,-0.979357,0.032494,0.148964,-0.988309,0.078015,0.1544795,-0.983833
0.120769,0.153639,-0.980719,0.027722,0.142093,-0.989465,0.0742455,0.147866,-0.9850920000000001
0.125152,0.158733,-0.979357,0.028715,0.140852,-0.989614,0.0769335,0.1497925,-0.9844855
0.125748,0.151688,-0.980397,0.025219,0.138037,-0.990106,0.0754835,0.1448625,-0.9852515
0.12241,0.15496,-0.980308,0.030832,0.140657,-0.989578,0.076621,0.1478085,-0.9849429999999999
0.119461,0.199823,-0.972522,0.080847,0.125987,-0.988732,0.10015399999999999,0.162905,-0.980627
0.133895,0.192975,-0.972025,0.073691,0.132893,-0.988387,0.103793,0.16293400000000002,-0.980206
0.175269,0.200398,-0.963909,0.128103,0.069676,-0.98931,0.151686,0.135037,-0.9766095
0.19139,0.209912,-0.958805,0.127402,0.085776,-0.988135,0.15939599999999998,0.147844,-0.9734700000000001
0.201374,0.230638,-0.951974,0.122406,0.099674,-0.987462,0.16189,0.165156,-0.969718
0.115108,0.22137,-0.968373,0.131396,0.111789,-0.985007,0.123252,0.1665795,-0.9766900000000001
0.08774,0.22841,-0.969603,0.114542,0.126917,-0.985278,0.10114100000000001,0.1776635,-0.9774404999999999
0.094408,0.244275,-0.965099,0.109844,0.140813,-0.983924,0.102126,0.192544,-0.9745115
0.131507,0.223509,-0.96579,0.098231,0.128657,-0.986812,0.114869,0.176083,-0.9763010000000001
0.149104,0.167735,-0.974491,0.094062,0.167752,-0.981332,0.121583,0.1677435,-0.9779115
0.119206,0.197073,-0.973115,0.097107,0.164246,-0.981628,0.1081565,0.1806595,-0.9773715
0.150145,0.226723,-0.962317,0.10058,0.156938,-0.982473,0.1253625,0.19183050000000001,-0.972395
0.14202,0.218005,-0.965559,0.091526,0.13925,-0.986018,0.116773,0.1786275,-0.9757885
0.143995,0.180837,-0.972915,0.0917,0.140486,-0.985827,0.11784750000000001,0.1606615,-0.979371
0.148506,0.160006,-0.975881,0.09413,0.140524,-0.985592,0.12131800000000001,0.150265,-0.9807365
0.135215,0.128101,-0.9825,0.096473,0.146055,-0.984561,0.115844,0.13707799999999998,-0.9835305000000001
0.16476,0.17432,-0.970807,0.083415,0.108691,-0.99057,0.12408749999999999,0.1415055,-0.9806885
