gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.154926,0.139338,-0.97805,-0.097212,0.196461,-0.975681,0.028857,0.16789949999999998,-0.9768654999999999
0.130556,0.094605,-0.986917,-0.111569,0.175228,-0.978186,0.009493500000000002,0.1349165,-0.9825515
0.132638,0.095724,-0.986531,-0.116816,0.172929,-0.977982,0.007911000000000001,0.13432650000000002,-0.9822565000000001
0.13165,0.096586,-0.98658,-0.114499,0.171019,-0.978592,0.008575499999999993,0.1338025,-0.982586
0.091483,0.125104,-0.987917,-0.133863,0.193929,-0.97184,-0.021190000000000007,0.1595165,-0.9798785000000001
0.083603,0.115902,-0.989736,-0.154895,0.20329,-0.966789,-0.035646000000000004,0.15959600000000002,-0.9782625
0.084417,0.122788,-0.988836,-0.151267,0.204723,-0.967061,-0.033425,0.1637555,-0.9779485
0.081569,0.127561,-0.988471,-0.152311,0.207954,-0.966207,-0.035371,0.1677575,-0.977339
0.075324,0.126457,-0.989108,-0.16494,0.202822,-0.965224,-0.044808,0.1646395,-0.977166
0.056648,0.127375,-0.990236,-0.11377,0.166663,-0.979428,-0.028561,0.147019,-0.9848319999999999
0.123787,0.074701,-0.989493,-0.069799,0.131152,-0.988902,0.026993999999999997,0.1029265,-0.9891975
0.13642,0.081919,-0.987258,-0.064663,0.133287,-0.988966,0.03587850000000001,0.107603,-0.988112
0.14534,0.077839,-0.986315,-0.047887,0.13225,-0.990059,0.0487265,0.10504450000000001,-0.988187
0.150018,0.068223,-0.986327,-0.040551,0.132688,-0.990328,0.054733500000000004,0.1004555,-0.9883275
0.134014,0.09405,-0.986506,-0.029729,0.14044,-0.989643,0.052142499999999994,0.117245,-0.9880745
0.14492,0.085596,-0.985734,-0.020791,0.138448,-0.990151,0.062064499999999995,0.112022,-0.9879425
0.150697,0.080239,-0.985318,-0.016498,0.137824,-0.990319,0.0670995,0.1090315,-0.9878184999999999
0.165853,0.068473,-0.98377,-0.013986,0.147926,-0.9889,0.0759335,0.1081995,-0.986335
0.173106,0.074357,-0.982092,-0.01334,0.15145,-0.988375,0.07988300000000001,0.1129035,-0.9852335
0.138052,0.108164,-0.984501,-0.034395,0.175055,-0.983958,0.0518285,0.1416095,-0.9842295
0.128742,0.110311,-0.985524,-0.038054,0.176865,-0.983499,0.045343999999999995,0.143588,-0.9845115
0.129192,0.102111,-0.986348,-0.038643,0.168944,-0.984868,0.0452745,0.1355275,-0.985608
