gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.072095,0.241324,-0.967763,-0.219969,0.170756,-0.960446,-0.073937,0.20604,-0.9641045
0.102604,0.23023,-0.967712,-0.079922,0.252252,-0.964355,0.011340999999999997,0.24124099999999998,-0.9660335
0.073895,0.239863,-0.96799,-0.143356,0.229874,-0.962604,-0.034730500000000004,0.23486849999999998,-0.9652970000000001
0.083072,0.228663,-0.969955,-0.204625,0.187837,-0.960649,-0.060776500000000004,0.20825,-0.965302
0.102822,0.140188,-0.984771,-0.179283,0.268884,-0.94634,-0.0382305,0.204536,-0.9655555
0.063588,0.225832,-0.972089,-0.191072,0.283297,-0.939805,-0.063742,0.2545645,-0.955947
0.048033,0.197297,-0.979166,-0.157185,0.241717,-0.957531,-0.054576,0.219507,-0.9683485000000001
0.085542,0.253426,-0.963565,-0.045622,0.283618,-0.957852,0.019960000000000002,0.268522,-0.9607085
0.043063,0.237423,-0.970452,-0.085491,0.286649,-0.954214,-0.021214,0.262036,-0.962333
0.056146,0.238799,-0.969444,-0.202344,0.241059,-0.949183,-0.073099,0.239929,-0.9593134999999999
0.040443,0.177228,-0.983339,0.011837,0.26209,-0.964971,0.02614,0.219659,-0.974155
0.040172,0.15134,-0.987665,-0.059349,0.23098,-0.971147,-0.0095885,0.19116,-0.979406
-0.029496,0.227523,-0.973326,-0.139381,0.219636,-0.965574,-0.0844385,0.2235795,-0.96945
0.052939,0.144298,-0.988117,-0.169931,0.180299,-0.968822,-0.058496,0.1622985,-0.9784695
0.052583,0.200023,-0.978379,-0.207722,0.197749,-0.957991,-0.0775695,0.198886,-0.9681850000000001
0.01118,0.206056,-0.978476,-0.150328,0.191875,-0.969838,-0.069574,0.1989655,-0.9741569999999999
0.04203,0.217364,-0.975185,-0.047072,0.216674,-0.975109,-0.0025210000000000024,0.21701900000000002,-0.975147
0.033057,0.20029,-0.979179,-0.221855,0.17467,-0.959308,-0.094399,0.18747999999999998,-0.9692435
0.008206,0.208326,-0.978025,-0.185358,0.180462,-0.965958,-0.088576,0.194394,-0.9719915
0.054453,0.228013,-0.972134,-0.16214,0.210802,-0.963988,-0.0538435,0.21940749999999998,-0.9680610000000001
0.052358,0.205189,-0.977321,-0.182854,0.213756,-0.959621,-0.065248,0.2094725,-0.968471
0.041338,0.181856,-0.982456,-0.19889,0.191493,-0.961131,-0.07877600000000001,0.1866745,-0.9717935
0.038765,0.194415,-0.980153,-0.060818,0.206439,-0.976568,-0.011026499999999998,0.20042700000000002,-0.9783605
0.044434,0.190688,-0.980645,-0.209509,0.158891,-0.964811,-0.0825375,0.1747895,-0.972728
0.05079,0.2015,-0.978171,-0.218304,0.198304,-0.95552,-0.083757,0.19990200000000002,-0.9668455
