gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.21444,0.488253,-0.845946,-0.07777,0.448826,-0.890229,0.06833499999999999,0.4685395,-0.8680875
0.232257,0.491224,-0.839497,-0.084226,0.405353,-0.910272,0.0740155,0.4482885,-0.8748845000000001
0.233121,0.45794,-0.857873,-0.109698,0.391667,-0.913544,0.061711499999999996,0.4248035,-0.8857085
0.214656,0.438958,-0.87249,-0.142191,0.348558,-0.926439,0.0362325,0.393758,-0.8994645
0.1481,0.375954,-0.914727,-0.069717,0.370317,-0.926286,0.039191500000000004,0.3731355,-0.9205065
0.127477,0.379032,-0.916561,-0.049897,0.350716,-0.935152,0.038790000000000005,0.36487400000000003,-0.9258565
0.120318,0.377803,-0.918035,-0.069482,0.350903,-0.93383,0.025417999999999996,0.36435300000000004,-0.9259325
0.119442,0.382095,-0.916371,-0.069736,0.343391,-0.9366,0.024853,0.36274300000000004,-0.9264855000000001
0.149633,0.391813,-0.907796,-0.01345,0.36454,-0.93109,0.0680915,0.3781765,-0.919443
0.142507,0.3912,-0.909205,-0.017384,0.36715,-0.929999,0.06256149999999999,0.379175,-0.919602
0.159214,0.411553,-0.897371,-0.008219,0.368919,-0.929425,0.0754975,0.390236,-0.9133979999999999
0.164724,0.423387,-0.890848,0.001326,0.369002,-0.929428,0.083025,0.3961945,-0.910138
0.152397,0.410763,-0.898915,-0.00467,0.353909,-0.935268,0.0738635,0.382336,-0.9170915
0.148507,0.412003,-0.898999,-0.007099,0.35277,-0.935683,0.070704,0.38238649999999996,-0.917341
0.1516,0.416543,-0.896387,-0.031162,0.344418,-0.938299,0.06021900000000001,0.3804805,-0.917343
0.148515,0.418352,-0.896061,-0.03154,0.346392,-0.93756,0.058487500000000005,0.382372,-0.9168105
0.156219,0.414585,-0.896501,-0.028415,0.345799,-0.937878,0.063902,0.380192,-0.9171895
0.167131,0.417412,-0.893216,-0.020793,0.353272,-0.935289,0.073169,0.38534199999999996,-0.9142525
0.169132,0.417136,-0.892968,-0.007287,0.343904,-0.938977,0.08092250000000001,0.38051999999999997,-0.9159725
0.164118,0.410364,-0.897032,-0.020611,0.36793,-0.929625,0.07175350000000001,0.389147,-0.9133285
0.178502,0.413874,-0.892662,-0.01328,0.374699,-0.927052,0.08261099999999999,0.3942865,-0.9098569999999999
0.184095,0.424323,-0.8866,-0.000578,0.384662,-0.923057,0.0917585,0.40449250000000003,-0.9048285
0.175548,0.432717,-0.884273,0.012416,0.390234,-0.920632,0.09398200000000001,0.4114755,-0.9024525
0.190888,0.432057,-0.881413,0.018815,0.388555,-0.921233,0.1048515,0.410306,-0.901323
0.1864,0.44119,-0.877842,-0.039766,0.383645,-0.922624,0.07331700000000001,0.4124175,-0.9002330000000001
0.192927,0.444036,-0.874992,-0.107778,0.350853,-0.930208,0.042574499999999994,0.3974445,-0.9026000000000001
0.192472,0.436738,-0.878758,-0.098077,0.355013,-0.929703,0.0471975,0.39587550000000005,-0.9042304999999999
0.230398,0.489016,-0.841297,-0.049789,0.40737,-0.911905,0.0903045,0.448193,-0.876601
0.214406,0.482224,-0.849406,-0.032792,0.39983,-0.916003,0.090807,0.441027,-0.8827045
0.219118,0.486114,-0.845979,-0.043335,0.403612,-0.913904,0.08789150000000001,0.444863,-0.8799415
0.206755,0.493774,-0.844654,-0.038633,0.402693,-0.914519,0.084061,0.4482335,-0.8795865
