gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.229266,0.275614,-0.933528,0.023564,0.287682,-0.957436,0.126415,0.281648,-0.9454819999999999
0.18211,0.283558,-0.941505,0.005702,0.261058,-0.965306,0.093906,0.272308,-0.9534055
0.182478,0.289106,-0.939744,0.029547,0.270231,-0.962342,0.1060125,0.2796685,-0.9510430000000001
0.20369,0.259685,-0.943967,0.005757,0.276407,-0.961023,0.10472350000000001,0.268046,-0.952495
0.206908,0.305163,-0.929551,0.065621,0.285984,-0.955985,0.1362645,0.29557350000000004,-0.942768
0.172634,0.302953,-0.937239,0.044496,0.265295,-0.96314,0.10856500000000001,0.284124,-0.9501895
0.223087,0.297356,-0.928338,0.048552,0.29858,-0.953149,0.1358195,0.297968,-0.9407435
0.270404,0.302883,-0.913862,0.076825,0.271627,-0.959331,0.1736145,0.28725500000000004,-0.9365965
0.266727,0.27357,-0.92413,0.047799,0.266125,-0.962753,0.157263,0.2698475,-0.9434415
0.232333,0.281299,-0.93107,0.057231,0.255188,-0.965196,0.144782,0.2682435,-0.948133
0.174974,0.283296,-0.942936,0.005844,0.222179,-0.974988,0.09040899999999999,0.2527375,-0.958962
0.183708,0.314126,-0.931438,0.004599,0.228735,-0.973478,0.0941535,0.2714305,-0.952458
0.170214,0.260359,-0.95039,0.010675,0.244578,-0.969571,0.0904445,0.2524685,-0.9599804999999999
0.183358,0.262307,-0.947404,-0.00643,0.238056,-0.97123,0.088464,0.2501815,-0.959317
0.195647,0.225902,-0.954301,-0.0247,0.227268,-0.973519,0.0854735,0.22658499999999998,-0.96391
0.183521,0.211362,-0.960024,0.034069,0.242163,-0.969637,0.108795,0.22676249999999998,-0.9648304999999999
0.180337,0.179033,-0.967174,0.023355,0.223278,-0.974475,0.10184599999999999,0.2011555,-0.9708245
0.133156,0.159503,-0.978176,0.01445,0.235986,-0.971649,0.073803,0.1977445,-0.9749125000000001
0.143071,0.187116,-0.971863,0.020869,0.246774,-0.968848,0.08197,0.216945,-0.9703555
0.1439,0.195197,-0.97015,0.022355,0.232074,-0.972441,0.0831275,0.2136355,-0.9712955
0.127446,0.246885,-0.960627,-0.074808,0.348027,-0.934495,0.026319000000000002,0.297456,-0.947561
0.172917,0.303313,-0.93707,-0.102685,0.340709,-0.934545,0.035115999999999994,0.322011,-0.9358074999999999
0.195166,0.316891,-0.928165,-0.092321,0.382188,-0.919461,0.0514225,0.3495395,-0.923813
0.22187,0.298599,-0.928231,-0.175902,0.399984,-0.899484,0.022984000000000004,0.3492915,-0.9138575
0.221567,0.299485,-0.928018,-0.15727,0.384897,-0.909462,0.032148499999999997,0.342191,-0.91874
0.221456,0.274688,-0.935684,-0.095301,0.360492,-0.927881,0.0630775,0.31759,-0.9317825
0.139575,0.276021,-0.950963,-0.054553,0.228656,-0.971978,0.04251100000000001,0.2523385,-0.9614705
0.14002,0.241417,-0.960267,-0.031274,0.238927,-0.970534,0.054373000000000005,0.240172,-0.9654005
0.147992,0.239404,-0.959575,0.007328,0.232377,-0.972598,0.07766,0.2358905,-0.9660865
0.183087,0.250884,-0.950545,0.011349,0.220566,-0.975306,0.097218,0.23572500000000002,-0.9629255
0.145161,0.235352,-0.961009,-0.063249,0.27261,-0.960043,0.040956000000000006,0.253981,-0.960526
0.107947,0.171393,-0.979271,0.004616,0.236886,-0.971527,0.0562815,0.2041395,-0.975399
0.095703,0.162775,-0.982011,-0.037241,0.18772,-0.981516,0.029230999999999997,0.1752475,-0.9817635
0.084581,0.156952,-0.983978,0.056697,0.182631,-0.981545,0.07063900000000001,0.16979149999999998,-0.9827615000000001
0.097819,0.189701,-0.976957,0.048882,0.184763,-0.981567,0.0733505,0.187232,-0.979262
0.170351,0.254533,-0.951942,-0.055648,0.262001,-0.963462,0.0573515,0.258267,-0.957702
0.163691,0.211162,-0.963647,0.040645,0.228884,-0.972605,0.10216800000000001,0.220023,-0.968126
0.11441,0.224865,-0.96765,0.024882,0.239499,-0.970578,0.069646,0.232182,-0.969114
0.160594,0.285332,-0.944879,-0.120007,0.340484,-0.93256,0.020293499999999992,0.31290799999999996,-0.9387194999999999
0.187406,0.220526,-0.957208,0.01256,0.242198,-0.970145,0.09998299999999999,0.231362,-0.9636765
0.1447,0.224099,-0.963764,0.018598,0.208,-0.977952,0.081649,0.2160495,-0.970858
0.142212,0.175829,-0.974095,-0.019619,0.165216,-0.986062,0.061296500000000004,0.17052250000000002,-0.9800785000000001
0.138552,0.190185,-0.971922,-0.023711,0.211389,-0.977114,0.057420500000000006,0.200787,-0.974518
0.164878,0.204933,-0.964789,0.02733,0.19376,-0.980668,0.096104,0.19934649999999998,-0.9727285
0.17432,0.206898,-0.962707,0.013946,0.206453,-0.978357,0.094133,0.2066755,-0.970532
0.122575,0.20629,-0.970783,-0.033518,0.194356,-0.980358,0.0445285,0.200323,-0.9755704999999999
0.139355,0.212071,-0.967267,0.007421,0.226224,-0.974047,0.07338800000000001,0.2191475,-0.970657
0.125658,0.204937,-0.970676,0.023561,0.214077,-0.976533,0.0746095,0.209507,-0.9736045
0.145892,0.233914,-0.961249,0.028684,0.217045,-0.97574,0.087288,0.2254795,-0.9684945
0.133165,0.268827,-0.953939,-0.046214,0.215198,-0.975476,0.0434755,0.2420125,-0.9647075
0.139336,0.2301,-0.96314,-0.07415,0.206355,-0.975663,0.032593,0.21822750000000002,-0.9694015
0.101526,0.253543,-0.961982,-0.045958,0.263087,-0.963677,0.027784000000000003,0.258315,-0.9628295
0.122869,0.153312,-0.980509,0.003868,0.17555,-0.984463,0.06336850000000001,0.164431,-0.982486
0.069023,0.201494,-0.977055,-0.016781,0.228446,-0.973412,0.026121,0.21497,-0.9752335000000001
0.078417,0.197138,-0.977235,-0.09956,0.16319,-0.981558,-0.010571499999999998,0.180164,-0.9793965
0.078154,0.214459,-0.973601,-0.062583,0.226051,-0.972103,0.007785500000000001,0.220255,-0.972852
0.078094,0.196998,-0.977289,-0.033597,0.242341,-0.969609,0.022248499999999997,0.21966950000000002,-0.973449
0.080362,0.185791,-0.979298,-0.04093,0.168403,-0.984868,0.019716,0.177097,-0.982083
0.088635,0.206914,-0.974336,-0.080322,0.201227,-0.976246,0.0041565000000000005,0.2040705,-0.9752909999999999
0.076399,0.222612,-0.971909,-0.103452,0.145559,-0.983926,-0.013526500000000004,0.1840855,-0.9779175
0.095098,0.219858,-0.970885,-0.114945,0.154043,-0.981355,-0.009923500000000002,0.18695050000000002,-0.97612
0.103613,0.236345,-0.966129,-0.031304,0.218493,-0.975336,0.0361545,0.22741899999999998,-0.9707325
0.109975,0.229317,-0.967119,-0.070664,0.157417,-0.985001,0.0196555,0.193367,-0.9760599999999999
0.098685,0.223977,-0.969585,-0.081955,0.17086,-0.981881,0.008364999999999997,0.1974185,-0.975733
0.094075,0.297413,-0.950103,-0.086092,0.251744,-0.963957,0.003991500000000002,0.2745785,-0.95703
0.026569,0.351778,-0.935706,-0.041595,0.291896,-0.955545,-0.007513000000000001,0.321837,-0.9456255
0.119272,0.290164,-0.949515,0.021709,0.21414,-0.976562,0.0704905,0.252152,-0.9630385
0.133571,0.282034,-0.950061,-0.013766,0.210818,-0.977428,0.0599025,0.246426,-0.9637445
0.05096,0.212109,-0.975916,-0.043848,0.22728,-0.972842,0.003556,0.21969450000000001,-0.974379
0.085488,0.222178,-0.971251,-0.049705,0.215784,-0.975175,0.017891499999999998,0.21898099999999998,-0.973213
0.105111,0.225257,-0.968613,-0.010033,0.22155,-0.975097,0.047539,0.2234035,-0.9718549999999999
0.144557,0.192303,-0.97063,-0.050318,0.130581,-0.99016,0.047119499999999995,0.161442,-0.980395
0.074057,0.229837,-0.970407,0.016872,0.197752,-0.980107,0.0454645,0.2137945,-0.975257
0.049144,0.238427,-0.969916,0.005616,0.231751,-0.972759,0.02738,0.235089,-0.9713375
0.122903,0.309959,-0.942773,-0.003472,0.256404,-0.966563,0.0597155,0.2831815,-0.954668
0.094802,0.272825,-0.957381,-0.010009,0.25816,-0.96605,0.0423965,0.2654925,-0.9617155
0.046048,0.24485,-0.968467,-0.034596,0.242424,-0.969553,0.0057259999999999985,0.243637,-0.9690099999999999
0.053641,0.236321,-0.970193,0.03845,0.232338,-0.971875,0.0460455,0.2343295,-0.971034
0.052696,0.224323,-0.973089,-0.077398,0.213852,-0.973795,-0.012350999999999997,0.2190875,-0.9734419999999999
0.054355,0.226257,-0.97255,-0.055145,0.235489,-0.970311,-0.0003949999999999995,0.230873,-0.9714305000000001
0.074995,0.234918,-0.969118,0.002116,0.240158,-0.970732,0.038555500000000006,0.237538,-0.969925
0.061907,0.216805,-0.97425,0.014418,0.223349,-0.974632,0.0381625,0.220077,-0.974441
0.080439,0.217131,-0.972823,-0.070546,0.200038,-0.977245,0.0049464999999999995,0.2085845,-0.975034
0.100916,0.216837,-0.970978,-0.055637,0.186732,-0.980834,0.022639500000000003,0.2017845,-0.9759059999999999
0.127645,0.246785,-0.960627,-0.107771,0.26756,-0.957495,0.009937000000000001,0.2571725,-0.9590609999999999
0.148175,0.202995,-0.967903,0.076768,0.210987,-0.97447,0.1124715,0.206991,-0.9711865
0.170031,0.277135,-0.945667,-0.008112,0.216928,-0.976154,0.08095949999999999,0.24703150000000001,-0.9609105
0.145712,0.291191,-0.945503,0.034346,0.26221,-0.964399,0.090029,0.2767005,-0.954951
0.195648,0.297382,-0.934498,-0.055083,0.240863,-0.968995,0.0702825,0.2691225,-0.9517465
