gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.139832,0.413162,-0.899858,-0.065213,0.374807,-0.924807,0.03730950000000001,0.39398449999999996,-0.9123325
0.151712,0.399865,-0.903931,-0.072239,0.383455,-0.92073,0.03973650000000001,0.39166,-0.9123305
0.143203,0.363361,-0.920577,-0.001298,0.367191,-0.930145,0.0709525,0.365276,-0.925361
0.142768,0.367333,-0.919067,-0.00164,0.371995,-0.928233,0.070564,0.369664,-0.92365
0.117689,0.373626,-0.920083,-0.00393,0.373868,-0.927474,0.0568795,0.373747,-0.9237785000000001
0.119523,0.380902,-0.916857,-0.023703,0.377165,-0.925843,0.04791,0.3790335,-0.92135
0.120222,0.404848,-0.906446,-0.067092,0.393101,-0.917045,0.026565,0.3989745,-0.9117455
0.134927,0.402046,-0.905623,-0.062848,0.374938,-0.924917,0.036039499999999995,0.388492,-0.91527
0.151362,0.411781,-0.898625,0.012392,0.394039,-0.91901,0.081877,0.40291,-0.9088175000000001
0.152221,0.419257,-0.895015,-0.00653,0.404992,-0.914297,0.0728455,0.4121245,-0.904656
0.14384,0.434926,-0.888903,0.000498,0.403179,-0.915121,0.072169,0.4190525,-0.902012
0.141054,0.421875,-0.895614,0.003778,0.398762,-0.917047,0.07241600000000001,0.41031850000000003,-0.9063304999999999
0.172302,0.396266,-0.901824,0.007322,0.4231,-0.906053,0.089812,0.409683,-0.9039385
0.14146,0.423897,-0.894595,0.022314,0.395721,-0.9181,0.081887,0.409809,-0.9063475000000001
0.16552,0.375594,-0.911884,-0.022199,0.38513,-0.922595,0.0716605,0.380362,-0.9172395
0.171488,0.394086,-0.902933,0.042209,0.379655,-0.924165,0.1068485,0.3868705,-0.9135489999999999
0.168771,0.39389,-0.90353,0.036658,0.3726,-0.927268,0.1027145,0.383245,-0.9153990000000001
0.158077,0.377462,-0.912433,0.036064,0.362677,-0.931217,0.0970705,0.37006950000000005,-0.921825
0.166265,0.395704,-0.903202,0.013063,0.382868,-0.923711,0.089664,0.389286,-0.9134564999999999
0.168354,0.432332,-0.885859,-0.018251,0.383769,-0.923249,0.07505150000000001,0.4080505,-0.904554
0.185671,0.40165,-0.896774,0.022043,0.376138,-0.926301,0.103857,0.38889399999999996,-0.9115375
0.166558,0.413394,-0.895189,0.014499,0.39095,-0.920298,0.09052850000000001,0.402172,-0.9077435
0.189956,0.424024,-0.885506,-0.019346,0.384116,-0.923082,0.085305,0.40407000000000004,-0.9042939999999999
0.191038,0.424097,-0.885238,0.022279,0.382172,-0.923823,0.1066585,0.4031345,-0.9045304999999999
0.141469,0.414129,-0.899157,0.014854,0.37295,-0.927732,0.07816150000000001,0.39353950000000004,-0.9134445
0.140289,0.416303,-0.898338,0.019902,0.383256,-0.923428,0.0800955,0.39977949999999995,-0.910883
0.131304,0.448583,-0.884043,0.008301,0.396424,-0.91803,0.0698025,0.42250350000000003,-0.9010365
0.207496,0.498139,-0.841904,-0.025165,0.46458,-0.885173,0.09116550000000001,0.4813595,-0.8635385
0.150393,0.444105,-0.883262,-0.03104,0.409211,-0.911912,0.0596765,0.426658,-0.8975869999999999
0.15194,0.407227,-0.9006,0.030418,0.377057,-0.925691,0.091179,0.392142,-0.9131454999999999
0.130227,0.415961,-0.90001,0.007915,0.386758,-0.922147,0.06907100000000001,0.4013595,-0.9110785
0.151818,0.438195,-0.885966,0.018118,0.38649,-0.922116,0.084968,0.4123425,-0.9040410000000001
0.160915,0.423975,-0.891264,0.013121,0.38631,-0.922276,0.087018,0.40514249999999996,-0.90677
0.153391,0.395774,-0.905447,0.014814,0.379862,-0.924925,0.0841025,0.387818,-0.915186
0.158866,0.402539,-0.901512,0.014903,0.373899,-0.92735,0.0868845,0.388219,-0.914431
0.147011,0.398107,-0.905482,0.011407,0.360627,-0.93264,0.079209,0.379367,-0.919061
0.137944,0.393206,-0.909044,0.022218,0.371944,-0.927989,0.08008100000000001,0.382575,-0.9185165
0.155125,0.378815,-0.912379,0.024266,0.373694,-0.927235,0.08969550000000001,0.37625450000000005,-0.919807
0.161303,0.377227,-0.911966,-0.007212,0.374645,-0.92714,0.0770455,0.375936,-0.9195530000000001
0.162877,0.365275,-0.91654,0.026588,0.374907,-0.926681,0.0947325,0.370091,-0.9216105
0.159303,0.370329,-0.915139,0.01426,0.368069,-0.929689,0.0867815,0.369199,-0.9224140000000001
0.197655,0.396368,-0.896563,0.022827,0.415719,-0.909207,0.110241,0.4060435,-0.9028849999999999
0.189807,0.378947,-0.905744,0.008526,0.397709,-0.917472,0.0991665,0.388328,-0.911608
0.180056,0.376858,-0.908602,0.009282,0.412932,-0.910715,0.094669,0.394895,-0.9096585
0.171999,0.353089,-0.919644,-0.006772,0.395723,-0.918345,0.0826135,0.374406,-0.9189944999999999
0.161307,0.402929,-0.900904,0.029916,0.408388,-0.912318,0.0956115,0.4056585,-0.9066110000000001
0.168083,0.375739,-0.911355,0.029091,0.396556,-0.91755,0.09858700000000001,0.3861475,-0.9144525
0.174798,0.369953,-0.912459,0.014933,0.410017,-0.911955,0.0948655,0.389985,-0.912207
0.173543,0.400027,-0.899923,0.012827,0.412549,-0.910845,0.093185,0.406288,-0.905384
0.212549,0.411012,-0.886506,0.054055,0.371822,-0.926729,0.133302,0.391417,-0.9066175000000001
0.20266,0.413704,-0.887569,0.05981,0.356389,-0.932422,0.131235,0.3850465,-0.9099955
0.205034,0.369293,-0.906413,0.056151,0.358686,-0.931768,0.1305925,0.36398949999999997,-0.9190905
0.172639,0.405378,-0.8977,0.046065,0.386401,-0.92118,0.10935199999999999,0.3958895,-0.90944
0.177337,0.379337,-0.908105,0.057062,0.390284,-0.918925,0.1171995,0.3848105,-0.9135150000000001
0.185396,0.401074,-0.897089,0.074349,0.364382,-0.928277,0.1298725,0.38272799999999996,-0.912683
0.201956,0.470813,-0.858807,0.020977,0.423025,-0.905875,0.1114665,0.44691899999999996,-0.882341
0.196186,0.396533,-0.896813,0.081459,0.378124,-0.922164,0.13882250000000002,0.3873285,-0.9094884999999999
0.165096,0.336442,-0.927119,0.059494,0.334525,-0.940507,0.11229499999999999,0.33548350000000005,-0.933813
0.181844,0.339951,-0.922695,0.079456,0.339731,-0.93716,0.13065,0.339841,-0.9299275
0.195016,0.342367,-0.919105,0.066882,0.338905,-0.93844,0.13094899999999998,0.340636,-0.9287725
0.151459,0.357149,-0.921686,0.084966,0.349183,-0.933195,0.1182125,0.353166,-0.9274405
0.176577,0.359685,-0.916214,0.074392,0.38219,-0.921085,0.1254845,0.3709375,-0.9186495
0.163871,0.324446,-0.931601,-0.007769,0.337551,-0.941275,0.078051,0.3309985,-0.936438
0.143145,0.360216,-0.921821,0.056473,0.330275,-0.942194,0.099809,0.3452455,-0.9320075
0.168328,0.336752,-0.926425,0.091048,0.352353,-0.931428,0.129688,0.34455250000000004,-0.9289265
0.17926,0.341321,-0.922695,0.090352,0.335138,-0.937827,0.134806,0.33822949999999996,-0.930261
0.172287,0.37891,-0.909255,0.065752,0.36923,-0.927009,0.1190195,0.37407,-0.918132
0.149177,0.389446,-0.908889,0.077216,0.355298,-0.931559,0.1131965,0.37237200000000004,-0.9202239999999999
0.184621,0.392588,-0.900994,0.06288,0.343043,-0.937213,0.12375050000000001,0.36781549999999996,-0.9191035
