gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.248323,0.108506,-0.962581,0.067428,0.096974,-0.993,0.1578755,0.10274,-0.9777905
0.247157,0.106424,-0.963113,0.067706,0.093687,-0.993297,0.1574315,0.1000555,-0.978205
0.24576,0.108968,-0.963186,0.065988,0.095044,-0.993284,0.155874,0.102006,-0.978235
0.247283,0.104952,-0.963242,0.06554,0.092125,-0.993588,0.1564115,0.0985385,-0.978415
0.242425,0.106146,-0.964346,0.06193,0.094481,-0.993599,0.1521775,0.1003135,-0.9789725
0.327954,0.087103,-0.940669,0.048632,0.126355,-0.990792,0.18829300000000002,0.10672899999999999,-0.9657305
0.292886,0.106841,-0.950159,0.064247,0.124881,-0.990089,0.1785665,0.115861,-0.970124
0.325477,0.095767,-0.940688,0.057507,0.131807,-0.989606,0.191492,0.113787,-0.965147
0.343181,0.093763,-0.934578,0.060438,0.125374,-0.990267,0.2018095,0.10956850000000001,-0.9624225
0.334774,0.098997,-0.937084,0.055926,0.128183,-0.990172,0.19535,0.11359,-0.963628
0.316174,0.109979,-0.942305,0.060467,0.133433,-0.989211,0.1883205,0.121706,-0.9657579999999999
0.300216,0.110443,-0.947456,0.056985,0.135652,-0.989116,0.1786005,0.1230475,-0.968286
0.324915,0.084866,-0.941928,0.056457,0.142253,-0.988219,0.190686,0.1135595,-0.9650734999999999
0.333243,0.092761,-0.938267,0.062688,0.153657,-0.986134,0.19796550000000002,0.12320899999999999,-0.9622005
0.335652,0.09563,-0.937119,0.060792,0.156104,-0.985868,0.198222,0.125867,-0.9614935
0.305171,0.095673,-0.947479,0.045657,0.080411,-0.995716,0.17541400000000001,0.088042,-0.9715975
0.306899,0.085999,-0.947849,0.042328,0.069472,-0.996686,0.17461349999999998,0.07773550000000001,-0.9722675000000001
0.308391,0.086337,-0.947334,0.037472,0.083148,-0.995832,0.17293150000000002,0.0847425,-0.9715830000000001
0.313708,0.085164,-0.945693,0.040809,0.083605,-0.995663,0.17725849999999999,0.0843845,-0.9706779999999999
0.314273,0.085664,-0.94546,0.038982,0.089108,-0.995259,0.17662750000000002,0.087386,-0.9703595
0.295465,0.063597,-0.953235,0.043213,0.107136,-0.993305,0.169339,0.0853665,-0.9732700000000001
0.286276,0.069445,-0.955627,0.022182,0.094035,-0.995322,0.15422899999999998,0.08174000000000001,-0.9754745
0.286292,0.076616,-0.955074,0.027043,0.108397,-0.99374,0.1566675,0.09250649999999999,-0.974407
0.282451,0.075865,-0.956277,0.02646,0.102929,-0.994337,0.1544555,0.089397,-0.975307
0.291469,0.07099,-0.953942,0.028195,0.113722,-0.993113,0.159832,0.092356,-0.9735275
0.289735,0.069527,-0.954578,0.025129,0.112378,-0.993348,0.15743200000000002,0.0909525,-0.973963
0.304211,0.117584,-0.94532,0.067677,0.123235,-0.990067,0.185944,0.1204095,-0.9676935
0.302996,0.116234,-0.945877,0.070057,0.117611,-0.990586,0.18652649999999998,0.1169225,-0.9682314999999999
0.314012,0.103668,-0.943742,0.070865,0.123847,-0.989768,0.1924385,0.1137575,-0.966755
0.273343,0.279607,-0.920382,0.053886,0.27209,-0.960762,0.1636145,0.2758485,-0.940572
0.27807,0.073596,-0.957737,0.071217,0.104726,-0.991948,0.1746435,0.08916099999999999,-0.9748425000000001
0.279108,0.058263,-0.958491,0.069367,0.087985,-0.993704,0.17423750000000002,0.073124,-0.9760975000000001
0.263676,0.050288,-0.9633,0.070651,0.085476,-0.993832,0.16716350000000002,0.067882,-0.978566
0.270764,0.059409,-0.960811,0.069422,0.084825,-0.993975,0.170093,0.072117,-0.977393
0.270891,0.053122,-0.961143,0.069042,0.085596,-0.993935,0.1699665,0.069359,-0.9775389999999999
0.270242,0.053287,-0.961317,0.06368,0.081891,-0.994605,0.166961,0.06758900000000001,-0.977961
0.252745,0.106759,-0.961625,0.091492,0.056675,-0.994192,0.1721185,0.08171700000000001,-0.9779085
0.268356,0.083276,-0.959714,0.094807,0.049489,-0.994265,0.1815815,0.0663825,-0.9769895
0.266861,0.090451,-0.959481,0.089878,0.057754,-0.994277,0.17836950000000001,0.0741025,-0.976879
0.266864,0.086246,-0.959867,0.092814,0.054518,-0.99419,0.179839,0.070382,-0.9770285000000001
0.226404,0.080032,-0.97074,0.02453,0.077553,-0.996686,0.125467,0.0787925,-0.9837130000000001
0.234499,0.079091,-0.968894,0.024526,0.09248,-0.995412,0.1295125,0.0857855,-0.982153
0.230321,0.084885,-0.969405,0.024416,0.095676,-0.995113,0.1273685,0.0902805,-0.982259
0.235553,0.092492,-0.96745,0.022511,0.094738,-0.995248,0.129032,0.093615,-0.981349
0.204871,0.084924,-0.975098,0.026295,0.107427,-0.993865,0.11558299999999999,0.0961755,-0.9844815
0.154837,0.076426,-0.984979,-0.015865,0.099088,-0.994952,0.069486,0.087757,-0.9899655
0.154466,0.074009,-0.985222,-0.01669,0.100522,-0.994795,0.06888799999999999,0.0872655,-0.9900085000000001
0.156829,0.07575,-0.984716,-0.013247,0.093212,-0.995558,0.071791,0.084481,-0.990137
0.160594,0.077251,-0.983993,-0.015128,0.093293,-0.995524,0.07273299999999999,0.085272,-0.9897585
0.157762,0.060682,-0.985611,-0.015091,0.073141,-0.997207,0.07133550000000001,0.0669115,-0.991409
0.139792,0.056945,-0.988542,-0.019093,0.059889,-0.998022,0.0603495,0.058417,-0.993282
0.104323,0.069847,-0.992088,-0.036435,0.066318,-0.997133,0.033944,0.0680825,-0.9946105000000001
0.097873,0.097078,-0.990453,-0.080949,0.125898,-0.988735,0.008462000000000004,0.111488,-0.9895940000000001
0.201178,0.288363,-0.936149,-0.053056,0.310105,-0.949221,0.074061,0.299234,-0.942685
0.244921,0.184414,-0.951843,0.033775,0.171395,-0.984623,0.139348,0.1779045,-0.968233
0.32101,0.078825,-0.94379,0.080405,0.094841,-0.99224,0.2007075,0.086833,-0.9680150000000001
0.180937,0.258057,-0.949036,-0.01795,0.275538,-0.961123,0.0814935,0.2667975,-0.9550795
0.354166,0.037439,-0.934433,0.063859,0.108507,-0.992042,0.2090125,0.07297300000000001,-0.9632375
