gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.011745,0.144432,-0.989445,-0.026237,0.101712,-0.994468,-0.007246,0.123072,-0.9919565
0.079605,0.176379,-0.981098,0.003691,0.160524,-0.987025,0.041648,0.1684515,-0.9840615
0.081738,0.17339,-0.981456,0.013142,0.145174,-0.989319,0.04744,0.15928199999999998,-0.9853875
0.076547,0.16748,-0.982899,0.020159,0.108612,-0.99388,0.048353,0.138046,-0.9883895
0.141496,0.160565,-0.976831,0.056443,0.113644,-0.991917,0.0989695,0.13710450000000002,-0.9843740000000001
0.16481,0.162141,-0.972907,0.070444,0.146423,-0.986711,0.11762700000000001,0.154282,-0.9798089999999999
0.184609,0.137385,-0.973162,0.085622,0.125898,-0.988341,0.1351155,0.13164150000000002,-0.9807515
0.170929,0.132151,-0.976381,0.077481,0.133613,-0.988,0.124205,0.132882,-0.9821905
0.148705,0.127037,-0.980688,0.031196,0.149506,-0.988269,0.0899505,0.1382715,-0.9844785
0.188954,0.114249,-0.975317,0.023294,0.07487,-0.996921,0.10612400000000001,0.0945595,-0.986119
0.182515,0.134266,-0.973992,0.028286,0.093756,-0.995193,0.10540050000000001,0.114011,-0.9845925
0.141235,0.13319,-0.980976,0.056837,0.093735,-0.993974,0.099036,0.1134625,-0.987475
0.120313,0.164373,-0.979033,0.049222,0.100269,-0.993742,0.0847675,0.132321,-0.9863875
0.117459,0.156482,-0.980672,0.052189,0.111015,-0.992447,0.084824,0.1337485,-0.9865595
0.131439,0.130789,-0.982659,0.040121,0.079336,-0.99604,0.08578,0.1050625,-0.9893495
0.114378,0.154468,-0.981355,0.042751,0.121604,-0.991658,0.0785645,0.138036,-0.9865065
0.101644,0.131972,-0.986028,0.04364,0.119807,-0.991838,0.072642,0.1258895,-0.9889330000000001
0.110292,0.118055,-0.986863,0.040345,0.089385,-0.99518,0.0753185,0.10372,-0.9910215
0.077903,0.109328,-0.990948,0.003358,0.105855,-0.994376,0.0406305,0.1075915,-0.992662
0.057344,0.150296,-0.986977,-0.010792,0.105088,-0.994404,0.023275999999999998,0.127692,-0.9906904999999999
0.060395,0.152443,-0.986465,-0.017783,0.139682,-0.990037,0.021306,0.14606249999999998,-0.988251
0.067058,0.153415,-0.985884,-0.02166,0.149498,-0.988525,0.022699000000000004,0.1514565,-0.9872045
0.077425,0.136076,-0.987668,-0.021526,0.143559,-0.989408,0.027949499999999995,0.13981749999999998,-0.9885379999999999
0.05665,0.130741,-0.989797,-0.034551,0.108921,-0.99345,0.0110495,0.119831,-0.9916235
0.046152,0.127393,-0.990778,-0.01747,0.055449,-0.998309,0.014341,0.091421,-0.9945435
-0.000722,0.097137,-0.995271,-0.010621,0.050526,-0.998666,-0.0056715,0.0738315,-0.9969685
-0.01046,0.135421,-0.990733,-0.036777,0.091821,-0.995096,-0.0236185,0.113621,-0.9929144999999999
-0.011375,0.145216,-0.989335,-0.040147,0.09784,-0.994392,-0.025761,0.121528,-0.9918635
-0.011158,0.125759,-0.991998,-0.059285,0.066639,-0.996014,-0.035221499999999996,0.096199,-0.994006
-0.052753,0.12668,-0.99054,-0.067759,0.048247,-0.996534,-0.060256000000000004,0.0874635,-0.993537
-0.033482,0.123973,-0.991721,-0.11623,0.041859,-0.99234,-0.074856,0.082916,-0.9920305
