gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.120041,0.204956,-0.971382,-0.003028,0.147187,-0.989104,0.058506499999999996,0.1760715,-0.980243
0.106519,0.205098,-0.972928,-0.00678,0.128309,-0.991711,0.049869500000000004,0.1667035,-0.9823195
0.105495,0.191271,-0.975852,0.00175,0.165404,-0.986224,0.053622500000000003,0.17833749999999998,-0.9810380000000001
0.166976,0.220197,-0.961058,0.007079,0.138178,-0.990382,0.08702750000000001,0.1791875,-0.9757199999999999
0.149345,0.219906,-0.964022,-0.024559,0.145234,-0.989092,0.062393000000000004,0.18257,-0.976557
0.150758,0.219245,-0.963952,0.027158,0.133837,-0.990631,0.08895800000000001,0.176541,-0.9772915
0.167683,0.233012,-0.957908,0.026166,0.141093,-0.98965,0.0969245,0.1870525,-0.973779
0.176666,0.229589,-0.95712,0.028619,0.204705,-0.978405,0.1026425,0.21714699999999998,-0.9677625
0.178924,0.218671,-0.959255,0.001713,0.207023,-0.978335,0.0903185,0.212847,-0.968795
0.163313,0.265652,-0.950136,0.034203,0.229804,-0.972636,0.09875800000000001,0.247728,-0.961386
0.192181,0.32294,-0.926702,-0.063708,0.343579,-0.93696,0.0642365,0.33325950000000004,-0.9318310000000001
0.201087,0.30998,-0.929234,-0.081331,0.255529,-0.963374,0.059877999999999994,0.2827545,-0.946304
0.207526,0.29851,-0.931571,-0.102808,0.209694,-0.972347,0.052358999999999996,0.254102,-0.951959
0.149829,0.176341,-0.972859,-0.108629,0.151692,-0.98244,0.020599999999999993,0.1640165,-0.9776495000000001
0.077386,0.146938,-0.986114,-0.089181,0.101597,-0.99082,-0.0058975,0.1242675,-0.988467
0.122252,0.143929,-0.982008,-0.078289,0.088905,-0.992959,0.0219815,0.11641699999999999,-0.9874835
0.134711,0.230973,-0.963589,-0.130817,0.151692,-0.979733,0.0019470000000000043,0.19133250000000002,-0.971661
0.201096,0.332969,-0.921245,-0.090374,0.341646,-0.935473,0.055361,0.3373075,-0.9283589999999999
0.142263,0.200341,-0.969342,-0.091479,0.165664,-0.98193,0.025391999999999998,0.1830025,-0.975636
0.094122,0.09829,-0.990697,-0.059434,0.088489,-0.994302,0.017344,0.0933895,-0.9924995000000001
0.126902,0.160722,-0.978808,-0.073008,0.15666,-0.98495,0.026946999999999992,0.158691,-0.981879
0.124206,0.124658,-0.984395,-0.094542,0.141914,-0.985354,0.014831999999999998,0.13328600000000002,-0.9848745
0.108456,0.132338,-0.985253,-0.080963,0.140438,-0.986774,0.013746500000000002,0.136388,-0.9860135000000001
0.072612,0.148461,-0.986249,-0.08915,0.153002,-0.984196,-0.008268999999999999,0.15073150000000002,-0.9852225
0.082779,0.156526,-0.984199,-0.054737,0.187801,-0.980681,0.014021000000000002,0.1721635,-0.98244
0.090879,0.129269,-0.987436,-0.084129,0.159095,-0.983672,0.003375000000000003,0.14418199999999998,-0.985554
0.131703,0.373468,-0.918246,-0.134251,0.447475,-0.884162,-0.0012740000000000112,0.4104715,-0.901204
0.058674,0.239275,-0.969177,-0.024185,0.242067,-0.969958,0.017244499999999996,0.240671,-0.9695674999999999
0.086681,0.24037,-0.966803,-0.083767,0.175939,-0.980831,0.001457,0.20815450000000002,-0.9738169999999999
0.088235,0.169793,-0.981522,-0.092261,0.187821,-0.977861,-0.002013000000000001,0.178807,-0.9796914999999999
0.114486,0.150434,-0.981969,-0.028684,0.21894,-0.975317,0.042901,0.184687,-0.9786429999999999
0.109681,0.169709,-0.979372,-0.0641,0.262047,-0.962924,0.022790499999999998,0.215878,-0.971148
0.128234,0.163197,-0.978224,-0.125138,0.239716,-0.962744,0.0015479999999999938,0.2014565,-0.970484
0.123917,0.163849,-0.978671,-0.083652,0.17936,-0.98022,0.020132499999999998,0.1716045,-0.9794455
0.127776,0.126618,-0.983688,-0.049417,0.164301,-0.985172,0.0391795,0.14545950000000002,-0.98443
0.141582,0.12984,-0.981375,-0.031503,0.135269,-0.990308,0.055039500000000005,0.13255450000000002,-0.9858415
0.13189,0.088475,-0.987308,-0.062887,0.149118,-0.986818,0.034501500000000004,0.1187965,-0.987063
0.145259,0.086182,-0.985633,-0.014774,0.200007,-0.979683,0.0652425,0.14309449999999999,-0.982658
0.107634,0.086919,-0.990384,-0.052112,0.157341,-0.986168,0.027760999999999997,0.12213,-0.988276
0.088801,0.070101,-0.99358,-0.067594,0.107372,-0.991918,0.010603500000000002,0.0887365,-0.992749
0.05802,0.294701,-0.953826,-0.098624,0.368403,-0.92442,-0.020302,0.33155199999999996,-0.9391229999999999
0.139939,0.045088,-0.989133,-0.041018,0.131104,-0.99052,0.049460500000000004,0.08809600000000001,-0.9898264999999999
0.073066,0.156334,-0.984998,0.006069,0.161395,-0.986871,0.039567500000000005,0.15886450000000002,-0.9859345
0.117162,0.154494,-0.981022,-0.012352,0.172293,-0.984968,0.052405,0.1633935,-0.982995
0.158771,0.160102,-0.974248,0.045748,0.104895,-0.993431,0.1022595,0.1324985,-0.9838395
0.163612,0.205893,-0.9648,0.064432,0.159255,-0.985133,0.11402200000000001,0.18257400000000001,-0.9749665000000001
0.139736,0.14958,-0.978826,0.07631,0.103415,-0.991707,0.10802300000000001,0.12649749999999998,-0.9852665
0.162021,0.134556,-0.97757,0.079987,0.000278,-0.996796,0.121004,0.067417,-0.987183
0.15508,0.142153,-0.977621,0.071373,-0.011693,-0.997381,0.11322650000000001,0.06523,-0.987501
0.152037,0.161154,-0.975148,0.068012,0.018905,-0.997505,0.1100245,0.0900295,-0.9863265
0.284334,0.228867,-0.931007,-0.196603,0.249336,-0.94825,0.04386549999999999,0.2391015,-0.9396285
0.26572,0.393986,-0.879868,-0.163578,0.39738,-0.902957,0.051071000000000005,0.395683,-0.8914124999999999
0.258981,0.351386,-0.899698,-0.10899,0.399119,-0.910398,0.0749955,0.3752525,-0.9050480000000001
0.164464,0.293177,-0.941806,0.063757,0.293773,-0.953746,0.1141105,0.29347500000000004,-0.947776
0.129975,0.218659,-0.967106,0.047508,0.182234,-0.982107,0.0887415,0.2004465,-0.9746064999999999
0.13506,0.235491,-0.962446,0.020056,0.174967,-0.98437,0.077558,0.205229,-0.973408
0.164577,0.23657,-0.957575,0.045893,0.173493,-0.983765,0.105235,0.2050315,-0.9706699999999999
0.150688,0.239879,-0.959037,0.022131,0.165601,-0.985945,0.0864095,0.20274,-0.972491
