gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.074179,0.110658,-0.991086,-0.011364,0.137871,-0.990385,0.0314075,0.1242645,-0.9907355
0.073018,0.110673,-0.991171,-0.012157,0.141457,-0.98987,0.0304305,0.12606499999999998,-0.9905205
0.082023,0.113022,-0.990201,-0.013392,0.144717,-0.989382,0.0343155,0.1288695,-0.9897914999999999
0.056711,0.115697,-0.991664,0.006014,0.054008,-0.998522,0.0313625,0.0848525,-0.995093
0.050799,0.119388,-0.991547,0.009289,0.051492,-0.99863,0.030043999999999998,0.08544,-0.9950885
0.041255,0.127696,-0.990955,0.007682,0.0592,-0.998217,0.0244685,0.093448,-0.994586
0.05799,0.127397,-0.990155,0.005206,0.063281,-0.997982,0.031598,0.09533900000000001,-0.9940685
0.063437,0.123384,-0.990329,0.004182,0.063247,-0.997989,0.0338095,0.0933155,-0.994159
0.058734,0.131692,-0.989549,0.00272,0.062499,-0.998041,0.030727,0.0970955,-0.993795
0.062655,0.137295,-0.988547,0.010987,0.070049,-0.997483,0.036821,0.103672,-0.993015
0.061708,0.126619,-0.99003,0.022181,0.052817,-0.998358,0.041944499999999996,0.089718,-0.994194
0.058956,0.128821,-0.989914,0.021321,0.05478,-0.998271,0.0401385,0.0918005,-0.9940925
0.06005,0.1264,-0.99016,0.022142,0.051087,-0.998449,0.041096,0.0887435,-0.9943045
0.057503,0.124462,-0.990557,0.020736,0.052507,-0.998405,0.0391195,0.0884845,-0.994481
0.059587,0.124885,-0.99038,0.019745,0.054111,-0.99834,0.039666,0.089498,-0.99436
0.076478,0.110919,-0.990883,-0.017509,0.048713,-0.998659,0.029484500000000004,0.079816,-0.994771
0.079247,0.115035,-0.990195,-0.012362,0.058476,-0.998212,0.0334425,0.0867555,-0.9942035
0.077674,0.118388,-0.989925,-0.021642,0.059108,-0.998017,0.028016000000000003,0.088748,-0.993971
0.074222,0.118149,-0.990218,-0.021849,0.068398,-0.997419,0.026186499999999998,0.09327350000000001,-0.9938184999999999
0.121779,0.138291,-0.982876,-0.032633,0.053012,-0.998061,0.044573,0.0956515,-0.9904685
0.100574,0.128797,-0.986558,-0.065228,0.066818,-0.995631,0.017673,0.09780749999999999,-0.9910945
0.101659,0.09559,-0.990216,-0.050497,0.073793,-0.995994,0.025581,0.0846915,-0.993105
0.128143,0.080421,-0.98849,-0.077297,0.092332,-0.992724,0.025423,0.0863765,-0.990607
0.115177,0.060921,-0.991475,-0.083602,0.070095,-0.994031,0.015787500000000003,0.06550800000000001,-0.992753
0.101597,0.053419,-0.99339,-0.051922,0.044649,-0.997653,0.024837500000000002,0.049034,-0.9955215
0.072485,0.056041,-0.995794,-0.048323,0.05649,-0.997233,0.012080999999999998,0.056265499999999996,-0.9965135
0.072771,0.023231,-0.997078,-0.039698,0.047394,-0.998087,0.016536500000000003,0.0353125,-0.9975825
0.169322,0.109289,-0.979483,-0.02132,0.02923,-0.999345,0.074001,0.0692595,-0.989414
0.108422,0.078524,-0.990999,0.005416,0.042939,-0.999063,0.056919000000000004,0.060731499999999994,-0.995031
0.09012,0.014394,-0.995827,-0.06937,-0.002907,-0.997587,0.010375000000000002,0.0057435,-0.996707
0.102835,0.087319,-0.990858,-0.006059,0.081993,-0.996614,0.048388,0.084656,-0.993736
