gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
-0.133781,0.332722,-0.933487,-0.268222,0.328736,-0.905533,-0.2010015,0.330729,-0.91951
0.024378,0.266343,-0.96357,-0.078221,0.258238,-0.96291,-0.0269215,0.2622905,-0.9632400000000001
0.172245,0.264122,-0.948984,-0.048811,0.242332,-0.968965,0.06171700000000001,0.253227,-0.9589745000000001
0.058036,0.272307,-0.960459,-0.052474,0.204539,-0.977451,0.0027809999999999988,0.238423,-0.968955
0.111093,0.252799,-0.96112,-0.106562,0.204063,-0.973141,0.0022654999999999967,0.228431,-0.9671305
0.163507,0.289263,-0.943182,0.006586,0.157607,-0.98748,0.08504650000000001,0.223435,-0.9653309999999999
0.216403,0.342754,-0.91416,0.000193,0.238832,-0.971061,0.108298,0.29079299999999997,-0.9426105
0.074405,0.276821,-0.958037,-0.023404,0.11692,-0.992866,0.0255005,0.1968705,-0.9754515
0.11996,0.305063,-0.944747,-0.009182,0.151293,-0.988446,0.055389,0.228178,-0.9665965000000001
0.095289,0.296595,-0.950238,-0.017152,0.165108,-0.986126,0.0390685,0.2308515,-0.968182
0.182043,0.340883,-0.922312,-0.060248,0.219791,-0.973685,0.06089750000000001,0.280337,-0.9479985
0.108556,0.302865,-0.946831,0.042772,0.20806,-0.97718,0.075664,0.2554625,-0.9620055000000001
0.170746,0.338075,-0.9255,-0.038001,0.207942,-0.977403,0.0663725,0.2730085,-0.9514515
0.240705,0.388773,-0.889335,-0.021283,0.320193,-0.947113,0.109711,0.354483,-0.9182239999999999
0.177205,0.381695,-0.907142,0.036647,0.247303,-0.968245,0.106926,0.314499,-0.9376935
0.175715,0.356247,-0.917721,0.070299,0.317031,-0.945806,0.123007,0.336639,-0.9317635
0.204563,0.346491,-0.915477,0.038502,0.328042,-0.943878,0.1215325,0.3372665,-0.9296774999999999
0.310117,0.181067,-0.933296,0.000983,0.254267,-0.967134,0.15555,0.217667,-0.950215
0.185165,0.293265,-0.937928,0.030747,0.33413,-0.942025,0.107956,0.31369749999999996,-0.9399765
0.228996,0.159534,-0.960266,-0.027853,0.219149,-0.975294,0.10057150000000001,0.1893415,-0.96778
0.255062,0.134254,-0.957559,0.011341,0.214732,-0.976607,0.1332015,0.174493,-0.967083
0.28696,0.155586,-0.945223,0.006429,0.204926,-0.978756,0.1466945,0.180256,-0.9619895
0.130615,0.108242,-0.985507,-0.046163,0.161956,-0.985718,0.042226,0.135099,-0.9856125
0.199033,0.213965,-0.95635,0.054039,0.257976,-0.964639,0.12653599999999998,0.23597049999999997,-0.9604945
0.160008,0.139669,-0.977185,0.068845,0.340256,-0.937809,0.11442650000000001,0.2399625,-0.957497
0.260269,0.134335,-0.956145,-0.04448,0.237064,-0.970475,0.10789449999999999,0.18569950000000002,-0.96331
0.228316,0.181966,-0.956431,-0.094456,0.284385,-0.954046,0.06692999999999999,0.23317549999999998,-0.9552385
0.108934,0.483172,-0.868722,-0.026765,0.378428,-0.925244,0.0410845,0.43079999999999996,-0.896983
0.158881,0.468532,-0.869042,-0.009457,0.425013,-0.905138,0.074712,0.4467725,-0.8870899999999999
0.155998,0.398949,-0.903606,-0.022239,0.338281,-0.940782,0.0668795,0.368615,-0.922194
0.152332,0.326822,-0.932728,-0.077559,0.264237,-0.961334,0.037386499999999996,0.2955295,-0.947031
0.109665,0.292462,-0.949968,0.042783,0.283074,-0.958143,0.076224,0.287768,-0.9540555
0.077271,0.28187,-0.956336,0.035274,0.274207,-0.961024,0.0562725,0.27803849999999997,-0.95868
0.048033,0.231113,-0.97174,0.05784,0.228072,-0.971925,0.0529365,0.2295925,-0.9718325000000001
0.121787,0.150999,-0.981003,0.051196,0.0995,-0.99372,0.0864915,0.1252495,-0.9873615
0.175391,0.138527,-0.974704,0.004118,0.084912,-0.99638,0.0897545,0.1117195,-0.985542
0.157368,0.124513,-0.979659,-0.053718,0.044191,-0.997578,0.051825,0.084352,-0.9886185
0.180474,-0.000599,-0.98358,0.03064,0.052578,-0.998147,0.105557,0.0259895,-0.9908635
0.185781,-0.007255,-0.982564,0.033555,-0.037563,-0.998731,0.109668,-0.022409,-0.9906475
0.230809,-0.017324,-0.972845,0.045626,-0.002818,-0.998955,0.1382175,-0.010071,-0.9859
0.250964,-0.020611,-0.967777,0.04291,-0.051723,-0.997739,0.146937,-0.036167,-0.982758
0.236915,0.029241,-0.97109,0.084971,-0.044602,-0.995385,0.160943,-0.0076805000000000016,-0.9832375
0.223069,0.068563,-0.972389,0.064388,-0.008809,-0.997886,0.14372849999999998,0.029877,-0.9851375
0.238371,0.146305,-0.960091,0.041087,0.046912,-0.998054,0.139729,0.0966085,-0.9790725
0.213869,0.210452,-0.953924,0.046461,0.109086,-0.992946,0.130165,0.159769,-0.973435
0.112393,0.247432,-0.962364,0.135951,0.125629,-0.982718,0.124172,0.1865305,-0.972541
