gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_avg_x,gaze_avg_y,gaze_avg_z
0.0824,0.336713,-0.937995,-0.05737,0.268577,-0.961548,0.012515000000000002,0.302645,-0.9497715
0.045644,0.29373,-0.954798,-0.071386,0.252086,-0.965068,-0.012871000000000004,0.272908,-0.959933
0.025284,0.274869,-0.961149,-0.062314,0.210529,-0.9756,-0.018515,0.242699,-0.9683745
0.022765,0.254499,-0.966805,-0.006581,0.184014,-0.982902,0.008092,0.2192565,-0.9748535
0.000605,0.253517,-0.967331,0.005737,0.178975,-0.983837,0.0031709999999999998,0.216246,-0.975584
-0.003682,0.267561,-0.963534,0.006454,0.189957,-0.981771,0.0013859999999999999,0.228759,-0.9726524999999999
-0.004208,0.27167,-0.962381,-0.017406,0.210546,-0.977429,-0.010807,0.24110800000000002,-0.969905
-0.00123,0.272259,-0.962223,-0.007837,0.199633,-0.979839,-0.0045335,0.235946,-0.971031
0.011686,0.273799,-0.961716,-0.015886,0.185466,-0.982522,-0.0021000000000000003,0.22963250000000002,-0.972119
0.012637,0.273858,-0.961687,-0.010796,0.188796,-0.981957,0.0009205000000000003,0.231327,-0.971822
0.031852,0.288442,-0.956967,-0.020841,0.211397,-0.977178,0.0055055,0.2499195,-0.9670725
-0.00929,0.272532,-0.962102,-0.013065,0.212594,-0.977053,-0.0111775,0.242563,-0.9695775
-0.020908,0.267413,-0.963355,-0.003427,0.205504,-0.97865,-0.0121675,0.23645850000000002,-0.9710025
-0.02385,0.247198,-0.968672,0.013632,0.187015,-0.982262,-0.005109,0.21710649999999998,-0.975467
-0.056637,0.250497,-0.966459,0.000952,0.194723,-0.980858,-0.0278425,0.22261000000000003,-0.9736585
-8e-06,0.156368,-0.987699,-0.041,0.187619,-0.981386,-0.020504,0.17199350000000002,-0.9845425
0.007731,0.166896,-0.985944,-0.039955,0.194612,-0.980066,-0.016111999999999998,0.180754,-0.983005
0.005199,0.174953,-0.984563,-0.042535,0.204712,-0.977898,-0.018668,0.18983250000000002,-0.9812305
0.044254,0.228369,-0.972568,-0.02817,0.213138,-0.976616,0.008042,0.2207535,-0.974592
0.04313,0.229834,-0.972274,-0.021214,0.207266,-0.978055,0.010958,0.21855000000000002,-0.9751645
0.038741,0.235811,-0.971026,-0.020331,0.195741,-0.980445,0.009205,0.215776,-0.9757355
0.037482,0.23797,-0.970549,-0.037936,0.2367,-0.970842,-0.00022699999999999804,0.237335,-0.9706954999999999
0.038809,0.244057,-0.968984,-0.037734,0.238611,-0.970382,0.0005375000000000033,0.241334,-0.969683
0.032906,0.223221,-0.974212,-0.032913,0.228388,-0.973014,-3.500000000000031e-06,0.22580450000000002,-0.9736130000000001
0.028226,0.229147,-0.972983,-0.04669,0.235605,-0.970727,-0.009232,0.232376,-0.971855
0.034091,0.23447,-0.971525,-0.04412,0.237092,-0.970485,-0.005014499999999998,0.23578100000000002,-0.971005
0.034162,0.234186,-0.971591,-0.045426,0.236982,-0.970451,-0.005632000000000002,0.23558400000000002,-0.9710209999999999
0.034552,0.227027,-0.973275,-0.05264,0.232314,-0.971215,-0.009044,0.2296705,-0.972245
0.032117,0.217412,-0.975551,-0.044141,0.228238,-0.972604,-0.006012,0.222825,-0.9740774999999999
0.028827,0.221593,-0.974713,-0.048898,0.237564,-0.97014,-0.0100355,0.22957850000000002,-0.9724265000000001
0.015582,0.182603,-0.983063,-0.067912,0.231683,-0.970418,-0.026165,0.207143,-0.9767405
0.015443,0.181793,-0.983216,-0.062207,0.234941,-0.970017,-0.023382,0.20836700000000002,-0.9766165
0.011021,0.171123,-0.985188,-0.093962,0.225504,-0.969701,-0.0414705,0.1983135,-0.9774445
0.008344,0.168918,-0.985595,-0.121482,0.218018,-0.968354,-0.056569,0.193468,-0.9769745000000001
0.00894,0.171259,-0.985186,-0.118536,0.21994,-0.968285,-0.054798,0.19559949999999998,-0.9767355
0.011563,0.175404,-0.984429,-0.122949,0.226726,-0.966167,-0.055693,0.201065,-0.975298
0.029033,0.204241,-0.97849,-0.081146,0.2387,-0.967697,-0.026056499999999996,0.22147050000000001,-0.9730935000000001
0.030806,0.215651,-0.975985,-0.079123,0.234893,-0.968796,-0.0241585,0.225272,-0.9723904999999999
0.026674,0.221732,-0.974743,-0.079255,0.231401,-0.969625,-0.0262905,0.2265665,-0.9721839999999999
0.029463,0.222091,-0.974581,-0.079816,0.234015,-0.968951,-0.025176499999999997,0.228053,-0.971766
0.027523,0.222831,-0.974468,-0.080412,0.230964,-0.969634,-0.0264445,0.2268975,-0.972051
0.08143,0.267255,-0.960179,-0.090155,0.289223,-0.953007,-0.004362499999999998,0.278239,-0.956593
0.073918,0.265052,-0.961397,-0.060059,0.292465,-0.954388,0.006929499999999998,0.2787585,-0.9578925
0.04037,0.22632,-0.973216,-0.058367,0.244655,-0.967852,-0.0089985,0.23548750000000002,-0.970534
